time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,L_Shaped_picked_frame,L_Shaped_unc_q95,L_Shaped_unc_q99,L_Shaped_unc_max,L_Shaped_unc_top,L_Shaped_score_q95,L_Shaped_score_q99,L_Shaped_score_max,L_Shaped_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,1.229955897728602,1.2514280875523884,1.2514280875523884,1.2514280875523884,1.1968606313069663,1.2416858772436778,1.2479613622029622,1.2447994669278462,120,1.2339692115783691,1.272407054901123,1.272407054901123,1.272407054901123,1.1562036156654358,1.2493062436580658,1.2634457349777222,1.2559338748455047,120,1.1943917274475098,1.2005445957183838,1.2005445957183838,1.2005445957183838,1.1781188309192658,1.195827022790909,1.1992658376693726,1.1978022158145905,120,1.2615067541599274,1.2813326120376587,1.2813326120376587,1.2813326120376587,1.256259447336197,1.2799243652820587,1.281172513961792,1.2806623101234436
7.0,1.19392511844635,1.2153374751408894,1.2153374751408894,1.2153374751408894,1.1624203304449716,1.1953349753220877,1.2051842212677002,1.2001333018143974,140,1.16822275519371,1.193852186203003,1.193852186203003,1.193852186203003,1.0870466709136963,1.1404226267337798,1.1648623943328857,1.1522880256175996,140,1.1520458459854126,1.1708276271820068,1.1708276271820068,1.1708276271820068,1.143954873085022,1.1656579339504243,1.1695177555084229,1.1674495697021485,140,1.2615067541599274,1.2813326120376587,1.2813326120376587,1.2813326120376587,1.256259447336197,1.2799243652820587,1.281172513961792,1.2806623101234436
8.0,1.1869795580705007,1.2106818755467732,1.2106818755467732,1.2106818755467732,1.1472769518693287,1.1859839983781177,1.200309157371521,1.193299130598704,160,1.1531838178634644,1.1898667812347412,1.1898667812347412,1.1898667812347412,1.0506033599376678,1.1259989261627197,1.1607178449630737,1.1433925747871398,160,1.1630783081054688,1.1753205060958862,1.1753205060958862,1.1753205060958862,1.1542245328426362,1.1681837379932403,1.1737079620361328,1.17098970413208,160,1.2446765482425688,1.2668583393096924,1.2668583393096924,1.2668583393096924,1.2370029628276824,1.2637693309783935,1.2665016651153564,1.265515112876892
9.0,1.1128147443135579,1.1454511086146038,1.1454511086146038,1.1454511086146038,1.0508219798405964,1.1192359991868337,1.1362052758534749,1.1281195561091104,180,1.1641452312469482,1.2093086242675781,1.2093086242675781,1.2093086242675781,1.0716043293476105,1.1620161306858063,1.1913927793502808,1.1773679852485657,180,1.1411106586456299,1.1469348669052124,1.1469348669052124,1.1469348669052124,1.1226661324501037,1.1414663183689118,1.1447298526763916,1.1430582582950592,180,1.0331883430480957,1.0801098346710205,1.0801098346710205,1.0801098346710205,0.9581954777240753,1.054225548505783,1.0724931955337524,1.0639324247837068
