j_pos_0,j_pos_1,j_pos_2,j_pos_3,j_pos_4,j_pos_5,j_pos_6,j_pos_7,j_pos_8,j_pos_9,j_pos_10,j_pos_11,j_pos_12,j_pos_13,j_pos_14,j_pos_15,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,tactile_0,tactile_1,tactile_2,tactile_3,tactile_4,tactile_5,tactile_6,tactile_7,tactile_8,tactile_9,tactile_10,tactile_11,tactile_12,tactile_13,tactile_14,tactile_15
-0.0122131705,-0.0060772896,-0.004543245,-0.0030094087,-0.013747245,5.8710575e-05,0.0015925169,0.0031266212,-0.029087037,5.865097e-05,-0.0030092597,-0.0030094087,-0.010679185,-0.0014753342,-0.007611215,-0.001475364,-1.0,0.5544493,0.2622801,-1.0,0.25269976,-0.016362831,0.9635794,-1.0,1.0,-0.6302705,1.0,-0.6425102,-0.080736935,-1.0,-1.0,-0.44789726,-1.0,-0.35549018,1.0,-0.6321699,0.8980587,1.0,-0.0122131705,-0.0060772896,-0.004543245,-0.0030094087,-0.013747245,5.8710575e-05,0.0015925169,0.0031266212,-0.029087037,5.865097e-05,-0.0030092597,-0.0030094087,-0.010679185,-0.0014753342,-0.007611215,-0.001475364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.049028754,0.0322721,0.04761201,0.03840798,0.039942026,-0.041358948,0.05528176,0.052213907,-0.07203826,0.03840804,0.05067998,-0.05669883,-0.0444268,-0.042892933,-0.055164754,-0.050562948,-0.6480803,0.5826676,0.004587248,-1.0,0.011293717,0.07066749,0.64948785,-1.0,1.0,-1.0,1.0,-0.23971552,0.074016154,-1.0,-1.0,-0.40060794,-1.0,-0.07667748,0.57757324,-0.73758614,0.863523,0.91110635,0.14195953,-0.1660773,0.15545677,-0.10385268,0.14625277,-0.102742925,-0.011325394,-0.15687339,-0.18908705,-0.071604915,-0.16300927,-0.059887838,0.14932083,-0.102622524,0.13607818,0.15852465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.102717966,-0.027553082,0.41730142,0.11817494,0.88669944,0.027670205,0.5415536,0.0629518,-0.29293165,-0.08584428,0.17800051,-0.35122308,-0.05669871,-0.19015503,-0.058232725,-0.33434922,-0.18514398,0.8680842,-0.49217075,-1.0,-0.37390795,0.7115786,-0.044740196,-0.6393089,0.64524937,-1.0,1.0,0.52266896,0.35922194,-1.0,-1.0,-0.60822767,-0.7935353,0.035377644,-0.7430439,-0.73323923,0.8153852,-0.61838365,0.27671215,-0.35807732,0.34745678,-0.28402135,0.33825278,-0.16165774,-0.0020663906,-0.3488734,-0.314,-0.1500349,-0.3550093,-0.083531916,0.27373254,-0.24086575,0.30297977,0.33630168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.084310174,-0.22543669,0.5722335,0.09209749,1.4542726,0.24089363,0.5415536,-0.12879598,-0.29446566,-0.21316475,0.205612,-0.36196098,0.119709045,-0.21163082,0.17953455,-0.34815508,0.1353608,1.0,-0.6704662,-0.73571706,-0.22629353,0.4055336,-0.3347191,0.07444847,-0.40276182,-1.0,1.0,0.7654264,0.9515762,-1.0,-1.0,-0.056880847,-0.57104915,0.41754374,-1.0,-1.0,0.25168422,-1.0,0.29650423,-0.49876675,0.4890967,-0.366,0.5366528,-0.089813665,0.057260923,-0.5472734,-0.314,-0.26303732,-0.506,-0.08260031,0.17972785,-0.3858327,0.46682173,0.27291572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.085844174,-0.29446578,0.7685831,-0.08431032,1.3545635,0.39889368,0.62745655,-0.34508717,-0.29599968,-0.36042684,0.11510712,-0.36196098,-0.05363071,-0.38343674,0.34673834,-0.36349493,-0.3197089,0.9085981,-0.25069135,-0.32392126,0.41025886,0.03769482,-0.27192542,0.24972704,0.016444817,-1.0,1.0,0.8721435,1.0,-1.0,-1.0,0.30249527,0.24783453,-0.1612514,-0.9606614,-0.7833585,0.80628234,-1.0,0.24690759,-0.5149929,0.45298278,-0.366,0.73633283,0.04702337,0.22137856,-0.7469534,-0.314,-0.29473874,-0.506,-0.0156069845,0.00092691183,-0.5748261,0.5398596,0.10023852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08124223,-0.27912593,0.95419484,-0.27452403,1.5754569,0.6059809,0.69495165,-0.51689297,-0.29599968,-0.43405795,0.096699536,-0.36042696,-0.16100919,-0.5122909,0.5384858,-0.36349493,-0.35501763,0.46507606,-0.04145263,-0.26100886,0.8255328,-0.020660102,-0.09895107,0.16768858,0.51468307,-1.0,1.0,1.0,0.89400285,-1.0,-1.0,0.41104305,1.0,-0.39040747,0.90122783,-0.20060281,1.0,-1.0,0.1934802,-0.4782818,0.44839117,-0.366,0.93626887,0.21393374,0.4142021,-0.94688946,-0.314,-0.25267977,-0.49123466,-0.028008545,-0.1885391,-0.7379622,0.68347234,-0.09429693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.030738205,-0.18401909,1.1398065,-0.38190275,1.7349908,0.7900586,0.82687426,-0.69636875,-0.29599968,-0.39417458,0.25469947,-0.36042696,-0.05363071,-0.63040745,0.72256356,-0.36349493,-0.13792059,0.2130016,0.13296418,-0.46713066,0.70361763,-0.32803428,-0.031233488,-0.02930737,0.4732414,-1.0,1.0,0.7642016,0.86405087,-1.0,-1.0,0.8197659,1.0,-0.10865567,1.0,0.25242567,1.0,-1.0,0.16696255,-0.4441094,0.5298221,-0.366,1.1362561,0.4073158,0.59580725,-1.1468767,-0.314,-0.17850107,-0.32828158,-0.092954054,-0.08223585,-0.80268586,0.8721949,-0.293204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23475772,-0.032155037,1.3269517,-0.36042696,1.9252045,0.9971459,0.9986799,-0.83135897,-0.29599968,-0.17634916,0.45411682,-0.36042696,0.23322374,-0.9479415,0.9173792,-0.36349493,0.14133835,0.5949473,0.52289605,-0.5512005,0.7446012,-1.0,-0.1925526,-1.0,-0.49343884,-0.09005399,1.0,-0.8184036,1.0,-1.0,-0.5297625,1.0,0.3320518,0.76733464,1.0,1.0,-0.23674253,-0.37905538,0.15666166,-0.44196412,0.62182695,-0.366,1.3362535,0.5682645,0.77037644,-1.34,-0.314,-0.032502785,-0.13569096,-0.12332806,0.09902481,-0.7752425,1.0699394,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3927577,0.009262562,1.3867772,-0.36042696,1.9144666,0.9618647,1.1029909,-0.9724853,-0.29599968,-0.024485111,0.62285477,-0.36042696,0.34520447,-0.95714533,1.0953209,-0.36349493,0.030591346,0.7593539,1.0,-0.28563792,-0.30521122,-0.60798943,-0.3087136,-1.0,-0.35212636,-0.76656485,1.0,-1.0,1.0,-1.0,-0.5210496,0.63014954,-0.31828624,0.40721804,1.0,1.0,-1.0,-0.15538463,0.123793066,-0.6015351,0.5612777,-0.366,1.536253,0.46950966,0.9652903,-1.34,-0.314,0.15669689,-0.04404454,-0.006629318,0.29527694,-0.60975385,1.0716095,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3912238,-0.090446234,1.399049,-0.36042696,1.7779424,0.8606217,1.2886024,-1.0200386,-0.29599968,0.13658297,0.6964858,-0.35122308,0.6427966,-0.8114173,1.276331,-0.36349493,-0.07128029,0.9507504,1.0,-0.53450674,-0.83222425,0.116011396,-0.78178245,-1.0,0.36942327,-1.0,1.0,-0.78813994,1.0,-1.0,-0.5651071,0.1302083,0.30302075,0.4817041,1.0,0.8524618,-1.0,0.35250363,0.06782517,-0.7934493,0.49282762,-0.366,1.7362529,0.28975868,1.164273,-1.34,-0.314,0.29536074,-0.07664105,0.08186532,0.4945274,-0.4166561,0.9119435,-0.366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
