j_pos_0,j_pos_1,j_pos_2,j_pos_3,j_pos_4,j_pos_5,j_pos_6,j_pos_7,j_pos_8,j_pos_9,j_pos_10,j_pos_11,j_pos_12,j_pos_13,j_pos_14,j_pos_15,j_pos_16,j_pos_17,j_pos_18,j_pos_19,j_pos_20,j_pos_21,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,pip_1_fsr,pip_2_fsr,pip_3_fsr,thumb_pip_fsr,dip_1_fsr,dip_2_fsr,dip_3_fsr,thumb_dip_fsr,tip_1_fsr,tip_2_fsr,tip_3_fsr,thumb_tip_fsr,palm_1_fsr,palm_2_fsr,palm_3_fsr,palm_4_fsr
2.590756e-05,1.1574464,-1.520844,3.140727,2.7420137,-1.5690053,0.051836483,0.0052063544,-0.059433255,-0.10393605,1.3684881,0.04509706,0.20837823,0.08647221,-0.016546153,-0.053878862,-0.049588162,-0.13141769,-0.030929796,0.030920515,-0.054967977,-0.013700965,-0.18430765,0.7934603,0.18689573,-0.23414,-0.7204108,0.68055725,0.4838061,0.054269683,-0.77502054,-0.6319985,-0.08006015,-0.3900828,0.6568253,0.520555,-0.11107959,-0.673896,-0.44440636,-0.8,-0.18790007,0.37914845,-0.8,-0.081661455,0.0,1.1830001,-1.541,3.1416,2.742,-1.569,0.094903804,0.010645586,-0.15202866,-0.12397334,1.3657954,0.010281034,0.2547434,0.1021125,-0.021789463,-0.127392,-0.087175116,-0.15692866,-0.036858633,0.07437407,-0.15692866,-0.016018778,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7766453e-05,1.1574459,-1.5208443,3.1407263,2.7420137,-1.5690053,8.64856e-05,-0.057404872,-0.023835292,-0.27797124,1.4360346,0.09487669,0.21320839,0.026008068,0.06782245,-0.15037367,-0.014864398,-0.25107867,0.061187524,0.16416936,-0.019477757,-0.060736798,0.3945385,-0.15210003,0.6716507,0.3272394,0.23455594,0.29119194,-0.7032388,-0.36786088,0.6358105,-0.9145184,0.4200141,0.6724602,-0.27781993,-0.46910548,0.6478932,-0.26319188,0.35243124,-0.571845,0.5905123,0.6925285,0.6161293,-0.26153582,1e-05,1.183,-1.541,3.14161,2.7421,-1.569,-0.04431417,-0.062178675,-0.026159257,-0.30501768,1.4489442,0.14340585,0.19974425,0.009245165,0.10647191,-0.17949526,-0.017405413,-0.27013502,0.08004323,0.21147177,-0.03495548,-0.067794204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8469218e-05,1.1574478,-1.5208467,3.140724,2.7420137,-1.5690093,-0.13996002,-0.12754045,0.10684267,-0.35921714,1.543869,0.22774996,0.1488744,-0.12870161,0.20010445,-0.1648555,0.0019213735,-0.3497959,0.218569,0.26215428,0.08894685,-0.09740895,0.66003716,-0.12260506,0.87961113,0.3036394,0.4097117,0.26748282,-0.9406478,-0.34815586,0.90870035,-0.9759893,0.5630212,0.93449205,-0.41953987,-0.8114679,0.7039274,-0.1771491,0.15466839,-0.69244474,0.81972337,0.81422204,0.8708072,-0.16901448,1e-05,1.183,-1.541,3.14161,2.7421,-1.569,-0.22983387,-0.13084388,0.1530596,-0.366,1.5599864,0.3277115,0.117000304,-0.15079698,0.24530433,-0.21443358,0.013099134,-0.366,0.24171357,0.37205708,0.13678989,-0.10112817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8717679e-05,1.1574495,-1.5208489,3.140718,2.7420137,-1.5690074,-0.25431833,-0.110658355,0.25247157,-0.36447427,1.6684878,0.39556623,0.08899413,-0.32109025,0.32452896,-0.21775064,-0.0028743283,-0.365465,0.40027922,0.41093683,0.2763288,-0.14372429,0.59758925,-0.26928616,0.9759222,0.3741862,0.08025301,0.47645503,-0.98812956,0.11919716,0.65864885,-0.8535236,0.6672035,0.96020377,-0.24950612,-0.9622936,0.5711601,-0.52371746,-0.055936195,-0.93848896,0.90731984,0.92553383,0.9081922,-0.24010688,1e-05,1.183,-1.541,3.14161,2.7421,-1.569,-0.314,-0.1064809,0.28768235,-0.366,1.6963576,0.52396977,0.06600317,-0.34748238,0.36204505,-0.3214774,0.0016662069,-0.366,0.42716277,0.56122905,0.32241738,-0.15020417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4451674e-05,1.1574509,-1.5208509,3.140718,2.7420137,-1.5690107,-0.29761943,-0.046675153,0.32917017,-0.36590987,1.7479163,0.5406477,0.12893037,-0.51638246,0.48006064,-0.27148685,-0.017503206,-0.36581942,0.56861025,0.583616,0.42027274,-0.19314109,0.33226174,-0.26099944,0.9662933,0.44404328,-0.2711996,0.73194104,-0.9846232,0.30895773,0.272881,-0.7618807,0.8211541,0.8979991,0.45416883,-0.94188863,0.8218113,-0.5624917,-0.22804865,-0.9445765,0.79323447,0.98510677,0.46008962,-0.23780474,1e-05,1.183,-1.541,3.14161,2.742,-1.569,-0.314,-0.042774178,0.3439501,-0.366,1.8656785,0.7091361,0.15965225,-0.5416987,0.53150153,-0.43746254,-0.045357153,-0.366,0.5907268,0.7643569,0.41728732,-0.19923922,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.235052e-05,1.1574513,-1.5208497,3.1407187,2.7420137,-1.5690107,-0.30927974,-0.033258975,0.30765226,-0.36598346,1.8432999,0.7147014,0.26801065,-0.71179694,0.63405603,-0.26318225,-0.04155529,-0.36588567,0.72276396,0.7161474,0.48294213,-0.26595786,-0.17237273,-0.08626485,0.8092943,0.807569,-0.6912796,0.93111604,-0.50201684,0.038957402,-0.23683523,-0.9523761,0.94063514,0.96296704,0.85820496,-0.9504785,0.72366047,0.29520053,-0.5603826,-0.9889153,0.7349096,0.9826559,0.27783796,-0.3720237,0.0,1.183,-1.541,3.14161,2.742,-1.569,-0.314,-0.034731127,0.29505366,-0.366,2.0598798,0.90794796,0.33683515,-0.7379322,0.6809067,-0.37651616,-0.16105238,-0.366,0.7424544,0.96723366,0.47464907,-0.27604634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.382693e-05,1.1574483,-1.5208393,3.1407268,2.7420137,-1.5690107,-0.25577077,-0.037859887,0.22013205,-0.36598474,1.8125668,0.79267424,0.35951644,-0.6969537,0.72286886,-0.24487041,-0.051995266,-0.36591235,0.7946609,0.7938837,0.5755454,-0.35467556,-0.5009774,-0.37545046,0.2523932,0.9211715,-0.92756,0.96839625,0.46986288,-0.016355706,-0.4838741,-0.98763597,0.38738212,0.10838894,0.95612466,0.25979382,0.40353024,0.85904014,-0.20686883,-0.80169487,0.6732645,0.66993326,0.51996076,-0.51306236,0.0,1.183,-1.541,3.14161,2.742,-1.569,-0.21568598,-0.03815339,0.19380793,-0.366,2.094,0.9306272,0.5368945,-0.683573,0.76534134,-0.19677074,-0.20433758,-0.366,0.8833282,1.047,0.58344555,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0378716e-05,1.1574509,-1.520844,3.140726,2.7420135,-1.5690106,-0.12475806,-0.054784827,0.18661435,-0.36598527,1.7237239,0.7803489,0.42361775,-0.5348953,0.7472132,-0.11718125,-0.055373553,-0.3659426,0.8967373,0.7963179,0.67781955,-0.3631554,-0.13080095,-0.49635494,-0.44192186,0.12895814,-0.53774816,0.557328,0.8584085,-0.08870683,-0.04949161,-0.68040764,-0.72252357,-0.49417555,0.6910278,0.85195875,0.093414396,0.9718081,0.40530235,-0.066185944,0.7539098,0.12467124,0.6517121,-0.68357265,0.0,1.183,-1.54101,3.14161,2.742,-1.569,-0.040140897,-0.056293994,0.18368687,-0.366,1.9462435,0.829568,0.67821014,-0.5093469,0.78444463,0.0019646287,-0.121452995,-0.366,1.0375032,1.047,0.71672106,-0.366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.256388e-05,1.1574526,-1.5208504,3.140727,2.742103,-1.5690109,0.05115336,-0.09652732,0.22582516,-0.36598554,1.6007231,0.6614092,0.5139395,-0.33521453,0.75598,0.128128,0.025773296,-0.28572813,1.0819733,0.7819542,0.7868195,-0.36572117,-0.15309738,-0.84769064,-0.77762973,-0.5278562,-0.29391012,0.4147321,0.9716817,-0.21353008,0.28137785,-0.5189806,-0.94450474,-0.8988351,0.5361315,0.9466359,-0.021186644,0.9759498,0.75189376,0.47319332,0.94444805,-0.39990982,0.5918263,-0.75035435,0.0,1.183,-1.54101,3.1416,2.742,-1.569,0.1567632,-0.099564284,0.240706,-0.366,1.7548466,0.6474258,0.7868532,-0.31751814,0.7801513,0.19973363,0.030912705,-0.27011088,1.2288886,0.9659613,0.83665025,-0.366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.648349e-06,1.1574256,-1.5208308,3.1407218,2.7421043,-1.5690112,0.24747802,-0.19678928,0.2992061,-0.36598572,1.5376213,0.47380927,0.6545866,-0.22355145,0.6953727,0.2553848,0.17909214,-0.12409953,1.2855219,0.74906576,0.8637423,-0.36586353,0.048279066,-0.9628607,-0.5511835,-0.71611,-0.42715138,0.39205712,0.9941306,-0.59874314,0.40247464,-0.16690072,-0.20116836,-0.979767,0.89631164,0.31792337,-0.1543426,0.7661489,0.9503788,0.8456489,0.8428072,-0.8796368,0.4898016,-0.83230007,1e-05,1.183,-1.54101,3.1416,2.742,-1.569,0.36232376,-0.22336891,0.32392737,-0.366,1.7132502,0.44483525,0.9721873,-0.2517798,0.74823725,0.35815346,0.2274265,-0.095252514,1.4031594,0.7840751,0.93792856,-0.366,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
