frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
40,0.003572532735882781,0.052527120312572534,0.0029064940546741505,0.04895458757668975,0.03956078767123288,0.06380077967468746,0.10930139492945795,0.5635,0.7105,0.88445,0.0205,0.0334,0.05825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0038900928140152896,0.05162144936689636,0.0027444254491717887,0.04773135655288107,0.017391304347826087,0.04718464926077383,0.10136239782016349,nan,nan,0.3333333333333333,0.7575757575757576,0.9393939393939394,0.008928571428571428,0.024350649350649352,0.05357142857142857,0.012934666597970854,0.06174719540979652,0.003051833068861298,0.04881252881182567,0.0,0.007528703180877093,0.06145966709346991,nan,nan,0.0,0.05194805194805195,0.3116883116883117,0.0,0.004058441558441558,0.03409090909090909,2.0
60,0.006391317868299231,0.020946606702769398,0.00041313580251429245,0.014555288834470168,0.1832108835292692,0.344352806639221,0.5567173131464799,0.27525,0.5035,0.75935,0.1373,0.26165,0.43945,0.005662181379186444,0.041377681728004774,0.001830589324477043,0.03571550034881833,0.12274247118602057,0.2053103290878304,0.3034348446724088,0.32795,0.5531,0.84855,0.0755,0.12605,0.18475,0.005959856453926179,0.03576781724253852,0.0014001001191557795,0.02980796078861234,0.0875,0.2556818181818182,0.38238737081507745,nan,nan,0.19021739130434784,0.625,0.8043478260869565,0.056818181818181816,0.16071428571428573,0.2508116883116883,0.004413608562102363,0.022535028294704176,0.000686475393198793,0.018121419732601812,0.19408768634617662,0.48458337243228966,0.6299564257003875,nan,nan,0.2743362831858407,0.7359882005899705,0.9056047197640118,0.15016233766233766,0.3612012987012987,0.48295454545454547,3.0
80,0.005209750803878589,0.02674844220546077,0.0008687351960591103,0.021538691401582183,0.2342068470404376,0.4124967119684349,0.5368757511775215,0.33055,0.5974,0.836,0.18135,0.315,0.3954,0.0037141286575893802,0.02717271240479512,0.0009672109809402704,0.02345858374720574,0.2142661539869999,0.40600876620348786,0.5171961197642191,0.3998,0.8003,0.92135,0.14635,0.272,0.3595,0.004637371714866817,0.023165732628895673,0.0006847639322696042,0.018528360914028857,0.11362013231093068,0.4670924584874892,0.6115968208092485,nan,nan,0.16424418604651161,0.7340116279069767,0.9113372093023255,0.08685064935064934,0.3425324675324675,0.4602272727272727,0.004215629730083968,0.019684693244912125,0.0005373028437654824,0.015469063514828157,0.1899879025289475,0.5472823156705919,0.6900122181035018,nan,nan,0.23943661971830985,0.7699530516431925,0.92018779342723,0.15746753246753248,0.424512987012987,0.551948051948052,4.0
100,0.00498455329397106,0.020630738009635892,0.0005571478866835847,0.015646184715664833,0.31604279535624863,0.5101502585845408,0.6341556947395892,0.396,0.65565,0.82685,0.26295,0.4175,0.5143,0.003516844224853051,0.02212995038202469,0.0006942523310099059,0.018613106157171638,0.28070210649047805,0.48298268708971553,0.6240021132263106,0.43635,0.7958,0.94105,0.2069,0.3467,0.46675,0.004186485616854836,0.017045772299432833,0.00038827150904339585,0.012859286682577997,0.14100297757131197,0.6087741000165459,0.7302718625820037,nan,nan,0.16597077244258873,0.7985386221294363,0.9331941544885177,0.12256493506493507,0.49188311688311687,0.5998376623376623,0.004064149156976384,0.016750639627117172,0.00038637613737182205,0.012686490470140789,0.21523472099202837,0.6031226053135377,0.7326886776832134,nan,nan,0.2525987525987526,0.7962577962577962,0.91995841995842,0.1875,0.48538961038961037,0.6087662337662337,5.0
120,0.005182662803641864,0.0198802149076355,0.0005307225266013167,0.014697552103993637,0.3610873534564075,0.5242065349192392,0.654077777369311,0.43185,0.63305,0.81295,0.31025,0.4473,0.54715,0.00398372008577318,0.020456111026580084,0.000572747942111998,0.016472390940806905,0.29137692007492977,0.47137725460413904,0.6377304321643642,0.41655,0.6974,0.92485,0.22405,0.356,0.48665,0.004356759787123234,0.01681982189409057,0.00037987835302072127,0.012463062106967338,0.1294670706710632,0.6165213946117274,0.7459677419354839,nan,nan,0.1392857142857143,0.7633928571428571,0.925,0.12094155844155845,0.5170454545454546,0.625,0.0041240702422053405,0.01633159287638821,0.0003846665908730225,0.01220752263418287,0.20032424050186792,0.6314070456237975,0.7551166671275358,nan,nan,0.21397379912663755,0.7842794759825328,0.9266375545851528,0.18831168831168832,0.5284090909090909,0.6371753246753247,6.0
140,0.004821230792447705,0.01927831578709693,0.0005114654765629565,0.014457084994649224,0.30599556977209114,0.5303654902317957,0.6845359910241576,0.35815,0.65005,0.85555,0.2671,0.4479,0.5705,0.0035855918180605953,0.02077551198476622,0.0006056640897754441,0.017189920166705626,0.30016884661117715,0.4586577422719515,0.6256602523436949,0.4468,0.71755,0.953,0.226,0.33705,0.4657,0.004375176595463151,0.016246802251730245,0.0003737129029560934,0.011871625656267096,0.16411177388664402,0.6226924808644754,0.7683416731270702,nan,nan,0.15892997639653816,0.7254130605822188,0.932336742722266,0.16964285714285715,0.5454545454545454,0.6534090909090909,0.004441596545423655,0.015312836394621863,0.00031670293793436194,0.010871239849198208,0.1849364695653319,0.6253190079787999,0.7775980636630261,nan,nan,0.18093093093093093,0.7117117117117117,0.9301801801801802,0.1891233766233766,0.5576298701298701,0.6680194805194806,7.0
160,0.005539284199213453,0.014350906632877612,0.00023458265524328067,0.008811622433664158,0.3351748666271488,0.5563673341956202,0.7403834409393503,0.3648,0.6088,0.81935,0.31,0.51225,0.6753,0.004288160645845789,0.01346087243661166,0.00021539459860618626,0.009172711790765871,0.31949517411782874,0.5593841894801599,0.7764814842672684,0.361,0.6426,0.9278,0.28655,0.49525,0.6676,0.004722713605076346,0.012613878052009437,0.00017205850777657588,0.00789116444693309,0.14285714285714285,0.6450113226959661,0.8172944013879754,nan,nan,0.13245492371705964,0.6900138696255201,0.9147018030513177,0.15503246753246752,0.6055194805194806,0.7386363636363636,0.004628578380424163,0.01472357869804864,0.00027863164521103466,0.010095000317624479,0.18239706908583392,0.61848692444503,0.7887498443355108,nan,nan,0.17275280898876405,0.6762640449438202,0.9220505617977528,0.19318181818181818,0.5698051948051948,0.6891233766233766,8.0
180,0.005322985905900768,0.01380490047531706,0.00022679977600481425,0.008481914569416292,0.36176912894375857,0.582900973846481,0.7513011984548847,0.39605,0.64195,0.8242,0.33295,0.5338,0.69025,0.00421213965180361,0.01312100109743233,0.00020998996266926554,0.008908861445628719,0.35114060314993994,0.5612221919852521,0.780977321137702,0.38565,0.63855,0.915,0.3223,0.5006,0.6812,0.004961593381711919,0.01270544848222301,0.00016819149824218795,0.007743855100511089,0.1727795939589895,0.6161506739133467,0.81841356633539,nan,nan,0.1573538856775851,0.6351958895311497,0.9017341040462428,0.19155844155844157,0.5982142857142857,0.7491883116883117,0.005020011933014354,0.01240161052452465,0.00015158578545178313,0.007381598591510297,0.14600689262163852,0.6111852177969943,0.8315866145508609,nan,nan,0.13056930693069307,0.6256188118811881,0.9102722772277227,0.16558441558441558,0.5974025974025974,0.765422077922078,9.0
200,0.005260080986796122,0.011648897232620355,0.00016165220405838174,0.006388816245824233,0.4058745987825124,0.6279783835333386,0.7942122947209463,0.42345,0.6563,0.8133,0.3897,0.602,0.776,0.0041830373990361085,0.011221712489636885,0.00014830306924139486,0.007038675090600776,0.39417255100107373,0.5974773244425923,0.8298103451361752,0.4214,0.6378,0.9213,0.37025,0.56195,0.75485,0.005158092832472214,0.0109954889586147,0.00011087697124136834,0.005837396126142485,0.16457699777460427,0.6414397579020032,0.8562193250271193,nan,nan,0.13804527885146328,0.6134732192159028,0.8912203202650469,0.20373376623376624,0.672077922077922,0.8238636363636364,0.0051083577764769825,0.011074682980857918,0.0001110347900190066,0.005966325204380935,0.16108666590895562,0.6357366284201236,0.8572434017595308,nan,nan,0.1369179600886918,0.606430155210643,0.9002217294900222,0.1956168831168831,0.6680194805194806,0.8181818181818182,10.0
220,0.005147200811257131,0.010171187757399284,0.00011726613778087906,0.005023986946142152,0.4222347126028532,0.6541734372611951,0.8275472811310494,0.4285,0.6634,0.82605,0.41615,0.6452,0.82905,0.004096316262151342,0.009792555044309936,0.00010061735323311434,0.005696238782158592,0.3919880539989812,0.6235948578511735,0.8631334678581724,0.4081,0.65715,0.927,0.3771,0.5933,0.8075,0.004985226065928671,0.01013857611951103,9.214562279546691e-05,0.005153350053582357,0.21025007443574736,0.6533524198666723,0.878925244548501,nan,nan,0.17477284874398719,0.6178514163548904,0.900053447354356,0.2637987012987013,0.6931818181818182,0.8587662337662337,0.005021108719263911,0.010823536718251925,0.00010636436822102874,0.005802427998988013,0.18220904514948136,0.6384058888935805,0.8586937770979725,nan,nan,0.15354767184035475,0.6147450110864745,0.9024390243902439,0.22402597402597402,0.663961038961039,0.8189935064935064,11.0
