frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.004245713477358267,0.027962045227277695,0.0008671679582810291,0.023716331749919425,0.11618467892042812,0.25101012961233066,0.37329132650760005,0.36055,0.70365,0.871,0.06925,0.15275,0.23755,0.03035645103874466,0.07080477692729836,0.003145771680869284,0.0404483258885537,0.020041395348837213,0.04911194731890874,0.10106809714689931,0.0271,0.0678,0.12895,0.0159,0.0385,0.0831,0.0026549731328064513,0.03741613187501595,0.0015617382674288282,0.034761158742209496,0.007886435331230283,0.06677018633540373,0.17982456140350878,nan,nan,0.21739130434782608,1.0,1.0,0.004016064257028112,0.03453815261044177,0.09879518072289156,0.0026549731328064513,0.03741613187501595,0.0015617382674288282,0.034761158742209496,0.007886435331230283,0.06677018633540373,0.17982456140350878,nan,nan,0.21739130434782608,1.0,1.0,0.004016064257028112,0.03453815261044177,0.09879518072289156,1.0
40,0.0022685070549527554,0.03980706044524109,0.0017854838952592008,0.03753855339028834,0.07750959178948993,0.14015787476280836,0.20602429296591734,0.60655,0.8724,0.9882,0.0414,0.0762,0.115,0.028150807571545283,0.06535426731415109,0.0028772778946693015,0.03720345974260581,0.0337128532974428,0.09282376512096775,0.16292576714138893,0.04845,0.12435,0.20565,0.02585,0.07405,0.1349,0.002351957013999236,0.0420176782463562,0.00191085444762439,0.03966572123235697,0.02021772939346812,0.08608762490392007,0.150074294205052,nan,nan,0.3170731707317073,1.0,1.0,0.010441767068273093,0.04497991967871486,0.08112449799196787,0.002213990089048204,0.04831593127292768,0.0025356030706531973,0.046101941183879475,0.017260108630054314,0.059236165237724084,0.11077389984825492,nan,nan,0.37142857142857144,1.0,1.0,0.008835341365461847,0.030522088353413655,0.058634538152610445,2.0
60,0.003522275382386576,0.024203578357283716,0.0007639656611769785,0.02068130297489714,0.2380242213413154,0.45684999550682964,0.5567768174077578,0.45715,0.79175,0.92255,0.1609,0.32105,0.3987,0.005015422233388368,0.02703664502834783,0.0007618752566606408,0.02202122279495946,0.11043245382585751,0.26627852046824135,0.46705203969128994,0.2306,0.54575,0.91035,0.0726,0.1761,0.3141,0.0026618897927857253,0.023301211344033394,0.0007139793863772894,0.020639321551247668,0.10254476908576814,0.44961373711677677,0.5746994848311391,nan,nan,0.2537313432835821,0.991044776119403,1.0,0.0642570281124498,0.29076305220883536,0.40321285140562246,0.0026480980358466535,0.020270380275223723,0.0005419915140371516,0.01762228223937707,0.1352224870229506,0.486867045762253,0.617434758467518,nan,nan,0.296875,0.9817708333333334,1.0,0.08755020080321285,0.3236947791164659,0.4465863453815261,3.0
80,0.0035121554716211405,0.01809510748474372,0.00041943497733497765,0.014582952013122579,0.25548965931519785,0.4817707063775277,0.6482470661414058,0.3935,0.73445,0.9567,0.18915,0.35845,0.4902,0.0042595844703396234,0.022473210001954035,0.0005670827048224154,0.01821362553161441,0.1481690813648294,0.36403342159299684,0.546467778833365,0.2803,0.67625,0.9286,0.1007,0.24905,0.38715,0.002969241874595967,0.016794426578713124,0.00039243887325354695,0.013825184704117156,0.14669529835520903,0.5919034409805063,0.7151702786377708,nan,nan,0.23027375201288244,0.9243156199677939,1.0,0.10763052208835341,0.4353413654618474,0.5566265060240964,0.0027747914482490928,0.015416895473179362,0.0003515579235799967,0.01264210402493027,0.2201028324840472,0.6429105636800865,0.7512537612838516,nan,nan,0.3034013605442177,0.9346938775510204,1.0,0.17269076305220885,0.4899598393574297,0.6016064257028112,4.0
100,0.0032951940841930523,0.01633520556174833,0.0003647323344226596,0.013040011477555279,0.29553618640776697,0.5437434788098144,0.7125973109353126,0.41395,0.76685,0.97405,0.2298,0.4212,0.5618,0.003416606712141089,0.02237998558141817,0.0006354592378466833,0.01896337886927708,0.21103555143651528,0.4075611428571429,0.5895286956521738,0.3956,0.74295,0.9747,0.1439,0.2808,0.42255,0.002945085925210766,0.015919133412261102,0.0003691182982445283,0.012974047487050337,0.152760734122356,0.6345560955217641,0.7562437562437562,nan,nan,0.227994227994228,0.9408369408369408,1.0,0.11485943775100402,0.478714859437751,0.6080321285140562,0.00280153709319075,0.015015500734753329,0.00032679209530070235,0.012213963641562579,0.19337458570752178,0.6315804675164631,0.7618100447538538,nan,nan,0.26628895184135976,0.943342776203966,1.0,0.15180722891566265,0.4746987951807229,0.6152610441767068,5.0
120,0.003639908592238194,0.015535610844454133,0.00032279768600710073,0.011895702252215938,0.2910895751953125,0.5708457116750425,0.7326145904934829,0.37755,0.7387,0.9432,0.23685,0.46515,0.5989,0.0032605746986491078,0.019152576665294095,0.0004777518735835077,0.015892001966644986,0.23802619955654103,0.4784944608802512,0.649107494755363,0.39305,0.74645,0.99635,0.1707,0.3521,0.48135,0.0029816826712505545,0.013485926552838264,0.00025947996205483604,0.010504243881587709,0.17405908848003665,0.693118559753642,0.7998394719225734,nan,nan,0.2186421173762946,0.9182968929804373,0.997698504027618,0.14457831325301204,0.5566265060240964,0.6674698795180722,0.0030180113254640742,0.012985396685512955,0.0002389412716272534,0.00996738536004888,0.1704897275345311,0.7139056962767252,0.8159771754636234,nan,nan,0.20608108108108109,0.9222972972972973,1.0,0.14538152610441768,0.5823293172690763,0.689156626506024,6.0
140,0.003937182865945826,0.011241596274263512,0.00014690556094998505,0.007304413408317686,0.33442849157902477,0.6452745856353592,0.8178109762740587,0.38315,0.7158,0.90885,0.2967,0.5874,0.74335,0.0031200268540726305,0.010809372311702469,0.00014281071331901448,0.007689345457629838,0.3352622068767083,0.6542531358171735,0.8303291160058737,0.4129,0.77985,0.9847,0.2822,0.5635,0.7178,0.0033939158146340585,0.010678570065135229,0.0001276973274492754,0.007284654250501171,0.181359302813518,0.7282275484987608,0.8609516826376072,nan,nan,0.19503219871205152,0.8500459981600736,0.9944802207911684,0.16947791164658635,0.6369477911646586,0.7590361445783133,0.0033946165792750273,0.010745854024170118,0.0001293905950936264,0.007351237444895091,0.16258451260110052,0.7265931771239209,0.8522746319974214,nan,nan,0.173953488372093,0.8427906976744186,0.9906976744186047,0.15261044176706828,0.6385542168674698,0.7477911646586345,7.0
160,0.004228465003246666,0.009831419966974779,0.00010444569442112961,0.005602954963728112,0.3669239754236716,0.6753910730121194,0.8442673608851284,0.4055,0.7052,0.8712,0.33505,0.648,0.81895,0.0035124477993011467,0.009570092028086561,0.00010144982337318173,0.006057644228785415,0.35377331651601146,0.6941287645754346,0.8611476071397776,0.3895,0.757,0.9564,0.32405,0.6409,0.78315,0.0036889277146324863,0.009315215448001778,8.5700765459792e-05,0.005626287733369292,0.22806440552247262,0.7430885592861705,0.8858369283247101,nan,nan,0.2313195548489666,0.7996820349761526,0.958664546899841,0.2248995983935743,0.6939759036144578,0.8232931726907631,0.0038391991630026615,0.009451744455235521,8.446598607414788e-05,0.0056125452922328595,0.17049150374566052,0.7449050632515851,0.892881723620498,nan,nan,0.16834755624515127,0.7944142746314973,0.9557796741660202,0.17269076305220885,0.7012048192771084,0.8377510040160643,8.0
180,0.0038357305588702147,0.008085157300678273,7.372758997512766e-05,0.004249426741808057,0.4058450693847476,0.7608625082096413,0.8967474909395039,0.4302,0.77955,0.89525,0.3841,0.74305,0.89825,0.003486316364656627,0.008138296358503768,7.270254600359402e-05,0.004651979993847141,0.36793128052088986,0.7604664300502809,0.902052532293309,0.3843,0.77475,0.94385,0.3529,0.7467,0.8638,0.0036612063528280387,0.00805531191400806,5.923989873854015e-05,0.004394105561180021,0.215591858655788,0.8026357488384888,0.9281538952982272,nan,nan,0.19721115537848605,0.8127490039840638,0.9594953519256308,0.23775100401606425,0.7927710843373494,0.8987951807228916,0.0038455693687045257,0.00871872755041359,6.973927000535541e-05,0.004873158181709064,0.18005704286481944,0.7761344697395611,0.9184231207033708,nan,nan,0.16770186335403728,0.7922705314009661,0.9599723947550034,0.19437751004016066,0.7606425702811245,0.8803212851405623,9.0
200,0.003821233693468936,0.007866944186565843,7.191656922716044e-05,0.004045710493096908,0.42297096090438063,0.7825719349790822,0.8943221523410203,0.4509,0.7969,0.8875,0.3983,0.76875,0.90125,0.0033646631869371744,0.008030521191283429,7.143183962353056e-05,0.0046658580043462535,0.3953504609749937,0.745653576696165,0.9117518414217362,0.41065,0.75625,0.96335,0.38115,0.73535,0.8654,0.0038832403152961902,0.008474466384168355,6.5484535159903e-05,0.004591226068872165,0.1835942997188095,0.7860307849125783,0.9259509925906659,nan,nan,0.1600496277915633,0.7841191066997518,0.9621588089330024,0.21526104417670683,0.7879518072289157,0.8923694779116466,0.003860482048006621,0.008426419277022167,6.546451755669186e-05,0.004565937229015545,0.21477967456867914,0.7832395696178962,0.9215012443745244,nan,nan,0.19024088943792464,0.7739345274861026,0.964793082149475,0.2465863453815261,0.7927710843373494,0.8819277108433735,10.0
