frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.003959803573883,0.0456261366101496,0.0021201050820203,0.0416663330362665,0.0076865784499054,0.0772209019236833,0.1452286005749791,0.0753,0.75205,1.0,0.00405,0.0407,0.0783,0.0120571729856077,0.0453747459012432,0.001465009250853,0.0333175729156355,0.0,0.0115138655462184,0.1009234367366878,0.0,0.0409,0.35045,0.0,0.0067,0.05895,0.0047752838077246,0.0488505685546027,0.0023157466083234,0.0440752847468781,0.0,0.0355200543847722,0.1054287962234461,,,0.0,0.6333333333333333,1.0,0.0,0.0182724252491694,0.0556478405315614,0.002834792233992,0.0485328304819721,0.0026150574962186,0.04569803824798,0.0272080192056606,0.0747653640171801,0.1419753086419753,,,0.3725490196078431,0.8823529411764706,1.0,0.0141196013289036,0.0390365448504983,0.0764119601328903,1.0
40,0.0053057127236135,0.0149438426377003,0.0002571229602148,0.0096381299140867,0.3282087169159954,0.5446835437391266,0.7158828013634955,0.4297,0.65435,0.8121,0.2655,0.4665,0.64005,0.0057911912780876,0.0204192835168044,0.0004591196987419,0.0146280922387168,0.2230110706553828,0.4617408867991304,0.6241858131224816,0.34285,0.6217,0.806,0.16525,0.36725,0.5093,0.0031627360609441,0.0194461253138859,0.0005092043187901,0.0162833892529418,0.1252049985591155,0.5005377221041106,0.658058998036841,,,0.2334004024144869,0.8551307847082495,0.9979879275653925,0.085548172757475,0.3538205980066445,0.4908637873754153,0.0030337580401119,0.0172902748762556,0.0004067973700651,0.0142565168361436,0.1874578913299074,0.5553816781947356,0.6982370711706429,,,0.296551724137931,0.8741379310344828,0.996551724137931,0.1370431893687707,0.4069767441860465,0.5373754152823921,2.0
60,0.0050860014930222,0.0154560321734648,0.0002896127338377,0.0103700306804426,0.3645963167109785,0.566607760276604,0.6998388474600006,0.47535,0.69135,0.8149,0.2957,0.48,0.61325,0.0042708948221142,0.0196216425401286,0.0004778576518334,0.0153507477180144,0.26222588014662,0.4703549911747401,0.6429371818835371,0.3887,0.6519,0.8867,0.19785,0.3679,0.5043,0.0029767870580238,0.0132793422053394,0.0002282140493183,0.0103025551473155,0.1921137398644896,0.6461730032839453,0.7869017632241814,,,0.2585969738651995,0.8995873452544704,1.0,0.1528239202657807,0.5041528239202658,0.6486710963455149,0.0030031403337868,0.0123637682163749,0.0002030005129427,0.0093606278825881,0.1818993558262644,0.6942837268300668,0.8149606299212598,,,0.2246376811594203,0.9094202898550724,1.0,0.1528239202657807,0.5614617940199336,0.6877076411960132,3.0
80,0.0048114604048248,0.0177946210316992,0.0003973357207719,0.0129831606268744,0.3421290523606313,0.5393974759775052,0.6528811019851939,0.4688,0.6838,0.81135,0.26935,0.44535,0.5462,0.0035387606205917,0.023885052070937,0.0006753911139688,0.0203462914503453,0.1543731783101132,0.3183259401095686,0.4929843119017168,0.4034,0.73705,0.9583,0.09545,0.203,0.33185,0.0029606241697463,0.0146954017537414,0.0002924520185566,0.011734777583995,0.2194955166668271,0.6277101392811921,0.7477028332783946,,,0.2913279132791327,0.9065040650406504,0.9905149051490516,0.1760797342192691,0.4800664451827242,0.6004983388704319,0.0030530857559134,0.0124244384155402,0.0002018101143171,0.0093713526596268,0.1990738994303821,0.6826422308655811,0.8087163534200595,,,0.2447306791569086,0.8934426229508197,0.9988290398126464,0.1677740863787375,0.5523255813953488,0.6794019933554817,4.0
100,0.004781970161694,0.0132379152337801,0.0002379239372284,0.0084559450720861,0.4320730614784231,0.6390776774643522,0.7601072431585134,0.50835,0.70805,0.8301,0.3757,0.58235,0.701,0.0035098988788304,0.0129667560084909,0.0002377399669368,0.0094568571296604,0.3623773258182806,0.6258745565388397,0.8018472749208264,0.41425,0.71435,0.97855,0.32205,0.5569,0.6792,0.0031254536004388,0.0112139892245317,0.0001655207569085,0.0080885356240929,0.2414888788016341,0.7266865486313595,0.8393053675920523,,,0.2662662662662662,0.8818818818818819,0.986986986986987,0.2209302325581395,0.6179401993355482,0.7300664451827242,0.0032510029876207,0.0115855014676706,0.000174034891933,0.0083344984800498,0.1823779124404549,0.7279751150737329,0.8398579836996662,,,0.200956937799043,0.8822966507177034,0.9885167464114832,0.1669435215946844,0.6196013289036545,0.7300664451827242,5.0
120,0.0047034864969987,0.0137078631963889,0.000257329706414,0.0090043766993901,0.4415637689936137,0.6336775003894688,0.7389129535765834,0.52955,0.71455,0.81085,0.37865,0.56925,0.6787,0.0030696185838187,0.0128130323498983,0.0002505788729348,0.0097434137660796,0.4130895398481973,0.6434640908230842,0.7973425814234018,0.4815,0.7671,0.991,0.3617,0.55415,0.667,0.0031366352096295,0.0114344508004362,0.000176201936943,0.0082978155908066,0.2877036824348575,0.7251002314648987,0.8299807925320741,,,0.2968888888888888,0.8755555555555555,0.992,0.2790697674418604,0.6187707641196013,0.7134551495016611,0.0031447834804018,0.0109564836815157,0.0001663078770189,0.0078117002011138,0.3306463606888961,0.72943706016645,0.8457391675060165,,,0.3358714043993231,0.856175972927242,0.988155668358714,0.3255813953488372,0.6353820598006644,0.739202657807309,6.0
140,0.0045551197478211,0.0131698729513067,0.000240923519699,0.0086147532034855,0.4454716332378223,0.6452519193857965,0.7619177122011596,0.5148,0.71375,0.8333,0.3926,0.58875,0.7018,0.0029727874804672,0.0117746693938493,0.0002202022185913,0.008801881913382,0.4311147021691725,0.6802908989169675,0.826220529100529,0.4801,0.78445,0.9942,0.3912,0.60055,0.7068,0.0033976167915085,0.0111568604940998,0.0001575505112735,0.0077592437025912,0.1855576107859422,0.737163045056381,0.8518807448360073,,,0.1826697892271662,0.849336455893833,0.994535519125683,0.1885382059800664,0.6511627906976745,0.7450166112956811,0.0033959293972535,0.0112383397050794,0.0001646126887116,0.0078424103078258,0.2186756215388241,0.731107379149846,0.8507527982945848,,,0.2148952676493405,0.8417377812257564,0.991466252909232,0.2225913621262458,0.6461794019933554,0.7450166112956811,7.0
160,0.0025999021882177,0.005700636988857,4.104561144533655e-05,0.0031007348006393,0.5844913746172167,0.839317853103982,0.9353768842206542,0.6319,0.86485,0.94005,0.5437,0.81525,0.93075,0.0037986946785989,0.0074218367365488,6.531139693850261e-05,0.0036231420579499,0.5015947339632024,0.7676079581967478,0.8954935678391961,0.47865,0.72495,0.8979,0.52685,0.8156,0.8931,0.0035312132536885,0.0070229149132316,3.630084881451388e-05,0.003491701659543,0.1780452618305042,0.8585834841682142,0.9687291712952676,,,0.1487268518518518,0.8454861111111112,0.9907407407407408,0.2217607973421927,0.872093023255814,0.9476744186046512,0.0033971804204689,0.0067349759282597,3.775130187725271e-05,0.0033377955077908,0.2833173144261931,0.852468713893723,0.9628849538513896,,,0.2389078498293515,0.8321956769055745,0.9857792946530148,0.3480066445182724,0.8737541528239202,0.941029900332226,8.0
180,0.002092487777013,0.0045684783063149,2.3031226006066167e-05,0.0024759905293018,0.6045382585751978,0.9073537433891584,0.9696537073321646,0.64,0.92255,0.9764,0.5728,0.89265,0.963,0.0038987734928034,0.0065870516615302,5.724214214643336e-05,0.0026882781687267,0.5554836477705579,0.8165161216660578,0.9067308401695754,0.52135,0.75975,0.87225,0.5944,0.88245,0.94405,0.0035081519032779,0.0064343939851036,2.880003663056596e-05,0.0029262420818256,0.2242270068972752,0.8744683259748032,0.9840481204524534,,,0.1824973319103522,0.8303094983991463,0.991462113127001,0.2906976744186046,0.9235880398671096,0.9767441860465116,0.0036029226217565,0.0066673726400635,3.070363529807491e-05,0.0030644500183069,0.1965697519222714,0.8718846755394138,0.9812756359643796,,,0.1602598808879263,0.8256632376827288,0.9875473741201948,0.2541528239202658,0.9235880398671096,0.9750830564784052,9.0
200,0.0015906418926898,0.0034747882728417,1.025272816712373e-05,0.0018841463801519,0.6489413426068243,0.9732914098613252,0.9974937343358397,0.68345,0.98775,1.0,0.61775,0.95925,0.995,0.0032029646795632,0.005146219522056,3.7294162621626376e-05,0.0019432548424927,0.5879418886198546,0.8978980664669329,0.9509515523712044,0.57,0.84665,0.91325,0.60705,0.95575,0.9919,0.0036267852128978,0.0063182531777186,2.5513158872171703e-05,0.0026914679648207,0.1990178305690089,0.8881146578086417,0.9907593232501564,,,0.1565,0.8195,0.989,0.2732558139534883,0.9692691029900332,0.9925249169435216,0.003679304177831,0.0064985773392982,2.7558750157923087e-05,0.0028192731614672,0.1883677531724309,0.875039609668195,0.9874448437235286,,,0.1487854251012145,0.8097165991902834,0.987348178137652,0.2566445182724252,0.9518272425249168,0.9875415282392026,10.0
