frame_id,time_s,pcd_pcd_accuracy_mean,pcd_pcd_completeness_mean,pcd_pcd_chamfer_l1,pcd_pcd_chamfer_l2,pcd_pcd_normal_mean_abs_cos,pcd_pcd_normal_mean_angle_deg,pcd_pcd_fscore@0.002000,pcd_pcd_precision@0.002000,pcd_pcd_recall@0.002000,pcd_pcd_fscore@0.005000,pcd_pcd_precision@0.005000,pcd_pcd_recall@0.005000,pcd_pcd_fscore@0.010000,pcd_pcd_precision@0.010000,pcd_pcd_recall@0.010000,mesh_mesh_accuracy_mean,mesh_mesh_completeness_mean,mesh_mesh_chamfer_l1,mesh_mesh_chamfer_l2,mesh_mesh_fscore@0.002000,mesh_mesh_precision@0.002000,mesh_mesh_recall@0.002000,mesh_mesh_fscore@0.005000,mesh_mesh_precision@0.005000,mesh_mesh_recall@0.005000,mesh_mesh_fscore@0.010000,mesh_mesh_precision@0.010000,mesh_mesh_recall@0.010000
10,2.5,0.002056893838963365,0.026471943038228345,0.02852883687719171,0.0011069543461413023,0.943743365384964,14.87374292723063,0.07228070175438596,0.5,0.03895612708018154,0.2567990769737926,1.0,0.14731467473524962,0.4403480312638254,1.0,0.2823373676248109,0.002016547764076641,0.02302423988677852,0.025040787650855163,0.0009869701909199777,0.29466870913506443,0.60855,0.1944,0.4820330590993998,0.9331,0.32495,0.5672607030015797,0.99605,0.39655
13,3.25,0.002195726250151049,0.02239406489579234,0.02458979114594339,0.0008597417983401409,0.9225212414505302,17.610807696640435,0.07995828263514689,0.4946236559139785,0.043494704992435705,0.3491224674441949,0.992831541218638,0.2118003025718608,0.5394282557657782,1.0,0.3693267776096823,0.002494134136419106,0.019659595437896506,0.022153729574315613,0.000778578100675258,0.2966220479000347,0.51135,0.2089,0.5309603434693555,0.8913,0.3781,0.6251455114387039,0.9789,0.4592
16,4.0,0.0030757168673077686,0.04589397379720317,0.048969690664510936,0.002532147542819251,0.9624956920753109,12.668507265834704,0.004108139510757931,0.16363636363636364,0.00208018154311649,0.0483043389026295,0.9636363636363636,0.02477307110438729,0.10125673249551166,1.0,0.053328290468986385,0.002610254040318236,0.043221772142750706,0.04583202618306894,0.0023339106972979284,0.02219511616075971,0.2833,0.01155,0.09383231501972483,0.99005,0.04925,0.15387455577606496,1.0,0.08335
19,4.75,0.002657238755073585,0.03889940993044908,0.04155664868552267,0.0019715533744967617,0.8878768882608753,20.376851250843412,0.0278776761362265,0.32608695652173914,0.014561270801815431,0.1616972386820589,0.9565217391304348,0.08831316187594554,0.23909423909423907,1.0,0.13577912254160363,0.0023024548430905767,0.03560002713998285,0.03790248198307343,0.0017520543693042802,0.09255773248149275,0.44135,0.0517,0.22375455011894213,0.94505,0.1269,0.2933521815532316,0.99455,0.17205
22,5.5,0.002561823753197694,0.029353023185598712,0.031914846938796405,0.0013432862936541316,0.9040037607400141,19.00076231549,0.0991715966177461,0.3847695390781563,0.056921331316187596,0.34818915964312164,0.969939879759519,0.212178517397882,0.44562022339800117,1.0,0.2866868381240545,0.002641690276803349,0.026239904113080626,0.028881594389883976,0.0011932818742419402,0.20503831759044736,0.4261,0.135,0.44032490932588486,0.9088,0.29055,0.5197632052821128,0.979,0.3538
26,6.5,0.002544705722962755,0.026540847917859437,0.029085553640822194,0.0011423681049301004,0.9092348423825604,18.76769812506818,0.11195085969797641,0.3940972222222222,0.06524205748865355,0.38020036910097554,0.9583333333333334,0.2371406959152799,0.4848137535816619,1.0,0.3199697428139183,0.0026885349749553324,0.02449014031592986,0.02717867529088519,0.0010693961753188933,0.20761605150993018,0.41265,0.1387,0.4629000986355417,0.9057,0.3109,0.5420423167848699,0.9788,0.3748
29,7.25,0.0025335741368791853,0.02361477836055377,0.026148352497432956,0.0009686273646115864,0.9046000925266348,19.176803442384244,0.14513273517071243,0.4030075187969925,0.08850226928895613,0.44049546728898914,0.9503759398496241,0.2866868381240545,0.5450543403494291,1.0,0.3746217851739788,0.0027755563122078457,0.023660697970111066,0.02643625428231891,0.0010170174330830456,0.24204870124648167,0.45715,0.1646,0.4634460564093903,0.8681,0.3161,0.5514193548387096,0.97125,0.385
32,8.0,0.002589637738055344,0.022283302128244403,0.024872939866299747,0.0008764735590413926,0.9139251798319739,18.56383893349137,0.14793619991485402,0.3924050632911392,0.09114977307110439,0.46020060184408723,0.9367088607594937,0.3050302571860817,0.5717758271438218,1.0,0.4003403933434191,0.0026202790396234036,0.02158726686744138,0.024207545907064785,0.0008720435973583319,0.2553731792990399,0.46445,0.1761,0.50278050205496,0.89065,0.35025,0.5879930245036666,0.97725,0.4205
35,8.75,0.0026754126444535255,0.021073780396073785,0.023749193040527312,0.0008016908873622369,0.923013226784269,17.77112582677528,0.15105414212036855,0.3753351206434316,0.094553706505295,0.47542769861991496,0.9262734584450402,0.31978063540090773,0.5967891734111715,1.0,0.42530257186081694,0.0027351969238440786,0.019795764215754394,0.022530961139598474,0.0007590121126138398,0.2579535393258427,0.44065,0.18235,0.532123694589052,0.8879,0.3799,0.6187042320461297,0.97835,0.4524
38,9.5,0.0027670166112825608,0.01600761552032673,0.01877463213160929,0.0005555292931415444,0.8037167848837754,30.489531450325984,0.20331258005898298,0.38860103626943004,0.13767019667170954,0.5800193637552875,0.8972366148531952,0.428517397881997,0.7161932507890265,1.0,0.5578668683812406,0.004500148014252056,0.006942987529819155,0.011443135544071212,0.00013937168458522169,0.31424664366373906,0.3569,0.2807,0.6300914010116457,0.70665,0.5685,0.7959342089663993,0.86705,0.7356
