frame_id,mesh_mesh_accuracy_mean,mesh_mesh_chamfer_l1,mesh_mesh_chamfer_l2,mesh_mesh_completeness_mean,mesh_mesh_fscore@0.002000,mesh_mesh_fscore@0.005000,mesh_mesh_fscore@0.010000,mesh_mesh_precision@0.002000,mesh_mesh_precision@0.005000,mesh_mesh_precision@0.010000,mesh_mesh_recall@0.002000,mesh_mesh_recall@0.005000,mesh_mesh_recall@0.010000,pcd_pcd_accuracy_mean,pcd_pcd_chamfer_l1,pcd_pcd_chamfer_l2,pcd_pcd_completeness_mean,pcd_pcd_fscore@0.002000,pcd_pcd_fscore@0.005000,pcd_pcd_fscore@0.010000,pcd_pcd_normal_mean_abs_cos,pcd_pcd_normal_mean_angle_deg,pcd_pcd_precision@0.002000,pcd_pcd_precision@0.005000,pcd_pcd_precision@0.010000,pcd_pcd_recall@0.002000,pcd_pcd_recall@0.005000,pcd_pcd_recall@0.010000,time_s
5,0.0026602626496336637,0.03148359113070835,0.001191897594965655,0.028823328481074686,0.0909279536231884,0.24547019455616875,0.3726606997558991,0.3796,0.92765,1.0,0.05165,0.14145,0.229,0.0034439762317444557,0.03414876959084775,0.0012334182169400402,0.03070479335910329,0.004720692368214005,0.061906436862469216,0.22142857142857142,0.91847630209234,20.841623402689358,0.11538461538461539,0.8461538461538461,1.0,0.0024096385542168677,0.0321285140562249,0.12449799196787148,1.0
10,0.0029100934084248953,0.038092865652135106,0.001627069987622941,0.03518277224371021,0.09569098607605243,0.17084519590855737,0.25223485079101515,0.56175,0.7989,0.93835,0.0523,0.09565,0.1457,0.0024001469943341174,0.041752499799197346,0.001902128751742752,0.039352352804863225,0.026252692323322634,0.10933940774487472,0.17849305047549377,0.8344587890327244,28.526635232387033,0.3392857142857143,1.0,1.0,0.013654618473895583,0.05783132530120482,0.09799196787148594,2.0
15,0.0033797521833902463,0.022032972441157674,0.0006887656951334884,0.018653220257767427,0.28551592131437414,0.5011988621180121,0.6137578125,0.47445,0.79385,0.93525,0.2042,0.3662,0.45675,0.0030206230509977833,0.022059681622031195,0.0006508031717426745,0.019039058571033413,0.10539367637941724,0.4464269391784428,0.5995500562429696,0.8504490616386942,26.919802502013404,0.23097826086956522,0.8967391304347826,1.0,0.06827309236947791,0.2971887550200803,0.42811244979919677,3.0
20,0.0033460071358106637,0.020152467932869098,0.0005996002931139448,0.016806460797058435,0.3165485531441291,0.53771407574429,0.6533813814440157,0.4835,0.78985,0.9367,0.2353,0.4076,0.50165,0.0029521747997062328,0.019739043496395364,0.0005671124476472768,0.01678686869668913,0.17331956462391243,0.5440570018948961,0.678343949044586,0.8395398515814647,27.786412965347782,0.3141025641025641,0.8931623931623932,1.0,0.11967871485943775,0.39116465863453814,0.5132530120481927,4.0
25,0.0034522264120945977,0.019477098735824084,0.0005550415813745335,0.016024872323729487,0.322179141188595,0.5358130484354545,0.6535775430989264,0.48705,0.77445,0.92435,0.2407,0.4096,0.5055,0.0028279258072077267,0.018612191327540176,0.0005050815037793644,0.01578426552033245,0.19029160426394148,0.5454168017812053,0.6839323467230444,0.8470405411919365,26.813270324077255,0.35398230088495575,0.922566371681416,1.0,0.13012048192771083,0.38714859437751004,0.5196787148594377,5.0
30,0.0034627156409292328,0.019487587826160474,0.0005554667750291771,0.016024872185231243,0.3223321435925595,0.5365768624973679,0.6529766016322813,0.48775,0.77765,0.92195,0.2407,0.4096,0.5055,0.0028279258072077267,0.018612191327540176,0.0005050815037793644,0.01578426552033245,0.19029160426394148,0.5454168017812053,0.6839323467230444,0.8470405411919365,26.813270324077255,0.35398230088495575,0.922566371681416,1.0,0.13012048192771083,0.38714859437751004,0.5196787148594377,6.0
35,0.0034872219867419715,0.01951209381777869,0.0005558265040479995,0.016024871831036718,0.3220258441647755,0.5366482590206728,0.6520209672321147,0.48635,0.77795,0.91815,0.2407,0.4096,0.5055,0.0028279258072077267,0.018612191327540176,0.0005050815037793644,0.01578426552033245,0.19029160426394148,0.5454168017812053,0.6839323467230444,0.8470405411919365,26.813270324077255,0.35398230088495575,0.922566371681416,1.0,0.13012048192771083,0.38714859437751004,0.5196787148594377,7.0
40,0.0036884142432003857,0.017152213435951195,0.0004183682206086165,0.01346379919275081,0.33409660046646406,0.5778743173819829,0.7072961155311893,0.43705,0.77555,0.922,0.2704,0.4605,0.5737,0.0031623260190030526,0.01761721354580072,0.0004471498786946619,0.014454887526797668,0.164014554934014,0.5707475203748275,0.7262892759339519,0.6566133862003072,44.23151698384546,0.2568027210884354,0.8758503401360545,0.9948979591836735,0.12048192771084337,0.42329317269076305,0.5718875502008032,8.0
45,0.0036331013155424985,0.011938623005947432,0.00018416261493908677,0.008305521690404934,0.35698552422968227,0.6919413007147175,0.8000969024786299,0.4081,0.79155,0.9298,0.31725,0.6146,0.70215,0.003378507618537079,0.014311070612559198,0.0002678408511123973,0.01093256299402212,0.14231592818316585,0.646306528748307,0.7982625482625483,0.6984625288219669,40.18624921607617,0.18493150684931506,0.8589041095890411,1.0,0.11566265060240964,0.5180722891566265,0.6642570281124498,9.0
50,0.003441586521890747,0.009593130576928606,0.00010373130552278703,0.006151544055037859,0.3693414944143421,0.7263461106191677,0.8346597597864769,0.4142,0.80925,0.92685,0.33325,0.65885,0.75915,0.0034008770747111024,0.011646235325007193,0.00014884680865837627,0.00824535825029609,0.13339872486512996,0.6891614821495256,0.8420406072448802,0.7048881962637998,39.89753004705842,0.1712846347607053,0.8614609571788413,0.9974811083123426,0.10923694779116466,0.5742971887550201,0.7285140562248996,10.0
55,0.0034449813251625017,0.009459261198542762,9.944117585835723e-05,0.0060142798733802605,0.3678921360397903,0.7260887477870079,0.8421507252346347,0.4108,0.81195,0.92995,0.3331,0.65665,0.7695,0.003394267915505047,0.011420470397422784,0.00014365159052830606,0.008026202481917736,0.14111108873809478,0.6999634781082884,0.8511113874838365,0.7087606630466864,39.68811254189685,0.17712177121771217,0.8646986469864698,0.997539975399754,0.11726907630522089,0.5879518072289157,0.7421686746987952,11.0
60,0.0033976826527443707,0.008975050957790737,8.617246264960763e-05,0.005577368305046367,0.3706722952343024,0.727660485545984,0.8628856748042376,0.4241,0.80365,0.9376,0.3292,0.6648,0.7992,0.003392012776599468,0.011085842319729254,0.00013727364835458273,0.007693829543129786,0.13383672197014307,0.7222938742393509,0.8631557639386594,0.7022360462628894,40.310791773903155,0.16526946107784432,0.858682634730539,0.9976047904191617,0.11244979919678715,0.623293172690763,0.7606425702811245,12.0
65,0.0033695702078454003,0.008748100681682015,7.725326558359169e-05,0.005378530473836615,0.3608696026807085,0.7125950990940959,0.873614165813133,0.40705,0.79465,0.94555,0.3241,0.6459,0.81185,0.003305667014866328,0.010841816822397451,0.0001311363902040219,0.007536149807531123,0.17560885070728766,0.7097078084675806,0.8619744058500914,0.7210489581375188,38.87121271083104,0.2146282973621103,0.842925659472422,1.0,0.14859437751004015,0.61285140562249,0.757429718875502,13.0
