time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Corner_picked_frame,Corner_unc_q95,Corner_unc_q99,Corner_unc_max,Corner_unc_top,Corner_score_q95,Corner_score_q99,Corner_score_max,Corner_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,Cylinder_picked_frame,Cylinder_unc_q95,Cylinder_unc_q99,Cylinder_unc_max,Cylinder_unc_top,Cylinder_score_q95,Cylinder_score_q99,Cylinder_score_max,Cylinder_score_top,L-Shaped_picked_frame,L-Shaped_unc_q95,L-Shaped_unc_q99,L-Shaped_unc_max,L-Shaped_unc_top,L-Shaped_score_q95,L-Shaped_score_q99,L-Shaped_score_max,L-Shaped_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,0.00017620331428479404,0.00018491115241777152,0.00018491115241777152,0.00018491115241777152,0.00011154225974114526,0.00012468703756785544,0.00012751878351882623,0.00012621099271091225,60,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,60,0.0001063609539414756,0.00010641541302902624,0.00010641541302902624,0.00010641541302902624,3.0129321885397077e-06,3.0144749416649574e-06,3.0144749416649574e-06,3.0144749416649574e-06,60,0.00015913340030238032,0.00018235360039398074,0.00018235360039398074,0.00018235360039398074,6.581272100447677e-05,0.00010392642026999965,0.00011319611803628504,0.00010855729196919128,60,0.00024850963382050395,0.00026854610769078135,0.00026854610769078135,0.00026854610769078135,0.0002284735528519377,0.0002560619072755799,0.0002609509392641485,0.0002590508112916723,60,0.00011701258335961029,0.00011724064097506925,0.00011724064097506925,0.00011724064097506925,1.0412092660772031e-05,1.0432385352032725e-05,1.0432385352032725e-05,1.0432385352032725e-05
4.0,0.00017665650171693414,0.00019004604255314916,0.00019004604255314916,0.00019004604255314916,0.00012445590327843088,0.0001425470158646931,0.00014473147402895847,0.000143760217797535,80,0.00011489673488540575,0.00011504318536026403,0.00011504318536026403,0.00011504318536026403,8.797461850917898e-06,8.808675374893937e-06,8.808675374893937e-06,8.808675374893937e-06,80,0.00023039513034746044,0.00025420839665457606,0.00025420839665457606,0.00025420839665457606,0.00021440744530991645,0.00024330651547643356,0.0002471675688866526,0.0002451934182317927,80,0.00024086347548291087,0.00026975589571520686,0.00026975589571520686,0.00026975589571520686,0.00022709649419994088,0.0002678307803580537,0.0002691926492843777,0.00026854969037231057,80,0.00018976273713633418,0.00020379963098093867,0.00020379963098093867,0.00020379963098093867,0.00016317269837600175,0.00018397888023173438,0.00018967824871651828,0.0001874390771263279,80,0.00010736443073255941,0.00010742310405476019,0.00010742310405476019,0.00010742310405476019,8.805416655377485e-06,8.810227882349864e-06,8.810227882349864e-06,8.810227882349864e-06
5.0,0.00023796029476216065,0.00026053831534227355,0.00026053831534227355,0.00026053831534227355,0.00020189238759485303,0.00023260404114989797,0.0002365341710174107,0.00023477802798879568,100,0.0003994341823272407,0.0004224965232424438,0.0004224965232424438,0.0004224965232424438,0.00038020180945750324,0.000409810013952665,0.0004195556975901127,0.0004149625106947497,100,0.0001789994421415031,0.0001983625697903335,0.0001983625697903335,0.0001983625697903335,0.00014205260813469068,0.0001799404360644985,0.0001860861957538873,0.00018313673863303847,100,0.00031705963192507625,0.0003686157870106399,0.0003686157870106399,0.0003686157870106399,0.0003106935444520786,0.00036791746446397156,0.00036845519207417965,0.00036825366405537354,100,0.00018193585565313695,0.0002007141592912376,0.0002007141592912376,0.0002007141592912376,0.0001645188116526697,0.00019334323136718012,0.00019656470976769924,0.00019552816665964202,100,0.00011237236176384613,0.00011250253737671301,0.00011250253737671301,0.00011250253737671301,1.1995164277323056e-05,1.2009059901174624e-05,1.2009059901174624e-05,1.2009059901174624e-05
6.0,0.00022611999040236694,0.00024814250500639903,0.00024814250500639903,0.00024814250500639903,0.0001920488036194001,0.000221452927304199,0.00022439893582486546,0.00022323768251226284,120,0.0003482738393358886,0.0003662316012196243,0.0003662316012196243,0.0003662316012196243,0.00033068295306293294,0.0003589290898526087,0.0003629827406257391,0.0003615720153902657,120,0.00017367972759529948,0.0001970978337340057,0.0001970978337340057,0.0001970978337340057,0.00013937250041635705,0.0001766923967807088,0.0001837620511651039,0.00018090557205141522,120,0.00031705963192507625,0.0003686157870106399,0.0003686157870106399,0.0003686157870106399,0.0003106935444520786,0.00036791746446397156,0.00036845519207417965,0.00036825366405537354,120,0.00018000899581238627,0.00019708293257281184,0.00019708293257281184,0.00019708293257281184,0.00016320904251188037,0.00018742414613370784,0.00019049315596930683,0.0001891556217742618,120,0.0001115777573431842,0.00011168437049491331,0.00011168437049491331,0.00011168437049491331,1.6285977653751616e-05,1.630153928999789e-05,1.630153928999789e-05,1.630153928999789e-05
7.0,0.0001778705939068459,0.00019269845070084556,0.00019269845070084556,0.00019269845070084556,0.00014232036388420964,0.00016532035211275797,0.0001680394485447323,0.00016684617155988236,140,0.00015818531392142177,0.0001671157660894096,0.0001671157660894096,0.0001671157660894096,0.00014042097172932698,0.00015568137430818752,0.00016015590517781675,0.0001583423996635247,140,0.00014550400665029882,0.0001516837510280311,0.0001516837510280311,0.0001516837510280311,0.00011548622824193442,0.00013333152819541282,0.00013617696822620928,0.00013453688079607674,140,0.00029240752337500453,0.0003349689650349319,0.0003349689650349319,0.0003349689650349319,0.00027579061716096474,0.000331628764688503,0.00033411209005862474,0.0003330365405417979,140,0.00018242764053866267,0.00019881705520674586,0.00019881705520674586,0.00019881705520674586,0.00016212763730436564,0.00018817117917933502,0.00019196336506865919,0.00019052612260566092,140,0.00011082848504884169,0.00011090671614510939,0.00011090671614510939,0.00011090671614510939,1.777636498445645e-05,1.7788914192351513e-05,1.7788914192351513e-05,1.7788914192351513e-05
8.0,0.00017812375677749514,0.00019948648987337946,0.00019948648987337946,0.00019948648987337946,0.00014365453294885812,0.00018140332272741943,0.00018792940536513925,0.000184913292323472,160,0.00017507298616692424,0.00018850917695090175,0.00018850917695090175,0.00018850917695090175,0.00014837442795396784,0.00017220657056896016,0.00017675955314189196,0.00017455571578466332,160,0.00015205413801595567,0.00016769784269854426,0.00016769784269854426,0.00016769784269854426,0.0001206711011036532,0.00014721303072292357,0.00015375844668596983,0.00015063438622746616,160,0.00020901876268908381,0.00023411790607497096,0.00023411790607497096,0.00023411790607497096,0.0001442506669263821,0.00020176954261842185,0.00021367258159443736,0.00020799788981094026,160,0.00018154288409277797,0.0001995714264921844,0.0001995714264921844,0.0001995714264921844,0.00016367972057196312,0.00018862765908124856,0.00019253580830991268,0.0001907055644551292,160,0.00017293001292273402,0.00020753609715029597,0.00020753609715029597,0.00020753609715029597,0.00014129674818832427,0.00019719981064554302,0.0002029206370934844,0.00020067290533916094
9.0,0.00016559086507186293,0.00018149166135117412,0.00018149166135117412,0.00018149166135117412,0.00011867700144648553,0.00014878279321419542,0.0001568551509990357,0.00015322399172873702,180,0.0001646673190407455,0.0001693062367849052,0.0001693062367849052,0.0001693062367849052,0.00014654906990472228,0.00015927702930639497,0.0001624260185053572,0.00016085710667539387,180,0.0001282358425669372,0.0001355392741970718,0.0001355392741970718,0.0001355392741970718,7.5536367148743e-05,9.021922895044554e-05,9.524630877422169e-05,9.296265016018878e-05,180,0.00021057244157418606,0.0002492593484930694,0.0002492593484930694,0.0002492593484930694,0.00013204756905906833,0.00019909745635231956,0.00021540207671932876,0.0002079273574054241,180,0.00019587593851611018,0.0002016054349951446,0.0002016054349951446,0.0002016054349951446,0.0001766262430464849,0.00019147214101394638,0.00019455548317637295,0.0001932566818140913,180,0.0001286027836613357,0.00015174801228567958,0.00015174801228567958,0.00015174801228567958,6.262575807340908e-05,0.00010384811044787056,0.00011664586781989783,0.00011111616258858703
