time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,cube_obj_01_picked_frame,cube_obj_01_unc_q95,cube_obj_01_unc_q99,cube_obj_01_unc_max,cube_obj_01_unc_top,cube_obj_01_score_q95,cube_obj_01_score_q99,cube_obj_01_score_max,cube_obj_01_score_top,cube_obj_02_002_picked_frame,cube_obj_02_002_unc_q95,cube_obj_02_002_unc_q99,cube_obj_02_002_unc_max,cube_obj_02_002_unc_top,cube_obj_02_002_score_q95,cube_obj_02_002_score_q99,cube_obj_02_002_score_max,cube_obj_02_002_score_top,cube_purple_picked_frame,cube_purple_unc_q95,cube_purple_unc_q99,cube_purple_unc_max,cube_purple_unc_top,cube_purple_score_q95,cube_purple_score_q99,cube_purple_score_max,cube_purple_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,0.9891551211476326,1.041276752948761,1.041276752948761,1.041276752948761,0.7996388509869575,0.9699191915988923,0.9981161952018738,0.9845856085419655,120,1.0831152200698853,1.1377898454666138,1.1377898454666138,1.1377898454666138,0.8473328113555908,1.0346509218215942,1.0697264671325684,1.0515419125556946,120,0.936366617679596,0.989827573299408,0.989827573299408,0.989827573299408,0.7207388281822205,0.9158172243833542,0.950616717338562,0.9350247770547867,120,0.952683413028717,0.9978489279747009,0.9978489279747009,0.9978489279747009,0.8488015592098236,0.9717673379182815,0.9859541058540344,0.9798560082912445,120,0.984455233812332,1.0396406650543213,1.0396406650543213,1.0396406650543213,0.7816822052001952,0.9574412822723388,0.9861674904823303,0.9719197362661361
7.0,0.9849160008132458,1.0307093858718872,1.0307093858718872,1.0307093858718872,0.767703530937433,0.9449914610385894,0.976576566696167,0.9618468165397644,140,1.052038311958313,1.0936654806137085,1.0936654806137085,1.0936654806137085,0.7801492899656295,0.9668991726636886,1.007825493812561,0.9887821227312088,140,0.8883360624313354,0.9185866117477417,0.9185866117477417,0.9185866117477417,0.6083324730396268,0.8116059321165084,0.8483564853668213,0.8306382656097412,140,0.9797848433256149,1.023256778717041,1.023256778717041,1.023256778717041,0.8560807138681411,0.9890484738349915,1.005359411239624,0.9971207290887832,140,1.0195047855377197,1.0873286724090576,1.0873286724090576,1.0873286724090576,0.8262516468763349,1.0124122655391692,1.0447648763656616,1.0308461487293243
8.0,0.9760774374008179,1.02263605594635,1.02263605594635,1.02263605594635,0.7395581685006618,0.930948621928692,0.97006556391716,0.9509444415569306,160,1.0443358421325684,1.0923415422439575,1.0923415422439575,1.0923415422439575,0.8179371297359466,1.0111088418960572,1.0477268695831299,1.0304756224155427,160,0.905007004737854,0.9513641595840454,0.9513641595840454,0.9513641595840454,0.5894123673439026,0.8130847519636154,0.8665755987167358,0.8390406966209412,160,0.9642568826675415,1.0063931941986084,1.0063931941986084,1.0063931941986084,0.8152123421430587,0.9593741780519485,0.9841090440750122,0.9727676093578339,160,0.9907100200653076,1.040445327758789,1.040445327758789,1.040445327758789,0.7356708347797393,0.9402267158031463,0.9818507432937622,0.9614938378334046
9.0,0.9336547255516052,0.972796693444252,0.972796693444252,0.972796693444252,0.6263707865029573,0.8108378033339977,0.8560034334659576,0.8347447589039803,180,0.9413689374923706,0.9635179042816162,0.9635179042816162,0.9635179042816162,0.6140743970870972,0.7731083106994628,0.8006846308708191,0.7869716614484787,180,0.8538683652877808,0.9026110172271729,0.9026110172271729,0.9026110172271729,0.38290004283189766,0.634091766476631,0.7101470828056335,0.6728852689266205,180,0.9363012313842773,0.9749999642372131,0.9749999642372131,0.9749999642372131,0.721355441212654,0.8681977123022079,0.9094250202178955,0.8916391640901565,180,1.0030803680419922,1.0500578880310059,1.0500578880310059,1.0500578880310059,0.7871532648801803,0.9679534238576889,1.0037569999694824,0.9874829411506653
