time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Corner_picked_frame,Corner_unc_q95,Corner_unc_q99,Corner_unc_max,Corner_unc_top,Corner_score_q95,Corner_score_q99,Corner_score_max,Corner_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,Cube_picked_frame,Cube_unc_q95,Cube_unc_q99,Cube_unc_max,Cube_unc_top,Cube_score_q95,Cube_score_q99,Cube_score_max,Cube_score_top,Cylinder_picked_frame,Cylinder_unc_q95,Cylinder_unc_q99,Cylinder_unc_max,Cylinder_unc_top,Cylinder_score_q95,Cylinder_score_q99,Cylinder_score_max,Cylinder_score_top,L-Shaped_picked_frame,L-Shaped_unc_q95,L-Shaped_unc_q99,L-Shaped_unc_max,L-Shaped_unc_top,L-Shaped_score_q95,L-Shaped_score_q99,L-Shaped_score_max,L-Shaped_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,1.03336743414402,1.0621888637542725,1.0621888637542725,1.0621888637542725,0.8287640871107577,0.8927075382471085,0.9058995753526687,0.9002795857191085,120,1.1840951442718506,1.2022614479064941,1.2022614479064941,1.2022614479064941,1.1248703300952911,1.1820369696617126,1.1915961503982544,1.1874575912952423,120,1.0494403839111328,1.1025301218032837,1.1025301218032837,1.1025301218032837,0.8604981392621993,0.9935479104518891,1.0279321670532227,1.0124767780303956,120,1.1262637376785278,1.1644549369812012,1.1644549369812012,1.1644549369812012,1.1031475603580474,1.162248924970627,1.163947582244873,1.1633109986782073,120,1.0348914504051208,1.0689780712127686,1.0689780712127686,1.0689780712127686,0.9426012963056563,1.0129171013832092,1.0332351922988892,1.0253657758235932,120,0.7721464544534683,0.7727197408676147,0.7727197408676147,0.7727197408676147,0.11270310953259469,0.11278678476810455,0.11278678476810455,0.11278678476810455
7.0,0.9695901435613632,0.9932703018188477,0.9932703018188477,0.9932703018188477,0.7483460569381715,0.8132332590222358,0.8269568905234337,0.8209408929944038,140,0.9623875617980957,0.9796767830848694,0.9796767830848694,0.9796767830848694,0.8576456397771836,0.914506943821907,0.938876211643219,0.9291193455457687,140,0.9465719044208526,0.9664852619171143,0.9664852619171143,0.9664852619171143,0.7552727431058883,0.8523377549648284,0.8676804900169373,0.858881026506424,140,1.131986218690872,1.1748076677322388,1.1748076677322388,1.1748076677322388,1.0670119524002075,1.1630928099155426,1.1718024015426636,1.1680302560329436,140,1.0308930993080139,1.0686874389648438,1.0686874389648438,1.0686874389648438,0.937315261363983,1.011650675535202,1.0318472385406494,1.0240957260131835,140,0.7761119335889817,0.7766943573951721,0.7766943573951721,0.7766943573951721,0.12448468804359436,0.12457811087369919,0.12457811087369919,0.12457811087369919
8.0,1.0046277064085007,1.0452063798904419,1.0452063798904419,1.0452063798904419,0.8184546297788617,0.9531630918979644,0.9841593861579895,0.9703409790992736,160,1.0209452033042907,1.0412931442260742,1.0412931442260742,1.0412931442260742,0.868364369869232,0.9559726613759995,0.9763901829719543,0.9678948879241943,160,1.008741855621338,1.0493113994598389,1.0493113994598389,1.0493113994598389,0.8045019060373305,0.9245860350131988,0.9620903730392456,0.9436796575784683,160,1.0200131714344023,1.0681592226028442,1.0681592226028442,1.0681592226028442,0.7168362349271773,0.9213622057437897,0.9748777747154236,0.9508200317621232,160,1.031721842288971,1.0645853281021118,1.0645853281021118,1.0645853281021118,0.9381393998861313,1.011150116920471,1.027054786682129,1.019786113500595,160,0.9417164593935012,1.0026828050613403,1.0026828050613403,1.0026828050613403,0.7644312381744385,0.9527444404363632,0.9803838133811951,0.9695242047309875
9.0,0.9481940817832946,0.9913863182067871,0.9913863182067871,0.9913863182067871,0.6812351316213606,0.8098190656900407,0.8502222299575806,0.831698763370514,180,0.96754030585289,0.9774998426437378,0.9774998426437378,0.9774998426437378,0.8615813672542572,0.918187054991722,0.936940610408783,0.9283988773822784,180,0.8817152976989746,0.9207863807678223,0.9207863807678223,0.9207863807678223,0.5309741228818892,0.6240699195861816,0.6518377661705017,0.6384311705827713,180,1.0229061603546141,1.0887484550476074,1.0887484550476074,1.0887484550476074,0.6655490189790725,0.8775224113464355,0.9408621191978455,0.9100705295801162,180,1.0411369800567627,1.055503249168396,1.055503249168396,1.055503249168396,0.9419677436351775,1.0035544776916503,1.0185933113098145,1.0120364248752594,180,0.8276716649532316,0.9143936634063721,0.9143936634063721,0.9143936634063721,0.40610340535640715,0.6257614648342131,0.7028773427009583,0.6695568144321442
