time_s,mean_unc_q95,mean_unc_q99,mean_unc_max,mean_unc_top,mean_score_q95,mean_score_q99,mean_score_max,mean_score_top,Cross_picked_frame,Cross_unc_q95,Cross_unc_q99,Cross_unc_max,Cross_unc_top,Cross_score_q95,Cross_score_q99,Cross_score_max,Cross_score_top,cube_obj_01_picked_frame,cube_obj_01_unc_q95,cube_obj_01_unc_q99,cube_obj_01_unc_max,cube_obj_01_unc_top,cube_obj_01_score_q95,cube_obj_01_score_q99,cube_obj_01_score_max,cube_obj_01_score_top,cube_obj_02_picked_frame,cube_obj_02_unc_q95,cube_obj_02_unc_q99,cube_obj_02_unc_max,cube_obj_02_unc_top,cube_obj_02_score_q95,cube_obj_02_score_q99,cube_obj_02_score_max,cube_obj_02_score_top,cube_purple_picked_frame,cube_purple_unc_q95,cube_purple_unc_q99,cube_purple_unc_max,cube_purple_unc_top,cube_purple_score_q95,cube_purple_score_q99,cube_purple_score_max,cube_purple_score_top
0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
1.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
2.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
3.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
4.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
5.0,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan
6.0,1.0067366428673268,1.042252391576767,1.042252391576767,1.042252391576767,0.776627481728792,0.8998057305812837,0.9366823434829712,0.919719585031271,120,1.0467952489852905,1.0775812864303589,1.0775812864303589,1.0775812864303589,0.8149993240833281,0.952128654718399,0.9848710298538208,0.968136864900589,120,1.1228080987930298,1.1631804704666138,1.1631804704666138,1.1631804704666138,1.0417267978191376,1.125284855365753,1.1470181941986084,1.1362412810325622,120,0.8995114833116531,0.947149395942688,0.947149395942688,0.947149395942688,0.4910285741090774,0.6528242456912994,0.7205662727355957,0.6922565549612045,120,0.9578317403793335,0.9810984134674072,0.9810984134674072,0.9810984134674072,0.7587552309036254,0.8689851665496826,0.8942738771438599,0.8822436392307281
7.0,0.9998892948031426,1.0356583148241043,1.0356583148241043,1.0356583148241043,0.7430205360054969,0.8848505268990994,0.925081193447113,0.904928132146597,140,1.0613754987716675,1.0989824533462524,1.0989824533462524,1.0989824533462524,0.8416151463985442,0.9799601715803146,1.0110033750534058,0.9953367203474045,140,1.1015971302986145,1.1435115337371826,1.1435115337371826,1.1435115337371826,1.0078136026859283,1.07832412481308,1.1148422956466675,1.093037635087967,140,0.8528599560260772,0.8874848484992981,0.8874848484992981,0.8874848484992981,0.34707701206207275,0.5781747317314148,0.6520518064498901,0.6173009902238846,140,0.9837245941162109,1.012654423713684,1.012654423713684,1.012654423713684,0.7755763828754424,0.9029430794715881,0.9224272966384888,0.9140371829271317
8.0,0.9810732007026672,1.0139241814613342,1.0139241814613342,1.0139241814613342,0.716182017698884,0.8498498448729515,0.8851593136787415,0.8676744580268859,160,1.040876865386963,1.0767155885696411,1.0767155885696411,1.0767155885696411,0.7959425270557403,0.9334022331237792,0.9638897776603699,0.9485516011714935,160,1.074101448059082,1.0919314622879028,1.0919314622879028,1.0919314622879028,0.9640021800994873,1.0241199767589568,1.0397030115127563,1.0322370946407318,160,0.8442361950874329,0.8678395748138428,0.8678395748138428,0.8678395748138428,0.3469409510493278,0.5456902730464935,0.6046863794326782,0.5729055494070053,160,0.9650782942771912,1.0192101001739502,1.0192101001739502,1.0192101001739502,0.7578424125909805,0.8961868965625763,0.9323580861091614,0.9170035868883133
9.0,0.9654501236975193,0.9952653050422668,0.9952653050422668,0.9952653050422668,0.685860925540328,0.8259771707654,0.8620561361312866,0.8446326442062855,180,0.9833580255508423,1.021314263343811,1.021314263343811,1.021314263343811,0.6895482659339903,0.859065905213356,0.8926067352294922,0.8767911523580552,180,1.0550351500511168,1.0737216472625732,1.0737216472625732,1.0737216472625732,0.9448180258274078,1.0047141993045807,1.01785409450531,1.0110258340835572,180,0.8435986310243606,0.8686259984970093,0.8686259984970093,0.8686259984970093,0.34697313755750653,0.5455307948589325,0.604703962802887,0.5727189779281616,180,0.9798086881637573,1.0173993110656738,1.0173993110656738,1.0173993110656738,0.7621042728424072,0.8945977836847305,0.9330597519874573,0.9179946124553681
