tau_mm,fscore,precision,recall
0.000,0.000000,0.000000,0.000000
0.500,0.214819,0.213700,0.215950
1.000,0.405060,0.400000,0.410250
1.500,0.565563,0.558650,0.572650
2.000,0.696536,0.687750,0.705550
2.500,0.793138,0.779650,0.807100
3.000,0.864739,0.852250,0.877600
3.500,0.914720,0.899700,0.930250
4.000,0.949896,0.931900,0.968600
4.500,0.966220,0.945150,0.988250
5.000,0.972570,0.950900,0.995250
5.500,0.974862,0.953000,0.997750
6.000,0.975872,0.953700,0.999100
6.500,0.977449,0.956350,0.999500
7.000,0.978891,0.958700,0.999950
7.500,0.980736,0.962200,1.000000
8.000,0.983301,0.967150,1.000000
8.500,0.985467,0.971350,1.000000
9.000,0.987444,0.975200,1.000000
9.500,0.989031,0.978300,1.000000
10.000,0.990230,0.980650,1.000000
10.500,0.991224,0.982600,1.000000
11.000,0.992215,0.984550,1.000000
11.500,0.993077,0.986250,1.000000
12.000,0.993964,0.988000,1.000000
12.500,0.994975,0.990000,1.000000
13.000,0.995959,0.991950,1.000000
13.500,0.997167,0.994350,1.000000
14.000,0.997795,0.995600,1.000000
14.500,0.998423,0.996850,1.000000
15.000,0.998974,0.997950,1.000000
15.500,0.999575,0.999150,1.000000
16.000,0.999950,0.999900,1.000000
16.500,1.000000,1.000000,1.000000
17.000,1.000000,1.000000,1.000000
17.500,1.000000,1.000000,1.000000
18.000,1.000000,1.000000,1.000000
18.500,1.000000,1.000000,1.000000
19.000,1.000000,1.000000,1.000000
19.500,1.000000,1.000000,1.000000
20.000,1.000000,1.000000,1.000000
