rame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0024881855398731535,0.033877722310986624,0.0014872230628641017,0.03138953677111347,0.12499538135983071,0.2664895604914934,0.3742730265038592,0.4714,0.90165,0.9938,0.07205,0.15635,0.23055,0.031695922383086564,0.06783125578688723,0.0032437999677190164,0.036135333403800665,0.04771197072660742,0.11533489278752436,0.20630173039690225,0.05015,0.11865,0.21445,0.0455,0.1122,0.19875,0.0031183291219897035,0.03398391491670531,0.0013038905046996725,0.03086558579471561,0.009649122807017544,0.08740006723082094,0.24024767801857583,nan,nan,0.23404255319148937,0.9787234042553191,1.0,0.0049261083743842365,0.04574243490499648,0.13652357494722026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
40,0.007388222783277589,0.05021727175978035,0.002514008167270929,0.04282904897650276,0.06786440677966102,0.12178097923379878,0.19466154229786176,0.286,0.48905,0.6887,0.0385,0.06955,0.11335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023968939995324063,0.045340551581140434,0.002387156031803883,0.04294365758160803,0.04649580403719664,0.11524752475247525,0.17937219730941703,nan,nan,0.41414141414141414,0.9797979797979798,1.0,0.024630541871921183,0.061224489795918366,0.09852216748768473,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0
60,0.002838296631995476,0.023895810180365667,0.0008819778723893611,0.02105751354837019,0.34084949940924075,0.4889448061879998,0.5973173296983176,0.55885,0.79015,0.9604,0.2452,0.354,0.43345,0.011883057069915305,0.028032607836979452,0.0009135157300093922,0.016149550767064147,0.29439391392064557,0.4930851325471223,0.5742390710382514,0.3273,0.5344,0.61215,0.2675,0.4577,0.54075,0.002415136539753421,0.02336506164557621,0.0008212912289026447,0.02094992510582279,0.18027710056725949,0.48193172028238435,0.5944609297725025,nan,nan,0.35918367346938773,0.9938775510204082,1.0,0.1203377902885292,0.31808585503166786,0.42294159042927515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0
80,0.004476574639143629,0.021555170294798733,0.0005837293513297907,0.0170785956556551,0.27074334259107985,0.46186390009606154,0.5922116968887193,0.41,0.6952,0.85745,0.2021,0.3458,0.4523,0.0031856315677901478,0.023573104589661012,0.0007140377179911473,0.020387473021870866,0.20653424608819346,0.38158269906182346,0.5280891827738217,0.4261,0.78745,0.9633,0.1363,0.2518,0.36375,0.0026633453063852545,0.01826227612847581,0.00047097841141060994,0.015598930822090558,0.16051110113783362,0.5433010392453542,0.6707202993451824,nan,nan,0.27941176470588236,0.9754901960784313,1.0,0.11259676284306826,0.3764954257565095,0.5045742434904996,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0
100,0.004637490786146512,0.017431594403260513,0.0004318177457971694,0.012794103617114002,0.3980025113881563,0.5711637471439451,0.6898413373218371,0.50635,0.6987,0.83115,0.32785,0.483,0.5896,0.002996408640831903,0.017431206015763506,0.0004683335834567511,0.014434797374931602,0.3713160108883939,0.5556578114590273,0.7048784907999477,0.5192,0.7643,0.98325,0.289,0.4365,0.54935,0.0026292942964613697,0.014636690066022643,0.00034608144772087945,0.012007395769561273,0.20460619727720705,0.7071155239147454,0.7776344086021506,nan,nan,0.2611464968152866,0.9777070063694268,1.0,0.16819141449683322,0.553835327234342,0.6361717100633357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0
120,0.004601527974095995,0.013203963035293757,0.0002553229018727711,0.00860243506119776,0.4811276794793573,0.6560656005712568,0.7547379090759888,0.5638,0.74315,0.83405,0.4196,0.58725,0.6892,0.00253900598115014,0.01636458405728829,0.0004254765220399451,0.013825578076138151,0.3924399090325966,0.5792701340966123,0.716784310012837,0.55345,0.83045,0.99915,0.304,0.44475,0.55885,0.002735172101535337,0.01132048417040573,0.0001902590482863444,0.008585312068870393,0.27543572749376233,0.7441100174123166,0.842302703781303,nan,nan,0.3170289855072464,0.9483695652173914,0.9945652173913043,0.24349049964813513,0.6122448979591837,0.7304714989444053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0
140,0.004193635215577201,0.012468363402789638,0.00024823442284296134,0.008274728187212437,0.5223355562845629,0.6903811226313908,0.7795287473352636,0.61045,0.778,0.8555,0.45645,0.6205,0.71595,0.0023750928763865984,0.014348900693476472,0.0003115236609255715,0.011973807817089874,0.3761600606201912,0.557422045110385,0.7203244748975409,0.5793,0.8368,0.9981,0.2785,0.4179,0.5635,0.0026026458432662557,0.010443362973947462,0.00016078827923433333,0.007840717130681206,0.2775944626331623,0.7792453641956718,0.8580048692512068,nan,nan,0.30802047781569963,0.9658703071672355,0.9982935153583617,0.2526389866291344,0.6530612244897959,0.7522871217452498,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0
160,0.004762136306657565,0.011200384857780785,0.00017574365388920942,0.0064382485511232206,0.4717952644623741,0.6898820765304277,0.810259278890601,0.50695,0.71245,0.8396,0.4412,0.6687,0.7829,0.002219236618765092,0.011577600540605283,0.00022114416371352738,0.00935836392184019,0.4586917988171874,0.6694365236021355,0.7961959792945709,0.5729,0.88545,1.0,0.38245,0.53815,0.6614,0.0027271103097621136,0.009088664432012663,0.00011022479456989968,0.00636155412225055,0.3371360350202295,0.7826111764463478,0.8890229055821084,nan,nan,0.368,0.9144,0.9936,0.3110485573539761,0.6840253342716397,0.8043631245601689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0
180,0.003716358979485122,0.007173353401851273,8.064918526366397e-05,0.003456994422366151,0.5934019301934398,0.8073594649823519,0.8826389719626169,0.62005,0.816,0.87285,0.56895,0.7989,0.89265,0.0023147937600786904,0.008403381262006048,0.00010803765450325443,0.0060885875019273585,0.5053007424160479,0.7669551584129927,0.8738421689799826,0.54865,0.89035,1.0,0.4683,0.6736,0.77595,0.002561465857560314,0.006468075261392018,4.84875207829618e-05,0.0039066094038317034,0.4182694207211197,0.885709328348333,0.9489644970414202,nan,nan,0.4034653465346535,0.9381188118811881,1.0,0.434201266713582,0.8388458831808585,0.9028852920478536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0
200,0.0034948513881509938,0.00701227639794207,7.693523292063433e-05,0.0035174250097910766,0.5827929751712329,0.8129769464851074,0.8958109501883633,0.61055,0.83015,0.8883,0.55745,0.7965,0.90345,0.002180771280592303,0.00777159817913621,8.000343787864991e-05,0.005590826898543907,0.48164223520447036,0.7379437311771637,0.8910144445368599,0.56395,0.90395,1.0,0.4203,0.62345,0.80345,0.0027992137099692445,0.006849475150262081,4.916263205995783e-05,0.004050261440292837,0.290014327558229,0.8850918460152535,0.9485973986322678,nan,nan,0.2695336159903089,0.9376135675348274,0.9957601453664445,0.3138634764250528,0.8381421534130894,0.9057002111189303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0
