frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.009289650395223588,0.04868878094910815,0.00212301868807256,0.03939913055388456,0.019601739130434784,0.06727749434937036,0.1847513834816463,0.0867,0.2713,0.61035,0.01105,0.0384,0.10885,0.04901518827953987,0.09573124119158456,0.005762481560515808,0.04671605291204469,0.005824034334763948,0.028785329861111115,0.07633267845448592,0.00575,0.02945,0.0775,0.0059,0.02815,0.0752,0.004031865989283267,0.04333453420566625,0.0019805487345584067,0.03930266821638298,0.00802326747567947,0.04381846635367762,0.13050075872534142,nan,nan,0.34782608695652173,0.6086956521739131,1.0,0.004058441558441558,0.022727272727272728,0.0698051948051948,0.002995219495271257,0.04196170790246767,0.00191863503250631,0.038966488407196416,0.015928178395598028,0.0364529677470481,0.12195121951219512,nan,nan,0.4230769230769231,0.7692307692307693,1.0,0.008116883116883116,0.018668831168831168,0.06493506493506493,1.0
40,0.0030553469019188708,0.026728284948973068,0.000986910292882117,0.0236729380470542,0.18558435754189948,0.33766535283551447,0.5208484350112975,0.4371,0.75695,0.9974,0.1178,0.2173,0.35245,0.01295497618838446,0.040335997527085735,0.0013376036940554645,0.02738102133870127,0.06380907492085824,0.15272120991253643,0.2959947807933194,0.0938,0.22825,0.4501,0.04835,0.11475,0.2205,0.00305399773395718,0.027326003655835675,0.0009375237277684446,0.024272005921878496,0.04835630965005302,0.21815154038301415,0.4235444657709533,nan,nan,0.24836601307189543,0.8562091503267973,1.0,0.026785714285714284,0.125,0.26866883116883117,0.0026009235267746944,0.05043583802356027,0.002710749355544634,0.04783491449678558,0.017377567140600316,0.04599524187153053,0.09729729729729732,nan,nan,0.3235294117647059,1.0,1.0,0.008928571428571428,0.02353896103896104,0.05113636363636364,2.0
60,0.002801100943106431,0.02470486806500735,0.0008612530540514771,0.02190376712190092,0.22313826406824766,0.38487680755608034,0.5501213093337204,0.4948,0.80595,0.9981,0.14405,0.2528,0.3797,0.012402346151521942,0.04240779383035073,0.0015134068478237965,0.030005447678828786,0.05530997325181505,0.17001182957393482,0.3068563009662167,0.09115,0.2762,0.51025,0.0397,0.1228,0.2194,0.0031825761409480535,0.025340361524887656,0.000805556924665947,0.0221577853839396,0.07364693980778958,0.27523580760442906,0.47901234567901235,nan,nan,0.28865979381443296,0.8350515463917526,1.0,0.04220779220779221,0.16477272727272727,0.31493506493506496,0.0020320309312633258,0.04864051082190048,0.0025944398194527735,0.046608479890637156,0.030021067415730338,0.05678233438485804,0.1002313030069391,nan,nan,0.5625,1.0,1.0,0.015422077922077922,0.02922077922077922,0.052759740259740256,3.0
80,0.00438287869451808,0.026534750703273345,0.0007323462558023375,0.022151872008755263,0.1652777777777778,0.2645440748807912,0.38013938208126674,0.476,0.68545,0.8544,0.1,0.1639,0.24445,0.007856753885996255,0.04195228756573906,0.0015780003418400324,0.0340955336797428,0.04926182457903996,0.1281974318451205,0.21880655566478252,0.17015,0.4309,0.68355,0.0288,0.0753,0.13025,0.0022641668586059357,0.03716296572910624,0.0016996941997348672,0.034898798870500305,0.07546509907316483,0.2144927536231884,0.29362880886426596,nan,nan,0.4263565891472868,1.0,1.0,0.041396103896103896,0.12012987012987013,0.17207792207792208,0.003654665369924705,0.03727800727720741,0.0016202221345082387,0.03362334190728271,0.031475409836065574,0.20378925512587595,0.32152588555858314,nan,nan,0.13259668508287292,0.8342541436464088,1.0,0.017857142857142856,0.11607142857142858,0.19155844155844157,4.0
100,0.004636935033645637,0.027270928523310544,0.0009122070885994574,0.022633993489664907,0.23756554957457893,0.3822077922077922,0.513917773124769,0.4084,0.654,0.84945,0.1675,0.27,0.3684,0.003516885250066642,0.036585041520851985,0.0015526769498640921,0.03306815627078535,0.11525864197530865,0.22294308706047,0.3222899036429719,0.3523,0.72575,0.99065,0.0689,0.1317,0.19245,0.0024135402987674587,0.02381380683142278,0.0008384741285636521,0.021400266532655324,0.23252384463525438,0.4585276820117623,0.5748987854251012,nan,nan,0.48826291079812206,0.9366197183098591,1.0,0.1525974025974026,0.30357142857142855,0.4034090909090909,0.002631735376643096,0.023531126038860255,0.0008225621206846063,0.02089939066221716,0.18615209988649262,0.48057226794373903,0.5992040932347925,nan,nan,0.36444444444444446,0.9311111111111111,1.0,0.125,0.32386363636363635,0.4277597402597403,5.0
120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001997086759644352,0.027207041531217075,0.0010936047157953277,0.025209954771572722,0.2578866977839595,0.45657602200044245,0.5350772889417361,nan,nan,0.5544303797468354,0.9949367088607595,1.0,0.1680194805194805,0.2962662337662338,0.3652597402597403,0.002784215739894597,0.02001698666476179,0.0006085752099028565,0.017232770924867195,0.20816753682504424,0.5547252406519593,0.6681081081081082,nan,nan,0.3391915641476274,0.929701230228471,1.0,0.15016233766233766,0.3952922077922078,0.5016233766233766,6.0
140,0.005028694894954584,0.0204204471635195,0.000574831805604976,0.015391752268564917,0.37171865737808735,0.5178323975372173,0.6497337655162252,0.4901,0.66365,0.819,0.2994,0.42455,0.53845,0.00264123052970019,0.023121360532075117,0.0007475327331558627,0.020480130002374926,0.24838594562907598,0.4041334083239595,0.5445610813193271,0.5191,0.84575,0.985,0.16325,0.2655,0.3763,0.0022999029657433095,0.01745480160641516,0.0005128183703521682,0.015154898640671849,0.2387788158523737,0.6309367980338667,0.7219917012448133,nan,nan,0.36702954898911355,0.995334370139969,1.0,0.17694805194805194,0.46185064935064934,0.564935064935065,0.002643581093395927,0.011182660643937794,0.00016132714304649542,0.008539079550541867,0.24131688514929917,0.7156826043720951,0.8210526315789474,nan,nan,0.31076178960096734,0.9528415961305925,1.0,0.19724025974025974,0.573051948051948,0.6964285714285714,7.0
160,0.005325071863480817,0.01797872489088456,0.0004109914030222941,0.012653653027403742,0.35855354650003324,0.52695023785564,0.6694465694434394,0.45725,0.65005,0.81245,0.2949,0.44305,0.56925,0.002715680391785014,0.02582497561357077,0.0008826548224899416,0.02310929522178576,0.2473531786703601,0.3788119256995062,0.5014153459311186,0.56355,0.81665,0.9749,0.15845,0.2466,0.3375,0.0024773681481983743,0.015242725910777724,0.00037014520147100215,0.01276535776257935,0.27992211742351725,0.6535886659670909,0.7460559796437659,nan,nan,0.3873144399460189,0.9581646423751687,1.0,0.21915584415584416,0.49594155844155846,0.5949675324675324,0.0026357987360844325,0.011065855225043697,0.00015983168888032836,0.008430056488959264,0.25648600406802174,0.7180145029964469,0.8244274809160306,nan,nan,0.3230593607305936,0.95662100456621,1.0,0.21266233766233766,0.5746753246753247,0.7012987012987013,8.0
180,0.004872793063385565,0.019844833957993933,0.0005341959282087761,0.014972040894608367,0.35817937806873984,0.5142579579855059,0.6539299342224807,0.477,0.6746,0.84085,0.28675,0.4155,0.535,0.0024864751430457572,0.026355439981359793,0.0009413165557317506,0.023868964838314036,0.23464644041487337,0.3644510068353963,0.504133692722372,0.56025,0.8507,0.9984,0.1484,0.2319,0.3372,0.0024178002471292865,0.016751277894120252,0.0004694598603420396,0.014333477646990965,0.2662914199572402,0.6531103615500358,0.7318579516212044,nan,nan,0.35838926174496644,0.9812080536912752,1.0,0.21185064935064934,0.48944805194805197,0.5771103896103896,0.002630658745851672,0.011039001531749526,0.00015961376247540897,0.008408342785897855,0.2637334723285213,0.7170249469214437,0.8238663484486873,nan,nan,0.32924107142857145,0.9553571428571429,1.0,0.21996753246753248,0.5738636363636364,0.700487012987013,9.0
200,0.004937949322746179,0.015807828472203113,0.00032940263406107997,0.010869879149456932,0.3825040741210813,0.5802213486467086,0.7098193400804104,0.4611,0.67585,0.8123,0.3268,0.5083,0.6303,0.0027299103041394587,0.017316430820515732,0.00045166515320586837,0.014586520516376274,0.36120819112627983,0.5609413885769293,0.6871662294111845,0.5121,0.82045,0.99645,0.279,0.42615,0.5244,0.002430268102048674,0.013074014484738064,0.00027749817800411795,0.01064374638268939,0.36669023125610295,0.6930826057756884,0.7868045297882815,nan,nan,0.4486187845303867,0.9502762430939227,1.0,0.31006493506493504,0.5454545454545454,0.648538961038961,0.002599083021888144,0.011200070679433639,0.00017285724438256443,0.008600987657545495,0.30473387970611526,0.7277131082351239,0.8170907345175228,nan,nan,0.3607068607068607,0.9511434511434511,1.0,0.2637987012987013,0.5892857142857143,0.6907467532467533,10.0
