frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.004249564454679982,0.032312487162722184,0.001245273972439953,0.028062922708042202,0.13360926894538375,0.2837462546924632,0.42154717178478784,0.3271,0.68695,0.92185,0.08395,0.1788,0.27325,0.007219609792428868,0.04046734295330133,0.001621112618766904,0.03324773316087246,0.06364587111002204,0.1596632213955359,0.2996677185918712,0.1646,0.3974,0.73045,0.03945,0.0999,0.1885,0.003962960291501963,0.028341053378743042,0.0009109287399265574,0.02437809308724108,0.035161744022503515,0.20187537338632172,0.4328887932888793,nan,nan,0.14124293785310735,0.7570621468926554,0.9887005649717514,0.020080321285140562,0.11646586345381527,0.27710843373493976,0.003544606299223915,0.0273336229742456,0.000861458928065766,0.023789016675021684,0.03592814371257485,0.2403633718935683,0.44082654978083907,nan,nan,0.17045454545454544,0.8579545454545454,1.0,0.020080321285140562,0.13975903614457832,0.2827309236947791,1.0
40,0.008251553626500615,0.04343037910764159,0.001896997229426313,0.03517882548114097,0.10656301775147928,0.22064693317058284,0.3050563756428238,0.25365,0.515,0.65695,0.06745,0.1404,0.19865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0031611911931496667,0.036121128020384786,0.0015543409977594898,0.03295993682723512,0.03952011291460833,0.20164553181089961,0.3322170127260549,nan,nan,0.16279069767441862,0.9186046511627907,1.0,0.02248995983935743,0.11325301204819277,0.19919678714859437,0.0031329544372600314,0.03801766742833025,0.0016719818429136559,0.03488471299107022,0.03480783176214648,0.16374072786971686,0.25508058864751226,nan,nan,0.1791044776119403,0.9104477611940298,1.0,0.01927710843373494,0.08995983935742972,0.1461847389558233,2.0
60,0.005003223703242019,0.026073277972912052,0.0008021586613867742,0.021070054269670034,0.19058737183511196,0.3722807635183454,0.5368240350243001,0.34645,0.64775,0.85325,0.13145,0.2612,0.3916,0.015195438825361233,0.03627954286890944,0.0011323448560461322,0.021084104043548213,0.11673072883847932,0.2559779720948012,0.4073169283729919,0.13555,0.29995,0.46635,0.1025,0.22325,0.36155,0.004006491736512663,0.023956939314269978,0.0006808674687721275,0.019950447577757314,0.09193818741245896,0.35814993920380184,0.5644648978436573,nan,nan,0.1726457399103139,0.7331838565022422,0.9775784753363229,0.06265060240963856,0.23694779116465864,0.3967871485943775,0.0034502744308430046,0.032340434013932794,0.0012742108983794895,0.028890159583089787,0.06982872200263504,0.2643253234750462,0.3976833976833977,nan,nan,0.19413919413919414,0.8461538461538461,1.0,0.04257028112449799,0.1566265060240964,0.24819277108433735,3.0
80,0.004461210380474259,0.023970206707810762,0.0007024175487852192,0.019508996327336502,0.22987174997646614,0.4291517234367057,0.5791619758759334,0.36295,0.6672,0.87225,0.1682,0.3163,0.4335,0.003673694085456985,0.027469456000847797,0.0009811761026024966,0.023795761915390814,0.18470923995656893,0.4152120057170081,0.5489921129394165,0.33265,0.7645,0.95115,0.12785,0.285,0.38585,0.0038123125284035336,0.02392680395513645,0.0006936645789185572,0.020114491426732915,0.11259781475015757,0.3886192241203603,0.5755335302724939,nan,nan,0.19769673704414586,0.7600767754318618,0.9904030710172744,0.078714859437751,0.26104417670682734,0.40562248995983935,0.004274709605185659,0.02439210788159831,0.0006896658398207469,0.02011739827641265,0.0669880286038683,0.3555766674920536,0.5514319769083851,nan,nan,0.11422845691382766,0.7194388777555111,0.9579158316633266,0.04738955823293173,0.236144578313253,0.38714859437751004,4.0
100,0.004516398767271958,0.023828310673671325,0.0006950095386996182,0.019311911906399366,0.21524261281681434,0.4180921193935565,0.5913330929306588,0.3242,0.63915,0.8878,0.1611,0.31065,0.4433,0.003722054386174889,0.026366433299035666,0.0009110571436402254,0.022644378912860776,0.22816048637614272,0.4152046388930367,0.5574364602900294,0.40445,0.7114,0.93355,0.1589,0.29315,0.39735,0.00432337350188797,0.022668807904876565,0.0005865517746375417,0.018345434402988595,0.0890642615558061,0.38469567273366445,0.593055726303588,nan,nan,0.14933837429111532,0.7126654064272212,0.9527410207939508,0.06345381526104418,0.26345381526104417,0.43052208835341366,0.004135135430962926,0.019935499204216122,0.0004506841283644147,0.015800363773253195,0.08598639455782313,0.42678634074015237,0.6267075411503384,nan,nan,0.13333333333333333,0.7367521367521368,0.9675213675213675,0.06345381526104418,0.3004016064257028,0.4634538152610442,5.0
120,0.004478181019679672,0.0198964046523973,0.0004730413905280216,0.015418223632717627,0.22343176350662589,0.4622052290170834,0.6396951407843701,0.3184,0.65165,0.89425,0.1721,0.3581,0.49795,0.003962635066947486,0.022743605435255755,0.000640250254225245,0.01878097036830827,0.20173234859675038,0.42407495441653165,0.591652785828141,0.3283,0.67885,0.95075,0.1456,0.30835,0.42945,0.004098131284057814,0.01896679287477436,0.000412097196821383,0.014868661590716547,0.10088513983238724,0.4446525306753786,0.6660986289931519,nan,nan,0.1430722891566265,0.7259036144578314,0.9864457831325302,0.07791164658634538,0.3204819277108434,0.5028112449799197,0.004296668332536156,0.019320524730029872,0.0004157333068561274,0.015023856397493717,0.08437563383138394,0.4294118750351675,0.6425638756096171,nan,nan,0.12283464566929134,0.7023622047244095,0.9606299212598425,0.0642570281124498,0.3092369477911647,0.4827309236947791,6.0
140,0.004411612764250806,0.018765257806256895,0.0004204093010886901,0.014353645042006088,0.2490613199665831,0.481098753894081,0.6622615031212739,0.3432,0.6428,0.90275,0.19545,0.3844,0.52295,0.003843224971984122,0.018990319504723092,0.00043733587901774256,0.01514709453273897,0.2545557492218764,0.4645947711147828,0.6436392721234346,0.36755,0.6746,0.9616,0.1947,0.3543,0.4837,0.0040867190354817815,0.01733654016703951,0.0003333400179770746,0.013249821131557728,0.10674826427554686,0.4664103896103896,0.7006504389811816,nan,nan,0.14305364511691884,0.7180192572214581,0.9821182943603851,0.08514056224899598,0.3453815261044177,0.5445783132530121,0.004268446566328806,0.01848372362077355,0.00038392867079181816,0.014215277054444746,0.10520887055183084,0.45197215777262184,0.6695056017993515,nan,nan,0.14697406340057637,0.7017291066282421,0.962536023054755,0.0819277108433735,0.3333333333333333,0.5132530120481927,7.0
160,0.004680347875005075,0.016703542136412276,0.0003331611265191043,0.0120231942614072,0.2431221951219512,0.5085848328684223,0.7162614894907035,0.31425,0.6321,0.88095,0.19825,0.42545,0.60345,0.0038610200345356445,0.01935441982172814,0.0004858233069155847,0.015493399787192498,0.2611063700356305,0.46434257950530033,0.6541688000547607,0.3751,0.6609,0.9665,0.20025,0.3579,0.4944,0.004176954219741519,0.016362832439061135,0.000307217327124345,0.012185878219319617,0.12411414089266438,0.5015108448049156,0.7310624321140025,nan,nan,0.16688227684346701,0.6985769728331177,0.9728331177231565,0.09879518072289156,0.39116465863453814,0.5855421686746988,0.004299628496019914,0.014960913704618837,0.00022648712007879108,0.010661285208598922,0.12518195050946143,0.5012233159927723,0.7366334227096989,nan,nan,0.15808823529411764,0.6850490196078431,0.9558823529411765,0.10361445783132531,0.39518072289156625,0.5991967871485944,8.0
180,0.00493452230502005,0.012726458006047648,0.00015899643508065256,0.007791935701027598,0.2694859557748538,0.5563502224001424,0.7761816661357119,0.30715,0.61865,0.86675,0.24005,0.50545,0.70275,0.0041026737506721245,0.013748670824649997,0.00018673310562178973,0.009645997073977872,0.2364606240713224,0.5035817883126027,0.739460571647314,0.31575,0.657,0.9699,0.189,0.40825,0.5975,0.004435323861903806,0.012624481248286214,0.0001395930957779722,0.00818915738638241,0.14254466223519702,0.541597913256388,0.7989648512474805,nan,nan,0.16257668711656442,0.6697341513292433,0.9488752556237219,0.12690763052208837,0.45461847389558235,0.6899598393574298,0.00450849963149277,0.012341897567613263,0.00012439206318195034,0.007833397936120493,0.10420796284759584,0.5423377629725399,0.8067520824966641,nan,nan,0.11341222879684418,0.6755424063116371,0.9497041420118343,0.0963855421686747,0.4530120481927711,0.7012048192771084,9.0
200,0.004648581656599876,0.011286309422926723,0.00012657889371600045,0.006637727766326847,0.30903076800382806,0.5975396944029231,0.8195218979653811,0.3508,0.6545,0.87865,0.27615,0.5497,0.76785,0.003928773834967779,0.012217501425681837,0.00014940480107853812,0.008288727590714058,0.2661409977116705,0.5609122791862826,0.7972113737477678,0.3168,0.68065,0.9803,0.22945,0.477,0.67175,0.004420582920004385,0.012173976507187809,0.00012754905887007507,0.007753393587183423,0.1149511645379414,0.5680938523121819,0.8126290966900022,nan,nan,0.1223021582733813,0.6789568345323741,0.9586330935251799,0.10843373493975904,0.4883534136546185,0.7052208835341366,0.004480019762671409,0.012209283305654035,0.00012205912558139881,0.007729263542982627,0.10956521124220814,0.5491719367399852,0.8104077059584325,nan,nan,0.11833171677982542,0.6789524733268671,0.9524733268671193,0.10200803212851406,0.4610441767068273,0.7052208835341366,10.0
