frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0009119638404655227,0.05084899211046761,0.0030185013375393253,0.049937028270002085,0.05044799741253841,0.08199472548549509,0.12523434570678665,0.9016,1.0,1.0,0.02595,0.04275,0.0668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002013733218116362,0.05369998943162055,0.0031866016029393728,0.051686256213504186,0.02338135680638173,0.05209047292666209,0.09899665551839466,nan,nan,0.5128205128205128,1.0,1.0,0.011963406052076003,0.02674173117522871,0.05207600281491907,0.002309156441776926,0.024077727229004465,0.0007818638004658461,0.021768570787227538,0.09064410635575146,0.3600692440854011,0.5018450184501845,nan,nan,0.32075471698113206,1.0,1.0,0.05277973258268825,0.21956368754398312,0.33497536945812806,1.0
40,0.004702792062994965,0.022432945755844463,0.0006384609427615122,0.0177301536928495,0.3027054024734216,0.43327757215358587,0.5623218107159943,0.46755,0.65055,0.82865,0.2238,0.3248,0.42555,0.003547708791615601,0.028028023590095145,0.0009699938783010496,0.024480314798479546,0.2115567451298701,0.33221590946011803,0.44814698804942277,0.48035,0.70615,0.94005,0.13565,0.2172,0.2942,0.0022749615184315835,0.020524590575002846,0.000661975554442927,0.01824962905657126,0.22734661930278766,0.5290373090005939,0.6434367541766111,nan,nan,0.4075993091537133,0.9896373056994818,1.0,0.15763546798029557,0.3610133708655876,0.47431386347642507,0.00237251880627218,0.0222013520547812,0.0007463973792331624,0.01982883324850902,0.17616025602491547,0.5016969166164891,0.6109481915933528,nan,nan,0.3339483394833948,0.992619926199262,1.0,0.11963406052076003,0.3356790992258973,0.4398311048557354,2.0
60,0.004818499631374947,0.022359030988779602,0.0006303629342112216,0.017540531357404656,0.3019592622293504,0.43443205682520075,0.5642223067376597,0.46145,0.6435,0.81845,0.2244,0.3279,0.4305,0.00339803281748862,0.028388878565924962,0.0010068092283083575,0.024990845748436342,0.21429758607043928,0.33065387363369764,0.4436686451299883,0.495,0.72345,0.94695,0.13675,0.2143,0.2897,0.0024068404152684355,0.020856240762375702,0.0006747713539257767,0.018449400347107268,0.15680558709273568,0.5352985599333351,0.641491395793499,nan,nan,0.28842832469775476,0.9861830742659758,1.0,0.10767065446868403,0.3673469387755102,0.4722026741731175,0.00237251880627218,0.0222013520547812,0.0007463973792331624,0.01982883324850902,0.17616025602491547,0.5016969166164891,0.6109481915933528,nan,nan,0.3339483394833948,0.992619926199262,1.0,0.11963406052076003,0.3356790992258973,0.4398311048557354,3.0
80,0.004400490606334072,0.024695249641891306,0.0007878351903435069,0.020294759035557233,0.3105083344737922,0.4308971190333533,0.5311903795413031,0.5069,0.68765,0.84425,0.2238,0.31375,0.3875,0.002888711838386284,0.027126811816569403,0.0009956618492106138,0.02423809997818312,0.24565865370004558,0.39103379776520897,0.48662303427812914,0.4947,0.83175,0.9541,0.1634,0.2556,0.3266,0.0023176991455229824,0.022271060618496173,0.0007637300491448027,0.01995336147297319,0.20889524324742073,0.5249254818838179,0.61566962630845,nan,nan,0.3833634719710669,0.9873417721518988,0.9963833634719711,0.14356087262491204,0.3574947220267417,0.4454609429978888,0.0022941910190021762,0.020609442063445733,0.0006734696879759519,0.018315251044443558,0.2491295439511597,0.5425858499321767,0.6421089528168726,nan,nan,0.4351395730706076,0.9852216748768473,0.9967159277504105,0.17452498240675582,0.37438423645320196,0.4736101337086559,4.0
100,0.004589625030023169,0.02254891719255018,0.0006643179322474927,0.01795929216252701,0.3119707462045259,0.45722647791066634,0.5757027654436395,0.46295,0.6798,0.8479,0.23525,0.34445,0.4358,0.002042599050455475,0.03472178187280996,0.001601745412344483,0.03267918282235449,0.21081656224799952,0.3000923517903454,0.37100605689563687,0.68135,0.91965,0.99715,0.1247,0.1793,0.2279,0.002433100947649276,0.02063992348615701,0.0006715981345151171,0.018206822538507736,0.1910280045650075,0.552921374778118,0.6523977669500719,nan,nan,0.3258785942492013,0.9856230031948882,0.9968051118210862,0.13511611541168192,0.3842364532019704,0.4848698099929627,0.002286161351479404,0.02001894826230668,0.000645339388542854,0.01773278691082728,0.25676485421231776,0.5590505037667776,0.6565690593605719,nan,nan,0.43032159264931086,0.9831546707503829,0.998468606431853,0.18296973961998592,0.39057002111189304,0.48909218859957776,5.0
120,0.004249605619735425,0.02244522860165448,0.0006716074874563897,0.018195622981919055,0.31560897705009794,0.45425740258487657,0.5751333333333334,0.47935,0.70075,0.8627,0.23525,0.33605,0.43135,0.001960510996470093,0.03452830623594349,0.0016008840936078228,0.032567795239473396,0.2200860460863204,0.30315027839391606,0.3742966463414634,0.68925,0.9232,0.99975,0.13095,0.18135,0.23025,0.002380250363396406,0.020137848698388732,0.0006502874540979263,0.017757598334992325,0.24295496444561496,0.5578902971838906,0.6571850416901492,nan,nan,0.4072398190045249,0.9849170437405732,0.995475113122172,0.17311752287121746,0.3891625615763547,0.4904996481351161,0.00242530664416328,0.019954190953233465,0.0006340213235576812,0.017528884309070184,0.19978153602772233,0.5740556780096017,0.6663170376412192,nan,nan,0.32838038632986627,0.9791976225854383,0.9970282317979198,0.14356087262491204,0.4060520760028149,0.5003518648838846,6.0
140,0.004222343867680249,0.019140048189725666,0.0005079055323365221,0.014917704322045415,0.33040439811509353,0.5364736287011023,0.6532055950619067,0.4333,0.73405,0.8577,0.267,0.4227,0.52745,0.002386269258252082,0.02750379375756939,0.000975996672133464,0.02511752449931731,0.1781451545704525,0.29500266767214967,0.41615521678875467,0.49125,0.8838,1.0,0.1088,0.17705,0.26275,0.002471078003512405,0.017210903727944815,0.0004722954218295865,0.014739825724432411,0.2781046842196417,0.6156546391846819,0.721801348432023,nan,nan,0.4022140221402214,0.9692496924969249,0.998769987699877,0.21252638986629135,0.4510907811400422,0.5650950035186488,0.002463964529993821,0.01829441138803934,0.0005541260106101248,0.015830446858045518,0.24163394690392995,0.6136066858187517,0.711943282559651,nan,nan,0.3611111111111111,0.9788359788359788,0.9986772486772487,0.18156228008444758,0.4468684025334272,0.5531315974665728,7.0
160,0.004997352606744271,0.016715916042701284,0.00036196553732710675,0.011718563435957015,0.32499515886161723,0.5515841178806195,0.7057761717943423,0.38045,0.65915,0.849,0.28365,0.4742,0.6039,0.002513176039810637,0.015215378567985188,0.00036245811798240164,0.012702202528174552,0.3603907734056988,0.6038697960869729,0.735537712587722,0.48825,0.86865,1.0,0.2856,0.4628,0.5817,0.0032727014170712467,0.014098784559668107,0.0002844801269914615,0.01082608314259686,0.2768312791267403,0.6418443035142237,0.7882473497088901,nan,nan,0.3297199638663053,0.8039747064137308,0.997289972899729,0.23856439127375087,0.5341308937368051,0.6516537649542575,0.003293486547318862,0.014085612547834463,0.00027963239188805633,0.0107921260005156,0.21818934839065643,0.6422390185124329,0.7908175745601657,nan,nan,0.2587917042380523,0.8133453561767358,0.9972948602344455,0.18859957776213934,0.5306122448979592,0.6551724137931034,8.0
180,0.004964072936835466,0.0165331526893017,0.0003538250423809235,0.011569079752466236,0.32289505749752495,0.5401467719967311,0.7218138054291013,0.3703,0.6267,0.8618,0.28625,0.4746,0.62095,0.0021956589965840523,0.01518966438572109,0.0003776600589955204,0.012994005389137038,0.37242620440156765,0.5896905621070645,0.730037781376004,0.5469,0.90725,1.0,0.28235,0.4368,0.57485,0.0032776373632187215,0.013771461251352413,0.00028158315913128006,0.010493823888133693,0.3090784749529834,0.656159388908356,0.7950105124106949,nan,nan,0.350253807106599,0.7961082910321489,0.988155668358714,0.2765657987332864,0.558057705840957,0.6650246305418719,0.0035203124624129905,0.014101069503586925,0.0002739313250472974,0.010580757041173934,0.2173441749291299,0.638784924153727,0.7946657908039547,nan,nan,0.24784853700516352,0.7882960413080895,0.9870912220309811,0.19352568613652357,0.5369458128078818,0.6650246305418719,9.0
200,0.004841668207432747,0.015667604473572027,0.00032764534138743487,0.01082593626613928,0.3558167923092883,0.5661749468661896,0.7320690558856915,0.4067,0.65305,0.86095,0.31625,0.4997,0.63675,0.002463282300345631,0.0156339351349426,0.00039216875249654406,0.013170652834596968,0.3649398752162095,0.5697293447847038,0.7340570307307656,0.53155,0.86085,1.0,0.27785,0.42575,0.57985,0.0034279036553374023,0.013912513971761884,0.00027575773091644354,0.010484610316424482,0.27419700873673186,0.6459351076111852,0.8015918838667105,nan,nan,0.3126050420168067,0.7831932773109244,0.9899159663865547,0.2441942294159043,0.5496129486277269,0.673469387755102,0.003522208933990916,0.013969769321372654,0.0002695134858020833,0.010447560387381738,0.22565481755620362,0.6431571527241341,0.7992164900939362,nan,nan,0.25126050420168067,0.7865546218487395,0.9857142857142858,0.2047853624208304,0.5439831104855736,0.6720619282195637,10.0
