frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024063301450996345,0.06594362484796938,0.004660577322212721,0.06353729470286974,0.0016366612111292963,0.02444987775061125,0.0498793242156074,nan,nan,0.1,1.0,1.0,0.0008250825082508251,0.012376237623762377,0.02557755775577558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
40,0.011110741039694257,0.05500013335020216,0.00271170509514835,0.0438893923105079,0.0828724409448819,0.13874855308964318,0.1958785777067519,0.2288,0.37445,0.5042,0.0506,0.08515,0.12155,0.011460863312588398,0.05776840696562463,0.002874063977065814,0.046307543653036236,0.03255321173671689,0.09065222858739695,0.15721126160661045,0.1069,0.3046,0.49345,0.0192,0.05325,0.0935,0.004844502672853782,0.05151921488705324,0.0027710247736990375,0.04667471221419946,0.034991222937390286,0.11612989891527017,0.17513592946362969,nan,nan,0.22413793103448276,0.7844827586206896,0.8706896551724138,0.018976897689768978,0.0627062706270627,0.09735973597359736,0.0036573214059920436,0.04020856953886002,0.0018342928813642326,0.036551248132867975,0.03680389867505965,0.1519693507191827,0.26111908177905313,nan,nan,0.17058823529411765,0.7823529411764706,1.0,0.020627062706270627,0.08415841584158416,0.15016501650165018,2.0
60,0.0024651171806106104,0.03854262612601946,0.0019051852249115488,0.03607750894540885,0.16918256597417183,0.25191400747590004,0.3251478532158129,0.6143,0.8693,0.94975,0.0981,0.1473,0.19615,0.015122005523475457,0.05751486850495394,0.0027157148094511053,0.04239286298147848,0.08001940964111276,0.12346321272701674,0.18837979485194503,0.18435,0.2756,0.3928,0.0511,0.07955,0.1239,0.0036505597421270003,0.04363888143148684,0.002092143037987334,0.03998832168935983,0.03262683062472966,0.12498594470333954,0.20695579216524498,nan,nan,0.1610738255033557,0.8187919463087249,0.9932885906040269,0.018151815181518153,0.06765676567656766,0.11551155115511551,0.005951590676164677,0.04166863884114079,0.0018303865780580882,0.03571704816497611,0.042779512082321655,0.1761901129081477,0.27146820075544315,nan,nan,0.1574468085106383,0.6340425531914894,0.8680851063829788,0.024752475247524754,0.10231023102310231,0.1608910891089109,3.0
80,0.007003340090773222,0.01716041502181488,0.0003048155264457889,0.01015707493104166,0.27215980418819696,0.4801501903096389,0.671025525248802,0.30735,0.5396,0.74825,0.2442,0.4325,0.60825,0.006308505400995827,0.02070793864020778,0.0004583002967421992,0.014399433239211954,0.22331055679739892,0.40944614168783516,0.5897838084055389,0.32085,0.56455,0.74815,0.17125,0.3212,0.48675,0.004469006795161223,0.024604144443529957,0.0006943398311249568,0.020135137648368735,0.08321816559662719,0.37588481125914064,0.5159131415269341,nan,nan,0.16824644549763032,0.7890995260663507,0.933649289099526,0.05528052805280528,0.2466996699669967,0.3564356435643564,0.003030729428180789,0.03401055829302385,0.0013772265080356108,0.03097982886484306,0.06881172347881491,0.24086328005700902,0.34313055365686945,nan,nan,0.2621359223300971,0.883495145631068,1.0,0.039603960396039604,0.13943894389438943,0.2070957095709571,4.0
100,0.005783071496392317,0.019300263279801118,0.00036081703630995053,0.0135171917834088,0.24987038746190682,0.3650973209404046,0.5591354967881872,0.39055,0.54975,0.7546,0.1837,0.2733,0.4441,0.005735870370550987,0.029917176658479563,0.0009309489321005637,0.024181306287928576,0.17694856304391823,0.2803848786599842,0.4061516005617705,0.37865,0.57255,0.7546,0.11545,0.18565,0.27785,0.002624176901861223,0.028694583323113036,0.0010272275056280543,0.026070406421251812,0.10947938432561287,0.3421693264809305,0.43713733075435207,nan,nan,0.32068965517241377,0.9482758620689655,1.0,0.066006600660066,0.20874587458745875,0.27970297029702973,0.002830829840334465,0.031009906332070278,0.001238252234845126,0.028179076491735813,0.10283222241494659,0.32137586805555557,0.4290343486714193,nan,nan,0.304029304029304,0.9194139194139194,1.0,0.06188118811881188,0.19471947194719472,0.2731023102310231,5.0
120,0.005228783177679431,0.017509637461693844,0.0003856392949059346,0.012280854284014415,0.3186163114268798,0.5313830629490712,0.6722847610427227,0.4183,0.66315,0.80265,0.2573,0.4433,0.57835,0.004804288030514546,0.03213863817386141,0.0010952394769817224,0.027334350143346866,0.07334113280619656,0.18569263324008323,0.368176606729571,0.26735,0.58675,0.8914,0.0425,0.1103,0.232,0.003383800875776003,0.018703239498094267,0.0004675573594548619,0.015319438622318264,0.15229672161511393,0.537207860944685,0.672602487941283,nan,nan,0.22990353697749197,0.8536977491961415,0.9726688102893891,0.11386138613861387,0.3919141914191419,0.514026402640264,0.002679090559534985,0.02726378608477506,0.0009442515875126849,0.024584695525240074,0.13500187242541506,0.3669114151391897,0.47258979206049145,nan,nan,0.328125,0.94375,1.0,0.08498349834983498,0.22772277227722773,0.3094059405940594,6.0
140,0.004399469711074561,0.015628453603809878,0.0003062423884610456,0.011228983892735316,0.3598288736937169,0.5405002836817526,0.7112525927696036,0.4912,0.7089,0.85655,0.2839,0.43675,0.6081,0.005444538761618957,0.021839753370031762,0.0005553911410232482,0.016395214608412804,0.2931501813784764,0.445321509913574,0.5898301621921719,0.4424,0.64285,0.7904,0.2192,0.34065,0.47045,0.0025337513023836232,0.022306696442019994,0.0006715860286347517,0.019772945139636372,0.19450868765937257,0.4669547639795368,0.5824561403508772,nan,nan,0.36936936936936937,0.9436936936936937,1.0,0.132013201320132,0.3102310231023102,0.41089108910891087,0.002741815192106088,0.021014837348143856,0.0005566070025979204,0.018273022156037766,0.12575574365175332,0.4856479205167766,0.5857642940490082,nan,nan,0.23529411764705882,0.9455337690631809,1.0,0.0858085808580858,0.32673267326732675,0.4141914191419142,7.0
160,0.004932675051511581,0.019236735290612723,0.0003945317131011327,0.014304060239101142,0.2669545370758274,0.44351071554993676,0.5909083161297862,0.3952,0.65295,0.8226,0.20155,0.3358,0.46105,0.003348374774079494,0.019758217523943643,0.000466493308245247,0.01640984274986415,0.2688262779489611,0.43227635286812816,0.5954881242584403,0.43915,0.74185,0.9588,0.1937,0.305,0.43185,0.0029550455983101014,0.017124024647775942,0.00036614345588243167,0.01416897904946584,0.17698201086773097,0.5457031494888485,0.6749827270544726,nan,nan,0.2792642140468227,0.8812709030100334,0.9949832775919732,0.12953795379537955,0.3952145214521452,0.5107260726072608,0.003083214012244329,0.014339218786194392,0.0002579237455099646,0.011256004773950062,0.22499094343528436,0.617564356735324,0.7391180447028421,nan,nan,0.29156327543424315,0.8759305210918115,0.9801488833746899,0.18316831683168316,0.4768976897689769,0.5932343234323433,8.0
180,0.004947304618196207,0.012972842525723208,0.0001955931032278305,0.008025537907527,0.4017176291977896,0.6019689611400024,0.7409376983329986,0.4757,0.6828,0.8133,0.34765,0.53825,0.6804,0.0046964262612987934,0.01508770386798938,0.00025884808623401006,0.010391277606690586,0.35641009038176175,0.5340687063095779,0.6891927431059506,0.4433,0.6466,0.8159,0.298,0.4549,0.59655,0.004085255343256034,0.012964344877943382,0.0001943790539048215,0.008879089534687348,0.24089030771807377,0.6429225841723314,0.7739024321026193,nan,nan,0.27199191102123355,0.7987866531850354,0.9191102123356926,0.21617161716171618,0.5379537953795379,0.6683168316831684,0.0041225313270577095,0.012996829119598778,0.00017745096383439695,0.008874297792541069,0.16097391304347825,0.6329396049341638,0.771627837958154,nan,nan,0.1780821917808219,0.7935420743639922,0.9285714285714286,0.14686468646864687,0.5264026402640264,0.6600660066006601,9.0
200,0.004738749304866619,0.012443818421236538,0.00017377105763687777,0.007705069116369918,0.3816121270452358,0.5975949427087627,0.7555901706596653,0.4455,0.68025,0.83025,0.33375,0.53285,0.69325,0.00470946117899781,0.0134449138753093,0.0001955907867529343,0.008735452696311489,0.3426625303614802,0.5568501541035575,0.7428798763145711,0.40045,0.64665,0.85535,0.29945,0.48895,0.65655,0.004335345605934371,0.012231336046248334,0.00016080654554424795,0.007895990440313963,0.22311044318024761,0.6574096027981241,0.7948050165197729,nan,nan,0.2295786758383491,0.7558039552880481,0.9019776440240757,0.21699669966996699,0.5816831683168316,0.7103960396039604,0.00437115600154758,0.012766355550094415,0.00016796109391079686,0.008395199548546835,0.20193810565801812,0.6233237141402139,0.7806633949946831,nan,nan,0.21794871794871795,0.7472527472527473,0.9120879120879121,0.18811881188118812,0.5346534653465347,0.6823432343234324,10.0
