frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
40,0.005462090139419115,0.020716096814517325,0.0004287519378055211,0.01525400667509821,0.19448908016177538,0.35321802657687446,0.5570311804995971,0.34705,0.57705,0.81895,0.1351,0.2545,0.42205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0024296671734025358,0.02764149865913847,0.0009453716464505058,0.025211831485735935,0.04580716660509789,0.22269807280513917,0.3976833976833977,nan,nan,0.2857142857142857,1.0,1.0,0.024899598393574297,0.12530120481927712,0.24819277108433735,0.002345807668573713,0.026335374463813878,0.0009034303710157375,0.023989566795240166,0.06028751544730708,0.27533361849991816,0.49728424864212434,nan,nan,0.3560606060606061,0.9924242424242424,1.0,0.03293172690763052,0.1598393574297189,0.3309236947791165,2.0
60,0.002658851616241151,0.02088156209495731,0.0006377907623064357,0.018222710478716157,0.3433311675423234,0.49776617278797997,0.6035739055485725,0.61895,0.84525,0.94995,0.23755,0.35275,0.4423,0.011099939513161078,0.020533526133894843,0.0003740618924903903,0.009433586620733764,0.18079632444383031,0.3707464329062711,0.6029242907948061,0.18575,0.3719,0.5732,0.1761,0.3696,0.6359,0.0023062844205883827,0.020424050327114765,0.0005944918452917571,0.018117765906526383,0.2280728892738917,0.5017620894160585,0.609715242881072,nan,nan,0.4511627906976744,0.9720930232558139,1.0,0.15261044176706828,0.3381526104417671,0.43855421686746987,0.002409286981892084,0.020935019639793512,0.000642479699794606,0.018525732657901427,0.17045417173677113,0.5205686050677842,0.6250690226394258,nan,nan,0.3371824480369515,0.9815242494226328,1.0,0.1140562248995984,0.3542168674698795,0.45461847389558235,3.0
80,0.0037074662361163673,0.019289019930705316,0.0004906937105500808,0.01558155369458895,0.30339365725923767,0.49114959528055974,0.6335883352410931,0.4614,0.7209,0.91255,0.226,0.37245,0.48525,0.0031160948986162073,0.019912733858233563,0.0005377916681132474,0.016796638959617357,0.26791027444916893,0.4824761138502914,0.6198304772158933,0.4573,0.76265,0.98805,0.18945,0.35285,0.45155,0.0025396275042716848,0.017352969374098266,0.00045476085517804135,0.014813341869826581,0.21525200925170973,0.5978322222090651,0.7067350071939749,nan,nan,0.3402061855670103,0.9656357388316151,0.9982817869415808,0.157429718875502,0.43293172690763054,0.5469879518072289,0.0023221141680019116,0.017201633430660643,0.00045379759994282316,0.01487951926265873,0.276857198468825,0.5940404255003779,0.6942842160461458,nan,nan,0.4379310344827586,0.9741379310344828,1.0,0.20240963855421687,0.42730923694779116,0.5317269076305221,4.0
100,0.004037025913338091,0.01070926399479738,0.00012810506564369948,0.006672238081459288,0.40954902334444976,0.6269023540045587,0.8026667079093074,0.4854,0.71285,0.87525,0.3542,0.55945,0.7412,0.002830728618009081,0.014012052549705762,0.0002758616839576168,0.011181323931696682,0.33788407528300574,0.6034872570943862,0.74715354086335,0.44915,0.81905,0.9978,0.2708,0.47775,0.59715,0.002802390678950341,0.010595020926599242,0.00013759610013376944,0.007792630247648901,0.22569226483424645,0.7332831525348683,0.835703371144437,nan,nan,0.26170212765957446,0.9446808510638298,0.997872340425532,0.19839357429718876,0.5991967871485944,0.7188755020080321,0.002743087689967955,0.010438725554038786,0.00013796882816939098,0.007695637864070832,0.24944758242198453,0.7328620306083178,0.8413215449046068,nan,nan,0.28383838383838383,0.9373737373737374,1.0,0.22248995983935743,0.6016064257028112,0.7261044176706827,5.0
120,0.0038066836421164823,0.011273560390935713,0.00015762180185873264,0.0074668767488192305,0.4006869915720044,0.646009504670035,0.803565796923077,0.4689,0.72115,0.8977,0.3498,0.58505,0.7273,0.0027347371469459104,0.012483692288807014,0.00023021090647520263,0.009748955141861105,0.39358317996221587,0.6522144795716276,0.7874587606967287,0.49285,0.8233,0.997,0.3276,0.54,0.6507,0.0030287844609736122,0.010077856243214861,0.00012287174324125149,0.007049071782241249,0.23406146600743527,0.7550142557229164,0.8615053232300944,nan,nan,0.24690265486725663,0.9008849557522124,0.9973451327433628,0.22248995983935743,0.6497991967871486,0.7582329317269076,0.0027702900105741287,0.009328424856501441,0.00011291006598575153,0.006558134845927312,0.35632122536508837,0.7645826835997407,0.8719536337863353,nan,nan,0.37856525496974935,0.9006050129645635,0.9991356957649092,0.3365461847389558,0.6642570281124498,0.7734939759036145,6.0
140,0.0040077479730874985,0.009600341696493146,0.00010476991918213209,0.005592593723405649,0.3975909596401349,0.6981233680902729,0.8411153108769848,0.43215,0.7373,0.87495,0.36815,0.6629,0.8098,0.0027435803665764886,0.010415661239810501,0.00014709261136960724,0.007672080873234013,0.39042286959228134,0.6883952814861906,0.8317672753834915,0.4687,0.8252,0.9985,0.33455,0.5905,0.71275,0.0030459782381174493,0.00846272502550158,7.365313095788577e-05,0.005416746787384131,0.22104156384782095,0.804235532184191,0.9104020297988817,nan,nan,0.22283464566929134,0.9125984251968504,0.9968503937007874,0.21927710843373494,0.7188755020080321,0.8377510040160643,0.0027467339088906822,0.008297121492876407,8.708731142959078e-05,0.005550387583985726,0.39657381011049114,0.7996084442488351,0.9037198573469817,nan,nan,0.40128928283642223,0.9033037872683319,0.9991941982272361,0.39196787148594375,0.7172690763052209,0.8248995983935743,7.0
160,0.003278154645311691,0.007137188656206494,6.672703063007993e-05,0.0038590340108948028,0.5063278342416654,0.8017549978202653,0.9042355201680906,0.54725,0.8325,0.91025,0.4711,0.7732,0.8983,0.0025685705827338343,0.007573996023869947,7.413662674864987e-05,0.005005425441136113,0.4671049078780178,0.7677377333505588,0.9118721903154686,0.52125,0.84395,0.99635,0.42315,0.70415,0.8406,0.002818591977203936,0.007057927716267003,5.208771320575097e-05,0.004239335739063067,0.3134841452305557,0.8670144581127018,0.9422259983007647,nan,nan,0.2984441301272984,0.9278642149929278,1.0,0.3301204819277108,0.8136546184738955,0.8907630522088353,0.0027388087248983654,0.006644801459320478,4.812252894016959e-05,0.003905992734422113,0.43243974880544683,0.8617658521095249,0.9472809139184888,nan,nan,0.40717736369910285,0.9089026915113871,0.9993098688750862,0.4610441767068273,0.8192771084337349,0.9004016064257028,8.0
180,0.0032376795525141254,0.006721885922264533,6.062782695204631e-05,0.003484206369750408,0.5475127666348297,0.80823635126778,0.909890631353371,0.58415,0.8231,0.9026,0.5152,0.7939,0.9173,0.0025575114122707455,0.006921626995529806,6.459422161132082e-05,0.004364115583259061,0.4767530419343047,0.8183378043206679,0.9336927721768816,0.50945,0.86235,0.9959,0.448,0.7786,0.8788,0.0030142746376377954,0.0069190137670999755,4.489778725590465e-05,0.0039047391294621805,0.2869209547668603,0.8632041967414267,0.9529015979814971,nan,nan,0.2586771447282253,0.8939096267190569,1.0,0.3220883534136546,0.8345381526104417,0.9100401606425703,0.002948185706600229,0.0068422997322578755,4.565589278863059e-05,0.0038941140256576463,0.31188129802533393,0.8639667779760273,0.9512867509690884,nan,nan,0.2832258064516129,0.8909677419354839,0.9993548387096775,0.3469879518072289,0.8385542168674699,0.9076305220883534,9.0
200,0.0032862098293516724,0.00701516899019523,6.528656210154761e-05,0.0037289591608435572,0.5386007773459189,0.7868747967479676,0.906039048617626,0.5706,0.8032,0.9092,0.51,0.7712,0.9029,0.0024467796981857645,0.0064546566317690394,5.85627607840946e-05,0.0040078769335832745,0.5238879347359381,0.8339728146042198,0.9332711556930957,0.5325,0.8696,0.997,0.51555,0.80115,0.8772,0.00296179977750515,0.007086717245397725,5.2335695483736505e-05,0.004124917467892575,0.3202483782293667,0.859334748192745,0.9441854369516084,nan,nan,0.2849905003166561,0.8967701076630779,0.999366687777074,0.3654618473895582,0.8248995983935743,0.8947791164658635,0.0029911304607939887,0.006814759175821046,4.39855502847058e-05,0.0038236287150270575,0.31382156203975703,0.8613266623113817,0.9520381474687474,nan,nan,0.2811906269791007,0.8853704876504117,0.9981000633312223,0.3550200803212851,0.8385542168674699,0.9100401606425703,10.0
220,0.002904892355126242,0.006375557410530555,4.927806397858985e-05,0.0034706650554043135,0.5167997641509433,0.8152064693990076,0.9323909802659803,0.55615,0.8439,0.9353,0.48265,0.7884,0.9295,0.0025178566980313165,0.00606708519637565,4.9183250962646206e-05,0.003549228498344334,0.5211244521172013,0.8492056976367758,0.9443892101719085,0.5111,0.8646,0.99375,0.53155,0.83435,0.8997,0.0031244237178500037,0.006830190382588737,4.2473654174351026e-05,0.003705766664738733,0.2856159669649002,0.859988672154441,0.9558613522608376,nan,nan,0.2498494882600843,0.8729680915111379,0.9987959060806743,0.3333333333333333,0.8473895582329317,0.9164658634538153,0.003155696196508534,0.006869559223846572,4.275184382883111e-05,0.0037138630273380376,0.29934489220642196,0.8516016653921319,0.9551507452190287,nan,nan,0.26006006006006005,0.8558558558558559,0.9981981981981982,0.3526104417670683,0.8473895582329317,0.9156626506024096,11.0
