frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.007113101313517359,0.03831653156127482,0.001417403171835946,0.03120343024775746,0.059799112325025605,0.12112963520120344,0.27886450943069735,0.2591,0.4621,0.69225,0.0338,0.0697,0.1746,0.08395501609791642,0.11001159244226656,0.010634758105392708,0.026056576344350144,0.021748006379585325,0.05235332693538069,0.10763057738814993,0.014,0.03325,0.06765,0.0487,0.12305,0.26315,0.00223535979347419,0.04637910859426271,0.0024408195192879762,0.04414374880078852,0.009732360097323601,0.03864734299516908,0.13394615889691397,nan,nan,0.4,1.0,1.0,0.0049261083743842365,0.019704433497536946,0.07178043631245602,0.003014278067445556,0.043339372372821865,0.002088384299774893,0.040325094305376306,0.012415505586977515,0.05586374695863747,0.16999356084996783,nan,nan,0.3125,0.875,1.0,0.0063335679099225895,0.028852920478536243,0.09289232934553132,1.0
40,0.007163144730705539,0.04950924074202491,0.0024399047100736606,0.04234609601131937,0.06833452277845141,0.15523574987944058,0.2297438811188811,0.24905,0.5312,0.69165,0.0396,0.0909,0.13775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003355545441907757,0.04725775437019792,0.0024700286991334143,0.043902208928290165,0.023731048121292023,0.1094264996704021,0.2091997479521109,nan,nan,0.1875,0.8645833333333334,1.0,0.012667135819845179,0.05840957072484166,0.11681914144968332,0.0031859434902950915,0.04691599710708062,0.002376260967463155,0.04373005361678553,0.008107325547727053,0.0925544191184448,0.1485342019543974,nan,nan,0.10144927536231885,0.9855072463768116,1.0,0.00422237860661506,0.048557353976073185,0.08022519352568613,2.0
60,0.004207358430756225,0.03092385638586624,0.001226722819003814,0.026716497955110014,0.2644971980947044,0.3658306408103018,0.4619426253563642,0.5385,0.7393,0.87935,0.1753,0.24305,0.31325,0.005158378556361805,0.04579381907687091,0.002179802598362236,0.04063544052050911,0.04671891450724342,0.11642262169086251,0.19995063731170337,0.2189,0.51995,0.96725,0.02615,0.06555,0.1115,0.0023188041201540905,0.029875779590628662,0.00119986188321925,0.027556975470474573,0.14877648312079342,0.3492071650690036,0.45206971677559915,nan,nan,0.4119496855345912,0.9937106918238994,1.0,0.09078114004222379,0.21182266009852216,0.2920478536242083,0.002345382798687365,0.029302319163414168,0.0011850641650987506,0.0269569363647268,0.1355627956236481,0.38345000487854086,0.49470338983050843,nan,nan,0.3688760806916426,0.9884726224783862,1.0,0.08304011259676285,0.2378606615059817,0.3286418015482055,3.0
80,0.0046305260084878175,0.02229503675204495,0.0006719177820921437,0.017664510743557134,0.3062558561236623,0.4844613807373966,0.6058418290002274,0.4371,0.6899,0.84805,0.2357,0.3733,0.47125,0.0036761976301492427,0.030252853552719845,0.0011448811755282952,0.026576655922570604,0.19650197473759115,0.3413707736994983,0.45982496331322364,0.4352,0.72335,0.9201,0.1269,0.2234,0.3065,0.002315734448509615,0.019531794658538326,0.0006147597332860729,0.01721606021002871,0.2510643474029923,0.5761243448648556,0.6744402985074627,nan,nan,0.4067796610169492,0.9830508474576272,1.0,0.18156228008444758,0.4074595355383533,0.5087966220971147,0.002706678644744338,0.021356834592696633,0.0006557307039196402,0.018650155947952295,0.15556878637140606,0.5068530199354275,0.623062015503876,nan,nan,0.2956204379562044,0.9507299270072993,1.0,0.1055594651653765,0.34553131597466574,0.4524982406755806,4.0
100,0.00474081203614006,0.01763874212095181,0.0004519373145948693,0.012897930084811748,0.4145212884670693,0.5827893825735718,0.6864215443414254,0.5281,0.7266,0.8254,0.34115,0.4865,0.5875,0.002987137264440091,0.018543816432962087,0.0005330908290731956,0.015556679168521995,0.3537816607887143,0.5500531963187651,0.6841442763422145,0.5085,0.7895,0.9634,0.27125,0.42205,0.5304,0.0024513126778986016,0.015196074642343977,0.0003821874091163284,0.012744761964445375,0.2977464759864932,0.6516502035384507,0.7643478260869565,nan,nan,0.408187134502924,0.9543859649122807,1.0,0.2343420126671358,0.49472202674173116,0.6185784658691063,0.0025640715484598064,0.013169469082119958,0.00026642738961600045,0.010605397533660152,0.29773270199048596,0.6837024542341199,0.7918240316428927,nan,nan,0.39211391018619934,0.940854326396495,0.9956188389923329,0.23997185080928923,0.5369458128078818,0.657283603096411,5.0
120,0.0044790979118599725,0.012102670146934372,0.00020145669122946598,0.0076235722350743995,0.4708431014583989,0.6661354721054004,0.7767025282066033,0.5287,0.733,0.8476,0.4244,0.61045,0.71675,0.0027221658602271603,0.01609052982096444,0.00043269648327773065,0.01336836396073728,0.39670125044447074,0.6112887953992822,0.7426139136459546,0.52485,0.80135,0.99545,0.31885,0.4941,0.5922,0.0027181259149239387,0.009944166218760955,0.00013581539269835662,0.007226040303837015,0.32288375538921044,0.7643520769150715,0.860169530865573,nan,nan,0.35275339185953714,0.9241819632881085,0.9992019154030327,0.2976776917663617,0.6516537649542575,0.7551020408163265,0.002769360046872531,0.008918841835009057,0.00010264905189228435,0.006149481788136526,0.32575767708110426,0.792057876101212,0.8892274933588057,nan,nan,0.3499222395023328,0.9152410575427683,0.9984447900466563,0.3047149894440535,0.6980999296270233,0.8015482054890922,6.0
140,0.004464862526015606,0.010434277835621595,0.00015598354464310395,0.005969415309605988,0.48566527976312024,0.7143439090718919,0.8164225953451387,0.53415,0.7611,0.84605,0.44525,0.673,0.7888,0.002835280712692443,0.010877670910225592,0.00015972104587223267,0.008042390197533148,0.3999101479022034,0.6440787196649591,0.8260707590138402,0.49085,0.79655,0.99575,0.3374,0.5406,0.7058,0.0029908907370300745,0.009460044029414317,0.00011178060359023486,0.006469153292384243,0.22146910448059356,0.7956169580035198,0.893006508090457,nan,nan,0.23037037037037036,0.9162962962962963,0.9992592592592593,0.21323011963406052,0.7030260380014075,0.8071780436312456,0.002804254230079313,0.008845690934198189,9.88970798277608e-05,0.006041436704118876,0.32516268694148553,0.7919398962365611,0.898140678963247,nan,nan,0.3458301453710788,0.9089517980107116,0.9992348890589136,0.306826178747361,0.7016185784658691,0.8156228008444757,7.0
160,0.004577678618004916,0.012016411471176462,0.000201433935051141,0.0074387328531715455,0.4866015690057886,0.6761088691307223,0.7742700099591994,0.54555,0.7348,0.8333,0.43915,0.6261,0.72305,0.002470345423719656,0.010624650822151267,0.00017276406394676702,0.008154305398431611,0.45720540828276374,0.698457403189066,0.8244159660159924,0.5461,0.8613,0.99905,0.3932,0.5874,0.70175,0.003030905785435362,0.010049333804322816,0.00013008514585459007,0.007018428018887453,0.23267811082451303,0.7726143222064976,0.8717745136959111,nan,nan,0.23529411764705882,0.9021970233876683,1.0,0.23011963406052077,0.6755805770584096,0.772695285010556,0.002876329895117296,0.008533298596075534,8.640736804061746e-05,0.005656968700958239,0.29892336922102597,0.8018101600183167,0.9041060322888013,nan,nan,0.3076923076923077,0.9047282992237121,0.9992942836979535,0.29064039408866993,0.7199155524278676,0.8254750175932442,8.0
180,0.004364013278182434,0.011621073420992032,0.00019211536916572173,0.007257060142809598,0.4977779393456502,0.6811243333941273,0.7894550904050904,0.5482,0.73935,0.85135,0.45585,0.6314,0.73595,0.002255360715164302,0.009782023837513315,0.00015304249471532458,0.007526663122349012,0.4907508687355629,0.7278886600668809,0.8380747014556761,0.5573,0.89835,0.9991,0.4384,0.6118,0.72175,0.002839974996619754,0.009457344890745827,0.00011834817774081892,0.006617369894126072,0.29841169919132243,0.7862235963409839,0.8722222222222222,nan,nan,0.29774127310061604,0.919233401779603,1.0,0.29908515130190005,0.6868402533427164,0.7733990147783252,0.002852262121150496,0.008968038761792002,0.00010143519043884915,0.006115776640641506,0.272863360555742,0.8019466579307475,0.889409925752247,nan,nan,0.26859504132231404,0.9152892561983471,1.0,0.2772695285010556,0.7135819845179451,0.800844475721323,9.0
200,0.004341573008136128,0.009100112643120481,0.00012031634366498303,0.004758539634984352,0.5205308329740864,0.7512210344254117,0.8464397188256838,0.5489,0.76905,0.8494,0.49495,0.7342,0.8435,0.0025653788601562367,0.007414913367242244,7.826916026644584e-05,0.004849534507086007,0.5056923076923078,0.7814349753224008,0.9128156957620899,0.519,0.83895,0.9991,0.49305,0.7313,0.84025,0.0030085145937484114,0.007606050826948398,6.221324060780202e-05,0.004597536233199986,0.29040052927461785,0.8395359468277935,0.9359790340696369,nan,nan,0.2676470588235294,0.8935294117647059,1.0,0.31738212526389864,0.7916959887403238,0.8796622097114708,0.0028905594934986807,0.0077878617921233444,6.992289777752223e-05,0.004897302298624663,0.34337790059739104,0.8279694782186806,0.9215871212148015,nan,nan,0.3256681168427595,0.8974518334369174,0.9993784959602238,0.36312456016889516,0.7684729064039408,0.8550316678395496,10.0
220,0.004246053513362567,0.008931427311708944,0.00011960242840036858,0.0046853737983463765,0.5644682529162248,0.7548412062630341,0.8389227622169249,0.59325,0.77225,0.84705,0.53835,0.7382,0.83095,0.00247840687890653,0.007185533428735782,7.434731567709288e-05,0.004707126549829252,0.535471051771626,0.790886787939825,0.9094153940550859,0.5409,0.8468,0.99875,0.53015,0.7419,0.83475,0.003179980886519,0.007870104507898861,5.89151476956739e-05,0.004690123621379861,0.18669527896995708,0.8461836497481597,0.9326721121729051,nan,nan,0.17008797653958943,0.9032258064516129,0.9988269794721407,0.20689655172413793,0.7959183673469388,0.8747361013370866,0.0029553208480553577,0.006987656904664992,4.802110818604307e-05,0.004032336056609635,0.3106641993197875,0.8581148229159232,0.950252574758173,nan,nan,0.2896430661205383,0.8976009362200117,0.9994148624926857,0.33497536945812806,0.8219563687543983,0.9057002111189303,11.0
