frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013265745536358042,0.051823458974925296,0.0018311721248795662,0.03855771343856725,0.0,0.004672897196261682,0.026920031670625497,nan,nan,0.0,0.041666666666666664,0.3333333333333333,0.0,0.0024752475247524753,0.014026402640264026,1.0
40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005744696760538843,0.04616208604467389,0.0020288892049132013,0.04041738928413505,0.018447348193697154,0.06997537903330309,0.13201134910984316,nan,nan,0.1348314606741573,0.6067415730337079,0.8202247191011236,0.009900990099009901,0.03712871287128713,0.07178217821782178,2.0
60,0.005613261535204058,0.016281391147379632,0.0002297977493821964,0.010668129612175574,0.17412976913730258,0.38276230282943596,0.6853807757989754,0.2304,0.50735,0.8687,0.13995,0.3073,0.56595,0.006455955935239137,0.023747612413884935,0.0005349008880487533,0.017291656478645796,0.13389787750151608,0.3002564233124613,0.5079851759119361,0.2364,0.5147,0.7821,0.0934,0.21195,0.37615,0.004863257388314446,0.0300426560662327,0.0009113907349460319,0.025179398677918255,0.03877496671105193,0.1432821419956581,0.35659798739424575,nan,nan,0.2014388489208633,0.5827338129496403,0.935251798561151,0.02145214521452145,0.08168316831683169,0.2202970297029703,0.004254502181237797,0.055708994526171944,0.0031914584578524733,0.05145449234493415,0.0064061499039077515,0.0416208104052026,0.1267387944358578,nan,nan,0.10869565217391304,0.6956521739130435,1.0,0.0033003300330033004,0.02145214521452145,0.06765676567656766,3.0
80,0.0029883915362720875,0.04234646836933154,0.0020069978026955116,0.039358076833059454,0.05410968569595895,0.13748887900355872,0.23984378030503392,0.3605,0.8242,0.998,0.02925,0.075,0.1363,0.005195877256830588,0.04928033766899441,0.0024439976200866767,0.04408446041216382,0.03107446320617052,0.09138651429469054,0.17508048664122136,0.22315,0.58705,0.84555,0.0167,0.04955,0.09765,0.0032919596299303224,0.05205473262145701,0.002917950853433403,0.04876277299152669,0.007867820613690008,0.08654602675059009,0.1524390243902439,nan,nan,0.0847457627118644,0.9322033898305084,1.0,0.004125412541254125,0.04537953795379538,0.08250825082508251,0.003662818363112092,0.04761961396367768,0.0024583656348497983,0.04395679560056558,0.03193916349809886,0.12049739120729903,0.2132554770035021,nan,nan,0.20388349514563106,0.7961165048543689,0.9805825242718447,0.017326732673267328,0.06518151815181518,0.11963696369636964,4.0
100,0.00530788220406182,0.013829367727857419,0.00020566671642639054,0.0085214855237956,0.3066634483868372,0.5853839505652101,0.7417522373118888,0.34625,0.65855,0.82405,0.2752,0.52685,0.6744,0.004386063933102133,0.021240144981993,0.0006064400994694485,0.016854081048890867,0.28385443908609376,0.4879461404989683,0.6483157595596963,0.4174,0.68825,0.87505,0.21505,0.37795,0.5149,0.0033223058460108337,0.026410525245109756,0.0010033503727211793,0.02308821939909892,0.14783167474252765,0.4722936662275475,0.6001613452918666,nan,nan,0.2462962962962963,0.8407407407407408,0.9851851851851852,0.10561056105610561,0.32838283828382836,0.4315181518151815,0.00309289281803749,0.02539060086862748,0.0009317274297924316,0.02229770805058999,0.16370921579851172,0.4864625756951754,0.6042621740153791,nan,nan,0.2672897196261682,0.8766355140186916,0.994392523364486,0.11798679867986799,0.33663366336633666,0.43399339933993397,5.0
120,0.004285201063961435,0.013584181765920685,0.00023710025706870784,0.009298980701959251,0.36902259184074393,0.617314469885712,0.759229368932039,0.45155,0.7291,0.87375,0.312,0.53525,0.67125,0.0028826720174118764,0.013248710777252213,0.0002563559792273706,0.010366038759840336,0.39130512331631706,0.6261311756288598,0.7739975428076898,0.485,0.82225,0.97675,0.32795,0.50555,0.64095,0.0031349587178276113,0.012979431938547078,0.00023323832381548994,0.009844473220719466,0.2191213210651392,0.6906904639430678,0.814449512508044,nan,nan,0.256198347107438,0.8739669421487604,0.9958677685950413,0.19141914191419143,0.570957095709571,0.6889438943894389,0.0031642377948784234,0.012558518739360293,0.00021619430799983013,0.009394280944481869,0.23406238591939663,0.6980199341409598,0.8184716660463406,nan,nan,0.2650356778797146,0.8634046890927625,0.9908256880733946,0.20957095709570958,0.5858085808580858,0.6971947194719472,6.0
140,0.004303172131377627,0.011764925734043807,0.00017590878784810496,0.007461753602666181,0.4184944864673206,0.6488524415327189,0.7977326861445597,0.46695,0.7265,0.8714,0.37915,0.5862,0.73555,0.00273150682302265,0.011166753335695246,0.00019195647822094574,0.008435246512672596,0.4627767118193892,0.662138496949326,0.8257302207681199,0.5314,0.80735,0.98615,0.40985,0.5612,0.7102,0.0033729477748694987,0.011234017025426729,0.00017290934259017724,0.007861069250557231,0.20692891290309093,0.7548482450521062,0.8664535047946861,nan,nan,0.20357420357420358,0.8562548562548562,0.9922299922299922,0.2103960396039604,0.6749174917491749,0.768976897689769,0.0034153105791932285,0.010775617158518179,0.00015138605429348354,0.007360306579324951,0.190223934505177,0.7579341710833191,0.8787845005381163,nan,nan,0.18518518518518517,0.8410493827160493,0.9945987654320988,0.19554455445544555,0.6897689768976898,0.7871287128712872,7.0
160,0.003121213567603451,0.0074917169292788265,7.325435347671593e-05,0.004370503361675375,0.5487875576662143,0.7811289170837451,0.8612942396246633,0.59955,0.8335,0.90405,0.50595,0.73495,0.8224,0.0027550841547049165,0.0069271276469266094,6.51814602297564e-05,0.0041720434922216925,0.5334292655578396,0.7916971226653206,0.9128986572977096,0.5052,0.816,0.98585,0.565,0.7688,0.85,0.003330580607505731,0.008000150845264647,6.864514873022641e-05,0.004669570237758917,0.3354923804550901,0.795519675683232,0.916500099100703,nan,nan,0.295625,0.82875,0.985625,0.38778877887788776,0.7648514851485149,0.8564356435643564,0.0034945306295799286,0.0084186115937091,6.882475308850314e-05,0.004924080964129171,0.2249160913580921,0.788449932931184,0.9169186543181417,nan,nan,0.19823232323232323,0.8320707070707071,0.98989898989899,0.2599009900990099,0.7491749174917491,0.8539603960396039,8.0
180,0.0034342222133297243,0.007610977356449426,7.057836367419414e-05,0.004176755143119702,0.4889704967360261,0.7917560302457466,0.8661501052328097,0.51475,0.8307,0.8962,0.46565,0.7563,0.83805,0.0026547931640700257,0.0071115523501493385,7.029971781767818e-05,0.004456759186079313,0.508557999019127,0.8051010801275108,0.9093269108889253,0.4851,0.85425,0.98815,0.5344,0.7613,0.84215,0.0034720774970323767,0.00802494306952526,6.167973147754161e-05,0.0045528655724928835,0.2529290144727774,0.7964288273084057,0.9290435048535098,nan,nan,0.21715976331360948,0.823076923076923,0.9875739644970414,0.3028052805280528,0.7714521452145214,0.8770627062706271,0.003500699335264898,0.008044292527205392,6.323829626686153e-05,0.004543593191940494,0.2920628365494746,0.7803022297368699,0.9291868652913909,nan,nan,0.24941176470588236,0.8,0.99,0.3523102310231023,0.7615511551155115,0.8754125412541254,9.0
200,0.0026353799243361386,0.005984889699626572,4.084210474739293e-05,0.0033495097752904335,0.5663993141349748,0.8143950191453515,0.9076450534023343,0.6042,0.8537,0.93065,0.53305,0.77855,0.88575,0.0027072631438333915,0.00677990566104337,6.607097985148415e-05,0.004072642517209978,0.5465825667182803,0.8159042188025822,0.9177311541280917,0.5129,0.8494,0.9742,0.585,0.78495,0.86745,0.0036557317912504893,0.008232632676824444,6.167897878821633e-05,0.0045769008855739545,0.17936628565224808,0.8117200989728893,0.9330683919621288,nan,nan,0.15011682242990654,0.8323598130841121,0.9842289719626168,0.22277227722772278,0.7920792079207921,0.886963696369637,0.0035245102922444862,0.008039540854873078,6.272035240112377e-05,0.004515030562628592,0.289294257504956,0.7788797574354284,0.9296874516382635,nan,nan,0.24620770128354727,0.795215869311552,0.9900816802800467,0.35066006600660066,0.7632013201320133,0.8762376237623762,10.0
207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012609694071546926,0.027944367021693922,0.0006321038951062564,0.015334672950146995,0.06798334758413814,0.2647608706528044,0.45707028486914025,nan,nan,0.05780691299165673,0.2526817640047676,0.4868891537544696,0.08250825082508251,0.27805280528052806,0.4306930693069307,10.35
220,0.0031135748972810646,0.006907082510474357,5.35924054136174e-05,0.0037935076131932932,0.49091035761454843,0.8034680204937121,0.8926917746494639,0.51685,0.84165,0.9161,0.46745,0.7686,0.87045,0.0028343230935747284,0.006647800406699359,5.437041261565056e-05,0.0038134773131246304,0.4918182002226946,0.8043541419475074,0.93315088825368,0.4615,0.82535,0.98585,0.5264,0.7844,0.8858,0.0035715539464911098,0.007833995371417655,5.761480251641516e-05,0.004262441424926545,0.2823765035867768,0.79074653091358,0.9399836576783898,nan,nan,0.23865546218487396,0.7943977591036414,0.9904761904761905,0.3457095709570957,0.7871287128712872,0.8943894389438944,0.0035318493050301766,0.007863954059676149,5.94037540718081e-05,0.004332104754645973,0.29767127910901114,0.7844614697582116,0.9378733108408529,nan,nan,0.25185608223872075,0.7909765848086807,0.9908623643632211,0.36386138613861385,0.778052805280528,0.8902640264026402,11.0
240,0.003003014497459637,0.0065924223675075284,4.556387374164675e-05,0.003589407870047892,0.47547702879924464,0.8069749157364173,0.9154977695268777,0.49945,0.8433,0.93015,0.4537,0.77365,0.9013,0.002754124569472897,0.006669134328823111,5.704651721467137e-05,0.003915009759350214,0.5005095661680664,0.8104028332974038,0.9326640654230585,0.46715,0.84515,0.9865,0.539,0.7784,0.8844,0.003534299433401162,0.007933348320980924,5.965980782329872e-05,0.004399048887579762,0.2517867433606394,0.8030372804844353,0.9371355308325405,nan,nan,0.2122587968217934,0.8178206583427923,0.9892167990919409,0.3094059405940594,0.7887788778877888,0.8902640264026402,0.0035409531443467484,0.007917956046734063,6.051049930462815e-05,0.004377002902387315,0.2957168446246157,0.7847381114340486,0.9342367048448674,nan,nan,0.24830316742081449,0.7941176470588235,0.9909502262443439,0.3655115511551155,0.7755775577557755,0.8836633663366337,12.0
260,0.003022416298783236,0.006393981993174334,5.282926080243873e-05,0.0033715656943910984,0.5869501337977318,0.8114435462521163,0.8986946981919333,0.6195,0.83565,0.9058,0.55765,0.7886,0.8917,0.0026858667086327144,0.006090918648078848,5.0311241883402996e-05,0.003405051939446134,0.5798959934727531,0.8189984801782282,0.9380816316755808,0.54575,0.8312,0.97635,0.6186,0.80715,0.9027,0.0035504513732682406,0.007758915371343446,5.543705729650714e-05,0.004208463998075206,0.23741247082360786,0.8116394273457262,0.9423495520444024,nan,nan,0.19921656407386681,0.8198097369893677,0.9876888640179071,0.29372937293729373,0.8036303630363036,0.900990099009901,0.003533594659074093,0.007900201317377089,6.040493611241647e-05,0.004366606658302997,0.30191479293621576,0.7849723986936841,0.934257073500204,nan,nan,0.25323579065841306,0.7945976364659538,0.9909960607765897,0.37376237623762376,0.7755775577557755,0.8836633663366337,13.0
