frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006908005853712116,0.0439876875572827,0.001688780081406485,0.03707968170357058,0.001638001638001638,0.01638001638001638,0.06497193793331132,nan,nan,0.058823529411764705,0.5882352941176471,0.7058823529411765,0.0008305647840531562,0.008305647840531562,0.0340531561461794,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0
40,0.006334451468756731,0.014968945049286782,0.00016215493716957536,0.008634493580530051,0.13285418188141193,0.36459699680094015,0.6891839346494213,0.1834,0.4667,0.7752,0.10415,0.29915,0.62035,0.008767559223013822,0.02557643492339226,0.0005180264984291041,0.01680887570037844,0.0670445393532642,0.2031062271062271,0.445166063145294,0.1169,0.348,0.66885,0.047,0.1434,0.3336,0.011045133918526972,0.04774515272969769,0.0018310698563623867,0.03670001881117072,0.004633204633204633,0.030648731483058068,0.08638056045463455,nan,nan,0.03296703296703297,0.1978021978021978,0.4175824175824176,0.0024916943521594683,0.016611295681063124,0.04817275747508306,0.005830144911861686,0.02320529020445055,0.0005258465744287206,0.017375145292588864,0.04711780962592687,0.2734273178077213,0.5229755043965155,nan,nan,0.08639308855291576,0.5032397408207343,0.8488120950323974,0.03239202657807309,0.1877076411960133,0.37790697674418605,2.0
60,0.007779157045674196,0.021523075201973194,0.00040368655862023524,0.013743918156298997,0.12172473806752038,0.297665263496144,0.5577119359848158,0.15915,0.3761,0.69205,0.09855,0.2463,0.46705,0.006177721333345923,0.023783981337277424,0.0005475964883696885,0.0176062600039315,0.12473259079903148,0.2715788339196168,0.4821461085271317,0.2232,0.47845,0.7798,0.08655,0.1896,0.34895,0.006667907741380497,0.03488334234700204,0.0011610939366093372,0.028215434605621547,0.046513399744766766,0.1533612171910044,0.2856383849778926,nan,nan,0.15352697095435686,0.47717842323651455,0.7717842323651453,0.027408637873754152,0.09136212624584718,0.17524916943521596,0.006454382852733038,0.019173936576940505,0.0003392033346740579,0.012719553724207468,0.08129543952412426,0.35788812764307215,0.6337597388452736,nan,nan,0.09738717339667459,0.4513064133016627,0.7957244655581948,0.06976744186046512,0.29651162790697677,0.526578073089701,3.0
80,0.007406186907299237,0.019992540220263602,0.0003597582867382893,0.012586353312964366,0.13394156615661565,0.3391523146486758,0.5962537572962162,0.16505,0.40485,0.71215,0.1127,0.2918,0.5128,0.005280179492122117,0.020524073208902597,0.0004370345430791805,0.01524389371678048,0.14573050492978787,0.3491250280583614,0.5677234356209023,0.2275,0.5451,0.86675,0.1072,0.2568,0.4221,0.004774666014046717,0.01760911583140557,0.0003319302932516592,0.012834449817358852,0.11617761858841898,0.45903341080500104,0.6914208396465827,nan,nan,0.15950069348127602,0.6477115117891817,0.926490984743412,0.09136212624584718,0.3554817275747508,0.5514950166112956,0.006234678562014727,0.017472250358062148,0.0002830994870091202,0.01123757179604742,0.0877457277793695,0.4131305844899058,0.6819618639747119,nan,nan,0.09197651663405088,0.48532289628180036,0.8180039138943248,0.08388704318936877,0.3596345514950166,0.584717607973422,4.0
100,0.007324586067970967,0.018609110948448616,0.00031349375380708297,0.011284524880477648,0.15218413826522373,0.3675693226824193,0.6402722775310155,0.1748,0.41495,0.7437,0.13475,0.3299,0.5621,0.005306244663903874,0.017010910973828005,0.0002998691931429664,0.011704666309924132,0.20142650602409637,0.4402782324058919,0.6666009745687356,0.243,0.549,0.86255,0.172,0.3675,0.5432,0.004032199169182165,0.013968098394654726,0.00020551538909981153,0.00993589922547256,0.1364176355166384,0.5512096466458063,0.7837798175079895,nan,nan,0.155902004454343,0.7149220489977728,0.9899777282850779,0.1212624584717608,0.4485049833887043,0.6486710963455149,0.00645462482097441,0.016788190391814305,0.0002538004382419048,0.010333565570839894,0.09248537860740914,0.43215082017558293,0.7055009550782096,nan,nan,0.09038619556285948,0.4741166803615448,0.8036154478225144,0.0946843853820598,0.39700996677740863,0.6287375415282392,5.0
120,0.007245877717563371,0.018033112816998417,0.00029049022473635563,0.010787235099435048,0.1610621798780488,0.3752385278820199,0.6460067748091604,0.18595,0.421,0.73175,0.14205,0.33845,0.57825,0.005120211513805157,0.01633194382526941,0.0002815618894792563,0.011211732311464254,0.22999992557941737,0.45820127814012207,0.6788153973509934,0.26995,0.56545,0.85775,0.20035,0.38515,0.56165,0.004471899410660437,0.011064607593822924,0.00010189056561080888,0.006592708183162487,0.1288191577208918,0.6223904707514073,0.8559665792200347,nan,nan,0.12807881773399016,0.6798029556650246,0.9597701149425287,0.12956810631229235,0.5739202657807309,0.7724252491694352,0.0065484064301708274,0.016455819053395507,0.00023988282311157198,0.009907412623224681,0.09194781764878736,0.42828832055712307,0.7149922380753564,nan,nan,0.08725341426403642,0.44992412746585736,0.798937784522003,0.09717607973421927,0.40863787375415284,0.6470099667774086,6.0
140,0.007681745133846421,0.01838120896064551,0.0002908599205038003,0.010699463826799089,0.14730733255386672,0.3619707714422616,0.6372291965119901,0.1685,0.3997,0.6987,0.13085,0.33075,0.5857,0.006224352386748572,0.017617789545161494,0.00030115332944953446,0.011393437158412923,0.18747710255734248,0.41535900855709645,0.6543337369597616,0.20995,0.4828,0.77675,0.16935,0.36445,0.56525,0.004378499096355344,0.010779708866862726,9.506128260545135e-05,0.006401209770507383,0.14067969007090075,0.6073922013569428,0.8770692923669978,nan,nan,0.13935810810810811,0.6697635135135135,0.9695945945945946,0.1420265780730897,0.5556478405315615,0.8006644518272426,0.0070074725652387515,0.016776854702470097,0.0002458103622911616,0.009769382137231346,0.06755834584413811,0.4252420965114932,0.7041184546551521,nan,nan,0.0628053035589672,0.4235868806699232,0.7585484996510816,0.07308970099667775,0.4269102990033223,0.6569767441860465,7.0
160,0.007486831499470037,0.017947104758323895,0.00028295138929070214,0.01046027325885386,0.15583980997624705,0.3704331659300924,0.6515708428680397,0.1758,0.40635,0.70625,0.13995,0.34035,0.60475,0.005941700867056852,0.016557565317296165,0.0002757059856341722,0.010615864450239314,0.20977144214777857,0.44670259790616523,0.6840062698838248,0.2224,0.497,0.80305,0.1985,0.40565,0.5957,0.004526753963097945,0.011260464654353411,0.00010912985812631465,0.0067337106912554665,0.1335392997798857,0.6078394947055544,0.8645601668140271,nan,nan,0.13174603174603175,0.6492063492063492,0.9634920634920635,0.13538205980066445,0.5714285714285714,0.7840531561461794,0.007079437413856723,0.01597232658566875,0.0002191794070098602,0.00889288917181203,0.07607900512070226,0.44368600682593856,0.7187039431278907,nan,nan,0.06797385620915032,0.42483660130718953,0.7516339869281046,0.08637873754152824,0.4642857142857143,0.6885382059800664,8.0
180,0.007146448083305657,0.016092512558277323,0.00022621286983839494,0.008946064474971665,0.17687074580572393,0.4136922334780512,0.697777006360323,0.1863,0.434,0.73585,0.16835,0.3952,0.66345,0.0058224682037174205,0.015222308344260029,0.0002243418948702695,0.009399840140542608,0.2183927958833619,0.4641759099437149,0.7152905828516378,0.22575,0.4984,0.81725,0.2115,0.43435,0.63595,0.0047974443901571025,0.010135221349418723,8.217943156942724e-05,0.0053377769592616205,0.20591300959524622,0.6086447033932508,0.8865556914875263,nan,nan,0.1885873347251218,0.6109951287404315,0.9199721642310369,0.22674418604651161,0.606312292358804,0.8554817275747508,0.0068956220928049075,0.014829995691769172,0.00018321065064497673,0.007934373598964263,0.08881712914154995,0.47368377544120316,0.7405369045435088,nan,nan,0.07760252365930599,0.4466876971608833,0.7640378548895899,0.10382059800664452,0.5041528239202658,0.71843853820598,9.0
200,0.0074977012096512936,0.016396792395744184,0.00022864087654967286,0.00889909118609289,0.18391930298527623,0.4076128321293009,0.6693078315051116,0.1997,0.4257,0.69235,0.17045,0.391,0.64775,0.006178374737215648,0.01560630239292918,0.00022983242746634682,0.009427927655713531,0.2131645274212369,0.4585291485900217,0.6947150273806983,0.2295,0.49475,0.7796,0.199,0.42725,0.6265,0.00512284459803596,0.010313953799939516,8.17042193911592e-05,0.0051911092019035565,0.1393214396205012,0.6233869894904882,0.8822055078338432,nan,nan,0.12176656151419558,0.6,0.905993690851735,0.16279069767441862,0.6486710963455149,0.8596345514950167,0.006857245719200414,0.013949363696298483,0.00015434207810635032,0.00709211797709807,0.09282201299081903,0.4832012467493294,0.761814859642318,nan,nan,0.07960808328230251,0.451316595223515,0.7679118187385181,0.11129568106312292,0.5199335548172758,0.7558139534883721,10.0
