frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.008160938707422823,0.02529723290465756,0.0005637012310863714,0.017136294197234735,0.10407454274776691,0.26789999170399864,0.4809670431798685,0.15735,0.40175,0.67575,0.07775,0.20095,0.37335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0052926563233001035,0.0359403921369422,0.0012986965299430259,0.030647735813642097,0.010443864229765013,0.09631509431162162,0.2547247329498767,nan,nan,0.058823529411764705,0.5784313725490197,0.9117647058823529,0.0057306590257879654,0.05253104106972302,0.14804202483285578,0.005412986772626411,0.056078149282262624,0.0029961951734716608,0.050665162509636215,0.0,0.01506204535729568,0.046641791044776115,nan,nan,0.0,0.5238095238095238,1.0,0.0,0.007640878701050621,0.02387774594078319,1.0
40,0.007654550347276028,0.020552261669443548,0.0004089623867431749,0.012897711322167521,0.17881775338064,0.3963498776159589,0.6093017680225534,0.22515,0.47915,0.70505,0.1483,0.33795,0.53645,0.006901062560109233,0.022324766289675883,0.0005016778033987048,0.015423703729566649,0.16369948113869023,0.39136247632575766,0.5790324452049213,0.22925,0.5369,0.7594,0.1273,0.3079,0.4679,0.005753556307365084,0.026855287102389238,0.0007710001404525058,0.021101730795024153,0.06910039113428944,0.27419301053754835,0.5037472559182092,nan,nan,0.10882956878850103,0.5195071868583162,0.8767967145790554,0.050620821394460364,0.18624641833810887,0.3533906399235912,0.005874116586389636,0.026968558987086597,0.0007628754817620355,0.02109444240069696,0.04937975874754042,0.2793383910874171,0.49943422382530006,nan,nan,0.0819327731092437,0.5126050420168067,0.8802521008403361,0.03533906399235912,0.19197707736389685,0.34861509073543456,2.0
60,0.007426108395623788,0.020259648500736957,0.00037431525263604995,0.012833540105113167,0.16849118817509948,0.3923759244496229,0.5945102930985284,0.212,0.48665,0.72055,0.1398,0.3287,0.506,0.007502702938550215,0.024829099589315957,0.0005943500811140846,0.01732639665076574,0.14469622730118972,0.3235361968365553,0.5419636504854369,0.20865,0.46245,0.7266,0.11075,0.2488,0.43215,0.005838302366177943,0.02812947629847105,0.0008278965244842943,0.022291173932293108,0.07762893730930209,0.2722865249374469,0.4709624526303566,nan,nan,0.12967032967032968,0.545054945054945,0.8703296703296703,0.055396370582617004,0.18147086914995225,0.3228271251193887,0.006581520381682979,0.028269140057322235,0.0008161918804632494,0.021687619675639255,0.04778980642749103,0.2737866780953733,0.4835698876609881,nan,nan,0.07378640776699029,0.4893203883495146,0.8368932038834952,0.03533906399235912,0.19006685768863418,0.34001910219675263,3.0
80,0.006421752033874843,0.02184947145798912,0.0005117450075785368,0.015427719424114278,0.18342884492661135,0.41774290397332287,0.5963902523796357,0.24525,0.5466,0.78515,0.1465,0.33805,0.4808,0.004757827460954364,0.022484709837690627,0.0005868518361578408,0.017726882376736263,0.19050930039197053,0.3877049775836303,0.58198906841612,0.2753,0.5783,0.9048,0.14565,0.2916,0.42895,0.005623876468558831,0.022043225986299295,0.000514571561194129,0.016419349517740465,0.09219716623428459,0.38157578028958067,0.583142334732559,nan,nan,0.12352941176470589,0.586764705882353,0.8705882352941177,0.07354345749761222,0.282712511938873,0.4383954154727794,0.006356575830508345,0.02505640915014341,0.0006477113138478989,0.018699833319635064,0.08797726634394566,0.3146478415821276,0.52954633791317,nan,nan,0.12520868113522537,0.5208681135225376,0.8347245409015025,0.06781279847182425,0.22540592168099333,0.387774594078319,4.0
100,0.006959104854202725,0.021283039575234364,0.00045671043968293035,0.014323934721031639,0.1748636029411765,0.411911320754717,0.5916138287560582,0.22365,0.5157,0.7492,0.14355,0.3429,0.4888,0.0050978852645270035,0.022737260967089702,0.0005665772164981928,0.017639375702562698,0.16024775344004494,0.3546452779309922,0.560373023398073,0.23435,0.55535,0.9012,0.12175,0.2605,0.4066,0.006174040817846594,0.020456463267849237,0.00041984264149021145,0.014282422450002644,0.08710929519918284,0.3943310290615681,0.6201812827768587,nan,nan,0.10485933503836317,0.5319693094629157,0.850383631713555,0.07449856733524356,0.3132760267430755,0.4880611270296084,0.005634726941331618,0.017752264353926933,0.0003358938128919198,0.012117537412595315,0.09596285308912679,0.4645694257397649,0.7200744571930223,nan,nan,0.10434782608695652,0.5771739130434783,0.8880434782608696,0.08882521489971347,0.38872970391595035,0.6055396370582617,5.0
120,0.006073441518317239,0.015440871740344374,0.00026057622816312657,0.009367430222027136,0.2608551370837681,0.5406839449541285,0.7268947976878611,0.29005,0.5935,0.7852,0.237,0.4965,0.67665,0.004581803521498494,0.017182846511760056,0.0003671538242897462,0.012601042990261562,0.22954734171863442,0.48658313635912215,0.7272279033260294,0.27715,0.5956,0.93305,0.1959,0.4113,0.5958,0.004981613279083842,0.01432835019455947,0.00022559139665933762,0.009346736915475627,0.17062937062937064,0.5663891276155977,0.7889785607932845,nan,nan,0.16666666666666666,0.6224677716390423,0.9134438305709024,0.17478510028653296,0.5195797516714422,0.6943648519579751,0.005378623196319519,0.015060160643745815,0.00024329446523660886,0.009681537447426296,0.11636562483979562,0.5580573938869127,0.786081738706877,nan,nan,0.11101836393989983,0.5951585976627712,0.9073455759599333,0.12225405921680993,0.5253104106972302,0.6934097421203438,6.0
140,0.005943620584235626,0.01599828735691744,0.0002656788019111434,0.010054666772681813,0.24906637709772955,0.5063246225262644,0.6989975195222785,0.2858,0.5637,0.7852,0.2207,0.45955,0.62985,0.004501751724494038,0.01692016415945601,0.0003355886922428047,0.012418412434961971,0.23753307645508012,0.4740057264265479,0.7026389661497415,0.2937,0.5941,0.9373,0.1994,0.3943,0.56195,0.005202509031707155,0.014678589376095764,0.00021769217923448808,0.00947608034438861,0.1342841782769498,0.5293475200161465,0.7710221492520185,nan,nan,0.13296903460837886,0.5865209471766849,0.9052823315118397,0.1356255969436485,0.48233046800382046,0.6714422158548233,0.005391489521118521,0.014938491172933657,0.00024117607426315483,0.009547001651815136,0.1169963102517634,0.5659805498609788,0.7865564402030683,nan,nan,0.10986367281475541,0.595028067361668,0.9069767441860465,0.1251193887297039,0.5396370582617,0.6943648519579751,7.0
160,0.0057350056000981114,0.016585100947619332,0.0003136361926007749,0.01085009534752122,0.273466726618705,0.5213245767935891,0.6964276616070482,0.3135,0.583,0.79125,0.2425,0.47145,0.6219,0.004463675422767696,0.017723022072445846,0.00039913136393469027,0.01325934664967815,0.25092792499760835,0.4948831287301664,0.7002515961220146,0.31345,0.6176,0.91175,0.2092,0.41285,0.5684,0.005112852319319804,0.014866572611419914,0.0002453732389203621,0.00975372029210011,0.16518963460028352,0.5657278140087515,0.7707893079354614,nan,nan,0.16063548102383055,0.6222418358340689,0.9029126213592233,0.17000955109837632,0.5186246418338109,0.6723973256924546,0.0053096292711730855,0.014378983589074166,0.00022500218400215078,0.00906935431790108,0.12433681081610436,0.5868401474512085,0.801493082220236,nan,nan,0.10872894333843798,0.6179173047473201,0.9111791730474732,0.1451766953199618,0.5587392550143266,0.7153772683858644,8.0
180,0.005564836894408409,0.012647102129809643,0.0001784871628598369,0.007082265235401232,0.33441961954494587,0.603314711359404,0.7783858852595777,0.3505,0.62625,0.80355,0.31975,0.582,0.75475,0.0037535709907497877,0.011493309804742847,0.0001572247051547187,0.00773973881399306,0.3264095477004941,0.6190366303136443,0.8359455327772556,0.35735,0.70355,0.96515,0.3004,0.55265,0.73725,0.0047696240485861,0.011734306224019424,0.0001353643740171841,0.006964682175433324,0.14064160920166807,0.6526594503002828,0.8446255884255012,nan,nan,0.12295081967213115,0.6833084947839047,0.9299552906110283,0.16427889207258833,0.6246418338108882,0.7736389684813754,0.005043908728233951,0.011898455233404203,0.00013974349601776205,0.0068545465051702515,0.13361528528921907,0.6445539766498163,0.8501426899949531,nan,nan,0.11351351351351352,0.6472972972972973,0.922972972972973,0.1623686723973257,0.6418338108882522,0.7879656160458453,9.0
200,0.005594196500850069,0.013299176684444917,0.00019733886010284536,0.007704980183594847,0.32510109435983775,0.5935826037640733,0.760619395887311,0.34935,0.62515,0.7978,0.304,0.56505,0.72675,0.00369850318882291,0.011910223911065061,0.00017713771564507205,0.00821172072224215,0.34927436115843274,0.6120480733649746,0.8199308555065028,0.3843,0.6984,0.9615,0.3201,0.5447,0.7147,0.004870800169269072,0.012155502596277522,0.00015001784255994912,0.00728470242700845,0.14396363611012344,0.6287186857891733,0.8422619191426239,nan,nan,0.12535816618911175,0.6368194842406877,0.9283667621776505,0.16905444126074498,0.620821394460363,0.7707736389684814,0.005036528599525752,0.011899265443740412,0.0001367592060391288,0.0068627368442146595,0.12157822491716941,0.6374463686949415,0.8510480308650029,nan,nan,0.1036096256684492,0.6417112299465241,0.9237967914438503,0.14708691499522444,0.6332378223495702,0.7889207258834766,10.0
