frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0023371668013427013,0.04946815434270217,0.0026645280491188012,0.04713098754135947,0.04924016381766382,0.08447788160250673,0.13291325034844043,0.67645,0.84915,0.969,0.02555,0.04445,0.07135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026695457589916874,0.05466225412584129,0.003267398843709634,0.051992708366849605,0.007964501080896575,0.04599524187153053,0.1031562740569669,nan,nan,0.21212121212121213,1.0,1.0,0.004058441558441558,0.02353896103896104,0.05438311688311688,0.0022446304547285557,0.048261463553696204,0.0026688505877010384,0.04601683309896765,0.037359900373599,0.10161542470036476,0.17074981440237563,nan,nan,0.45454545454545453,0.9848484848484849,1.0,0.01948051948051948,0.05357142857142857,0.09334415584415584,1.0
40,0.002449285257018549,0.04193569710496963,0.0021413047776752347,0.03948641184795108,0.1264925346709944,0.1844917629277772,0.2624887931413497,0.6072,0.8224,0.98585,0.0706,0.1039,0.1514,0.004544928107785814,0.05152573061974543,0.002773809341089049,0.046980802511959616,0.03669319915254237,0.0979799555759804,0.16142673285530426,0.21595,0.59945,1.0,0.02005,0.05335,0.0878,0.0026515623462053934,0.04269829221425657,0.0021538306328024825,0.040046729868051176,0.05803479554844939,0.16298020954598375,0.245014245014245,nan,nan,0.34814814814814815,0.9333333333333333,1.0,0.03165584415584415,0.08928571428571429,0.1396103896103896,0.002457979225064948,0.036221616961395024,0.0016201057275635983,0.03376363773633008,0.07975128413084617,0.21726618705035972,0.3076923076923077,nan,nan,0.37341772151898733,0.9556962025316456,1.0,0.044642857142857144,0.12256493506493507,0.18181818181818182,2.0
60,0.0026085535222555825,0.03949505172082847,0.0019307050579527218,0.036886498198572884,0.14209375374925018,0.20517537653427667,0.2931122299030477,0.58595,0.8155,0.97765,0.08085,0.11735,0.1724,0.005399601457237143,0.04963625117486889,0.002485563226720665,0.04423664971763175,0.03536762425900593,0.09378009717473458,0.1760311882732093,0.1999,0.504,0.8639,0.0194,0.0517,0.098,0.0028323238981784564,0.040574699160100314,0.001960944857181541,0.03774237526192186,0.06473364801078894,0.1826402590903077,0.26792195891119264,nan,nan,0.34532374100719426,0.9136690647482014,0.9856115107913669,0.03571428571428571,0.10146103896103896,0.15503246753246752,0.002457979225064948,0.036221616961395024,0.0016201057275635983,0.03376363773633008,0.07975128413084617,0.21726618705035972,0.3076923076923077,nan,nan,0.37341772151898733,0.9556962025316456,1.0,0.044642857142857144,0.12256493506493507,0.18181818181818182,3.0
80,0.007431146398136735,0.03122761620906801,0.0009178992889208661,0.023796469810931274,0.1776708240534521,0.25187296999724745,0.3451115117666197,0.4266,0.5645,0.69225,0.1122,0.1621,0.22985,0.005630998348699382,0.041782929202905085,0.0017397938865635594,0.036151930854205705,0.06606575603557815,0.15010836029799082,0.22864474017047015,0.2773,0.5782,0.77515,0.0375,0.08625,0.1341,0.002457743333107428,0.03690932423219941,0.0017037747650479318,0.034451580899091984,0.10001282215668675,0.2233655292918507,0.3157894736842105,nan,nan,0.41711229946524064,0.946524064171123,1.0,0.056818181818181816,0.1266233766233766,0.1875,0.002457979225064948,0.036221616961395024,0.0016201057275635983,0.03376363773633008,0.07975128413084617,0.21726618705035972,0.3076923076923077,nan,nan,0.37341772151898733,0.9556962025316456,1.0,0.044642857142857144,0.12256493506493507,0.18181818181818182,4.0
100,0.001654644716574248,0.0329718111262103,0.0015142694788613238,0.031317166409636055,0.22054858023593574,0.30364205410731876,0.3889806274920456,0.713,0.93505,1.0,0.13045,0.18125,0.24145,0.012694502364800155,0.05221416167368444,0.002407588677290486,0.039519659308884285,0.08722894736842104,0.1628312849162011,0.23592878063819947,0.18415,0.3405,0.4937,0.05715,0.107,0.155,0.0025100583030943278,0.03484153816794018,0.001543711743670757,0.03233147986484585,0.09853887967924746,0.2523017316798823,0.35183946488294315,nan,nan,0.33962264150943394,0.9575471698113207,1.0,0.05762987012987013,0.1452922077922078,0.21347402597402598,0.0031455530659045485,0.03261422014307987,0.001338414804065883,0.029468667077175315,0.11958325717419119,0.2517357011287961,0.37964987527541594,nan,nan,0.3900414937759336,0.8506224066390041,0.966804979253112,0.07061688311688312,0.14772727272727273,0.2362012987012987,5.0
120,0.002416897606129934,0.03407082902299343,0.0015159743090273495,0.0316539314168635,0.18280332983560685,0.2598485413128184,0.356788342034355,0.60715,0.84745,0.96895,0.1076,0.15345,0.21865,0.005768894684743515,0.04787298948922468,0.0023016435090766987,0.042104094804481164,0.03251612903225806,0.09157766539374548,0.17506562386699123,0.168,0.43325,0.868,0.018,0.0512,0.09735,0.0031263822659690433,0.035666702868060146,0.0015483385392641984,0.032540320602091104,0.07889273356401384,0.23085234276322794,0.3357402829949979,nan,nan,0.2676056338028169,0.8685446009389671,0.971830985915493,0.04626623376623377,0.1331168831168831,0.20292207792207792,0.0037116965950449938,0.0312936631716948,0.0012222706882032254,0.027581966576649804,0.08733703744053455,0.2857321424513079,0.4280880330123796,nan,nan,0.2534246575342466,0.8047945205479452,0.934931506849315,0.052759740259740256,0.1737012987012987,0.2775974025974026,6.0
140,0.006469847690017874,0.03487176132761925,0.0013709845420795124,0.028401913637601375,0.18961890868140868,0.286234298636425,0.4080279024579811,0.35965,0.54685,0.7489,0.12875,0.19385,0.2804,0.006906524680391012,0.041778274455613544,0.0018025251955534425,0.03487174977522253,0.08585848739495798,0.177897923553719,0.328963258306538,0.1818,0.36655,0.7198,0.0562,0.11745,0.2132,0.004342747613158211,0.03110908294380798,0.0011827203255087256,0.02676633533064977,0.0796463478325748,0.3006328465807852,0.45105761815577833,nan,nan,0.20348837209302326,0.7325581395348837,0.8982558139534884,0.049512987012987016,0.1891233766233766,0.30113636363636365,0.0036110429887785153,0.03028229020482587,0.0011608068881677688,0.026671247216047356,0.09749873612749464,0.3085346754227016,0.45152000441237594,nan,nan,0.24471299093655588,0.8066465256797583,0.9486404833836858,0.060876623376623376,0.19074675324675325,0.2962662337662338,7.0
160,0.006378120216771836,0.03161055045483401,0.001039581387109054,0.025232430238062178,0.20658663883089776,0.2849239008179959,0.36838068542199487,0.4398,0.5951,0.7313,0.135,0.1873,0.2462,0.006472782825635162,0.03719981621173043,0.001369244741697251,0.030727033386095264,0.10030418321043677,0.21501095784904073,0.30291730800193206,0.29205,0.58225,0.7413,0.06055,0.13185,0.19035,0.0030188944829752156,0.03232740047552083,0.001330388706887565,0.029308505992545617,0.13029587946995824,0.29281031225691745,0.3933747412008281,nan,nan,0.37755102040816324,0.8673469387755102,0.9693877551020408,0.07873376623376624,0.17613636363636365,0.24675324675324675,0.0036110429887785153,0.03028229020482587,0.0011608068881677688,0.026671247216047356,0.09749873612749464,0.3085346754227016,0.45152000441237594,nan,nan,0.24471299093655588,0.8066465256797583,0.9486404833836858,0.060876623376623376,0.19074675324675325,0.2962662337662338,8.0
180,0.006773150220999469,0.029114228461754488,0.0008828814602244365,0.022341078240755017,0.24075178429817604,0.31549852375635773,0.4254108700974391,0.4685,0.5909,0.7191,0.162,0.2152,0.30205,0.0063345751741918175,0.035181455324646026,0.0012567906740992478,0.02884688015045421,0.1407877107364685,0.23743796780407267,0.3260024058798646,0.3635,0.57735,0.73625,0.0873,0.14945,0.20935,0.0029475549717813084,0.03065217481155382,0.001226358173110374,0.02770461983977251,0.09862653419053186,0.3165092557612391,0.4340161569532602,nan,nan,0.25961538461538464,0.9102564102564102,0.9839743589743589,0.060876623376623376,0.19155844155844157,0.2784090909090909,0.0034270075401867345,0.029340049141635054,0.0011044662404879114,0.02591304160144832,0.1261686178724838,0.3264798563042926,0.469220607661823,nan,nan,0.30484330484330485,0.8347578347578347,0.9487179487179487,0.07954545454545454,0.20292207792207792,0.3116883116883117,9.0
200,0.005055393567934506,0.03340630131778622,0.001377177735510409,0.028350907749851717,0.2266375514154367,0.3248746035447761,0.44303861998398436,0.4707,0.6399,0.82045,0.14925,0.2177,0.30345,0.010992472095879884,0.03984220045099814,0.001452386986352157,0.02884972835511826,0.10218357853742968,0.2331302544407105,0.3442337146107179,0.15485,0.3446,0.53815,0.07625,0.17615,0.25305,0.0027278483148729985,0.030845569717823852,0.0012679830277366512,0.028117721402950855,0.14990390775144138,0.3325679514253226,0.44615667204826026,nan,nan,0.3556231003039514,0.9209726443768997,0.9878419452887538,0.09496753246753246,0.20292207792207792,0.28814935064935066,0.003273312685285115,0.026628352453195992,0.0009780456301359069,0.02335503976791088,0.1406819352268421,0.4007963461763672,0.5548305684223399,nan,nan,0.29330254041570436,0.859122401847575,0.9584295612009238,0.09253246753246754,0.26136363636363635,0.39042207792207795,10.0
