frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0013333263520189356,0.04888913693927073,0.0027358100882808696,0.04755581058725179,0.03186640436253192,0.06229714673254857,0.1081208910750603,0.70805,1.0,1.0,0.0163,0.03215,0.05715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002622312087132272,0.05154658911623902,0.0028361016355669504,0.048924277029106754,0.01098901098901099,0.03470618062989464,0.08018504240555127,nan,nan,0.2413793103448276,0.9655172413793104,1.0,0.005622489959839358,0.017670682730923693,0.04176706827309237,0.002445554695643064,0.04686474524512753,0.0023953696659599643,0.04441919054948446,0.014091122592766557,0.059236165237724084,0.10933940774487472,nan,nan,0.2777777777777778,1.0,1.0,0.007228915662650603,0.030522088353413655,0.05783132530120482,1.0
40,0.007706200663737984,0.03996637671724323,0.0015616919461356922,0.03226017605350524,0.1389846042039356,0.20986479937057437,0.29658804491413476,0.36115,0.5029,0.63965,0.08605,0.1326,0.19305,0.018643453601915373,0.06645391706746377,0.0032568783416048698,0.0478104634655484,0.029548053228191224,0.056933333333333336,0.10408265870052276,0.0835,0.1525,0.2703,0.01795,0.035,0.06445,0.002041131509126914,0.0356994674940553,0.0015283855540330889,0.033658335984928386,0.08755682774877925,0.20863309352517984,0.28983516483516486,nan,nan,0.47794117647058826,1.0,1.0,0.04819277108433735,0.11646586345381527,0.16947791164658635,0.0022702549154527585,0.029210263112487127,0.001109967928468748,0.02694000819703437,0.12970363834535734,0.3778501628664495,0.4648581997533909,nan,nan,0.36823104693140796,1.0,1.0,0.078714859437751,0.23293172690763053,0.3028112449799197,2.0
60,0.00553027278579724,0.04072313884217286,0.0018270155472946913,0.035192866056375616,0.13027559535925096,0.2130799272207421,0.3053173862132166,0.414,0.6417,0.79305,0.0773,0.12775,0.18905,0.009740021509181105,0.04909640310236259,0.0022617740233444182,0.03935638159318148,0.09406094164456233,0.14523407681427483,0.23027375735294117,0.2433,0.36915,0.53315,0.0583,0.0904,0.14685,0.002723324644682685,0.037430576373657126,0.0016645472167553907,0.034707251728974445,0.05205463391758016,0.17704836374768457,0.288659793814433,nan,nan,0.2605633802816901,0.9929577464788732,1.0,0.02891566265060241,0.09718875502008033,0.1686746987951807,0.0022702549154527585,0.029210263112487127,0.001109967928468748,0.02694000819703437,0.12970363834535734,0.3778501628664495,0.4648581997533909,nan,nan,0.36823104693140796,1.0,1.0,0.078714859437751,0.23293172690763053,0.3028112449799197,3.0
80,0.00480687790964084,0.039843633916926406,0.001801177302934528,0.03503675600728556,0.1310589323365919,0.21626924025653677,0.3114965409572133,0.44485,0.6823,0.8333,0.07685,0.1285,0.19155,0.008778291335496005,0.04779736645486331,0.0022168515986440603,0.0390190751193673,0.10482602545968883,0.15619972383864283,0.24057631358885018,0.2895,0.4105,0.56465,0.064,0.09645,0.15285,0.0027756549021088744,0.037012780412675146,0.0016289635312068777,0.03423712551056627,0.0522875816993464,0.16967049700952744,0.2945205479452055,nan,nan,0.2727272727272727,0.948051948051948,1.0,0.02891566265060241,0.09317269076305221,0.17269076305220885,0.0022702549154527585,0.029210263112487127,0.001109967928468748,0.02694000819703437,0.12970363834535734,0.3778501628664495,0.4648581997533909,nan,nan,0.36823104693140796,1.0,1.0,0.078714859437751,0.23293172690763053,0.3028112449799197,4.0
100,0.004756361862942086,0.031522438632562044,0.0011582403668075826,0.026766076769619958,0.23933630328957073,0.33359680992467877,0.4233578226026773,0.5227,0.682,0.81175,0.1552,0.2208,0.28635,0.008727056301793623,0.04015712938071345,0.0014878024871074421,0.031430073078919825,0.08556678027720972,0.19458659877800408,0.2951603094158442,0.1619,0.3573,0.5478,0.05815,0.1337,0.202,0.0022090397336049215,0.0296583991997666,0.0011381193887042623,0.02744935946616168,0.12267890673899436,0.3377837116154873,0.4349465744814582,nan,nan,0.4049586776859504,1.0,1.0,0.07228915662650602,0.20321285140562248,0.2779116465863454,0.002239529845355616,0.02597664586457222,0.0009275297232960846,0.023737116019216603,0.1643916186741821,0.44180225281602004,0.5318396226415094,nan,nan,0.38622754491017963,1.0,1.0,0.10441767068273092,0.28353413654618476,0.36224899598393573,5.0
120,0.0030037040745006147,0.031198839852269677,0.0012184317545796824,0.028195135777769064,0.23243877326783868,0.3171103866906475,0.39783659490352796,0.63115,0.80325,0.9089,0.14245,0.19755,0.25465,0.009481270095313491,0.04209360074524057,0.0016269349148695868,0.03261233064992708,0.07631581620872778,0.17196184783709859,0.29506285613581623,0.1671,0.38265,0.66125,0.04945,0.1109,0.1899,0.0021394657080193416,0.03084123656207882,0.0012143648432718275,0.028701770854059477,0.11346921622189535,0.31643002028397565,0.3997429305912596,nan,nan,0.4433497536945813,1.0,1.0,0.06506024096385542,0.18795180722891566,0.2497991967871486,0.0022332867547463085,0.027646202695845636,0.0010263635405685456,0.025412915941099328,0.1432266700432321,0.4089456869009584,0.4963768115942029,nan,nan,0.36394557823129253,1.0,1.0,0.0891566265060241,0.2570281124497992,0.3301204819277108,6.0
140,0.0029474830974817847,0.009785803019228188,0.00013654882974951428,0.006838319921746404,0.47276240616861565,0.696588758708043,0.8379645704162976,0.5803,0.81015,0.933,0.39885,0.61095,0.7605,0.0043681241050653585,0.01696090565130212,0.000353098355809595,0.012592781546236761,0.3058280206966914,0.5092570707070707,0.671775458552538,0.45605,0.7126,0.8522,0.23005,0.3962,0.5544,0.0024484406710570624,0.01909322950447595,0.0005683468906479851,0.016644788833418887,0.1945392491467577,0.5771048373803201,0.6797454931071051,nan,nan,0.3333333333333333,0.9854280510018215,1.0,0.13734939759036144,0.40803212851405624,0.5148594377510041,0.0025494667567330146,0.020410377114148903,0.0006193417240991266,0.01786091035741589,0.15081714385214298,0.5378294788887346,0.6489419424850787,nan,nan,0.2770137524557957,0.9823182711198428,1.0,0.10361445783132531,0.37028112449799194,0.48032128514056227,7.0
160,0.0034462431177798175,0.018176589213311226,0.00047826903675907687,0.014730346095531408,0.3776250273025118,0.5436759553601624,0.6603592502554345,0.53115,0.7594,0.89645,0.29295,0.4234,0.5227,0.002990262046484594,0.023129022208845176,0.0007151096508246804,0.020138760162360582,0.22836665815240526,0.43590442001346197,0.5544025739461079,0.43205,0.817,0.9812,0.1552,0.29725,0.38635,0.0023927320193603096,0.01817377294545861,0.0005288010633490137,0.0157810409260983,0.23509354908618071,0.6106766529159515,0.7031249999999999,nan,nan,0.36451612903225805,0.9887096774193549,1.0,0.17349397590361446,0.44176706827309237,0.5421686746987951,0.002312411443630727,0.019125877880050168,0.000573777144493056,0.01681346643641944,0.2568839308516097,0.5758182237687622,0.6741214057507988,nan,nan,0.4257246376811594,0.9873188405797102,1.0,0.18393574297188756,0.40642570281124496,0.5084337349397591,8.0
180,0.0033956705666279064,0.010781817595529689,0.00015067971804326756,0.007386147028901783,0.42418139298423996,0.6538051133820678,0.8190677161554931,0.5328,0.77545,0.9196,0.35235,0.56515,0.73835,0.004657528111534983,0.0184695523423736,0.0004150386621458904,0.013812024230838615,0.2707240269765174,0.4695639109390126,0.645885833822666,0.4143,0.6722,0.8363,0.20105,0.3608,0.5261,0.0026402964642499947,0.018374449779814256,0.0005070215069746422,0.015734153315564263,0.19182898398134915,0.565535945170344,0.6956521739130436,nan,nan,0.31793960923623443,0.955595026642984,1.0,0.13734939759036144,0.40160642570281124,0.5333333333333333,0.002298024782100701,0.017819432876414968,0.0005162872137901661,0.015521408094314267,0.2688559294685616,0.6106195924553565,0.704474505723205,nan,nan,0.4205298013245033,0.9884105960264901,1.0,0.19759036144578312,0.44176706827309237,0.5437751004016064,9.0
200,0.003633300940842139,0.019142786834668687,0.0005128005796309707,0.015509485893826547,0.3563857564900371,0.5102855146633438,0.6390537848178209,0.52595,0.73185,0.9042,0.2695,0.3917,0.49415,0.0034367380055438344,0.02341388938303448,0.0007024521598675994,0.019977151377490645,0.21071495678316424,0.4161448462496407,0.5444186388330727,0.3875,0.75695,0.96445,0.1447,0.28695,0.37925,0.0024514493442578506,0.018765315346906564,0.00055486180664877,0.016313866002648714,0.21672514683906,0.590292755972579,0.690163072067333,nan,nan,0.3476764199655766,0.9879518072289156,1.0,0.157429718875502,0.42088353413654617,0.5269076305220883,0.002298024782100701,0.017819432876414968,0.0005162872137901661,0.015521408094314267,0.2688559294685616,0.6106195924553565,0.704474505723205,nan,nan,0.4205298013245033,0.9884105960264901,1.0,0.19759036144578312,0.44176706827309237,0.5437751004016064,10.0
