frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.002295501193012437,0.02335207051160463,0.0008704681804608622,0.02105656931859219,0.31328783108445774,0.49027166054671556,0.6049222081930415,0.5867,0.8867,0.9901,0.2137,0.3388,0.4355,0.010514597570186766,0.039048619817588615,0.0014127327820911675,0.028534022247401845,0.09092554924709949,0.19031487250490367,0.35038962691131503,0.13365,0.29225,0.5632,0.0689,0.1411,0.2543,0.002263237894536614,0.02627323574805214,0.0009458795709850061,0.024009997853515527,0.06729763094468286,0.24892174984596424,0.4654427645788337,nan,nan,0.34394904458598724,1.0,1.0,0.03729767769176636,0.14215341308937368,0.3033075299085151,0.0022151166383628197,0.02627483325112314,0.0009662028283863459,0.02405971661276032,0.09814705392179143,0.301255230125523,0.49867934495509775,nan,nan,0.41836734693877553,1.0,1.0,0.055594651653764954,0.17733990147783252,0.3321604503870514,1.0
40,0.005773955743752319,0.03619120173274918,0.0013752918602875335,0.03041724598899686,0.17151191387134088,0.25712019407290854,0.35190122266754603,0.45635,0.5989,0.75625,0.1056,0.1637,0.2293,0.005887692252124388,0.04587992949174803,0.0020537861010252977,0.03999223723962364,0.05909306134176124,0.11204820697560178,0.18896877856489946,0.31545,0.5483,0.76745,0.0326,0.0624,0.10775,0.002219978582346409,0.04257060648984871,0.0021628060941531594,0.040350627907502296,0.05253119039429661,0.16763378465506124,0.2510769230769231,nan,nan,0.3925233644859813,1.0,1.0,0.028149190710767064,0.09148486980999296,0.14356087262491204,0.0022047812953918883,0.03303269351734016,0.0014295295665204338,0.030827912221948268,0.13291187408989666,0.31316725978647686,0.4069506726457399,nan,nan,0.44528301886792454,0.9962264150943396,1.0,0.0781140042223786,0.18578465869106264,0.2554539057002111,2.0
60,0.00579054164828774,0.03440238852018255,0.0012461267704395294,0.028611846871894806,0.19815763530109262,0.2795849940650965,0.3712286961265684,0.4644,0.61985,0.76285,0.12595,0.1805,0.2453,0.005939046010892724,0.04374585122613822,0.0018951035504006734,0.037806805215245494,0.07977452588416198,0.13779060066740823,0.22651783350162683,0.3451,0.55055,0.75815,0.0451,0.07875,0.13315,0.002210602661629521,0.04115387614533475,0.0020506159929432714,0.03894327348370523,0.06844924901942026,0.20353982300884957,0.2786190187764991,nan,nan,0.4153846153846154,1.0,1.0,0.03729767769176636,0.11330049261083744,0.16185784658691063,0.0022047812953918883,0.03303269351734016,0.0014295295665204338,0.030827912221948268,0.13291187408989666,0.31316725978647686,0.4069506726457399,nan,nan,0.44528301886792454,0.9962264150943396,1.0,0.0781140042223786,0.18578465869106264,0.2554539057002111,3.0
80,0.005184751067888571,0.042641846439170704,0.0020192573744186597,0.03745709537128213,0.16393874717738563,0.21710863065577038,0.29297483235540656,0.4998,0.621,0.7737,0.09805,0.13155,0.1807,0.007485976250417971,0.054394959666027504,0.0028313739916510324,0.046908983415609534,0.03250191232715505,0.08520719005487735,0.1599381583283897,0.15175,0.39875,0.6677,0.0182,0.0477,0.09085,0.0021047935274895887,0.04206482082236591,0.002132641604482038,0.03996002729487632,0.06398104265402843,0.18170185540627,0.2521525215252152,nan,nan,0.4426229508196721,1.0,1.0,0.034482758620689655,0.09992962702322308,0.1442646023926812,0.0023022982468646745,0.028747294416990442,0.0010989290962814006,0.026444996170125766,0.10715021636101382,0.35437174290677476,0.459620596205962,nan,nan,0.32786885245901637,1.0,1.0,0.06403940886699508,0.21534130893736805,0.2983814215341309,4.0
100,0.010831993462043433,0.05152281905698834,0.002436179240341934,0.040690825594944906,0.12393234400883492,0.16561683199008062,0.23720160213618155,0.28285,0.37785,0.5205,0.07935,0.10605,0.1536,0.009475444898016392,0.05763945635199136,0.0030046070912545125,0.04816401145397497,0.03936455244371225,0.09770340856748043,0.1473734466403162,0.15965,0.3781,0.54735,0.02245,0.0561,0.08515,0.002713208332604686,0.04497342920981447,0.002331630710040711,0.04226022087720978,0.04490057729313662,0.15281375088297622,0.22041327489041954,nan,nan,0.2536231884057971,0.9565217391304348,1.0,0.024630541871921183,0.08304011259676285,0.12385643912737508,0.002253619761806725,0.025387584278105495,0.0009058404821820187,0.02313396451629877,0.16535952928543965,0.3952569169960475,0.5236363636363637,nan,nan,0.4010416666666667,1.0,1.0,0.10415200562983815,0.24630541871921183,0.35467980295566504,5.0
120,0.00588378658650106,0.043418558627331634,0.0020391314205159662,0.037534772040830576,0.1495689368770764,0.2130704029871777,0.2896822652838428,0.42075,0.57915,0.73565,0.09095,0.13055,0.18035,0.011991440837636341,0.05779903091682407,0.0028950651674101713,0.04580759007918773,0.041639289239881534,0.09971930507296733,0.1684226886383348,0.12705,0.29995,0.4741,0.0249,0.0598,0.1024,0.0023711039962390837,0.04143023822840702,0.002063406366562223,0.03905913423216793,0.05269922879177377,0.1908252003189914,0.26918392204628505,nan,nan,0.3037037037037037,0.9925925925925926,1.0,0.028852920478536243,0.1055594651653765,0.15552427867698804,0.002253619761806725,0.025387584278105495,0.0009058404821820187,0.02313396451629877,0.16535952928543965,0.3952569169960475,0.5236363636363637,nan,nan,0.4010416666666667,1.0,1.0,0.10415200562983815,0.24630541871921183,0.35467980295566504,6.0
140,0.0035460915483121803,0.03363274026305674,0.0014194183572562864,0.03008664871474456,0.22279990604220876,0.30201572497214707,0.3988762525737818,0.55225,0.7536,0.9102,0.13955,0.18885,0.2554,0.00414141156040492,0.048215760849781866,0.002471858293047087,0.044074349289376945,0.05066747725133354,0.10453999853135555,0.16899404652866823,0.29095,0.62385,0.9995,0.02775,0.05705,0.0923,0.002098972622523138,0.03349548367742203,0.0014260477530063796,0.03139651105489889,0.11226252158894647,0.24459542927733172,0.3389830508474576,nan,nan,0.45454545454545453,1.0,1.0,0.06403940886699508,0.13933849401829698,0.20408163265306123,0.0023928272831659878,0.02448213649167721,0.0008499353335222472,0.022089309208511224,0.1255355426429603,0.4350220264317181,0.5602836879432624,nan,nan,0.27970297029702973,1.0,1.0,0.08092892329345532,0.2779732582688248,0.3891625615763547,7.0
160,0.005442263962155188,0.01824658364308586,0.00042324133645914286,0.012804319680930673,0.3959138615621667,0.5314469737666756,0.6518947149797871,0.52645,0.68125,0.79635,0.31725,0.43565,0.5518,0.0058219747639714995,0.022759408929566766,0.000603259971434027,0.016937434165595264,0.3018925842205046,0.4331451137606081,0.5512878674930899,0.46135,0.63045,0.76205,0.22435,0.3299,0.43185,0.0023391076603855895,0.022308155949218342,0.0007324140609774866,0.019969048288832753,0.17042694880687154,0.48426666666666673,0.5916749256689792,nan,nan,0.33140655105973027,1.0,1.0,0.11470795214637579,0.3194933145672062,0.4201266713581985,0.0023379231442577416,0.02326407478206432,0.000789972733297144,0.02092615163780658,0.1861895922607274,0.4834578441835646,0.5860696517412936,nan,nan,0.3567362428842505,1.0,1.0,0.12596762843068263,0.31878958479943703,0.414496833216045,8.0
180,0.0038657970882448375,0.022959343589017148,0.0007286175061167909,0.019093546500772312,0.30509051412020277,0.4678438236658933,0.58704922289542,0.463,0.7342,0.8909,0.2275,0.3433,0.43775,0.0022364498034716717,0.024572758403567454,0.0008568478684628255,0.02233630860009578,0.20982557708008612,0.34432573417153123,0.5104639904669696,0.54365,0.90065,1.0,0.13,0.21285,0.3427,0.0023986493229668088,0.020098538616057014,0.0006344625170309222,0.017699889293090205,0.19775111044328944,0.5677536484027937,0.6568998109640831,nan,nan,0.324773413897281,0.9924471299093656,1.0,0.14215341308937368,0.3976073187895848,0.48909218859957776,0.0025078923463601075,0.019723168597958612,0.0006191937338769321,0.017215276251598504,0.17516725777849426,0.589712161976832,0.6762925011644154,nan,nan,0.2737752161383285,0.9927953890489913,1.0,0.12878254750175933,0.41942294159042925,0.5109078114004222,9.0
200,0.0039487635080548734,0.02177208074431593,0.0006702026407869789,0.017823317236261058,0.3161851918121958,0.4877052246363468,0.6208686754459564,0.45685,0.71655,0.8955,0.24175,0.36965,0.47515,0.0022968259409750346,0.030232621965982406,0.0012085931123178475,0.02793579602500737,0.18983341832792458,0.3041034866806074,0.41699062537271897,0.53155,0.91765,0.9938,0.11555,0.18225,0.26385,0.0025066994782578476,0.01965644386741494,0.000613867579330686,0.017149744389157093,0.18125452151946775,0.5857929064897293,0.6781395348837208,nan,nan,0.2752420470262794,0.9903181189488244,1.0,0.13511611541168192,0.4159042927515834,0.5130190007037297,0.0025148625088273883,0.0193586782338932,0.0005986483310218919,0.01684381572506581,0.1801860723687438,0.5997037188462654,0.6830398517145505,nan,nan,0.2761904761904762,0.9945578231292517,1.0,0.13370865587614356,0.42927515833919777,0.5186488388458832,10.0
