frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00205050622977421,0.049705569994538734,0.0026969136530530886,0.04765506376476453,0.003286770747740345,0.016366612111292964,0.06544293695131684,nan,nan,0.4,1.0,1.0,0.0016501650165016502,0.00825082508250825,0.03382838283828383,0.0020912216027466754,0.049648807141122575,0.00268882030243176,0.0475575855383759,0.003286770747740345,0.017988552739165983,0.06698564593301436,nan,nan,0.4,1.0,1.0,0.0016501650165016502,0.009075907590759076,0.034653465346534656,1.0
40,0.0033964320882522883,0.05256939346783732,0.002891746800740636,0.04917296137958504,0.03244592535335689,0.06852712207216025,0.11605297592890972,0.43595,0.7304,0.9623,0.01685,0.03595,0.06175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0033203237831473504,0.05244633659961219,0.002877431728290484,0.04912601281646484,0.009628610729023383,0.057213165179944625,0.11508553654743392,nan,nan,0.175,0.775,1.0,0.0049504950495049506,0.0297029702970297,0.06105610561056106,0.0032756939739576685,0.05103371803033419,0.002737169078795871,0.047758024056376525,0.01757088253750927,0.06802644217187412,0.12093023255813953,nan,nan,0.27450980392156865,0.8235294117647058,1.0,0.009075907590759076,0.03547854785478548,0.06435643564356436,2.0
60,0.003448486180259238,0.04323069449911284,0.0021424433962269587,0.0397822083188536,0.08962165995607614,0.14689698231009365,0.2256038831775701,0.49715,0.73525,0.94185,0.04925,0.0816,0.12815,0.007617594838028773,0.052636539942634716,0.0026552197384281367,0.04501894510460594,0.0550803091645197,0.08695640342751274,0.15176393728222995,0.2406,0.38275,0.63125,0.0311,0.04905,0.08625,0.0029719228210168926,0.04130790867759105,0.0019240851985728074,0.038335985856574155,0.03072196620583717,0.1129924306774638,0.1869857890800299,nan,nan,0.2222222222222222,0.9111111111111111,1.0,0.0165016501650165,0.06023102310231023,0.10313531353135313,0.0035228661554806973,0.05079716676536207,0.0027022102064742162,0.04727430060988137,0.015859284890426758,0.07553648068669529,0.1339491916859122,nan,nan,0.2037037037037037,0.8148148148148148,1.0,0.00825082508250825,0.039603960396039604,0.07178217821782178,3.0
80,0.00311393353607412,0.042995937329345604,0.0021414787460874774,0.03988200379327148,0.09734956647398844,0.148682948756368,0.2285193561776507,0.53465,0.75175,0.95435,0.05355,0.0825,0.1298,0.008082314710423056,0.05310772057422679,0.002673338091130778,0.045025405863803734,0.053405828220858896,0.08786016568047336,0.15100895577035736,0.2306,0.3727,0.59635,0.0302,0.0498,0.08645,0.00276374993403944,0.04165887898599116,0.001972695395354577,0.03889512905195172,0.054214534658577514,0.10979961058682144,0.18154538634658665,nan,nan,0.4421052631578947,0.8736842105263158,1.0,0.028877887788778877,0.05858085808580858,0.09983498349834984,0.0035228661554806973,0.05079716676536207,0.0027022102064742162,0.04727430060988137,0.015859284890426758,0.07553648068669529,0.1339491916859122,nan,nan,0.2037037037037037,0.8148148148148148,1.0,0.00825082508250825,0.039603960396039604,0.07178217821782178,4.0
100,0.004838001667816931,0.05086915858116392,0.0026072998286491384,0.04603115691334699,0.0352721045439016,0.07955360132680463,0.1421588512046324,0.27385,0.59045,0.88985,0.01885,0.04265,0.07725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003840098306167281,0.04880094676922147,0.0024654649812757396,0.04496084846305419,0.025041428834468787,0.08553398929329785,0.1524390243902439,nan,nan,0.24285714285714285,0.7428571428571429,1.0,0.013201320132013201,0.04537953795379538,0.08250825082508251,0.0035228661554806973,0.05079716676536207,0.0027022102064742162,0.04727430060988137,0.015859284890426758,0.07553648068669529,0.1339491916859122,nan,nan,0.2037037037037037,0.8148148148148148,1.0,0.00825082508250825,0.039603960396039604,0.07178217821782178,5.0
120,0.0037157840553570507,0.042438809611938556,0.002003174194014226,0.038723025556581504,0.09066391514176554,0.15407944419657085,0.23449631024096387,0.44685,0.69785,0.9282,0.05045,0.0866,0.1342,0.007392935283371267,0.05047976896884153,0.0023725677376353507,0.04308683368547026,0.040211195795006566,0.09306415094339623,0.16174269330140523,0.1674,0.3762,0.70205,0.02285,0.0531,0.0914,0.0034010391609169636,0.04306482741548391,0.00202295933611406,0.03966378825456695,0.04126303335058788,0.141973203410475,0.21370670596904937,nan,nan,0.27927927927927926,0.8378378378378378,1.0,0.022277227722772276,0.07755775577557755,0.11963696369636964,0.003498605203794044,0.04435703197742632,0.002113858003280371,0.04085842677363227,0.03366488140780413,0.12501221585911695,0.19508562918838424,nan,nan,0.23157894736842105,0.8210526315789474,1.0,0.018151815181518153,0.06765676567656766,0.10808580858085809,6.0
140,0.0032319962306049336,0.043276502834199974,0.0021927465258374168,0.04004450660359504,0.10638512613041408,0.15958752437765286,0.2379239275183107,0.57165,0.78285,0.91455,0.05865,0.08885,0.13675,0.007939021467365274,0.05240130143477934,0.0026244407094444698,0.044462279967414066,0.06003706563706563,0.09666872451291346,0.16003128751071735,0.2508,0.38615,0.60765,0.0341,0.05525,0.09215,0.0027647275538211988,0.04098215320865104,0.0019279226285179747,0.03821742565482984,0.032361809045226134,0.11915610653553191,0.19910846953937594,nan,nan,0.24468085106382978,0.9574468085106383,1.0,0.017326732673267328,0.06353135313531354,0.11056105610561057,0.003498605203794044,0.04435703197742632,0.002113858003280371,0.04085842677363227,0.03366488140780413,0.12501221585911695,0.19508562918838424,nan,nan,0.23157894736842105,0.8210526315789474,1.0,0.018151815181518153,0.06765676567656766,0.10808580858085809,7.0
160,0.0033138641694808748,0.04404096576998016,0.0021480156388853904,0.040727101600499284,0.07810319660537482,0.13137801290803028,0.20737766086793866,0.4878,0.73355,0.95285,0.04245,0.07215,0.11635,0.006307405438492767,0.051462248844528366,0.0025199045368236805,0.0451548434060356,0.03553522537562604,0.08410002058036634,0.14129470684995887,0.19005,0.4394,0.77335,0.0196,0.0465,0.07775,0.0033712499973820574,0.04481826948043488,0.002181834089036701,0.04144701948305282,0.0306435137895812,0.11514186615113438,0.19776951672862453,nan,nan,0.21428571428571427,0.826530612244898,1.0,0.0165016501650165,0.06188118811881188,0.10973597359735973,0.0033360969959642206,0.04278485180512485,0.0020035464354654043,0.03944875480916063,0.040760210270926,0.1364205837316134,0.21764705882352942,nan,nan,0.23931623931623933,0.8376068376068376,1.0,0.022277227722772276,0.07425742574257425,0.12211221122112212,8.0
180,0.010470889699348177,0.03983609543909371,0.0014350998517754687,0.029365205739745534,0.1321592927746067,0.2362700663088096,0.3271209595809274,0.27185,0.4763,0.61745,0.0873,0.1571,0.2225,0.018376686041904122,0.0347435898964303,0.0010044840832152163,0.01636690385452618,0.0831854872563718,0.23995575221238938,0.41534984952449744,0.08735,0.2465,0.4151,0.0794,0.23375,0.4156,0.0040614093765503016,0.03366738878772605,0.00121371830778936,0.029605979411175747,0.0684568987520318,0.22475600793256498,0.3565608695002168,nan,nan,0.22317596566523606,0.7296137339055794,0.9656652360515021,0.040429042904290426,0.13283828382838284,0.21864686468646866,0.0034939250216138294,0.021821097617040847,0.0005846449075675984,0.018327172595427016,0.11522134627046696,0.42700344078580627,0.5707503725473964,nan,nan,0.21739130434782608,0.8326086956521739,0.9847826086956522,0.07838283828382839,0.2871287128712871,0.4018151815181518,9.0
200,0.0050434957310736,0.0318679956093602,0.0011756555209251104,0.026824499878286598,0.19836831011398592,0.30694765297569154,0.41802096322399923,0.42315,0.63245,0.827,0.12955,0.20265,0.2797,0.012685379406082888,0.04410249207482704,0.0016978228776099269,0.031417112668744154,0.10270378151260505,0.20511043487883146,0.30288515507377295,0.14725,0.2945,0.4306,0.07885,0.15735,0.2336,0.003185047449613252,0.029472344538968014,0.0010552621965860885,0.02628729708935476,0.1074554735881967,0.28872300409342083,0.41537460389316433,nan,nan,0.3057553956834532,0.8453237410071942,0.9964028776978417,0.06518151815181518,0.1740924092409241,0.2623762376237624,0.0034939250216138294,0.021821097617040847,0.0005846449075675984,0.018327172595427016,0.11522134627046696,0.42700344078580627,0.5707503725473964,nan,nan,0.21739130434782608,0.8326086956521739,0.9847826086956522,0.07838283828382839,0.2871287128712871,0.4018151815181518,10.0
