frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.007309136153736858,0.016565369312581187,0.00021659307056779716,0.009256233158844327,0.15636674816625917,0.358774229845626,0.6735804597277055,0.198,0.40955,0.7296,0.1292,0.3192,0.62555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003599508479178592,0.025803064002800982,0.000739554390164852,0.02220355552362239,0.026238617070535573,0.17210682492581603,0.4157894736842105,nan,nan,0.18518518518518517,0.8055555555555556,1.0,0.014119601328903655,0.09634551495016612,0.26245847176079734,0.003713587491151106,0.02955313765952278,0.0009555879986692307,0.025839550168371674,0.026124372502817333,0.14623007515463232,0.32661570535093815,nan,nan,0.1744186046511628,0.7906976744186046,1.0,0.014119601328903655,0.08056478405315615,0.1951827242524917,1.0
40,0.0033823180970985467,0.0261465513758118,0.0008684332414947005,0.022764233278713252,0.18696762852077997,0.39976835329199606,0.5254700428663557,0.38415,0.7886,0.9557,0.12355,0.26775,0.36235,0.013092886842659255,0.029577063617851902,0.0007241961923762251,0.016484176775192646,0.14188106498511124,0.30391054572271387,0.4581765223493846,0.1537,0.32415,0.51085,0.13175,0.28605,0.41535,0.003216487902432362,0.025979747161950537,0.0008404092020170889,0.022763259259518175,0.11117898594990837,0.3688754344657473,0.5199754148740012,nan,nan,0.25068870523415976,0.8677685950413223,1.0,0.07142857142857142,0.23421926910299004,0.35132890365448505,0.003226587129585347,0.02503407200731826,0.0007884174449523554,0.021807484877732913,0.10401794819498265,0.4049797859355267,0.5458937198067634,nan,nan,0.20432692307692307,0.8677884615384616,1.0,0.06976744186046512,0.26411960132890366,0.3754152823920266,2.0
60,0.004120238473002193,0.01303804229368507,0.0001653675332253445,0.008917803820682878,0.26998370895585383,0.549382464275176,0.7058706714140386,0.38425,0.75405,0.88935,0.2081,0.4321,0.58515,0.006408095025367993,0.02678438611617203,0.000707272540229872,0.020376291090804036,0.1537283608416278,0.3361289095468166,0.4731992334905661,0.2926,0.5811,0.75855,0.10425,0.23645,0.34385,0.003204631195718453,0.025230340680857347,0.0007999101907268988,0.022025709485138892,0.10282562542406269,0.4146312463293976,0.5379477838494232,nan,nan,0.21804511278195488,0.8847117794486216,1.0,0.06727574750830564,0.2707641196013289,0.36794019933554817,0.0031827847074908486,0.022768208112154995,0.0006707959267639928,0.019585423404664147,0.10895059393205721,0.4709757613424487,0.5868544600938967,nan,nan,0.200836820083682,0.8807531380753139,1.0,0.07475083056478406,0.32142857142857145,0.4152823920265781,3.0
80,0.004692073486187644,0.022143179757372764,0.0005735822301744067,0.01745110627118512,0.215681996743334,0.42768719468574345,0.5782777568585261,0.33145,0.6628,0.86765,0.15985,0.3157,0.43365,0.003894277057035815,0.02558938210839181,0.0007752803820160802,0.021695105051355995,0.18601288679984335,0.3534520611491829,0.5020640380047506,0.3883,0.7136,0.9174,0.1223,0.2349,0.3456,0.003290140708812118,0.020261172716852367,0.0005395423895286878,0.01697103200804025,0.139153494223433,0.49184732157483757,0.6426155580608793,nan,nan,0.2181500872600349,0.8481675392670157,1.0,0.10215946843853821,0.34634551495016613,0.473421926910299,0.00337893526215896,0.020172880826762923,0.0005306410390326921,0.016793945564603962,0.11676565024868313,0.4946257269831725,0.6460784332301932,nan,nan,0.18013468013468015,0.8400673400673401,0.9983164983164983,0.08637873754152824,0.3504983388704319,0.4775747508305648,4.0
100,0.0045977266583241356,0.02172528776707515,0.000566324159981583,0.017127561108751015,0.23667056272975778,0.4525011484703353,0.5851067586206896,0.35225,0.68535,0.8622,0.1782,0.33775,0.4428,0.0033707258930862098,0.0251630633671294,0.0008029410545250397,0.02179233747404319,0.2529261930336044,0.39852503288031565,0.5235425050861771,0.48,0.75585,0.9397,0.1717,0.2706,0.36285,0.003316761600351821,0.019599017852643702,0.0005087574245792234,0.01628225625229188,0.1476344782890473,0.5130172793428356,0.655499720826354,nan,nan,0.21303656597774245,0.8426073131955485,1.0,0.11295681063122924,0.3687707641196013,0.48754152823920266,0.00335548989994259,0.019853319280275276,0.0005180004789065005,0.016497829380332688,0.1234311241756754,0.5015923135910505,0.6528970990834427,nan,nan,0.18668831168831168,0.8376623376623377,0.9983766233766234,0.09219269102990033,0.3579734219269103,0.4850498338870432,5.0
120,0.004977665147559692,0.019600779828386226,0.00045056865919461316,0.014623114680826535,0.24459510357815445,0.48505701812977103,0.6236513439344386,0.34,0.66685,0.8309,0.191,0.38115,0.49915,0.002940432140664639,0.020286987830516728,0.0005563139981776534,0.017346555689852088,0.28548804315027154,0.47371372583557175,0.607249587816124,0.45475,0.79875,0.9943,0.20805,0.3367,0.4371,0.0036084349246984166,0.016681302888245778,0.0003600752236055706,0.01307286796354736,0.12078449348438215,0.5729092386392438,0.7359580052493438,nan,nan,0.1460122699386503,0.8061349693251534,1.0,0.10299003322259136,0.44435215946843853,0.5822259136212624,0.0035805363189207414,0.01647654689941233,0.0003552128770767347,0.012896010580491588,0.13193018293238978,0.5789482751869689,0.7369720227655439,nan,nan,0.15695600475624258,0.8109393579072532,0.9964328180737217,0.11378737541528239,0.45016611295681064,0.584717607973422,6.0
140,0.005128450226654066,0.017528801804873068,0.0003714603617257446,0.012400351578219003,0.2767397832683138,0.5140921649965043,0.6818844840438749,0.3463,0.6457,0.82985,0.23045,0.42705,0.5787,0.002777823894711838,0.015725786609243172,0.0003723655772391186,0.012947962714531334,0.3564936681662526,0.5900355759152142,0.7119626469167605,0.4491,0.83035,1.0,0.29555,0.4576,0.55275,0.0037420285947829955,0.015194833068107599,0.00030701605297663855,0.011452804473324604,0.13849658314350793,0.6118292205248727,0.7841162391731445,nan,nan,0.15338042381432895,0.7880928355196771,0.9949545913218971,0.12624584717607973,0.5,0.6470099667774086,0.0037310513067397326,0.015423966478064242,0.00031161689430064647,0.01169291517132451,0.16343660136419488,0.595640363791301,0.76838256800234,nan,nan,0.1790437436419125,0.7822990844354019,0.9898270600203459,0.15033222591362128,0.4808970099667774,0.627906976744186,7.0
160,0.005227300344739213,0.01739105001983933,0.0003599670663438447,0.012163749675100118,0.2487765120772947,0.5178986598655229,0.6896237331170433,0.30955,0.6461,0.8259,0.20795,0.43215,0.59195,0.0028874770929573257,0.015409652613782047,0.0003575922811798874,0.012522175520824722,0.334809301002631,0.59444374024961,0.7347781067899671,0.42835,0.81375,0.99705,0.2748,0.46825,0.58175,0.003947229515542661,0.014770464237307462,0.00028669431619830787,0.010823234721764802,0.12810228269170934,0.6194788972190168,0.7983169916356618,nan,nan,0.12914485165794065,0.7521815008726004,0.9886561954624782,0.1270764119601329,0.526578073089701,0.6694352159468439,0.003953093247830559,0.015205954717283993,0.00029990109240310637,0.011252861469453434,0.17304065543360642,0.5968086658712651,0.7715004191114837,nan,nan,0.17771639042357273,0.7532228360957642,0.9779005524861878,0.1686046511627907,0.4941860465116279,0.6370431893687708,8.0
180,0.005157694501035664,0.016556111623811827,0.00032247470906165575,0.011398417122776163,0.24264936997718026,0.5321478545157335,0.7056827399916886,0.30045,0.6513,0.8301,0.2035,0.44985,0.6137,0.0031756829525044963,0.015085414364844745,0.0003264075160118025,0.011909731412340249,0.32198881968707277,0.5978615499783302,0.7339003777777777,0.3777,0.78705,0.99295,0.2806,0.482,0.58205,0.003947921496424446,0.014284411858376006,0.00026760413205511734,0.010336490361951561,0.1552324537784958,0.6156580594419151,0.8084734612642486,nan,nan,0.15771812080536912,0.7206375838926175,0.9823825503355704,0.15282392026578073,0.5373754152823921,0.6868770764119602,0.004019391145662809,0.014868697373461174,0.0002874186056021973,0.010849306227798365,0.17437939033016928,0.6073130809853717,0.7838350365888874,nan,nan,0.17271157167530224,0.7383419689119171,0.9732297063903281,0.1760797342192691,0.5157807308970099,0.6561461794019934,9.0
200,0.00525512421842945,0.01646352292321391,0.00032124812190908737,0.011208398704784458,0.25261255845023384,0.534514887945057,0.716154677982342,0.3115,0.65525,0.8331,0.21245,0.45135,0.628,0.003198545690515024,0.014778001515194579,0.000316968800575127,0.011579455824679554,0.310695360253365,0.6036991952579099,0.7566077165011055,0.3557,0.78215,0.99545,0.2758,0.49155,0.6102,0.0041507487438779776,0.014407267488389238,0.0002648272599313399,0.01025651874451126,0.13206517581661012,0.6196311503783823,0.8101772089588973,nan,nan,0.12672623883021933,0.727051177904143,0.9723801787164906,0.1378737541528239,0.5398671096345515,0.6943521594684385,0.0040658580959505594,0.01463003264252188,0.00028015914749138384,0.01056417454657132,0.17200296494494963,0.6172852581302556,0.7962450365159348,nan,nan,0.16736053288925895,0.7343880099916736,0.9683597002497918,0.17691029900332225,0.532392026578073,0.6760797342192691,10.0
