frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0029519502332144665,0.02833686930934452,0.0010493589339757299,0.025384919076130052,0.23982168347278843,0.3619467829774929,0.46081205741626796,0.54545,0.8039,0.9498,0.1537,0.23355,0.3042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025371229269377927,0.031550283009480824,0.0012308975614096418,0.02901316008254303,0.08093738708511845,0.2681033706516193,0.3941717791411043,nan,nan,0.34507042253521125,0.9647887323943662,1.0,0.045845272206303724,0.1556829035339064,0.2454632282712512,0.0023258093830928694,0.045193105074097475,0.0022720579882536114,0.04286729569100461,0.023921977550144146,0.08417200365965233,0.14690265486725665,nan,nan,0.32608695652173914,1.0,1.0,0.012416427889207259,0.04393505253104107,0.07927411652340019,1.0
40,0.006316101614886313,0.018683428033900717,0.0003218284666155447,0.012367326419014404,0.2641646856862585,0.3897385959934169,0.5470277863313661,0.4187,0.5901,0.73265,0.19295,0.29095,0.43645,0.007995086564113792,0.036450764181858365,0.0011470886818386048,0.028455677617744573,0.057259396914445995,0.1406169419936174,0.25719650866771726,0.17985,0.44935,0.6655,0.03405,0.08335,0.1594,0.0024250807785134625,0.03076198312367401,0.001227787061244008,0.02833690234516055,0.10048487647194641,0.3480727790335229,0.43964232488822647,nan,nan,0.2821576763485477,0.991701244813278,1.0,0.061127029608404965,0.2110792741165234,0.2817574021012416,0.0023484155916696824,0.02560363258728007,0.0009023448467942039,0.023255216995610388,0.15643018300325898,0.43640464420219444,0.5387299371946964,nan,nan,0.36792452830188677,0.9905660377358491,1.0,0.09933142311365807,0.279847182425979,0.36867239732569246,2.0
60,0.004683409848649569,0.01357810200223505,0.00022470052703660282,0.00889469215358548,0.4377330963189848,0.5914731898558419,0.7163473785144344,0.5511,0.72475,0.82995,0.36305,0.4996,0.6301,0.005176947884677658,0.01586024597176131,0.0002839869787787081,0.010683298087083652,0.3460135801630435,0.5510824170124481,0.670917478220005,0.45795,0.7041,0.8111,0.27805,0.4527,0.57205,0.0025247061358890195,0.01730746478419868,0.0004138492008975437,0.01478275864830966,0.23307946091236517,0.5939661211383223,0.6738442051931602,nan,nan,0.3459552495697074,0.9707401032702238,1.0,0.17574021012416427,0.4278892072588348,0.5081184336198663,0.002902652139950293,0.012971289690151709,0.00023032542127417036,0.010068637550201416,0.23847956776877707,0.6748213490692041,0.7965517241379311,nan,nan,0.27904040404040403,0.8977272727272727,1.0,0.2082139446036294,0.5405921680993314,0.66189111747851,3.0
80,0.004627242158065349,0.016159002084379388,0.00035112824293001316,0.011531759926314038,0.4520924429380925,0.586164024742268,0.6813786947834154,0.5692,0.7166,0.81685,0.37495,0.4959,0.58445,0.0037400588608144892,0.017090797537872803,0.0003951634365158918,0.013350738677058313,0.35679932773109246,0.5566605551465812,0.6907513405955954,0.44675,0.68655,0.9348,0.297,0.4681,0.54775,0.0025844104294190156,0.01408838047740308,0.0002861805820287535,0.011503970047984063,0.23554438213111584,0.6719615649392987,0.7624113475177305,nan,nan,0.3,0.9605633802816902,1.0,0.1938872970391595,0.5167144221585482,0.6160458452722063,0.002934522106284511,0.011400211046089622,0.00017363708088225186,0.008465688939805111,0.22548505506030414,0.731176215609781,0.8379578246392897,nan,nan,0.25,0.9054054054054054,1.0,0.20534861509073543,0.6131805157593123,0.7211079274116523,4.0
100,0.004304213803070913,0.010328159323011248,0.00015214310276969836,0.006023945519940335,0.5211139371992185,0.6987938975326664,0.8123644848335994,0.5679,0.7509,0.854,0.48145,0.65345,0.7746,0.0031655344752620634,0.010874951325606279,0.0001529905523527952,0.0077094168503442145,0.38409257473481195,0.6608326095012228,0.8305193556905202,0.432,0.7712,0.9876,0.34575,0.5781,0.71655,0.003019801249015272,0.009364959033394874,0.00010556589475976033,0.006345157784379603,0.23743820150571102,0.7850716369812307,0.8879447689856612,nan,nan,0.23427529626253418,0.9079307201458523,1.0,0.24068767908309455,0.6914995224450812,0.7984718242597899,0.0029259974734386377,0.008102000166688904,7.205900098466493e-05,0.005176002693250267,0.263599751547817,0.8185711713537677,0.9195046439628484,nan,nan,0.25468483816013626,0.909710391822828,1.0,0.2731614135625597,0.7440305635148042,0.8510028653295129,5.0
120,0.003907312973029112,0.009229330695214661,0.00013214347891640028,0.00532201772218555,0.5870634382669037,0.7271683614078335,0.8335758144687986,0.63815,0.77725,0.86815,0.54355,0.68315,0.80165,0.0034250151100199086,0.010114213218219217,0.00013808557982601815,0.006689198108199309,0.46858734824281145,0.6711808516167354,0.8453452475478748,0.4902,0.7123,0.9537,0.4488,0.63455,0.7591,0.0030670127361072117,0.008643251426069268,8.673922592347468e-05,0.005576238689962055,0.2624797166038167,0.8034634579067956,0.906278703928545,nan,nan,0.24494949494949494,0.8981481481481481,0.9966329966329966,0.282712511938873,0.7268385864374403,0.830945558739255,0.00307654979069922,0.007699593889657751,6.048100759874092e-05,0.004623044098958531,0.2623781044734816,0.8246973560424109,0.9307969228313808,nan,nan,0.24266455194290246,0.8842188739095955,0.9968279143536876,0.28557784145176696,0.772683858643744,0.8729703915950334,6.0
140,0.004311059714927521,0.01238201662485941,0.00023483116607595061,0.00807095690993189,0.5519896559438056,0.6628689873417721,0.7612779484169683,0.62035,0.72345,0.83135,0.4972,0.61165,0.7021,0.0029319066744382407,0.013175739028782682,0.0002740409248167575,0.01024383235434444,0.4412539795464651,0.6497193971803596,0.7810317663992161,0.5118,0.78065,0.98615,0.3878,0.5564,0.64655,0.002868030605240364,0.010154617984144524,0.00015011290262075552,0.0072865873789041595,0.27308199195008137,0.7882033029565858,0.8686299651763255,nan,nan,0.2759259259259259,0.9231481481481482,0.9981481481481481,0.2702960840496657,0.6876790830945558,0.7688634192932188,0.0031518669576601995,0.007595704811563514,5.746743859197851e-05,0.004443837853903314,0.26222426621552813,0.8264448246431911,0.9351088491102086,nan,nan,0.2359208523592085,0.875951293759513,0.9931506849315068,0.29512893982808025,0.7822349570200573,0.8834765998089781,7.0
160,0.004478638979265378,0.01228880287341234,0.00022665170511438392,0.0078101638941469615,0.5292069773984807,0.6722257554436379,0.7605083043962524,0.579,0.71915,0.80805,0.4873,0.63105,0.71825,0.003293805155815079,0.01634489916974469,0.0004034425583823688,0.013051094013929612,0.36577578824445306,0.5792530335328359,0.7230355805853055,0.4722,0.74645,0.95375,0.2985,0.47325,0.5822,0.003322985609819583,0.00985709953555485,0.00013131374364780748,0.006534113925735267,0.2799401693196216,0.769887235149722,0.8763957568514635,nan,nan,0.26702033598585323,0.8373121131741822,0.9725906277630415,0.2941738299904489,0.7125119388729704,0.7975167144221585,0.003300877434197875,0.00890115765813076,9.682448208842317e-05,0.005600280223932884,0.26709861994587913,0.7897974574290011,0.9033838079044831,nan,nan,0.24264120922832141,0.8273667462211615,0.9896579156722355,0.29703915950334286,0.7554918815663801,0.830945558739255,8.0
180,0.0040608719125915325,0.009387070888237585,0.00013905933093945352,0.005326198975646052,0.580268619802829,0.7421481346923672,0.8305720317574884,0.62495,0.7708,0.8559,0.54155,0.71555,0.8067,0.0034543487927327404,0.009349644375750794,0.00012267689274367624,0.005895295583018053,0.4972379286073404,0.6710484713067442,0.872554172455837,0.4948,0.6577,0.97135,0.4997,0.68495,0.792,0.003492884317466462,0.008740477284312955,8.478250308323779e-05,0.005247592966846494,0.22720154884263874,0.7928067578877066,0.9102814480827762,nan,nan,0.2054794520547945,0.815068493150685,0.9809741248097412,0.25405921680993315,0.7717287488061128,0.8490926456542502,0.0033427084654946686,0.007234634533540004,4.809250643335887e-05,0.003891926068045335,0.28757132573695954,0.8262094336467593,0.9424177662448174,nan,nan,0.25340990667623836,0.823402727925341,0.9870782483847811,0.332378223495702,0.8290353390639924,0.9016236867239733,9.0
200,0.004172973025448961,0.009667067865988267,0.00014541209503341005,0.005494094840539306,0.5761412225976952,0.7309828774617068,0.8265420023571364,0.59995,0.7438,0.8519,0.55415,0.7186,0.80265,0.00318472412055851,0.009808793305815744,0.0001338918995243609,0.006624069185257234,0.4652794764510246,0.677256891538773,0.8612228245363767,0.485,0.7163,0.991,0.4471,0.64225,0.7615,0.0030969396200780973,0.008207793163318058,8.343429972409292e-05,0.005110853543239962,0.35999094411504096,0.8085515544508942,0.9107759460376125,nan,nan,0.323397913561848,0.8502235469448585,0.992548435171386,0.4059216809933142,0.7707736389684814,0.8414517669531996,0.0033429840939041,0.007156630736701426,4.663811944134617e-05,0.003813646642797326,0.27562039919364695,0.8346409275746238,0.9457639036344206,nan,nan,0.23687845303867403,0.8335635359116023,0.9875690607734806,0.32951289398280803,0.8357211079274116,0.9073543457497613,10.0
