frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.005437306454402134,0.038079583991480294,0.0015384736312459915,0.03264227753707816,0.08951752577319588,0.18429891278842392,0.32275476994813723,0.27135,0.5276,0.85175,0.0536,0.11165,0.1991,0.010093227710962945,0.047699852415607175,0.0019262202144453412,0.03760662470464423,0.05795732168162495,0.12276395143227632,0.19507090671383523,0.17705,0.3497,0.53065,0.03465,0.07445,0.1195,0.0031458635813033254,0.03620535740764086,0.0015194154336557184,0.033059493826337535,0.024254313611841813,0.1374678013629398,0.311864406779661,nan,nan,0.21518987341772153,0.8607594936708861,1.0,0.01285140562248996,0.0746987951807229,0.18473895582329317,0.002996920805312747,0.03762739486223129,0.0016321965651191158,0.03463047405691854,0.018521040446683918,0.13934977706316357,0.2945205479452055,nan,nan,0.2361111111111111,0.9027777777777778,1.0,0.00963855421686747,0.07550200803212852,0.17269076305220885,1.0
40,0.007040089425606954,0.044205592646386814,0.001891309436292205,0.03716550322077986,0.0627838836772983,0.15456918112141993,0.23502457200402818,0.23015,0.52925,0.70295,0.03635,0.0905,0.1411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0028996600913788087,0.040888418595525784,0.0018769805278217812,0.03798875850414698,0.02418339071290621,0.15131595774611864,0.22775800711743768,nan,nan,0.20454545454545456,0.9886363636363636,1.0,0.01285140562248996,0.0819277108433735,0.1285140562248996,0.002626073997558209,0.04399331569129854,0.002155106497613617,0.04136724169374033,0.02742857142857143,0.10766071710630233,0.18777292576419213,nan,nan,0.26666666666666666,0.96,1.0,0.014457831325301205,0.0570281124497992,0.10361445783132531,2.0
60,0.003758490306024885,0.018494629994301265,0.0004825415274467127,0.014736139688276379,0.32107014704847675,0.5339862146599126,0.6655598893596163,0.46565,0.7358,0.90005,0.245,0.41905,0.528,0.0031299991085324474,0.020890561197232985,0.0006075039340197773,0.017760562088700537,0.2501643476837453,0.4636854640046245,0.6131507570955701,0.4354,0.7976,0.9721,0.1755,0.32685,0.4478,0.0024307360949856324,0.016864305199210207,0.00044801484375044814,0.014433569104224575,0.2153635720706601,0.6114643401061868,0.717816683831102,nan,nan,0.33706070287539935,0.9888178913738019,1.0,0.15823293172690764,0.442570281124498,0.5598393574297189,0.002574336998501807,0.01716179475922508,0.00045412912262574593,0.014587457760723274,0.19843852567773296,0.610487621194327,0.7125129265770423,nan,nan,0.2986003110419907,0.9797822706065319,1.0,0.14859437751004015,0.4433734939759036,0.5534136546184739,3.0
80,0.0036135956728208904,0.016936885177232467,0.00042031465107488273,0.013323289504411577,0.3592259386106623,0.5781400641155703,0.6913184543181118,0.4903,0.76895,0.8973,0.28345,0.4632,0.56225,0.002979471994526478,0.018873445670197386,0.0005247876755382344,0.015893973675670907,0.29986216735448984,0.5223953766978823,0.6634997832859272,0.48585,0.7967,0.9733,0.21685,0.3886,0.5033,0.002686165921815041,0.016037557479687974,0.00040120653729406274,0.013351391557872934,0.20049810959953324,0.6460591951346213,0.7462235649546829,nan,nan,0.27600554785020803,0.9667128987517337,1.0,0.157429718875502,0.485140562248996,0.5951807228915663,0.0028353353889689864,0.01438628511731501,0.00030618681783406166,0.011550949728346024,0.179433468351534,0.6656079153373715,0.7812041116005873,nan,nan,0.22831632653061223,0.9438775510204082,1.0,0.14779116465863454,0.5140562248995983,0.6409638554216868,4.0
100,0.003882083877296757,0.014825450054681489,0.00030201057031527733,0.010943366177384731,0.35391540217537265,0.6050156261177124,0.731522392607558,0.4552,0.7521,0.88745,0.2895,0.50605,0.6222,0.0032295643254369394,0.015978634891069026,0.00038966817154846426,0.012749070565632088,0.3667001426533523,0.6011717897616256,0.7221572490097875,0.4708,0.79685,0.9419,0.3003,0.48265,0.58555,0.0028401056668015544,0.01395126046865113,0.0002899509934297713,0.011111154801849576,0.21683005212131035,0.6611893870872343,0.7941888619854721,nan,nan,0.2868217054263566,0.9289405684754521,1.0,0.1742971887550201,0.5132530120481927,0.6586345381526104,0.0028697786411210793,0.01416131763591092,0.0002932934533080518,0.011291538994789841,0.1848016470515933,0.6677525531094365,0.7871407696054555,nan,nan,0.2421972534332085,0.9338327091136079,1.0,0.1493975903614458,0.5196787148594377,0.648995983935743,5.0
120,0.0037434640243799713,0.01400442481062037,0.00028153771453777384,0.0102609607862404,0.3961040296602444,0.6243866874027992,0.7511351427644387,0.49045,0.7524,0.89265,0.3322,0.5336,0.64835,0.003199029249626922,0.015987556483483132,0.0003607495952787869,0.012788527233856211,0.2943099853043546,0.5646405425279843,0.7256287025112684,0.4199,0.7821,0.97525,0.22655,0.4418,0.57775,0.0029431049236256918,0.01272689478603806,0.00023164381666691123,0.009783789862412368,0.18652302249991387,0.7072871594454347,0.8195422809830727,nan,nan,0.22234392113910187,0.9288061336254108,0.9956188389923329,0.1606425702811245,0.5710843373493976,0.6963855421686747,0.002878682136709892,0.013350137469653732,0.00025989244044329925,0.01047145533294384,0.18525495101711312,0.6914037452729688,0.8057553956834532,nan,nan,0.23193473193473194,0.9347319347319347,1.0,0.15421686746987953,0.5485943775100401,0.6746987951807228,6.0
140,0.0039983760577714765,0.011124979613346304,0.00014350887369745497,0.007126603555574827,0.36311961337092225,0.63984375,0.8087403014336477,0.4314,0.73125,0.8936,0.3135,0.56875,0.7386,0.003465950364572651,0.012141402054659488,0.0001795558030956498,0.008675451690086837,0.3268359151310477,0.5896898500576702,0.8089317114144293,0.4088,0.7091,0.9761,0.27225,0.5047,0.69065,0.0032953954272569386,0.01024610808263843,0.00011973924550022711,0.006950712655381491,0.29450882043379517,0.6879117599433576,0.8670566767534263,nan,nan,0.31847725162488394,0.8133704735376045,0.9916434540389972,0.27389558232931727,0.5959839357429719,0.770281124497992,0.0033375094063007923,0.009472115875333961,9.679178844024513e-05,0.006134606469033168,0.21109894848575314,0.7476937096770643,0.9001342984420426,nan,nan,0.21511627906976744,0.8446843853820598,0.9975083056478405,0.20722891566265061,0.6706827309236948,0.8200803212851405,7.0
160,0.0037688988788481845,0.008890821438231524,8.990880605691474e-05,0.00512192255938334,0.3907331058020478,0.7150522065989142,0.8776457923186345,0.4392,0.7666,0.9099,0.3519,0.67,0.8476,0.002957148857523302,0.009555585376445372,0.00011020394695517381,0.0065984365189220694,0.3553025838372732,0.6935204979019006,0.8721979158440973,0.4194,0.81365,0.99885,0.3082,0.6043,0.77405,0.0033705678885100313,0.008672285073631708,7.679803440797695e-05,0.005301717185121678,0.2551726732375292,0.7580499423451353,0.9214470525404307,nan,nan,0.25737051792828686,0.8151394422310757,0.9888446215139443,0.25301204819277107,0.708433734939759,0.8626506024096385,0.0033940202288499093,0.00867919650585158,7.54690845238756e-05,0.005285176277001671,0.21861372980605506,0.7694192937754838,0.9254266867230588,nan,nan,0.21266968325791855,0.8265460030165912,0.9969834087481146,0.2248995983935743,0.7196787148594378,0.8634538152610441,8.0
180,0.0038799993637263002,0.00899591876990375,9.320341145176126e-05,0.00511591940617745,0.40293973917322834,0.7197880391885343,0.869597977243995,0.4439,0.76345,0.891,0.3689,0.68085,0.8492,0.0028920698776347706,0.009725688513101238,0.00013150327871058314,0.006833618635466467,0.40083899110891574,0.7241948999420448,0.868638715518461,0.44545,0.81515,0.9987,0.36435,0.6515,0.76855,0.0033480714767511947,0.008600856737000971,7.698097403247349e-05,0.005252785260249776,0.25567734987050544,0.7890849005628268,0.9184902999317814,nan,nan,0.24834680382072005,0.8332108743570904,0.9948567229977957,0.26345381526104417,0.7493975903614458,0.8530120481927711,0.003567869575336106,0.008489346953239907,6.631097114157884e-05,0.004921477377903801,0.18421336400560728,0.7899540068788311,0.9352613479384663,nan,nan,0.1725327812284334,0.8253968253968254,0.9924085576259489,0.19759036144578312,0.757429718875502,0.8843373493975903,9.0
200,0.003447108988542368,0.008009446247668025,7.277800464457544e-05,0.004562337259125657,0.412122743378776,0.7600615100143998,0.8954749316444394,0.45785,0.81805,0.91875,0.3747,0.70975,0.87335,0.003024517944635654,0.009035532615404886,0.0001096682569100317,0.006011014670769231,0.40982955428710227,0.7410689682939104,0.8897473584748353,0.43945,0.8001,0.9936,0.38395,0.69015,0.80555,0.00372301541459958,0.008474675174282792,6.519743326523455e-05,0.004751659759683212,0.24098492156398293,0.7632901439019047,0.9325573021497168,nan,nan,0.22498274672187715,0.790200138026225,0.9765355417529331,0.25943775100401606,0.738152610441767,0.8923694779116466,0.003566111244701958,0.00825558452141469,6.029600962897116e-05,0.004689473276712733,0.18028202446387906,0.799100869706904,0.9416087861423398,nan,nan,0.16633132126089872,0.8283031522468142,0.9926224010731053,0.19678714859437751,0.7718875502008032,0.8955823293172691,10.0
