frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.006760166872211795,0.0271640334460275,0.0007378452362805509,0.020403866573815706,0.08663241910023678,0.2517165258987966,0.4609030032763015,0.19795,0.50085,0.7699,0.05545,0.1681,0.3289,0.040193197871098325,0.06243263528563913,0.003048433083727954,0.022239437414540805,0.042573144475920685,0.10755198572066042,0.2066275447718082,0.03585,0.0896,0.17045,0.0524,0.1345,0.2623,0.009969294276934704,0.03631836161831854,0.0010264184410866517,0.026349067341383838,0.0047694753577106515,0.04866562009419153,0.17452046951044947,nan,nan,0.06521739130434782,0.5,0.5217391304347826,0.0024752475247524753,0.02557755775577558,0.10478547854785479,0.014795968802429569,0.055103082545332395,0.0020220918390813584,0.04030711374290283,0.0,0.0,0.0032653061224489797,nan,nan,0.0,0.0,0.15384615384615385,0.0,0.0,0.0016501650165016502,1.0
40,0.0054272731189931155,0.0438458960251374,0.002137160511631835,0.038418622906144284,0.14441965962987074,0.20936462935357097,0.29313060481804204,0.4517,0.6116,0.79585,0.08595,0.1263,0.17965,0.010500676855233206,0.05436397685691607,0.0026521124872660503,0.04386330000168286,0.05893880687563195,0.09338453097818813,0.16320467014473244,0.21305,0.31895,0.49655,0.0342,0.0547,0.09765,0.0022943512648051583,0.039679260824464796,0.001910169885851213,0.03738490955965964,0.054616384915474644,0.17607223476297967,0.2673338098641887,nan,nan,0.3387096774193548,1.0,1.0,0.0297029702970297,0.09653465346534654,0.1542904290429043,0.0025970706819497097,0.046620771872513254,0.0023941365405881006,0.04402370119056354,0.0048115477145148355,0.05769230769230769,0.10328638497652581,nan,nan,0.08571428571428572,1.0,1.0,0.0024752475247524753,0.0297029702970297,0.054455445544554455,2.0
60,0.005263089742804462,0.020254372181921117,0.000481233542441192,0.014991282439116656,0.29162249617275,0.48489535074987905,0.628505868164173,0.38635,0.64505,0.8153,0.2342,0.38845,0.51135,0.005363160254688147,0.02651776526330078,0.0008618435128008294,0.02115460500861263,0.26627110187110187,0.45315609416906727,0.5542270720720721,0.40225,0.6623,0.79585,0.199,0.3444,0.42515,0.003589215386593317,0.025172624411211673,0.0008324800077986767,0.021583409024618357,0.17639394746972256,0.4512965677601982,0.5596276905177429,nan,nan,0.3175542406311637,0.8520710059171598,0.9487179487179487,0.12211221122112212,0.3069306930693069,0.39686468646864687,0.0036680239522680403,0.0253342173051846,0.0008490974471911884,0.021666193352916557,0.20240461624563366,0.46123774779848037,0.5592049436930998,nan,nan,0.35797665369649806,0.8657587548638133,0.9416342412451362,0.14108910891089108,0.31435643564356436,0.3976897689768977,3.0
80,0.00572232356988243,0.01566392576651457,0.00024791331457100227,0.009941602196632138,0.3002152104877453,0.5048090939775303,0.6653248119197036,0.35275,0.60265,0.7853,0.2613,0.4343,0.57715,0.006718615804442868,0.019488571926841648,0.00033294682551244956,0.01276995612239878,0.1811193000125897,0.37435598606612486,0.5436977777777777,0.25745,0.52825,0.7196,0.1397,0.2899,0.4369,0.005633045540725699,0.016079832903349633,0.00025911118590498446,0.010446787362623935,0.2057605534220936,0.5189279555638506,0.6849192023221103,nan,nan,0.24185068349106204,0.6603575184016824,0.8243953732912723,0.17904290429042904,0.4273927392739274,0.5858085808580858,0.005452582750087912,0.015268965831723786,0.00023060503591618706,0.009816383081635873,0.1553923651150088,0.562735702964164,0.708003666929963,nan,nan,0.17050691244239632,0.6967741935483871,0.8377880184331797,0.14273927392739275,0.47194719471947194,0.613036303630363,4.0
100,0.005926095953369088,0.015634551405561373,0.0002483338737163818,0.009708455452192285,0.3218408157053721,0.50715694431132,0.6667083302603436,0.3755,0.6086,0.76525,0.2816,0.4347,0.59065,0.004431492015610396,0.014605703978562843,0.0002351273496938428,0.010174211962952446,0.3429888,0.5195071112105616,0.6913370036473745,0.4466,0.70645,0.8865,0.2784,0.4108,0.5666,0.005369698309954433,0.014898438328105295,0.00022375757233250747,0.009528740018150862,0.12677800206553375,0.5818163881866946,0.739139196093074,nan,nan,0.13086642599277978,0.7193140794223827,0.8592057761732852,0.12293729372937294,0.4884488448844885,0.6485148514851485,0.005416966411857012,0.01473018635580874,0.00021468390185815051,0.009313219943951729,0.16820218071168966,0.5641465648854962,0.7307967281367622,nan,nan,0.1724137931034483,0.6853448275862069,0.8439655172413794,0.16419141914191418,0.4793729372937294,0.6443894389438944,5.0
120,0.0062195265620053125,0.015604972379180595,0.00022849554945531217,0.009385445817175283,0.23715809051456915,0.49223162841857915,0.6830596734575929,0.276,0.56245,0.7712,0.2079,0.4376,0.613,0.004527562114243015,0.014284212034540313,0.00021231486257680714,0.009756649920297298,0.27037720934444043,0.5308948096264368,0.7115818995810245,0.31585,0.6769,0.88465,0.23635,0.4367,0.59515,0.005422640562067844,0.014641379266718994,0.00020795739154675426,0.009218738704651149,0.12413308087638626,0.565003356455583,0.7440593059355554,nan,nan,0.12133550488599348,0.6579804560260586,0.8623778501628665,0.12706270627062707,0.49504950495049505,0.6542904290429042,0.005360304048741878,0.014150965400289765,0.00019406654544227236,0.008790661351547886,0.1347295481438399,0.5834619772379512,0.7522831515014187,nan,nan,0.130327868852459,0.6893442622950819,0.8590163934426229,0.13943894389438943,0.5057755775577558,0.6691419141914191,6.0
140,0.0063095803851441045,0.0156926910996874,0.00022675128583865645,0.009383110714543294,0.23002355323457319,0.4788246695585609,0.6824024603806353,0.26725,0.56345,0.7678,0.2019,0.4163,0.6141,0.004114636217285454,0.013876648629413346,0.00020175067965170986,0.009762012412127891,0.27926449699127043,0.5171301922736133,0.719339962039226,0.36305,0.72745,0.9044,0.2269,0.40115,0.59715,0.005253886169751635,0.014152549062555031,0.00019195694421872097,0.008898662892803395,0.1258643226551992,0.5681271064034665,0.7524016064399984,nan,nan,0.12716763005780346,0.6820809248554913,0.8662262592898431,0.12458745874587458,0.4867986798679868,0.665016501650165,0.005464038169588693,0.01386671530033154,0.00018220036593425434,0.008402677130742848,0.13050242032931916,0.5794505565206202,0.7625588438923869,nan,nan,0.12394797245600613,0.6625860749808722,0.8615149196633511,0.1377887788778878,0.5148514851485149,0.683993399339934,7.0
160,0.005824848948740589,0.013632593618908485,0.00018795954541083314,0.007807744670167896,0.2974987421907539,0.5551073789530104,0.742137722742374,0.3282,0.6104,0.79095,0.27205,0.509,0.699,0.005279382473272149,0.014082507978468946,0.00019607765103247797,0.008803125505196798,0.24266232988015435,0.5368142693593443,0.740286107784431,0.27545,0.61645,0.8433,0.21685,0.4754,0.6597,0.005507505834888617,0.013239725177430245,0.00016934039198021665,0.007732219342541627,0.18738049713193117,0.5893793759514829,0.7823926024807425,nan,nan,0.17462580185317178,0.6279401282965075,0.8538845331432644,0.20214521452145215,0.5552805280528053,0.721947194719472,0.0057365969689136724,0.013409760975859015,0.00017566503516197598,0.007673164006945343,0.1574443810610382,0.5995335721533606,0.778782146414557,nan,nan,0.14100817438692098,0.6362397820163488,0.8419618528610354,0.1782178217821782,0.5668316831683168,0.7244224422442245,8.0
180,0.005752420020540103,0.013315243015188136,0.00018139860491915742,0.0075628229946480335,0.2939209838002025,0.5736782171784988,0.7550564107644048,0.32285,0.6221,0.7967,0.26975,0.53225,0.71755,0.005082189263883891,0.01344630531020849,0.00018197231175344006,0.008364116046324598,0.2680009242144178,0.5544116992387482,0.7565313176071942,0.2965,0.625,0.8582,0.2445,0.49815,0.6764,0.005321968062240722,0.013097215408314135,0.00016709135621171796,0.007775247346073412,0.1633487796008454,0.6090838785314545,0.7875068697312655,nan,nan,0.15197132616487455,0.6494623655913978,0.8637992831541219,0.17656765676567657,0.5734323432343235,0.7235973597359736,0.005861221022524861,0.013583040053962436,0.00017824408902524067,0.007721819031437576,0.14389835666463788,0.5976301575965999,0.7773313547467463,nan,nan,0.12961719274680994,0.6319677635997314,0.8374748153122902,0.1617161716171617,0.5668316831683168,0.7252475247524752,9.0
200,0.006296812239604118,0.013509463120051919,0.00018666623594961232,0.007212650880447801,0.3020343631257228,0.577884684140075,0.7499580383923216,0.3163,0.6041,0.76215,0.289,0.55385,0.73815,0.005349919238223164,0.013855406422645176,0.00019727550474485823,0.008505487184422013,0.2910265464136816,0.5490812273560853,0.7347643697478992,0.3225,0.6331,0.8255,0.26515,0.48475,0.662,0.006727857602445504,0.01410102684711861,0.00019029682863126263,0.007373169244673105,0.10989010989010989,0.6012880394811175,0.7678320960053571,nan,nan,0.09633312616532007,0.6078309509011809,0.7967681789931634,0.12788778877887788,0.5948844884488449,0.740924092409241,0.00661340318017704,0.013817164914663015,0.00018475437288405,0.007203761734485974,0.1712288119073507,0.5890375005789509,0.7683260889548397,nan,nan,0.1494182486221678,0.5939987752602572,0.799755052051439,0.2004950495049505,0.5841584158415841,0.7392739273927392,10.0
220,0.006104048223387113,0.01290275880604403,0.00017780958639316728,0.006798710582656918,0.31653319681814607,0.6043486364763242,0.7683247063417173,0.33425,0.62565,0.76785,0.3006,0.58445,0.7688,0.005405025244137085,0.013652055453051488,0.0001930679616976472,0.008247030208914404,0.30203908064914736,0.5604574535809019,0.7459960459099052,0.32435,0.6189,0.8296,0.2826,0.5121,0.6777,0.00687618867991521,0.014101704031362967,0.0001906652303697088,0.007225515351447758,0.10734415856926105,0.6061162218003371,0.7678630086835724,nan,nan,0.0893169877408056,0.5977816695855225,0.7875072971395213,0.13448844884488448,0.6146864686468647,0.7491749174917491,0.006875591438236545,0.01403193568086069,0.00019076225312232667,0.007156344242624146,0.1368846931894808,0.5913492771643966,0.7678642717022665,nan,nan,0.11613272311212815,0.5846681922196796,0.7911899313501144,0.16666666666666666,0.5981848184818482,0.7458745874587459,11.0
240,0.0061191353659987525,0.01318562133774889,0.00018100710428648744,0.007066485971750137,0.29017463263727766,0.5873332087492037,0.7603637221382076,0.3057,0.6162,0.76855,0.27615,0.56105,0.75235,0.005760017989924032,0.01404270873484868,0.00020278934721758486,0.008282690744924647,0.29679077246011754,0.5582146553251817,0.7328417476056719,0.31465,0.6229,0.80465,0.28085,0.5057,0.6728,0.006818812991604642,0.014158303234528696,0.0001938736703796317,0.007339490242924055,0.13300194441022234,0.5955389662174939,0.7676198747924653,nan,nan,0.11335311572700296,0.5905044510385756,0.7934718100890208,0.1608910891089109,0.6006600660066007,0.7433993399339934,0.0068802748849664625,0.014037357989571606,0.00019046004330426245,0.007157083104605144,0.13886401161976533,0.5901712901962181,0.7685991769867221,nan,nan,0.11778029445073612,0.5792751981879954,0.7927519818799547,0.16914191419141913,0.6014851485148515,0.7458745874587459,12.0
