frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
20,0.0035052240976971975,0.032446105013098255,0.0012045091739030312,0.028940880915401056,0.07206051575931233,0.21200823719289855,0.3772819472616633,0.3082,0.7119,1.0,0.0408,0.12455,0.2325,0.05069776638947776,0.08602063299372578,0.004934991784347907,0.03532286660424802,0.02691176470588235,0.06748501263994222,0.1267989547700494,0.0244,0.05825,0.10655,0.03,0.0802,0.15655,0.005251321434695997,0.04123831203006348,0.001622024591619597,0.03598699059536748,0.001890359168241966,0.024012930039251906,0.13035714285714284,nan,nan,0.09090909090909091,0.36363636363636365,1.0,0.0009551098376313276,0.012416427889207259,0.06972301814708691,0.0030922375585152877,0.029713232631371277,0.0009844984970728088,0.02662099507285599,0.028999413614798228,0.10861339862007566,0.2975609756097561,nan,nan,0.2833333333333333,0.8,1.0,0.015281757402101241,0.05826170009551098,0.17478510028653296,1.0
40,0.006412994184317525,0.03601744033718498,0.0012577708763674756,0.029604446152867454,0.10885229439430534,0.22002093507612752,0.31546928187955137,0.3281,0.55925,0.7402,0.06525,0.13695,0.20045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002471553540208382,0.04168958198398949,0.002029346230157247,0.03921802844378111,0.03771890435563538,0.15992970123022848,0.23291139240506328,nan,nan,0.3157894736842105,1.0,1.0,0.02005730659025788,0.08691499522445081,0.1318051575931232,0.0034482422172324376,0.030299444490187292,0.0011000088306936016,0.026851202272954854,0.06736206633042946,0.310258221489679,0.44312267657992566,nan,nan,0.1872146118721461,0.8082191780821918,1.0,0.041069723018147083,0.19197707736389685,0.28462273161413565,2.0
60,0.004580267221986309,0.031125667246174386,0.0010954003575530885,0.026545400024188075,0.10529614873837981,0.33041469597304673,0.42988899559993227,0.2332,0.7206,0.89935,0.068,0.21435,0.28245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0037219103089153167,0.030437031684202157,0.0010558973781067652,0.02671512137528684,0.052278445624825275,0.26847363008667546,0.41483724451173354,nan,nan,0.15315315315315314,0.7747747747747747,1.0,0.03151862464183381,0.1623686723973257,0.2617000955109838,0.0030618799150912398,0.017156719937743883,0.0004480297401605864,0.014094840022652644,0.18508247669136982,0.6060431668830915,0.7468581687612208,nan,nan,0.27147766323024053,0.8694158075601375,1.0,0.14040114613180515,0.46513849092645654,0.5959885386819485,3.0
80,0.004901823572979564,0.020715027841597046,0.0005069955334684389,0.015813204268617483,0.23708509648017065,0.4675925566825776,0.6158308958983421,0.33095,0.63585,0.84575,0.1847,0.36975,0.4842,0.0049162412721323505,0.0233750490337269,0.0006371024757647584,0.018458807761594552,0.18442134765853088,0.4373866445458316,0.5720606120434354,0.29375,0.6292,0.82975,0.1344,0.3352,0.4365,0.0033755527928145995,0.017882519497205446,0.0004250379386682826,0.014506966704390846,0.14464427256928206,0.5708239248822454,0.7113846153846153,nan,nan,0.21922428330522767,0.8246205733558178,1.0,0.10792741165234002,0.4364851957975167,0.5520534861509073,0.0033364403156618486,0.013218782287387106,0.00024326422360697534,0.009882341971725257,0.16033354247803053,0.6924381099528494,0.8275475923852184,nan,nan,0.19408740359897173,0.8393316195372751,1.0,0.13658070678127984,0.5893027698185291,0.7058261700095511,4.0
100,0.005531879869219442,0.013744591722569876,0.00022155278302644015,0.008212711853350433,0.30429862935928625,0.6022552685950414,0.7653686744633027,0.34315,0.64575,0.80715,0.27335,0.56425,0.7277,0.0034226234299051385,0.015194159813771757,0.0003177983036460763,0.011771536383866618,0.3193034142418482,0.5574195603561032,0.7531223792289535,0.42995,0.73675,0.9754,0.25395,0.4483,0.61335,0.0036108455875906486,0.010434338176243629,0.0001292537099184826,0.006823492588652981,0.24780937564346017,0.703299029145722,0.8889178984470119,nan,nan,0.25867195242814667,0.755203171456888,0.9950445986124876,0.23782234957020057,0.6580706781279847,0.8032473734479465,0.0035462147800450153,0.010922464129945866,0.00015274454362308794,0.00737624934990085,0.210431555038502,0.7279829262659966,0.8806182299410197,nan,nan,0.21792260692464357,0.7922606924643585,0.9979633401221996,0.2034383954154728,0.673352435530086,0.7879656160458453,5.0
120,0.0051002202123640455,0.013115922095946884,0.00022195955329443951,0.008015701883582839,0.36337182993197276,0.6365541663409676,0.7823984345668012,0.40645,0.68415,0.83685,0.32855,0.59515,0.7346,0.003715904430209339,0.01253633751040853,0.0002044687181802002,0.00882043308019919,0.32300722142152777,0.6217051997940675,0.8192290937285659,0.3761,0.709,0.96485,0.28305,0.55355,0.7118,0.003404163664092372,0.009853779844406989,0.000124404815615907,0.0064496161803146166,0.2907161476408619,0.7354708139990702,0.8996321597477667,nan,nan,0.29107981220657275,0.7793427230046949,1.0,0.2903533906399236,0.6962750716332379,0.8175740210124164,0.0035999732219602182,0.010172096208282909,0.0001262367816122973,0.00657212298632269,0.20724548973328108,0.7466543574864362,0.9032430688197604,nan,nan,0.21223709369024857,0.7762906309751434,0.9961759082217974,0.20248328557784145,0.7191977077363897,0.8261700095510984,6.0
140,0.005356769424810457,0.015562571895970658,0.0002957215955865808,0.010205802471160201,0.28820811584441824,0.6088757860615883,0.7301461067514544,0.3479,0.6878,0.82045,0.246,0.5462,0.65775,0.003782610660846792,0.014082290613365484,0.0002513844283635166,0.010299679952518693,0.2842446635928962,0.5664271248282966,0.7919519301860493,0.34285,0.67885,0.9903,0.24275,0.48595,0.6598,0.0037525462364811856,0.01102739256343214,0.00014160863038421235,0.007274846326950955,0.1953013505668032,0.7040034354598761,0.8741865907382854,nan,nan,0.1977294228949858,0.7530747398297067,0.9952696310312205,0.1929321872015282,0.6609360076408787,0.7793696275071633,0.0036112104409897383,0.009466958071526026,0.00010395861984611895,0.005855747630536287,0.2195060691713088,0.7660605017797805,0.9156206446791221,nan,nan,0.21138912855910266,0.7799827437446074,0.997411561691113,0.2282712511938873,0.7526265520534862,0.8462273161413563,7.0
160,0.004928541982195428,0.01235521610147531,0.00018955535302375947,0.0074266741192798805,0.355851432138151,0.6563243177775254,0.7935037832407146,0.4013,0.7132,0.84325,0.31965,0.60785,0.7493,0.003788047720296042,0.011300183818562586,0.00016206662867884956,0.007512136098266543,0.36007261640798227,0.650830495338219,0.8485173432161677,0.377,0.6736,0.977,0.3446,0.62955,0.7499,0.004236963251858993,0.009854259449532863,9.140729394397017e-05,0.005617296197673871,0.15104316824999472,0.7061193641183388,0.9139798836738641,nan,nan,0.1346877351392024,0.6899924755455229,0.9781790820165538,0.17191977077363896,0.723018147086915,0.8576886341929322,0.0037377064546832294,0.007764328195405911,4.96467022504046e-05,0.004026621740722682,0.21695905289028836,0.8006204908919714,0.9567951522352948,nan,nan,0.1926260346124906,0.7667419112114372,0.9924755455229496,0.24832855778414517,0.8376313276026743,0.9235912129894938,8.0
180,0.004321206828174181,0.009158608370256938,9.961945853488298e-05,0.004837401542082757,0.4035704545454545,0.7466692960759409,0.8560424705126708,0.43665,0.7789,0.87115,0.37515,0.717,0.84145,0.004171331474671055,0.009141359702493822,8.359384925151915e-05,0.004970028227822767,0.3493886563325952,0.6609654721531388,0.9015348066298342,0.33565,0.62285,0.961,0.3643,0.70405,0.849,0.0038968996814487825,0.007542276575431106,4.535677218612161e-05,0.0036453768939823236,0.2851627823827983,0.7697872202322693,0.9602791451591948,nan,nan,0.2475795297372061,0.7206085753803596,0.9847856154910097,0.3361986628462273,0.8261700095510984,0.9369627507163324,0.0037243214396838805,0.007119557506242689,3.783045227396715e-05,0.003395236066558808,0.23346244970102667,0.8164425473358813,0.9751789208642939,nan,nan,0.20125786163522014,0.7617051013277428,0.9930118798043326,0.27793696275071633,0.8796561604584527,0.9579751671442216,9.0
200,0.004128537667709922,0.007888360847891716,7.95958439178969e-05,0.0037598231801817946,0.4706755878762142,0.7810221098450902,0.8885568137061837,0.48285,0.7733,0.87955,0.4591,0.7889,0.89775,0.004337024268698522,0.00858932486802274,7.331873394314311e-05,0.004252300599324218,0.3929867054582253,0.6842844702467343,0.8943375695084806,0.3652,0.632,0.91205,0.42535,0.746,0.8773,0.003919641397362227,0.0072782957404293695,3.6832123717165516e-05,0.0033586543430671424,0.17851552308896426,0.8012050920573204,0.9812392977555254,nan,nan,0.14696485623003194,0.7309904153354633,0.9923322683706071,0.22731614135625597,0.8863419293218721,0.9703915950334289,0.0037272103804280557,0.007025336034495408,3.704544219235142e-05,0.003298125654067352,0.24091997419722197,0.8199454238961377,0.9758114284327697,nan,nan,0.20308310991957104,0.7613941018766756,0.9932975871313673,0.29608404966571156,0.8882521489971347,0.958930276981853,10.0
