frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.002000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_fscore@0.010000,mesh_vs_gt_precision@0.002000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_precision@0.010000,mesh_vs_gt_recall@0.002000,mesh_vs_gt_recall@0.005000,mesh_vs_gt_recall@0.010000,nksr_vs_gt_accuracy_mean,nksr_vs_gt_chamfer_l1,nksr_vs_gt_chamfer_l2,nksr_vs_gt_completeness_mean,nksr_vs_gt_fscore@0.002000,nksr_vs_gt_fscore@0.005000,nksr_vs_gt_fscore@0.010000,nksr_vs_gt_precision@0.002000,nksr_vs_gt_precision@0.005000,nksr_vs_gt_precision@0.010000,nksr_vs_gt_recall@0.002000,nksr_vs_gt_recall@0.005000,nksr_vs_gt_recall@0.010000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.002000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_fscore@0.010000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.002000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_precision@0.010000,offline_pcd_vs_gt_recall@0.002000,offline_pcd_vs_gt_recall@0.005000,offline_pcd_vs_gt_recall@0.010000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.002000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_fscore@0.010000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.002000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_precision@0.010000,online_pcd_vs_gt_recall@0.002000,online_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_recall@0.010000,time_s
40,0.0031255963188849345,0.04646400464442636,0.002311179726644583,0.04333840832554143,0.06188328001872513,0.09809516129032257,0.17582804799123813,0.60825,0.80025,0.907,0.0326,0.05225,0.09735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0025134414713150616,0.05358047069538156,0.003105248471126485,0.0510670292240665,0.017740520518569062,0.06135147287046572,0.10659560293137908,nan,nan,0.2916666666666667,0.9791666666666666,1.0,0.009148486980999296,0.03166783954961295,0.05629838142153413,0.0023853094619999664,0.05683721272810787,0.0035648587826573306,0.0544519032661079,0.02185870932949847,0.07191316146540026,0.11788079470198676,nan,nan,0.37254901960784315,1.0,1.0,0.011259676284306826,0.03729767769176636,0.06263194933145672,2.0
60,0.005524907272381242,0.02033728119680535,0.00047104277139772913,0.014812373924424105,0.31401572807143885,0.4621877494702606,0.6022591505551673,0.4544,0.65865,0.8078,0.2399,0.356,0.4801,0.004623569546416644,0.0331090001056263,0.0013117903383914724,0.028485430559209657,0.23131138293728087,0.3187176401526269,0.4228399154981893,0.4904,0.6395,0.78795,0.15135,0.21225,0.28895,0.0026631589402182176,0.031108799876066035,0.0012909781048371896,0.028445640935847817,0.13002995269913123,0.3642485046980188,0.46378378378378377,nan,nan,0.30904522613065327,0.9522613065326633,1.0,0.08233638282899367,0.22519352568613651,0.3019000703729768,0.002777535165987064,0.0305511173323107,0.0012579892707037163,0.027773582166323633,0.14502015204447247,0.3881471833279062,0.4923076923076923,nan,nan,0.29916317991631797,0.9351464435146444,1.0,0.09570724841660802,0.24489795918367346,0.32653061224489793,3.0
80,0.004234602820543298,0.022431981225121293,0.0006920812822579405,0.018197378404577996,0.3029964041224705,0.48603779701602506,0.6034592623104288,0.43105,0.7186,0.8746,0.2336,0.3672,0.46065,0.002364946472425322,0.021882876305047188,0.0007468953072470535,0.019517929832621867,0.33068431460100783,0.49203022156451676,0.6089972246374291,0.54685,0.87395,0.9998,0.237,0.3424,0.43785,0.0028048259447011124,0.021229138035152802,0.0006909197628514331,0.01842431209045169,0.1750657727234151,0.5466303006466654,0.6547050976044478,nan,nan,0.25603217158176944,0.938337801608579,0.9986595174262735,0.1330049261083744,0.3856439127375088,0.48698099929627026,0.002725746220370044,0.014823712261355877,0.0003314842483236045,0.012097966040985833,0.21109962655641493,0.6563861163740062,0.7670281995661605,nan,nan,0.26706827309236947,0.9437751004016064,1.0,0.17452498240675582,0.5031667839549613,0.6220971147079521,4.0
100,0.00419643607650911,0.016529007531445636,0.0003806917906318903,0.012332571454936525,0.31536245744351593,0.5892561042467883,0.713839982493351,0.3731,0.72645,0.88865,0.2731,0.49565,0.5965,0.0024399758149974055,0.016423258384481318,0.0004136731353169249,0.013983282569483913,0.35631093680249987,0.5699044583062264,0.6822165118271069,0.51035,0.88665,1.0,0.2737,0.4199,0.5177,0.002891234269933145,0.014407859373178475,0.00031269904049363004,0.01151662510324533,0.27251719623917037,0.6531496819285084,0.7770967776474241,nan,nan,0.31527531083481347,0.894316163410302,0.9982238010657194,0.23997185080928923,0.5144264602392681,0.6361717100633357,0.0029760969576214775,0.015209128231215497,0.0003558752385951432,0.012233031273594019,0.22026032160658174,0.6549212858667693,0.7643478260869565,nan,nan,0.25556544968833483,0.8967052537845058,1.0,0.19352568613652357,0.5158339197748065,0.6185784658691063,5.0
120,0.004739099978547829,0.01557141763771247,0.00034610008666199253,0.010832317659164642,0.415158761177237,0.6113835195306221,0.7184744135073118,0.4766,0.70375,0.8216,0.36775,0.54045,0.63835,0.0030556240612706924,0.01850061166530589,0.0004857212092364211,0.015444987604035199,0.3138792436915724,0.49131872162378704,0.650472334682861,0.4776,0.7604,1.0,0.23375,0.3629,0.482,0.0035776092143357955,0.01422083353550561,0.00028567709574889446,0.010643224321169816,0.21018418201516792,0.6613069662591305,0.7904900910432775,nan,nan,0.2158753709198813,0.8026706231454006,0.9866468842729971,0.2047853624208304,0.5622800844475722,0.6593947923997185,0.003455453198305239,0.013973872055903678,0.00028305945805014144,0.010518418857598438,0.20261169204911092,0.6784160779054129,0.7972560024945432,nan,nan,0.21091997008227376,0.8362004487658938,0.9842931937172775,0.19493314567206194,0.5707248416608023,0.6699507389162561,6.0
140,0.004629138007705747,0.01410471861294962,0.00027377884109277195,0.009475580605243873,0.39950312924330333,0.6248260958366063,0.7551980240128242,0.45245,0.7227,0.847,0.35765,0.5503,0.68135,0.0030067664003278396,0.014043293906967494,0.0002955539771012183,0.011036527506639655,0.3673211279461279,0.5935037846797426,0.7753330849889626,0.47125,0.7926,0.99615,0.30095,0.47435,0.63465,0.0036542748252737342,0.012578986023541707,0.00020619785774795817,0.008924711198267973,0.2097826767412496,0.6663350582787196,0.8267716650286199,nan,nan,0.21056338028169014,0.7830985915492957,0.9880281690140845,0.20900774102744546,0.5798733286418015,0.7107670654468684,0.0037204305456348956,0.012141727256250557,0.00019167017773867768,0.008421296710615662,0.19136251556358488,0.6930237232143036,0.843834660876447,nan,nan,0.18857901726427623,0.7822045152722443,0.9847277556440903,0.19422941590429274,0.6220971147079521,0.7382125263898663,7.0
160,0.0049539047503546416,0.01260878960809813,0.00021169088720581877,0.007654884857743488,0.38796886442196904,0.6197235621150309,0.8029633270203981,0.4223,0.68275,0.8479,0.3588,0.56735,0.76255,0.0036840616411777448,0.01213143499033064,0.0001889626169687634,0.008447373349152895,0.3719619233828208,0.5960158833857336,0.8166049274667305,0.42165,0.71205,0.9549,0.33275,0.5125,0.7133,0.004029786245110753,0.011241770837601965,0.0001471235893266035,0.007211984592491213,0.19036413658809218,0.6801326740712366,0.8778549379394076,nan,nan,0.1789156626506024,0.7391566265060241,0.9722891566265061,0.20337790288529206,0.629838142153413,0.8001407459535539,0.004042696933906402,0.01061261795975281,0.00012552953080350245,0.006569921025846409,0.18626762513429995,0.7011401812284018,0.8835540470923362,nan,nan,0.1733490566037736,0.7387971698113207,0.9658018867924528,0.20126671358198453,0.6671358198451794,0.8142153413089374,8.0
180,0.004153905142155665,0.008219664259691223,7.817085925248872e-05,0.004065759117535558,0.4698607290891699,0.6997917395494948,0.9045438373956779,0.4871,0.71965,0.89485,0.4538,0.681,0.91445,0.003888716603160725,0.008176522662578858,7.330761079821953e-05,0.0042878060594181335,0.46320510858436165,0.6806107304175388,0.9048201165939107,0.44565,0.69135,0.91005,0.4822,0.6702,0.89965,0.00419106054742841,0.008508844265760797,6.008324889218959e-05,0.004317783718332386,0.23063658896812453,0.7160771322610658,0.9386768802466743,nan,nan,0.19888381532217148,0.7143581938102486,0.9538305428716387,0.2744546094299789,0.7178043631245602,0.9239971850809289,0.004206742857842909,0.00856074109186086,6.0541585186983826e-05,0.004353998234017951,0.18617299216755898,0.7350306063747658,0.937333038935921,nan,nan,0.15938430983118174,0.7224428997020854,0.9548162859980139,0.22378606615059818,0.7480647431386348,0.9204785362420831,9.0
200,0.004353886477495371,0.00843523632039706,7.494748338068797e-05,0.004081349842901689,0.42724411059800077,0.6879686435445795,0.9042317462072015,0.44125,0.7051,0.88465,0.4141,0.67165,0.9247,0.004312899238215235,0.008287495734516847,7.231266947024875e-05,0.003974596496301612,0.45087077297357075,0.6876986408895995,0.8964471853750976,0.4281,0.6748,0.8729,0.4762,0.7011,0.9213,0.004226417083993752,0.008340608450249365,5.534434634973522e-05,0.004114191366255613,0.21603521507452314,0.7250234910441212,0.9476935722577218,nan,nan,0.18253189401373895,0.7129538763493621,0.9538763493621197,0.26460239268121044,0.7375087966220971,0.9415904292751583,0.004256920902459504,0.0083651977046475,5.654388160850673e-05,0.004108276802187996,0.18668844847598984,0.7449625539823977,0.9387069218928572,nan,nan,0.15704824976348156,0.7185430463576159,0.9479659413434248,0.23011963406052077,0.7733990147783252,0.9296270232230823,10.0
220,0.004145787724615761,0.007581512059445234,6.976345012115972e-05,0.003435724334829472,0.4926960219200324,0.7326776136208544,0.924485404675044,0.4913,0.72865,0.9008,0.4941,0.73675,0.94945,0.003889565518921808,0.007578434158968741,6.739711499968029e-05,0.003688868640046933,0.5027783120609479,0.724963203970497,0.8985426870653686,0.4693,0.7086,0.8851,0.5414,0.7421,0.9124,0.004073549950999274,0.007851052707621597,4.965863792159328e-05,0.0037775027566223232,0.2228577638563896,0.760053932478322,0.9557425913007239,nan,nan,0.18413855970829535,0.723792160437557,0.968094804010939,0.2821956368754398,0.8001407459535539,0.9437016185784659,0.004242824737555747,0.008221191243211443,5.131696563106416e-05,0.0039783665056556975,0.142361526498385,0.7500712268819456,0.9540458764347823,nan,nan,0.11797752808988764,0.7172284644194756,0.9653558052434457,0.17945109078114005,0.7860661505981703,0.9429978888106967,11.0
