frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.000500,mesh_vs_gt_fscore@0.001000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_precision@0.000500,mesh_vs_gt_precision@0.001000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_recall@0.000500,mesh_vs_gt_recall@0.001000,mesh_vs_gt_recall@0.005000,nksr_vs_mesh_accuracy_mean,nksr_vs_mesh_chamfer_l1,nksr_vs_mesh_chamfer_l2,nksr_vs_mesh_completeness_mean,nksr_vs_mesh_fscore@0.000500,nksr_vs_mesh_fscore@0.001000,nksr_vs_mesh_fscore@0.005000,nksr_vs_mesh_precision@0.000500,nksr_vs_mesh_precision@0.001000,nksr_vs_mesh_precision@0.005000,nksr_vs_mesh_recall@0.000500,nksr_vs_mesh_recall@0.001000,nksr_vs_mesh_recall@0.005000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.000500,offline_pcd_vs_gt_fscore@0.001000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.000500,offline_pcd_vs_gt_precision@0.001000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_recall@0.000500,offline_pcd_vs_gt_recall@0.001000,offline_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.000500,online_pcd_vs_gt_fscore@0.001000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.000500,online_pcd_vs_gt_precision@0.001000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_recall@0.000500,online_pcd_vs_gt_recall@0.001000,online_pcd_vs_gt_recall@0.005000,time_s
20,0.0033493447678230874,0.03204390648197698,0.0011972043481207485,0.028694561714153896,0.01993423799582463,0.04055200823892894,0.22832128626746728,0.0845,0.1712,0.7565,0.0113,0.023,0.13445,0.05421482456511922,0.06304183506145061,0.0038566783092588443,0.008827010496331398,0.007854435483870967,0.017069995105237396,0.0859618777910903,0.0043,0.0094,0.048,0.0453,0.09275,0.41105,0.005074344950176775,0.040945777636422515,0.0016172651542172476,0.03587143268624574,0.0,0.0,0.03332011106703689,nan,nan,0.0,0.0,0.5384615384615384,0.0,0.0,0.017191977077363897,0.003227140059036391,0.030053620897195155,0.0010114760248947279,0.026826480838158764,0.0018083182640144665,0.0071068996150429374,0.1173458502240239,nan,nan,0.01694915254237288,0.05084745762711865,0.847457627118644,0.0009551098376313276,0.0038204393505253103,0.06303724928366762,1.0
40,0.00623254952079879,0.03553924515416183,0.0012424899247512652,0.02930669563336304,0.03845619961612284,0.07815620424597365,0.23031619777746518,0.1068,0.22595,0.56635,0.02345,0.04725,0.14455,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002247924928997516,0.04162653654100077,0.0020444657207457475,0.039378611612003254,0.0017777777777777776,0.012444444444444445,0.16137593257019192,nan,nan,0.01282051282051282,0.08974358974358974,0.9871794871794872,0.0009551098376313276,0.0066857688634192934,0.08787010506208214,0.003284955569592635,0.030025870316091996,0.0010927128911433286,0.02674091474649936,0.0031645569620253164,0.023734177215189875,0.31930893525124365,nan,nan,0.009216589861751152,0.06912442396313365,0.8294930875576036,0.0019102196752626551,0.014326647564469915,0.1977077363896848,2.0
60,0.004473352866241305,0.03077272617194576,0.001082536445405867,0.026299373305704456,0.021843997071742314,0.05069085545722714,0.3333371647509578,0.05465,0.12045,0.723,0.01365,0.0321,0.2166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0036916596470131734,0.030644192106566177,0.00107522969345106,0.026952532459553005,0.0,0.003172085646312451,0.26974305749604144,nan,nan,0.0,0.009345794392523364,0.8457943925233645,0.0,0.0019102196752626551,0.16045845272206305,0.0030728326510896142,0.017260618262756225,0.00045419034725267024,0.01418778561166661,0.0036968576709796672,0.03616411023818431,0.6110644925580772,nan,nan,0.005208333333333333,0.052083333333333336,0.8767361111111112,0.0028653295128939827,0.027698185291308502,0.4689589302769819,3.0
80,0.004911070880863231,0.02056002744889949,0.0005037785192867657,0.01564895656803626,0.06309612289685443,0.12810199281867146,0.47675119345194333,0.0873,0.17865,0.64045,0.0494,0.09985,0.3797,0.002107221419687464,0.004504980536767586,1.722195828186975e-05,0.002397759117080122,0.14849723664377829,0.2999405127354186,0.9074846592317225,0.16005,0.32175,0.9267,0.1385,0.2809,0.88905,0.0033871355026433934,0.01805296583616252,0.00043287778662314463,0.014665830333519125,0.003642987249544626,0.023072252580449305,0.5733469555480994,nan,nan,0.005,0.03166666666666667,0.8283333333333334,0.0028653295128939827,0.018147086914995225,0.4383954154727794,0.0032383546204091517,0.012958201017174074,0.00024076932267567903,0.009719846396764922,0.007579859231185708,0.03898213318895506,0.7029005206444059,nan,nan,0.00875,0.045,0.84125,0.0066857688634192934,0.034383954154727794,0.603629417382999,4.0
100,0.005563187035733613,0.013668857040164073,0.00021796286108597085,0.00810567000443046,0.08730937675463223,0.1804839263803681,0.6096384841555047,0.1015,0.2064,0.6518,0.0766,0.16035,0.5726,0.002514845191374848,0.007536673417971126,6.437309898962684e-05,0.005021828226596278,0.14774967763266655,0.28087557603686636,0.722134468808431,0.17415,0.33125,0.83405,0.1283,0.2438,0.6367,0.003663523197422254,0.010483845869072621,0.0001287289081772538,0.0068203226716503675,0.0,0.028389623103279492,0.7189451769604441,nan,nan,0.0,0.029116465863453816,0.7801204819277109,0.0,0.027698185291308502,0.6666666666666666,0.003438429110543733,0.010751720760613067,0.0001516603447210659,0.007313291650069334,0.009004502251125564,0.060030015007503754,0.7324582881943619,nan,nan,0.009453781512605041,0.06302521008403361,0.805672268907563,0.008595988538681949,0.05730659025787966,0.6714422158548233,5.0
120,0.0050267196104776405,0.012918150992845996,0.00021500619099324136,0.007891431382368355,0.10012708742632612,0.19601205771643662,0.6475920663568988,0.11485,0.22465,0.6983,0.08875,0.17385,0.60375,0.002691687421556852,0.006259779427008092,4.270726304381122e-05,0.0035680920054512407,0.13766892235123368,0.2859864383082838,0.7972424849699399,0.14205,0.2918,0.8288,0.13355,0.2804,0.768,0.0035458966625786137,0.009910788195262293,0.00011861073073947862,0.0063648915326836785,0.0037488284910965324,0.022492970946579195,0.7517632753276822,nan,nan,0.0036798528058877645,0.02207911683532659,0.7828886844526219,0.0038204393505253103,0.022922636103151862,0.723018147086915,0.0035219731756318024,0.009997011398876914,0.00012323072008124233,0.006475038223245112,0.001885902876001886,0.034889203206034884,0.7572714188558687,nan,nan,0.00186219739292365,0.03445065176908752,0.7960893854748603,0.0019102196752626551,0.03533906399235912,0.7220630372492837,6.0
140,0.005506007900643181,0.015587470699942707,0.0002912949484559816,0.010081462799299527,0.0795048608988077,0.15227620265302863,0.6034328939828081,0.0954,0.1819,0.6776,0.06815,0.13095,0.5439,0.0024764039655565057,0.006163386092510286,4.463456886398536e-05,0.0036869821269537796,0.1709162205645751,0.3277931360585723,0.8004199968905472,0.1697,0.3263,0.85765,0.17215,0.3293,0.75035,0.0038002606056645673,0.010960586960016231,0.0001369636700624409,0.007160326354351664,0.0009523809523809524,0.022857142857142857,0.7020949389193225,nan,nan,0.000949667616334283,0.022792022792022793,0.7511870845204178,0.0009551098376313276,0.022922636103151862,0.6590257879656161,0.0034930953633309073,0.009164314418719914,0.00010035336510068064,0.0056712190553890075,0.009208103130755067,0.06906077348066297,0.7595307917888563,nan,nan,0.008888888888888889,0.06666666666666667,0.7777777777777778,0.009551098376313277,0.07163323782234957,0.7421203438395415,7.0
160,0.004896441988941028,0.012195940971437426,0.0001833606765764845,0.007299498982496399,0.09742163048965169,0.19457594728171335,0.6628213991306954,0.11175,0.22035,0.72125,0.08635,0.1742,0.61315,0.0026166171100683515,0.005661777866893832,3.866089317650955e-05,0.00304516075682548,0.1847694755291897,0.3594550107497052,0.8185499541928786,0.1744,0.3413,0.8277,0.19645,0.37965,0.8096,0.004203422171222322,0.009695155027442845,8.853816714815973e-05,0.005491732856220523,0.00333889816360601,0.024207011686143573,0.7074287046118496,nan,nan,0.0029651593773165306,0.021497405485544848,0.6916234247590808,0.0038204393505253103,0.027698185291308502,0.7239732569245463,0.003682412642653641,0.007531681845331796,4.864298131441162e-05,0.0038492692026781553,0.0033030553261767133,0.047068538398018174,0.7900151104218074,nan,nan,0.002909090909090909,0.04145454545454545,0.7498181818181818,0.0038204393505253103,0.054441260744985676,0.8347659980897804,8.0
180,0.0042758685959008,0.009050830951394015,9.65570293834163e-05,0.0047749623554932145,0.11695686941726925,0.21985468732330657,0.7488317866666666,0.1259,0.2375,0.7796,0.1092,0.20465,0.7204,0.0026369045348015293,0.005066482279345854,3.686834333210125e-05,0.0024295777445443247,0.2644129887095269,0.4556595061058345,0.8363376835820896,0.23725,0.4128,0.8063,0.2986,0.50845,0.8687,0.0040458458753216174,0.00792353204696405,4.772242299389908e-05,0.0038776861716424325,0.0039904229848363925,0.030327214684756586,0.7606972827740474,nan,nan,0.003427004797806717,0.02604523646333105,0.7148732008224812,0.004775549188156638,0.03629417382999045,0.8127984718242598,0.003739643265554932,0.007089230988427933,3.873963290221952e-05,0.0033495877228730004,0.0031897926634768745,0.0390749601275917,0.8125413998675204,nan,nan,0.0027378507871321013,0.03353867214236824,0.75564681724846,0.0038204393505253103,0.04680038204393505,0.8787010506208214,9.0
200,0.004094488658849755,0.0078114059111821605,7.876768254525999e-05,0.003716917252332405,0.13861230658510254,0.27066851083448595,0.7849675127388535,0.1458,0.28225,0.77995,0.1321,0.26,0.79005,0.002722268026198115,0.005342605476551117,4.208936808640379e-05,0.002620337450353002,0.2913137586471944,0.4804024011591803,0.8174871167894368,0.2724,0.447,0.799,0.31305,0.5192,0.83685,0.0037871509815325007,0.007039264493395073,3.613298796839442e-05,0.0032521135118625728,0.006142034548944338,0.05297504798464491,0.8035657713173167,nan,nan,0.005134788189987163,0.044287548138639284,0.7342747111681643,0.007640878701050621,0.0659025787965616,0.8872970391595033,0.003721783411253934,0.006958639211748607,3.757447800989892e-05,0.0032368558004946734,0.0031007751937984496,0.04108527131782946,0.8165238668818132,nan,nan,0.002609262883235486,0.03457273320287019,0.7527723418134377,0.0038204393505253103,0.050620821394460364,0.89207258834766,10.0
