frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.000500,mesh_vs_gt_fscore@0.001000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_precision@0.000500,mesh_vs_gt_precision@0.001000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_recall@0.000500,mesh_vs_gt_recall@0.001000,mesh_vs_gt_recall@0.005000,nksr_vs_mesh_accuracy_mean,nksr_vs_mesh_chamfer_l1,nksr_vs_mesh_chamfer_l2,nksr_vs_mesh_completeness_mean,nksr_vs_mesh_fscore@0.000500,nksr_vs_mesh_fscore@0.001000,nksr_vs_mesh_fscore@0.005000,nksr_vs_mesh_precision@0.000500,nksr_vs_mesh_precision@0.001000,nksr_vs_mesh_precision@0.005000,nksr_vs_mesh_recall@0.000500,nksr_vs_mesh_recall@0.001000,nksr_vs_mesh_recall@0.005000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.000500,offline_pcd_vs_gt_fscore@0.001000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.000500,offline_pcd_vs_gt_precision@0.001000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_recall@0.000500,offline_pcd_vs_gt_recall@0.001000,offline_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.000500,online_pcd_vs_gt_fscore@0.001000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.000500,online_pcd_vs_gt_precision@0.001000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_recall@0.000500,online_pcd_vs_gt_recall@0.001000,online_pcd_vs_gt_recall@0.005000,time_s
40,0.0036156716772513084,0.05232012310487654,0.002883444848595275,0.04870445142762523,0.016578862947781145,0.029901871210537317,0.06442581472235342,0.272,0.46285,0.7073,0.00855,0.01545,0.03375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003890092814015296,0.05162144936689636,0.0027444254491717866,0.04773135655288106,0.0,0.0031620553359683794,0.04718464926077383,nan,nan,0.0,0.06060606060606061,0.7575757575757576,0.0,0.0016233766233766235,0.024350649350649352,0.01293466659797086,0.06174719540979655,0.003051833068861299,0.04881252881182569,0.0,0.0,0.007528703180877093,nan,nan,0.0,0.0,0.05194805194805195,0.0,0.0,0.004058441558441558,2.0
60,0.006403012225983849,0.020947801501420227,0.00040979564420252446,0.014544789275436376,0.04683746492048643,0.09199844961240311,0.33836476196782106,0.07225,0.1372,0.49925,0.03465,0.0692,0.2559,0.0034705547359722973,0.019220845508665412,0.0004544054927371848,0.015750290772693114,0.10762718100890208,0.20259285714285716,0.42730498099619924,0.17505,0.3263,0.6904,0.0777,0.1469,0.3094,0.005959856453926178,0.03576781724253851,0.0014001001191557786,0.029807960788612333,0.00125,0.01375,0.2556818181818182,nan,nan,0.002717391304347826,0.029891304347826088,0.625,0.0008116883116883117,0.008928571428571428,0.16071428571428573,0.0044136085621023545,0.02253502829470418,0.0006864753931987937,0.018121419732601826,0.00418848167539267,0.04502617801047121,0.48458337243228966,nan,nan,0.0058997050147492625,0.06342182890855458,0.7359882005899705,0.003246753246753247,0.0349025974025974,0.3612012987012987,3.0
80,0.005270447852957132,0.026608234199871444,0.0008596983620437929,0.02133778634691431,0.07262544359949304,0.13081908090162503,0.4151990855328003,0.10115,0.18495,0.59395,0.05665,0.1012,0.31915,0.002355498401896904,0.00680698610135675,4.510855264195549e-05,0.0044514876994598464,0.12143610888710969,0.23574736842105262,0.7592521198924044,0.1457,0.27995,0.9101,0.1041,0.2036,0.6513,0.004637371714866804,0.023165732628895673,0.0006847639322696048,0.018528360914028867,0.0010416666666666664,0.01875,0.4670924584874892,nan,nan,0.0014534883720930232,0.02616279069767442,0.7340116279069767,0.0008116883116883117,0.01461038961038961,0.3425324675324675,0.004215629730083958,0.019684693244912132,0.0005373028437654834,0.015469063514828175,0.0028790786948176585,0.02015355086372361,0.5472823156705919,nan,nan,0.0035211267605633804,0.02464788732394366,0.7699530516431925,0.002435064935064935,0.017045454545454544,0.424512987012987,4.0
100,0.005020826052721796,0.020456109017181232,0.000548100342382258,0.015435282964459437,0.0896135265700483,0.18331093421052627,0.5160777398208846,0.1113,0.22565,0.659,0.075,0.15435,0.4241,0.0023411485051814777,0.00744530110079321,6.657740827201165e-05,0.0051041525956117325,0.1465263679086942,0.271671347453808,0.7486354367981195,0.16795,0.31715,0.88045,0.12995,0.2376,0.65115,0.004186485616854825,0.017045772299432837,0.0003882715090433967,0.012859286682578012,0.0,0.012785388127853882,0.6087741000165459,nan,nan,0.0,0.014613778705636743,0.7985386221294363,0.0,0.011363636363636364,0.49188311688311687,0.00406414915697638,0.01675063962711719,0.00038637613737182275,0.012686490470140808,0.0027347310847766633,0.023701002734731084,0.6031226053135377,nan,nan,0.0031185031185031187,0.02702702702702703,0.7962577962577962,0.002435064935064935,0.021103896103896104,0.48538961038961037,5.0
120,0.0052163403392229,0.01973459674712413,0.0005212226004961569,0.01451825640790123,0.10663435202205881,0.20210692279811523,0.5266771690549692,0.12415,0.2385,0.63545,0.09345,0.17535,0.4497,0.0024065160536907108,0.007635642621187898,7.020663482518904e-05,0.005229126567497187,0.14502857142857142,0.29024522566520716,0.7304357229158277,0.1692,0.34135,0.8487,0.1269,0.25245,0.6411,0.004356759787123226,0.01681982189409058,0.000379878353020722,0.012463062106967356,0.002551020408163265,0.012755102040816327,0.6165213946117274,nan,nan,0.0026785714285714286,0.013392857142857142,0.7633928571428571,0.002435064935064935,0.012175324675324676,0.5170454545454546,0.004124070242205336,0.01633159287638823,0.0003846665908730232,0.012207522634182892,0.003365586874211191,0.02860748843079512,0.6314070456237975,nan,nan,0.0034934497816593887,0.029694323144104803,0.7842794759825328,0.003246753246753247,0.027597402597402596,0.5284090909090909,6.0
140,0.004787224063059582,0.01908947413604189,0.0005010475702887367,0.01430225007298231,0.07468883065836882,0.15365067556827214,0.5311522302550812,0.0875,0.18115,0.65115,0.06515,0.1334,0.4485,0.0021544223914521567,0.00788600523633765,8.27576470134883e-05,0.005731582844885494,0.15870103785103787,0.296005076307843,0.7333023489710846,0.1927,0.36255,0.8856,0.1349,0.2501,0.6257,0.0043751765954631395,0.016246802251730252,0.00037371290295609407,0.011871625656267112,0.0023971234518577705,0.015564839845990006,0.6226924808644754,nan,nan,0.0023603461841070024,0.014948859166011016,0.7254130605822188,0.002435064935064935,0.016233766233766232,0.5454545454545454,0.00444159654542365,0.015312836394621878,0.00031670293793436275,0.010871239849198229,0.0023400936037441494,0.0234009360374415,0.6253190079787999,nan,nan,0.0022522522522522522,0.02252252252252252,0.7117117117117117,0.002435064935064935,0.024350649350649352,0.5576298701298701,7.0
160,0.005475362007362122,0.014255694440618827,0.0002320096438066884,0.008780332433256705,0.09996916190002486,0.1955495173990348,0.5607802236661804,0.108,0.21285,0.61765,0.09305,0.18085,0.5135,0.0022904699197254844,0.006088807937914287,4.9808904368990037e-05,0.0037983380181888025,0.18251996722207045,0.33609948790262734,0.8169189777235276,0.1929,0.35275,0.86295,0.1732,0.32095,0.77555,0.004722713605076334,0.012613878052009433,0.0001720585077765763,0.007891164446933099,0.0014958863126402395,0.012715033657442035,0.6450113226959661,nan,nan,0.0013869625520110957,0.011789181692094313,0.6900138696255201,0.0016233766233766235,0.013798701298701298,0.6055194805194806,0.00462857838042416,0.014723578698048658,0.0002786316452110355,0.0100950003176245,0.002259036144578313,0.02334337349397591,0.61848692444503,nan,nan,0.002106741573033708,0.021769662921348316,0.6762640449438202,0.002435064935064935,0.025162337662337664,0.5698051948051948,8.0
180,0.005290273980508911,0.013775658285045282,0.0002261510730820563,0.008485384304536372,0.10628301886792453,0.21185811205989002,0.5841665535956581,0.1179,0.2337,0.6462,0.09675,0.19375,0.533,0.002442352981661298,0.006112194925167399,4.9378553381786684e-05,0.0036698419435061006,0.19771452040945278,0.36947228687415423,0.8043754692978373,0.2025,0.3727,0.8387,0.19315,0.3663,0.77275,0.0049615933817119115,0.012705448482223013,0.00016819149824218844,0.007743855100511101,0.0028684116170670493,0.014650225857648637,0.6161506739133467,nan,nan,0.002569043031470777,0.012845215157353885,0.6351958895311497,0.003246753246753247,0.017045454545454544,0.5982142857142857,0.005020011933014351,0.012401610524524662,0.00015158578545178343,0.007381598591510311,0.002106741573033708,0.023876404494382022,0.6111852177969943,nan,nan,0.0018564356435643563,0.02103960396039604,0.6256188118811881,0.002435064935064935,0.027597402597402596,0.5974025974025974,9.0
200,0.005247098688864602,0.01164979165841103,0.00016180549725851274,0.006402692969546427,0.12983516989825303,0.2477055443751258,0.6266143727598565,0.13735,0.26205,0.65445,0.1231,0.23485,0.60105,0.0025995946500699156,0.006117561124630794,4.649627085207482e-05,0.003517966474560879,0.21154857007799574,0.3768834173520828,0.7778046439926776,0.2121,0.3794,0.8004,0.211,0.3744,0.75645,0.00515809283247221,0.010995488958614703,0.00011087697124136862,0.005837396126142492,0.0032862306933946765,0.026947091685836345,0.6414397579020032,nan,nan,0.0027609055770292656,0.02263942573163998,0.6134732192159028,0.004058441558441558,0.033279220779220776,0.672077922077922,0.005108357776476978,0.011074682980857918,0.00011103479001900683,0.005966325204380941,0.00461133069828722,0.025032938076416336,0.6357366284201236,nan,nan,0.003880266075388027,0.02106430155210643,0.606430155210643,0.005681818181818182,0.030844155844155844,0.6680194805194806,10.0
220,0.005054453777134014,0.01011703682061801,0.00011677015563204739,0.005062583043483997,0.12603352486625718,0.24303067118922805,0.6584656749269477,0.1304,0.2501,0.67305,0.12195,0.23635,0.6445,0.002435388372371497,0.0062171171630353225,5.134302898487692e-05,0.0037817287906638255,0.20993655952380952,0.3822499934597776,0.7790341326171751,0.20635,0.3823,0.8297,0.21365,0.3822,0.7342,0.0049852260659286616,0.010138576119511016,9.214562279546694e-05,0.005153350053582353,0.0025781501772478245,0.02578150177247825,0.6533524198666723,nan,nan,0.002137894174238375,0.021378941742383754,0.6178514163548904,0.003246753246753247,0.032467532467532464,0.6931818181818182,0.005021108719263915,0.010823536718251939,0.00010636436822102894,0.005802427998988024,0.001976284584980237,0.021739130434782608,0.6384058888935805,nan,nan,0.0016629711751662971,0.018292682926829267,0.6147450110864745,0.002435064935064935,0.026785714285714284,0.663961038961039,11.0
