frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.000500,mesh_vs_gt_fscore@0.001000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_precision@0.000500,mesh_vs_gt_precision@0.001000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_recall@0.000500,mesh_vs_gt_recall@0.001000,mesh_vs_gt_recall@0.005000,nksr_vs_mesh_accuracy_mean,nksr_vs_mesh_chamfer_l1,nksr_vs_mesh_chamfer_l2,nksr_vs_mesh_completeness_mean,nksr_vs_mesh_fscore@0.000500,nksr_vs_mesh_fscore@0.001000,nksr_vs_mesh_fscore@0.005000,nksr_vs_mesh_precision@0.000500,nksr_vs_mesh_precision@0.001000,nksr_vs_mesh_precision@0.005000,nksr_vs_mesh_recall@0.000500,nksr_vs_mesh_recall@0.001000,nksr_vs_mesh_recall@0.005000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.000500,offline_pcd_vs_gt_fscore@0.001000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.000500,offline_pcd_vs_gt_precision@0.001000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_recall@0.000500,offline_pcd_vs_gt_recall@0.001000,offline_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.000500,online_pcd_vs_gt_fscore@0.001000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.000500,online_pcd_vs_gt_precision@0.001000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_recall@0.000500,online_pcd_vs_gt_recall@0.001000,online_pcd_vs_gt_recall@0.005000,time_s
20,0.004249472362312434,0.02803590565294319,0.0008716688558561398,0.023786433290630755,0.026478834209268994,0.05595233050847458,0.2562425699553908,0.0891,0.17925,0.70655,0.01555,0.03315,0.1565,0.03186261514157263,0.045132345647985336,0.0015341719947518536,0.013269730506412706,0.007327559055118111,0.015085057471264367,0.09254491489361703,0.00495,0.0102,0.06335,0.0141,0.02895,0.17165,0.0026549731328064452,0.037416131875015975,0.0015617382674288313,0.03476115874220953,0.0,0.0,0.06677018633540373,nan,nan,0.0,0.0,1.0,0.0,0.0,0.03453815261044177,0.0026549731328064452,0.037416131875015975,0.0015617382674288313,0.03476115874220953,0.0,0.0,0.06677018633540373,nan,nan,0.0,0.0,1.0,0.0,0.0,0.03453815261044177,1.0
40,0.002263100517525402,0.0397901219815988,0.001785277451170898,0.0375270214640734,0.03127728263022381,0.05066237957610789,0.14548124704770904,0.2357,0.3881,0.8733,0.01675,0.0271,0.07935,0.029294714481588414,0.032002450039717155,0.001167188749078745,0.002707735558128739,0.01649904548006738,0.036872900158478605,0.2077072663668166,0.0092,0.0207,0.1177,0.07985,0.1686,0.8828,0.002351957013999238,0.042017678246356244,0.0019108544476243933,0.039665721232357,0.0015552099533437014,0.0015552099533437014,0.08608762490392007,nan,nan,0.024390243902439025,0.024390243902439025,1.0,0.0008032128514056225,0.0008032128514056225,0.04497991967871486,0.002213990089048203,0.048315931272927715,0.0025356030706532016,0.04610194118387951,0.0,0.0031249999999999997,0.059236165237724084,nan,nan,0.0,0.05714285714285714,1.0,0.0,0.001606425702811245,0.030522088353413655,2.0
60,0.003523206969076628,0.024370681335578792,0.0007711974480645639,0.020847474366502163,0.07087351585795608,0.13131036102142649,0.45279375168934144,0.1366,0.2519,0.79305,0.04785,0.0888,0.31685,0.005183081206088941,0.012414327704409776,0.0001317194603172636,0.0072312464983208345,0.056544112478031636,0.11312461470717747,0.49644545318277206,0.0614,0.1205,0.54455,0.0524,0.1066,0.45615,0.002661889792785719,0.023301211344033398,0.00071397938637729,0.020639321551247678,0.00379746835443038,0.010126582278481015,0.44961373711677677,nan,nan,0.008955223880597015,0.023880597014925373,0.991044776119403,0.0024096385542168677,0.00642570281124498,0.29076305220883536,0.0026480980358466444,0.02027038027522372,0.0005419915140371518,0.017622282239377077,0.006138735420503376,0.0205686630369026,0.486867045762253,nan,nan,0.013020833333333334,0.041666666666666664,0.9817708333333334,0.004016064257028112,0.013654618473895583,0.3236947791164659,3.0
80,0.0035067760420463834,0.018199321027951416,0.00042293342907083465,0.014692544985905033,0.07133619783616692,0.13992701122174805,0.48327125707504104,0.10865,0.2119,0.73555,0.0531,0.10445,0.35985,0.0021035776262386422,0.005821245935145191,4.072914658191526e-05,0.003717668308906549,0.14021784021071113,0.26559251706957,0.8543466953688621,0.1599,0.30905,0.9253,0.12485,0.23285,0.7935,0.0029692418745959673,0.0167944265787131,0.000392438873253546,0.013825184704117133,0.004287245444801715,0.01929260450160772,0.5919034409805063,nan,nan,0.00644122383252818,0.028985507246376812,0.9243156199677939,0.00321285140562249,0.014457831325301205,0.4353413654618474,0.002774791448249082,0.015416895473179334,0.0003515579235799963,0.012642104024930252,0.0030303030303030307,0.029292929292929294,0.6429105636800865,nan,nan,0.004081632653061225,0.03945578231292517,0.9346938775510204,0.0024096385542168677,0.023293172690763052,0.4899598393574297,4.0
100,0.0033165540027745776,0.016517903984037074,0.00036910700705030525,0.013201349981262498,0.07602269378131447,0.1612073456702924,0.5361174129353233,0.11215,0.2298,0.76245,0.0575,0.12415,0.4134,0.0026869106692545314,0.009121431832086323,0.00010487961271382241,0.006434521162831791,0.10223608796296296,0.19689142236699245,0.7010956815906659,0.13295,0.2535,0.85365,0.08305,0.16095,0.5948,0.0029450859252107653,0.015919133412261085,0.00036911829824452764,0.01297404748705032,0.0010319917440660476,0.019607843137254905,0.6345560955217641,nan,nan,0.001443001443001443,0.027417027417027416,0.9408369408369408,0.0008032128514056225,0.015261044176706828,0.478714859437751,0.0028015370931907466,0.015015500734753308,0.0003267920953007018,0.012213963641562561,0.0010251153254741158,0.02357765248590466,0.6315804675164631,nan,nan,0.00141643059490085,0.032577903682719546,0.943342776203966,0.0008032128514056225,0.018473895582329317,0.4746987951807229,5.0
120,0.0036432401441919417,0.015668662016508815,0.00032565521285414446,0.012025421872316875,0.07409818586887332,0.15049111495518164,0.5658034929389153,0.09725,0.1957,0.7379,0.05985,0.12225,0.4588,0.0022801251488936973,0.00877880804988496,0.00011404334232767666,0.006498682900991263,0.11742198683669272,0.22478125335913146,0.7451284196503997,0.14395,0.27515,0.90625,0.09915,0.19,0.63265,0.002981682671250551,0.013485926552838236,0.0002594799620548353,0.010504243881587685,0.0018921475875118257,0.03027436140018921,0.693118559753642,nan,nan,0.0023014959723820483,0.03682393555811277,0.9182968929804373,0.001606425702811245,0.02570281124497992,0.5566265060240964,0.003018011325464072,0.012985396685512938,0.00023894127162725286,0.009967385360048866,0.0018752930145335208,0.02344116268166901,0.7139056962767252,nan,nan,0.0022522522522522522,0.028153153153153154,0.9222972972972973,0.001606425702811245,0.020080321285140562,0.5823293172690763,6.0
140,0.003980053026816654,0.011403476469522625,0.00015010400195124263,0.00742342344270597,0.0884161817678027,0.1711066895860192,0.6353578011977911,0.103,0.19895,0.71225,0.07745,0.1501,0.57345,0.0021773685421264725,0.005040479829837291,2.7446963938177557e-05,0.0028631112877108194,0.1876836612603031,0.3457698166329772,0.8530650599590524,0.19635,0.35985,0.8927,0.17975,0.33275,0.8168,0.0033939158146340524,0.010678570065135215,0.00012769732744927505,0.007284654250501163,0.0017152658662092624,0.02315608919382504,0.7282275484987608,nan,nan,0.0018399264029438822,0.02483900643974241,0.8500459981600736,0.001606425702811245,0.021686746987951807,0.6369477911646586,0.003394616579275021,0.0107458540241701,0.00012939059509362608,0.00735123744489508,0.004310344827586207,0.024999999999999998,0.7265931771239209,nan,nan,0.004651162790697674,0.026976744186046512,0.8427906976744186,0.004016064257028112,0.023293172690763052,0.6385542168674698,7.0
160,0.004199787742315546,0.009890373232319321,0.00010588278384023652,0.005690585490003774,0.10598768656716419,0.19677113647767186,0.6707581626964955,0.1186,0.22175,0.7091,0.0958,0.17685,0.63635,0.002527260687847714,0.005654924921970546,3.662804767562176e-05,0.0031276642341228323,0.16443029796290667,0.3257889971610527,0.8276286628626633,0.16625,0.32925,0.8473,0.16265,0.3224,0.80885,0.003688927714632473,0.009315215448001752,8.570076545979177e-05,0.005626287733369279,0.004794246903715542,0.03196164602477027,0.7430885592861705,nan,nan,0.0047694753577106515,0.03179650238473768,0.7996820349761526,0.004819277108433735,0.0321285140562249,0.6939759036144578,0.003839199163002654,0.009451744455235502,8.446598607414761e-05,0.005612545292232847,0.0015785319652722968,0.0260457774269929,0.7449050632515851,nan,nan,0.0015515903801396431,0.02560124127230411,0.7944142746314973,0.001606425702811245,0.02650602409638554,0.7012048192771084,8.0
180,0.003852939816526417,0.008175112405356205,7.56582864583078e-05,0.004322172588829788,0.11506117366825465,0.23571132734003172,0.7571799755840042,0.12215,0.2489,0.77755,0.10875,0.22385,0.73785,0.002822388895005129,0.005790929193596284,4.410479967533323e-05,0.0029685402985911553,0.23015977847757627,0.4288569921920522,0.7971400131673825,0.22635,0.41995,0.78235,0.2341,0.43815,0.8125,0.003661206352828034,0.008055311914008054,5.923989873854008e-05,0.00439410556118002,0.0036350418029807343,0.04143947655398037,0.8026357488384888,nan,nan,0.0033200531208499337,0.037848605577689244,0.8127490039840638,0.004016064257028112,0.04578313253012048,0.7927710843373494,0.0038455693687045223,0.00871872755041358,6.973927000535526e-05,0.004873158181709058,0.0014847809948032667,0.025241276911655532,0.7761344697395611,nan,nan,0.0013802622498274672,0.023464458247066944,0.7922705314009661,0.001606425702811245,0.027309236947791166,0.7606425702811245,9.0
200,0.003703859849581845,0.007837738326276973,7.158155647567474e-05,0.0041338784766951275,0.1179366413822166,0.22827551930396955,0.7817812482024734,0.12785,0.24905,0.80295,0.10945,0.2107,0.7617,0.0028178823533141165,0.005739107627948117,4.566753863835522e-05,0.0029212252746340013,0.24894019460327013,0.46138188656781043,0.7858342067651262,0.2408,0.44575,0.75525,0.25765,0.47815,0.819,0.0038832403152961863,0.008474466384168346,6.548453515990295e-05,0.004591226068872161,0.0021001050052502626,0.023691092764473613,0.7860307849125783,nan,nan,0.0018610421836228288,0.020471464019851116,0.7841191066997518,0.0024096385542168677,0.028112449799196786,0.7879518072289157,0.0038604820480066166,0.008426419277022156,6.546451755669175e-05,0.004565937229015539,0.00558659217877095,0.021648044692737428,0.7832395696178962,nan,nan,0.004941321803582459,0.019147621988882025,0.7739345274861026,0.00642570281124498,0.024899598393574297,0.7927710843373494,10.0
