frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.000500,mesh_vs_gt_fscore@0.001000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_precision@0.000500,mesh_vs_gt_precision@0.001000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_recall@0.000500,mesh_vs_gt_recall@0.001000,mesh_vs_gt_recall@0.005000,nksr_vs_mesh_accuracy_mean,nksr_vs_mesh_chamfer_l1,nksr_vs_mesh_chamfer_l2,nksr_vs_mesh_completeness_mean,nksr_vs_mesh_fscore@0.000500,nksr_vs_mesh_fscore@0.001000,nksr_vs_mesh_fscore@0.005000,nksr_vs_mesh_precision@0.000500,nksr_vs_mesh_precision@0.001000,nksr_vs_mesh_precision@0.005000,nksr_vs_mesh_recall@0.000500,nksr_vs_mesh_recall@0.001000,nksr_vs_mesh_recall@0.005000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.000500,offline_pcd_vs_gt_fscore@0.001000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.000500,offline_pcd_vs_gt_precision@0.001000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_recall@0.000500,offline_pcd_vs_gt_recall@0.001000,offline_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.000500,online_pcd_vs_gt_fscore@0.001000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.000500,online_pcd_vs_gt_precision@0.001000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_recall@0.000500,online_pcd_vs_gt_recall@0.001000,online_pcd_vs_gt_recall@0.005000,time_s
40,0.004019964537969499,0.030115338094389404,0.0008858511493903322,0.026095373556419905,0.019113104414856343,0.04345612213740458,0.1066455666551843,0.1324,0.3041,0.6678,0.0103,0.0234,0.05795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023963782840326834,0.03783374038126403,0.0014940955307589556,0.03543736209723135,0.0,0.003149606299212599,0.09133858267716537,nan,nan,0.0,0.034482758620689655,1.0,0.0,0.0016501650165016502,0.04785478547854786,0.00281375965277992,0.03817768423125066,0.0014922377343103024,0.03536392457847074,0.0,0.0015735641227380016,0.08675432751798316,nan,nan,0.0,0.01694915254237288,0.9830508474576272,0.0,0.0008250825082508251,0.04537953795379538,2.0
60,0.004649796955344874,0.01940047681635316,0.0004647380070962454,0.014750679861008285,0.06446924947880472,0.13788576158940397,0.5107085280534089,0.09515,0.1955,0.68705,0.04875,0.1065,0.4064,0.0033611453566379586,0.01039775964354427,0.00010266907884890226,0.007036614286906311,0.08267146348085799,0.17849707991803282,0.5637793057073212,0.1215,0.2523,0.7308,0.06265,0.1381,0.4589,0.003313976651264131,0.020545898245097255,0.0005557205023241125,0.017231921593833126,0.004314994606256743,0.012944983818770227,0.5055825196760939,nan,nan,0.006230529595015576,0.018691588785046728,0.8644859813084113,0.0033003300330033004,0.009900990099009901,0.3572607260726073,0.003429031096940553,0.020757507648405553,0.0005497101043917295,0.017328476551465,0.001100715465052284,0.013208585580627409,0.48560452923790587,nan,nan,0.001652892561983471,0.019834710743801654,0.8446280991735537,0.0008250825082508251,0.009900990099009901,0.34075907590759075,3.0
80,0.004046191301359759,0.020256129194287736,0.0005523845739402147,0.016209937892927975,0.083759900990099,0.17526646364674536,0.512324,0.13015,0.2625,0.7305,0.06175,0.13155,0.3945,0.0030268811176439024,0.010718654855455973,0.00013912407955576895,0.007691773737812071,0.08899804677460808,0.18677382341984355,0.6311403189756412,0.12565,0.25545,0.79775,0.0689,0.1472,0.5221,0.003316929325418167,0.02003741168738956,0.0005411750304998137,0.016720482361971392,0.006427423674343868,0.0192822710230316,0.5354724272661331,nan,nan,0.00916030534351145,0.02748091603053435,0.8488549618320611,0.0049504950495049506,0.01485148514851485,0.3910891089108911,0.003344975913896739,0.019492551463694874,0.0005024758540118961,0.016147575549798135,0.0,0.01588141874007411,0.5244080953090872,nan,nan,0.0,0.022156573116691284,0.8360413589364845,0.0,0.012376237623762377,0.382013201320132,4.0
100,0.0043787512154330865,0.013908988159034536,0.00023662105328714223,0.00953023694360145,0.10931013855289201,0.21016953824948312,0.6069915955665418,0.13595,0.258,0.7392,0.0914,0.1773,0.5149,0.002787446484697601,0.007903199981462595,8.516469676574012e-05,0.0051157534967649935,0.17192890065845978,0.3208670076923077,0.7386912974736771,0.19645,0.36165,0.8009,0.15285,0.28835,0.68545,0.003379773043557433,0.013007143501652796,0.00021008024533720825,0.009627370458095363,0.0026258205689277904,0.036761487964989056,0.6473724425889648,nan,nan,0.0027958993476234857,0.0391425908667288,0.8070829450139795,0.0024752475247524753,0.034653465346534656,0.5404290429042904,0.003240706996985307,0.013100424190466593,0.00022792642670830328,0.009859717193481287,0.002678571428571428,0.03482142857142857,0.6811351914313921,nan,nan,0.0029182879377431907,0.037937743190661476,0.8550583657587548,0.0024752475247524753,0.03217821782178218,0.566006600660066,5.0
120,0.00426645194558444,0.013902023342057937,0.00023481861922931843,0.009635571396473497,0.07163099355713802,0.1529552573062262,0.6099522285072411,0.08615,0.18385,0.71395,0.0613,0.13095,0.5324,0.00270227490613253,0.007137436117112683,6.439592398737078e-05,0.0044351612109801535,0.18123135964912282,0.3421701631701632,0.7524872594405132,0.197,0.362,0.80795,0.1678,0.3244,0.70415,0.003858478071800618,0.01257671885445338,0.0001902326938258205,0.008718240782652762,0.0031974420463629096,0.03635405690200211,0.6654613096507214,nan,nan,0.0031007751937984496,0.03488372093023256,0.7550387596899225,0.0033003300330033004,0.037953795379537955,0.5948844884488449,0.003172619072717972,0.01070428376924053,0.00014696010175139736,0.007531664696522559,0.006796941376380629,0.0594732370433305,0.7215452938048131,nan,nan,0.0070052539404553416,0.06129597197898424,0.840630472854641,0.006600660066006601,0.057755775577557754,0.6320132013201321,6.0
140,0.004811460595027631,0.011662981185215313,0.00015013830543315513,0.0068515205901876815,0.07792711111111111,0.15811461094651488,0.6494004748047174,0.0868,0.17915,0.7007,0.0707,0.1415,0.6051,0.0029555358934553757,0.007152337326947398,6.499369911590627e-05,0.004196801433492023,0.19175114006514654,0.3618890207715133,0.7452516370940743,0.19675,0.3741,0.7802,0.187,0.35045,0.7133,0.003962311063177894,0.011127428737197189,0.00013365419265864764,0.007165117674019295,0.005548949663099484,0.032500990883868416,0.6775690587302579,nan,nan,0.005339435545385202,0.031273836765827616,0.7269260106788711,0.005775577557755775,0.03382838283828383,0.6344884488448845,0.003863389035125333,0.009431728732646834,8.434381560332305e-05,0.005568339697521501,0.002272727272727273,0.023484848484848487,0.7361312187417741,nan,nan,0.0021008403361344537,0.021708683473389355,0.7696078431372549,0.0024752475247524753,0.02557755775577558,0.7054455445544554,7.0
160,0.0038051877537624576,0.008155460461018438,6.319857976159809e-05,0.004350272707255982,0.09560457856399583,0.1990561984503874,0.7101747820278442,0.103,0.21415,0.73675,0.0892,0.18595,0.68545,0.002911673766117173,0.0061752005517192975,5.3567654092188375e-05,0.003263526785602124,0.22266058295964125,0.392496,0.7955230566203733,0.2143,0.3774,0.7856,0.2317,0.40885,0.8057,0.004379771811894384,0.009555528740527727,8.404151369807331e-05,0.005175756928633343,0.0035688793718772305,0.03140613847251963,0.7215755988427658,nan,nan,0.0031446540880503146,0.027672955974842768,0.7245283018867924,0.004125412541254125,0.036303630363036306,0.7186468646864687,0.003952694386684539,0.008700860354053801,6.73630766503562e-05,0.004748165967369263,0.0014326647564469916,0.02363896848137536,0.7591572760878329,nan,nan,0.0012658227848101266,0.02088607594936709,0.7575949367088608,0.0016501650165016502,0.027227722772277228,0.7607260726072608,8.0
180,0.0036995226778842615,0.007446596885537489,5.861711240556856e-05,0.0037470742076532275,0.11204033837934105,0.23346164602903502,0.7769891919711785,0.1177,0.24735,0.79,0.1069,0.22105,0.7644,0.0027681420261853585,0.005559582166098946,4.769894586301493e-05,0.002791440139913587,0.23976623376623377,0.45068997068097577,0.8229306858548137,0.22625,0.4283,0.80325,0.255,0.47555,0.8436,0.004054257204354734,0.008511959874379433,6.220644206369227e-05,0.0044577026700247,0.004755434782608696,0.03804347826086957,0.750906073832182,nan,nan,0.0040415704387990765,0.03233256351039261,0.7292147806004619,0.005775577557755775,0.0462046204620462,0.7739273927392739,0.003906953458400428,0.008533266137371653,6.558425811121056e-05,0.004626312678971225,0.0,0.02688362221436151,0.763302451422481,nan,nan,0.0,0.023529411764705882,0.7585139318885449,0.0,0.03135313531353135,0.7681518151815182,9.0
200,0.0037819314730360575,0.007452681884164711,6.322624823769417e-05,0.0036707504111286532,0.12688662082514734,0.2455240861088546,0.7722445581094206,0.13405,0.2591,0.7743,0.12045,0.2333,0.7702,0.00280200209104399,0.005635875515263336,4.7980132483555076e-05,0.002833873424219346,0.2147716922367055,0.40001486988847584,0.8319677447447448,0.19615,0.366,0.81145,0.2373,0.441,0.85355,0.004106097521109933,0.008542501914553618,6.301732638379251e-05,0.0044364043934436844,0.004022795843110962,0.023466309084813945,0.7513348619601616,nan,nan,0.0033879164313946925,0.019762845849802372,0.7413890457368718,0.0049504950495049506,0.028877887788778877,0.7615511551155115,0.0038959911742752263,0.008279494156595409,6.056810681886234e-05,0.004383502982320183,0.0034281796366129585,0.029482344874871443,0.7792492097826856,nan,nan,0.002932551319648094,0.025219941348973606,0.7577712609970675,0.004125412541254125,0.03547854785478548,0.801980198019802,10.0
220,0.0033560929428716143,0.006507189569722344,5.1787723289688394e-05,0.0031510966268507297,0.13278430265386787,0.261549188156638,0.8297843817787419,0.13515,0.269,0.8262,0.1305,0.2545,0.8334,0.0027588614855839767,0.005713671028387993,4.899054395266258e-05,0.0029548095428040162,0.2209329131022062,0.41362469647794203,0.8267245397103729,0.206,0.38485,0.81405,0.2382,0.44705,0.8398,0.0037032351591122403,0.007875222254497855,5.5089086675115436e-05,0.004171987095385614,0.005324459234608985,0.027552440839053425,0.809475,nan,nan,0.004461795872838818,0.02286670384829894,0.7914110429447853,0.006600660066006601,0.034653465346534656,0.8283828382838284,0.0038766055075358237,0.008125016535312817,5.8181363853605574e-05,0.004248411027776994,0.0033863867253640365,0.02912292583813071,0.7863402646058981,nan,nan,0.002871912693854107,0.02469844916714532,0.7616312464101092,0.004125412541254125,0.03547854785478548,0.8127062706270627,11.0
