frame_id,mesh_vs_gt_accuracy_mean,mesh_vs_gt_chamfer_l1,mesh_vs_gt_chamfer_l2,mesh_vs_gt_completeness_mean,mesh_vs_gt_fscore@0.000500,mesh_vs_gt_fscore@0.001000,mesh_vs_gt_fscore@0.005000,mesh_vs_gt_precision@0.000500,mesh_vs_gt_precision@0.001000,mesh_vs_gt_precision@0.005000,mesh_vs_gt_recall@0.000500,mesh_vs_gt_recall@0.001000,mesh_vs_gt_recall@0.005000,nksr_vs_mesh_accuracy_mean,nksr_vs_mesh_chamfer_l1,nksr_vs_mesh_chamfer_l2,nksr_vs_mesh_completeness_mean,nksr_vs_mesh_fscore@0.000500,nksr_vs_mesh_fscore@0.001000,nksr_vs_mesh_fscore@0.005000,nksr_vs_mesh_precision@0.000500,nksr_vs_mesh_precision@0.001000,nksr_vs_mesh_precision@0.005000,nksr_vs_mesh_recall@0.000500,nksr_vs_mesh_recall@0.001000,nksr_vs_mesh_recall@0.005000,offline_pcd_vs_gt_accuracy_mean,offline_pcd_vs_gt_chamfer_l1,offline_pcd_vs_gt_chamfer_l2,offline_pcd_vs_gt_completeness_mean,offline_pcd_vs_gt_fscore@0.000500,offline_pcd_vs_gt_fscore@0.001000,offline_pcd_vs_gt_fscore@0.005000,offline_pcd_vs_gt_normal_mean_abs_cos,offline_pcd_vs_gt_normal_mean_angle_deg,offline_pcd_vs_gt_precision@0.000500,offline_pcd_vs_gt_precision@0.001000,offline_pcd_vs_gt_precision@0.005000,offline_pcd_vs_gt_recall@0.000500,offline_pcd_vs_gt_recall@0.001000,offline_pcd_vs_gt_recall@0.005000,online_pcd_vs_gt_accuracy_mean,online_pcd_vs_gt_chamfer_l1,online_pcd_vs_gt_chamfer_l2,online_pcd_vs_gt_completeness_mean,online_pcd_vs_gt_fscore@0.000500,online_pcd_vs_gt_fscore@0.001000,online_pcd_vs_gt_fscore@0.005000,online_pcd_vs_gt_normal_mean_abs_cos,online_pcd_vs_gt_normal_mean_angle_deg,online_pcd_vs_gt_precision@0.000500,online_pcd_vs_gt_precision@0.001000,online_pcd_vs_gt_precision@0.005000,online_pcd_vs_gt_recall@0.000500,online_pcd_vs_gt_recall@0.001000,online_pcd_vs_gt_recall@0.005000,time_s
20,0.007180078793458867,0.0512787322736169,0.002442216183523598,0.04409865348015803,0.0035271464646464646,0.008237912087912087,0.06187034128978225,0.03775,0.07755,0.44435,0.00185,0.00435,0.03325,0.1562614278720086,0.163774165047472,0.03363169066000918,0.007512737175463377,0.0012765927977839335,0.0022617498192335503,0.009760622866894199,0.00065,0.00115,0.00495,0.03545,0.068,0.34665,0.00834826891076136,0.05926093959062856,0.0031062396183409334,0.0509126706798672,0.0,0.0,0.016310257339615802,nan,nan,0.0,0.0,0.45,0.0,0.0,0.008305647840531562,0.004217625101170994,0.04130288217452503,0.0016266610266878587,0.037085257073354035,0.0,0.0,0.021234395053085987,nan,nan,0.0,0.0,0.6363636363636364,0.0,0.0,0.01079734219269103,1.0
40,0.0034499441370331794,0.04108008016309288,0.0018574002107731333,0.0376301360260597,0.020633861316437876,0.03950694390715667,0.1392984279637507,0.13085,0.23695,0.7341,0.0112,0.02155,0.07695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032247610377582753,0.041792342576093856,0.001884081183843361,0.03856758153833558,0.0,0.00617283950617284,0.11335843782755542,nan,nan,0.0,0.043478260869565216,0.8695652173913043,0.0,0.0033222591362126247,0.0606312292358804,0.003098628877232956,0.041238358454952426,0.00194360798384662,0.03813972957771947,0.0,0.00312256049960968,0.12528033408089087,nan,nan,0.0,0.025974025974025976,0.9090909090909091,0.0,0.0016611295681063123,0.06727574750830564,2.0
60,0.0045003959286855485,0.013492079242162808,0.00020637201932601276,0.00899168331347726,0.08737049561177078,0.16928304330230673,0.5618759341920673,0.12715,0.23985,0.7122,0.06655,0.1308,0.46395,0.00512668743745548,0.014060105654405478,0.00022526291012522003,0.008933418216949998,0.08364078420148827,0.17427911784975875,0.549811679743224,0.10535,0.21725,0.6393,0.06935,0.1455,0.4823,0.0031308231303010976,0.024867813086243435,0.0008412061920067496,0.021736989955942337,0.0012642225031605561,0.008849557522123894,0.42500792925241143,nan,nan,0.0026455026455026454,0.018518518518518517,0.8994708994708994,0.0008305647840531562,0.005813953488372093,0.2782392026578073,0.0029961575714900707,0.022976348707220862,0.0007223615467289208,0.019980191135730793,0.0025284450063211123,0.011378002528445006,0.44981766693343667,nan,nan,0.005291005291005291,0.023809523809523808,0.9153439153439153,0.0016611295681063123,0.007475083056478406,0.29817275747508304,3.0
80,0.004642642832587201,0.02191672053396048,0.0006227693073930781,0.017274077701373278,0.07629403111739745,0.1481414052143173,0.4829851733533778,0.12105,0.23025,0.6939,0.0557,0.1092,0.3704,0.0030379244265875357,0.009120441456555106,8.317455313281688e-05,0.00608251702996757,0.12250845637583893,0.2300381679389313,0.6206206150517695,0.1624,0.3075,0.778,0.09835,0.18375,0.5162,0.003283773983417656,0.020956222463071786,0.0006081505627927038,0.01767244847965413,0.0,0.012578616352201259,0.5170703288983319,nan,nan,0.0,0.02018348623853211,0.8788990825688073,0.0,0.009136212624584718,0.36627906976744184,0.0030769492727806065,0.01885299129709143,0.0005014412235146309,0.015776042024310825,0.00221606648199446,0.021052631578947368,0.573084526479036,nan,nan,0.0033277870216306157,0.03161397670549085,0.9284525790349417,0.0016611295681063123,0.015780730897009966,0.41445182724252494,4.0
100,0.00448729584268179,0.01616435691248198,0.00034830243122793887,0.011677061069800189,0.09315694549108264,0.18869708166332666,0.5929298270775283,0.1247,0.24625,0.71245,0.07435,0.15295,0.50775,0.002927348917314845,0.006950635888282037,4.914892752927654e-05,0.004023286970967191,0.1382894584837545,0.27129251149954003,0.7397736751676043,0.1439,0.2829,0.7834,0.1331,0.2606,0.70075,0.0035356231885520705,0.014170110005743287,0.0002634010950708303,0.010634486817191218,0.004631773969430292,0.012042612320518757,0.6616512479264182,nan,nan,0.005235602094240838,0.013612565445026177,0.8324607329842932,0.004152823920265781,0.01079734219269103,0.5490033222591362,0.003255327184250089,0.012576415437346888,0.0002167054210613907,0.0093210882530968,0.006363636363636363,0.03272727272727272,0.6883451857658818,nan,nan,0.007028112449799197,0.03614457831325301,0.8524096385542169,0.005813953488372093,0.029900332225913623,0.5772425249169435,5.0
120,0.003767203160398254,0.009392727763099941,0.0001072710641046914,0.005625524602701687,0.12815531303848363,0.23537946577629382,0.7094863312119728,0.14835,0.2714,0.77745,0.1128,0.2078,0.65245,0.002887517802611025,0.005140805953279396,3.973408681849076e-05,0.002253288150668371,0.2927439002079002,0.4743384627265239,0.8208440328594381,0.25195,0.41165,0.76815,0.3493,0.55955,0.8813,0.003800141660845694,0.008766139420839258,6.653313892104963e-05,0.004965997759993565,0.0030792917628945345,0.031144956985775876,0.7305583913253914,nan,nan,0.0028694404591104736,0.028694404591104734,0.7697274031563845,0.0033222591362126247,0.0340531561461794,0.6951827242524917,0.00384238786669518,0.009960583204100495,9.593499206665268e-05,0.006118195337405315,0.0032693093583980384,0.011012282930961457,0.7153985825030351,nan,nan,0.003218020917135961,0.010458567980691875,0.7900241351568785,0.0033222591362126247,0.011627906976744186,0.6536544850498339,6.0
140,0.003534703510865765,0.008760389148382534,9.26106145243333e-05,0.005225685637516768,0.12887538608198285,0.2483165938430983,0.7139882115658797,0.1483,0.28115,0.7785,0.11395,0.22235,0.65935,0.002976293957132338,0.004917365137317378,3.725251270737871e-05,0.0019410711801850404,0.2832914521112256,0.5191600337980566,0.8200897287817858,0.243,0.44805,0.7522,0.3396,0.6171,0.90145,0.004200825970238482,0.008804480819345893,6.270548525253587e-05,0.004603654849107411,0.00291332847778587,0.02112163146394756,0.7206194142005511,nan,nan,0.0025940337224383916,0.01880674448767834,0.711413748378729,0.0033222591362126247,0.02408637873754153,0.7300664451827242,0.004075453466546681,0.008117053287786313,5.100396753073263e-05,0.004041599821239632,0.004319654427645789,0.02951763858891289,0.7571553994732221,nan,nan,0.0038119440914866584,0.026048284625158832,0.747141041931385,0.0049833887043189366,0.0340531561461794,0.7674418604651163,7.0
160,0.003845219106604297,0.008397408693329094,7.723582364901683e-05,0.004552189586724798,0.11067287340924313,0.21100277385989658,0.7289011262880422,0.12405,0.2317,0.76195,0.0999,0.1937,0.6986,0.0030665683985698473,0.005036834473989575,4.023188229958517e-05,0.0019702660754197274,0.3246831005899485,0.5406615308464203,0.8080230078184886,0.27665,0.46455,0.73795,0.3929,0.6466,0.8928,0.004220321048691808,0.008462343239234223,5.390246041166373e-05,0.004242022190542416,0.0028198801550934085,0.022559041240747268,0.7408170037932098,nan,nan,0.002449479485609308,0.019595835884874464,0.7287201469687692,0.0033222591362126247,0.026578073089700997,0.7533222591362126,0.0041412944392546355,0.00803879949705307,4.884287132526025e-05,0.0038975050577984348,0.0035435861091424525,0.026222537207654148,0.7538928345170218,nan,nan,0.0030902348578491965,0.022867737948084055,0.7354758961681088,0.004152823920265781,0.030730897009966777,0.7732558139534884,8.0
180,0.0034733765191595524,0.00759855847404788,6.327693303433287e-05,0.004125181954888328,0.11976009872480461,0.2423041224489796,0.7549603557142385,0.1363,0.2707,0.78715,0.1068,0.2193,0.7253,0.0031591969016725825,0.004941500025300445,3.845005250236826e-05,0.0017823031236278623,0.2897334674377672,0.5294296415293523,0.8171630834897378,0.2478,0.45355,0.74115,0.34875,0.6358,0.91055,0.004105742398382989,0.00787355401187842,4.7267359980660156e-05,0.003767811613495431,0.001388888888888889,0.029166666666666667,0.7702191424503035,nan,nan,0.0011933174224343676,0.025059665871121718,0.7434367541766109,0.0016611295681063123,0.03488372093023256,0.7990033222591362,0.004129888595271866,0.007858402907638853,4.5260419001838905e-05,0.003728514312366988,0.004212004212004211,0.026676026676026678,0.7601997575178587,nan,nan,0.00364741641337386,0.023100303951367782,0.7355623100303952,0.0049833887043189366,0.03156146179401993,0.7865448504983389,9.0
200,0.0034565773020197883,0.007201408198980984,4.7273513912963264e-05,0.003744830896961195,0.11262773127753305,0.2154875546857011,0.7602091808559595,0.12345,0.23615,0.77665,0.10355,0.19815,0.74445,0.003475501742664842,0.004902108696952918,4.4575703307850854e-05,0.0014266069542880754,0.3838266645448759,0.6243214875709532,0.820193115375361,0.33355,0.54305,0.73555,0.45195,0.7342,0.92685,0.0044077290029090836,0.007863134315342728,4.4058333989227636e-05,0.003455405312433645,0.0012832852101379534,0.02823227462303497,0.7472336530384249,nan,nan,0.0010454783063251437,0.02300052273915316,0.6779926816518558,0.0016611295681063123,0.036544850498338874,0.8322259136212624,0.004090038470838982,0.007557405686839346,4.2498391496708206e-05,0.003467367216000364,0.005466347796378545,0.04783054321831227,0.7597201624352492,nan,nan,0.0046430644225188625,0.04062681369704005,0.7289611143354614,0.006644518272425249,0.05813953488372093,0.7931893687707641,10.0
