condition,sequence,samples,fscore_2mm,fscore_5mm,fscore_10mm,chamfer_l1_mm
clean,capture_001,1,1.0,1.0,1.0,0.0
clean,capture_002,1,1.0,1.0,1.0,0.0
clean,capture_xyz,1,1.0,1.0,1.0,0.0
1deg_1mm,capture_001,20,0.978033947681444,0.998071810204673,0.9999841878268185,0.787064648222175
1deg_1mm,capture_002,20,0.9671882647676349,0.9963215268859298,0.999907322715891,0.8787940469428897
1deg_1mm,capture_xyz,20,0.9708088247332631,0.9970367666826341,0.999951184169173,0.8664924511839638
2deg_2mm,capture_001,20,0.9161481842452055,0.9902477311609035,0.9977221325485568,1.0343586886959233
2deg_2mm,capture_002,20,0.8865262743971292,0.9876300585328893,0.9967511391744879,1.1702152242617654
2deg_2mm,capture_xyz,20,0.904055517049558,0.9873861648906536,0.9969087301281567,1.135757661668813
5deg_5mm,capture_001,20,0.8229284856586565,0.9685000244299703,0.9897524763140272,1.4401329616768785
5deg_5mm,capture_002,20,0.7684300922442642,0.9587942901089308,0.9880613556465233,1.6742669349078505
5deg_5mm,capture_xyz,20,0.8032711918662725,0.9622221355326366,0.9854500428062061,1.6093270090976042
10deg_10mm,capture_001,20,0.7114287949857268,0.9142363729157997,0.9779839947018069,2.129906648897058
10deg_10mm,capture_002,20,0.639831498456153,0.8772610191548958,0.9682288755294195,2.5417411407757173
10deg_10mm,capture_xyz,20,0.706137695395993,0.9161372664716083,0.9753824765877811,2.25312618445484
