metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,ray_gpis_hit_only,120,True,-0.0036352777777777724,-0.012765034722222214,0.004496208333333341,28,63,29,0.9493190574311255,1.0
final_recall@5,ray_gpis_novelty_only,120,True,-0.000333333333333329,-0.003407291666666658,0.0030611250000000083,29,56,35,0.428084499165987,1.0
final_recall@5,ray_gpis_pointwise,120,True,-0.003605833333333332,-0.007282555555555555,-0.0005556805555555584,29,49,42,0.04430681637715892,0.17722726550863568
final_recall@5,ray_gpis_uncertainty_only,120,True,0.001196666666666669,-0.003364618055555553,0.006129513888888889,45,19,56,0.9123311256630301,1.0
final_f@5,ray_gpis_hit_only,120,True,-0.002771977368469806,-0.008616298436499662,0.0021276066782457883,29,63,28,0.9841526449093306,1.0
final_f@5,ray_gpis_novelty_only,120,True,-0.00021534462928791409,-0.0018256027785242559,0.0016287315750912422,29,56,35,0.33220194306235573,0.9966058291870672
final_f@5,ray_gpis_pointwise,120,True,-0.0020264693271949906,-0.003970594803928679,-0.0004059332588992488,28,49,43,0.026592597190380263,0.10637038876152105
final_f@5,ray_gpis_uncertainty_only,120,True,0.00034935588812807134,-0.0024197784162536596,0.003391410046869575,41,19,60,0.7207956164742788,1.0
final_chamfer_mm,ray_gpis_hit_only,120,True,-0.015099781817222624,-0.07879325034570639,0.04862947049070678,27,63,30,0.8270448384756225,1.0
final_chamfer_mm,ray_gpis_novelty_only,120,True,-0.0015219096316693344,-0.02561026711750001,0.025402067705984098,30,55,35,0.3450172719778687,1.0
final_chamfer_mm,ray_gpis_pointwise,120,True,-0.028161728121800508,-0.05316315602559195,-0.0038752400814579214,28,49,43,0.04553129516082244,0.18212518064328975
final_chamfer_mm,ray_gpis_uncertainty_only,120,True,-0.0017354994292899403,-0.03717236710742832,0.03422410789486564,45,19,56,0.525309798904136,1.0
final_visibility_coverage,ray_gpis_hit_only,120,True,-0.0019836247303618706,-0.007677045581480494,0.00444259294585478,31,63,26,0.8768752745574525,1.0
final_visibility_coverage,ray_gpis_novelty_only,120,True,0.0011355847797973237,0.000275027620994142,0.002133192160587543,40,56,24,0.020491377292104856,0.08196550916841942
final_visibility_coverage,ray_gpis_pointwise,120,True,-0.00102925733210328,-0.0030682071440768658,0.00040262765747119285,33,53,34,0.7500434728100701,1.0
final_visibility_coverage,ray_gpis_uncertainty_only,120,True,5.220052814480537e-05,-0.0013538720248795308,0.0014232569474086178,53,22,45,0.4471960915556794,1.0
visibility_coverage_auc,ray_gpis_hit_only,120,True,0.0041176924355652575,0.0009708034704887905,0.007731264463527631,39,63,18,0.009705039401245404,0.038820157604981614
visibility_coverage_auc,ray_gpis_novelty_only,120,True,0.0002531859910086755,-1.0069705935134931e-05,0.0005540802201018783,40,56,24,0.07526005251399835,0.22578015754199504
visibility_coverage_auc,ray_gpis_pointwise,120,True,-3.099868265149577e-05,-0.0013066145308021357,0.0011818798901444293,35,50,35,0.9766564504111451,0.9766564504111451
visibility_coverage_auc,ray_gpis_uncertainty_only,120,True,0.00111448408918986,0.0001714534177729072,0.002348374483229406,51,19,50,0.3471820743131162,0.6943641486262324
recall@5_auc,ray_gpis_hit_only,120,True,0.028619249999999995,0.020036047916666654,0.03773462638888888,44,63,13,5.373253663738011e-08,2.1493014654952044e-07
recall@5_auc,ray_gpis_novelty_only,120,True,0.005365666666666665,0.0011366965277777726,0.011216397916666683,38,55,27,0.09498346428648784,0.2849503928594635
recall@5_auc,ray_gpis_pointwise,120,True,-0.0005776944444444395,-0.002787809027777784,0.0016488472222222384,35,49,36,0.318768666841708,0.3808508823307757
recall@5_auc,ray_gpis_uncertainty_only,120,True,0.006536944444444448,0.002149113194444455,0.011794856250000006,52,19,49,0.19042544116538784,0.3808508823307757
f@5_auc,ray_gpis_hit_only,120,True,0.018834990220283458,0.01326190909369424,0.024802517336679934,46,63,11,2.8611463754353242e-08,1.1444585501741297e-07
f@5_auc,ray_gpis_novelty_only,120,True,0.0037867425315440627,0.000811078609906532,0.007932498062286986,41,55,24,0.09242427758902379,0.2772728327670714
f@5_auc,ray_gpis_pointwise,120,True,-0.0003478843608976258,-0.001782008009768634,0.001128421586919843,32,49,39,0.28913566883119934,0.4946444712097835
f@5_auc,ray_gpis_uncertainty_only,120,True,0.004094323339306297,0.0012770521987610199,0.007455141896174678,50,19,51,0.24732223560489175,0.4946444712097835
selected_gain_f@5_per_action,ray_gpis_hit_only,120,True,-0.0005543954736939613,-0.001693580324947864,0.00043540098162414716,29,63,28,0.9841526449093306,1.0
selected_gain_f@5_per_action,ray_gpis_novelty_only,120,True,-4.3068925857582775e-05,-0.00037007502832446727,0.0003340070200465617,29,56,35,0.33220194306235573,0.9966058291870672
selected_gain_f@5_per_action,ray_gpis_pointwise,120,True,-0.00040529386543899774,-0.0007883704671310968,-8.582239732395825e-05,28,49,43,0.026592597190380263,0.10637038876152105
selected_gain_f@5_per_action,ray_gpis_uncertainty_only,120,True,6.987117762561374e-05,-0.000500862479687184,0.0006679925973223955,41,19,60,0.7207956164742788,1.0
score_gain_correlation,ray_gpis_hit_only,120,True,-0.023779915320718534,-0.06567395948988419,0.01788675134594813,31,57,32,0.19870251877815426,0.5961075563344628
score_gain_correlation,ray_gpis_novelty_only,120,True,0.026041666666666664,-0.01644337567297407,0.0689138342937645,47,40,33,0.23027560402576475,0.5961075563344628
score_gain_correlation,ray_gpis_pointwise,120,True,-0.05293162432702593,-0.09836733516285825,-0.007913328040878291,38,31,51,0.03540789327294193,0.14163157309176772
score_gain_correlation,ray_gpis_uncertainty_only,120,True,-0.023595341591696975,-0.07341898404335394,0.025347060366906007,51,13,56,0.39590705892551414,0.5961075563344628
oracle_regret_f@5,ray_gpis_hit_only,120,True,0.009377294566775852,0.006302351794214827,0.01254043660120558,48,63,9,1.6775878644016727e-07,6.710351457606691e-07
oracle_regret_f@5,ray_gpis_novelty_only,120,True,0.0023538817386754033,0.0007182331653966488,0.004478009523478206,43,55,22,0.023552273178490398,0.07065681953547119
oracle_regret_f@5,ray_gpis_pointwise,120,True,-0.000202260040492053,-0.001022539263891949,0.0005346131366559491,36,49,35,0.4291089516551261,0.8035671709653547
oracle_regret_f@5,ray_gpis_uncertainty_only,120,True,0.002013682178076786,0.00044902273777564736,0.0038789737652963154,51,19,50,0.40178358548267734,0.8035671709653547
oracle_action_accuracy,ray_gpis_hit_only,120,True,0.05666666666666667,0.023333333333333324,0.09333333333333332,31,75,14,0.0036142584670528777,0.01445703386821151
oracle_action_accuracy,ray_gpis_novelty_only,120,True,0.006666666666666665,-0.025000000000000005,0.03833333333333333,24,75,21,0.8144212679044358,1.0
oracle_action_accuracy,ray_gpis_pointwise,120,True,-0.030000000000000006,-0.065,0.003333333333333332,20,72,28,0.0802821006269312,0.2408463018807936
oracle_action_accuracy,ray_gpis_uncertainty_only,120,True,-0.013333333333333341,-0.055,0.028333333333333325,34,42,44,0.5878200450341168,1.0
consecutive_score_map_correlation,ray_gpis_hit_only,120,True,-0.005129441900813053,-0.03421695822922862,0.022703767247348565,79,0,41,0.2313754819289089,0.2313754819289089
consecutive_score_map_correlation,ray_gpis_novelty_only,120,True,0.08092454277095759,0.06737424106938593,0.09457879971456809,106,0,14,1.3406844010836926e-17,2.6813688021673852e-17
consecutive_score_map_correlation,ray_gpis_pointwise,120,True,0.11682505691770737,0.10336702455534531,0.13099034829050382,116,0,4,5.9284136938937545e-21,1.7785241081681264e-20
consecutive_score_map_correlation,ray_gpis_uncertainty_only,120,True,-0.24611832446712822,-0.2686307857474724,-0.22438171577019395,0,0,120,1.9719517121524354e-21,7.887806848609741e-21
planning_time_s,ray_gpis_hit_only,120,True,0.05761050163775508,0.0019157460866378322,0.11447826156055631,68,0,52,0.12358594232183706,0.3707578269655112
planning_time_s,ray_gpis_novelty_only,120,True,0.0977240808209899,-0.026418317727069734,0.22587746716307988,60,0,60,0.7732888689219024,1.0
planning_time_s,ray_gpis_pointwise,120,True,0.07383998759161234,0.010365119005093825,0.1416974939325155,60,0,60,0.6637567717468552,1.0
