metric,ablation,display_name,pairs,full_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
f@5_auc,ray_gpis_novelty_only,Novelty only,120,0.0037867425315440627,0.000811078609906532,0.007932498062286986,41,55,24,0.09242427758902379,0.2772728327670714
f@5_auc,ray_gpis_uncertainty_only,Uncertainty only,120,0.004094323339306297,0.0011944998206913724,0.007437037639214979,50,19,51,0.24732223560489175,0.4946444712097835
f@5_auc,ray_gpis_pointwise,w/o receptive-field integration,120,-0.0003478843608976258,-0.0018170394278341378,0.0010967382598589478,32,49,39,0.28913566883119934,0.4946444712097835
f@5_auc,ray_gpis_hit_only,w/o miss-ray interpolation,120,0.018834990220283458,0.013167068976179483,0.024828250800598285,46,63,11,2.8611463754353242e-08,1.1444585501741297e-07
final_f@5,ray_gpis_novelty_only,Novelty only,120,-0.00021534462928791409,-0.001850375141622335,0.001670035100232804,29,56,35,0.33220194306235573,0.9966058291870672
final_f@5,ray_gpis_uncertainty_only,Uncertainty only,120,0.00034935588812807134,-0.0024854653958717205,0.003384976620747528,41,19,60,0.7207956164742788,1.0
final_f@5,ray_gpis_pointwise,w/o receptive-field integration,120,-0.0020264693271949906,-0.003959322934923144,-0.0004419785681628788,28,49,43,0.026592597190380263,0.10637038876152105
final_f@5,ray_gpis_hit_only,w/o miss-ray interpolation,120,-0.002771977368469806,-0.008519487246177381,0.0021820308064403344,29,63,28,0.9841526449093306,1.0
score_gain_correlation,ray_gpis_novelty_only,Novelty only,120,0.026041666666666664,-0.01644337567297407,0.0689138342937645,47,40,33,0.23027560402576475,0.5961075563344628
score_gain_correlation,ray_gpis_uncertainty_only,Uncertainty only,120,-0.023595341591696975,-0.07340843506531,0.026732500542690312,51,13,56,0.39590705892551414,0.5961075563344628
score_gain_correlation,ray_gpis_pointwise,w/o receptive-field integration,120,-0.05293162432702593,-0.09856183266035927,-0.008940037047185684,38,31,51,0.03540789327294193,0.14163157309176772
score_gain_correlation,ray_gpis_hit_only,w/o miss-ray interpolation,120,-0.023779915320718534,-0.0658972504835768,0.017669042627097762,31,57,32,0.19870251877815426,0.5961075563344628
oracle_regret_f@5,ray_gpis_novelty_only,Novelty only,120,0.0023538817386754033,0.0007182331653966488,0.004478009523478206,43,55,22,0.023552273178490398,0.07065681953547119
oracle_regret_f@5,ray_gpis_uncertainty_only,Uncertainty only,120,0.002013682178076786,0.00045869087353474355,0.0038486298078162853,51,19,50,0.40178358548267734,0.8035671709653547
oracle_regret_f@5,ray_gpis_pointwise,w/o receptive-field integration,120,-0.000202260040492053,-0.0010117664326163493,0.0005437219595663701,36,49,35,0.4291089516551261,0.8035671709653547
oracle_regret_f@5,ray_gpis_hit_only,w/o miss-ray interpolation,120,0.009377294566775852,0.0062797311572471695,0.012532596002555425,48,63,9,1.6775878644016727e-07,6.710351457606691e-07
consecutive_score_map_correlation,ray_gpis_novelty_only,Novelty only,120,0.08092454277095759,0.06724195368443477,0.09386871800818229,106,0,14,1.3406844010836926e-17,2.6813688021673852e-17
consecutive_score_map_correlation,ray_gpis_uncertainty_only,Uncertainty only,120,-0.24611832446712822,-0.268330772822939,-0.22368585200164134,0,0,120,1.9719517121524354e-21,7.887806848609741e-21
consecutive_score_map_correlation,ray_gpis_pointwise,w/o receptive-field integration,120,0.11682505691770737,0.10322845949689585,0.13124270306218785,116,0,4,5.9284136938937545e-21,1.7785241081681264e-20
consecutive_score_map_correlation,ray_gpis_hit_only,w/o miss-ray interpolation,120,-0.005129441900813053,-0.03421695822922862,0.022703767247348565,79,0,41,0.2313754819289089,0.2313754819289089
