planner,object,initial_pose_seed,mean_action_so3_error_deg,mean_nominal_target_view_error_deg,stall_action_rate,slip_action_rate,persistent_misalignment_action_rate,episode_stall_or_slip_rate,fault_action_gain_f@5,fault_action_regret_f@5,post_fault_next_gain_f@5,post_fault_next_regret_f@5,fault_actions,post_fault_decisions
ray_gpis,Bowl,0,83.25030547097155,79.87236342843217,0.6,0.0,0.0,1.0,0.031805703656645666,0.007465889461740631,0.09622838846260633,0.01466198129248882,3,3
ray_gpis,Bowl,1,41.92861626661829,17.435674499523266,0.0,0.2,0.0,1.0,0.017142352418516027,0.01023443405107305,nan,nan,1,0
ray_gpis,Bowl,2,42.55212340143229,36.80189508554728,0.0,0.4,0.4,1.0,0.08775420567185621,0.0002783610558030891,0.024692949225091132,0.007388511605382897,2,1
ray_gpis,Bowl,3,37.50621606606251,29.423071590637836,0.0,0.4,0.8,1.0,0.18604349351423982,0.0,0.03684941056456609,0.04617785783649064,2,2
ray_gpis,Bowl,4,59.209546662979925,56.152163482239175,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis,Bowl,5,64.62549525002771,62.07057431072111,0.2,0.2,0.4,1.0,0.0026062549809988678,0.005923542215218958,0.09999165053982284,0.0,1,1
ray_gpis,Bowl,6,37.90547897028441,33.49605154310992,0.2,0.0,0.0,1.0,0.1017395732539148,0.0,nan,nan,1,0
ray_gpis,Bowl,7,45.352161146911996,26.327531863984564,0.2,0.2,0.4,1.0,0.04008260523985552,0.0,0.07326057538197417,0.01949513198622843,1,1
ray_gpis,Bowl,8,70.70628567041277,66.60911528336261,0.4,0.2,0.4,1.0,0.0665033920515343,0.0,0.11644908667399376,0.0,2,2
ray_gpis,Bowl,9,65.34936344018948,60.9801180595637,0.6,0.2,0.4,1.0,0.0706862384210278,0.03554272120896925,0.0690996578411896,0.021078754673315547,3,2
ray_gpis,Bowl,10,47.057011994334694,46.066438260499794,0.6,0.0,0.0,1.0,0.10199621986521827,0.02003655898670385,0.10614956459914666,0.027279074033698076,3,3
ray_gpis,Bowl,11,47.68745206092683,44.132274170731286,0.0,0.2,0.4,1.0,0.07371222353986817,0.10162822310812836,0.0008630131318321244,0.0,1,1
ray_gpis,Bowl,12,62.236155471652864,51.718887218172405,0.4,0.2,0.0,1.0,0.03799606813837564,0.022100533688325614,0.11097062794085022,0.0,3,2
ray_gpis,Bowl,13,61.24548779985029,24.728261914071457,0.4,0.8,0.8,1.0,0.0658556313560629,0.03915693909242898,0.025561612981875204,0.04630417803142669,4,3
ray_gpis,Bowl,14,52.99332319237453,21.05348260933312,0.6,0.0,0.0,1.0,0.03156345801575396,0.020567665951031433,0.03182732773096103,0.021166150229586178,3,2
ray_gpis,Corner,0,74.76838709246807,70.27575134652484,0.2,0.4,0.8,1.0,0.09794771992978552,0.004035938399285344,0.18569419165183437,0.0,2,1
ray_gpis,Corner,1,65.36004295433554,60.1256193138676,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis,Corner,2,54.80225037494315,53.09696743001666,0.2,0.2,0.2,1.0,0.09002048409903463,0.0,-0.005639188199890621,0.0017073509543050758,1,1
ray_gpis,Corner,3,69.53880602797942,65.77939594429897,0.4,0.0,0.0,1.0,0.01967215367890429,0.0020276420278687035,0.13400653676454544,0.0,2,1
ray_gpis,Corner,4,53.74517482006398,51.46949278658839,0.2,0.2,0.2,1.0,0.05096341885237149,0.004560647543028651,0.00042725766818957345,0.0069484854317557465,2,2
ray_gpis,Corner,5,47.340403344296774,31.187194681022817,0.2,0.2,0.4,1.0,0.0662488004537996,0.0,-0.003102499511441592,0.01375020968277263,2,1
ray_gpis,Corner,6,47.79889071979375,43.58066282939574,0.2,0.2,0.8,1.0,0.11596425074719846,0.0,0.09356917654618113,0.0,2,2
ray_gpis,Corner,7,75.969666675111,70.27650506202455,0.4,0.4,0.6,1.0,0.09784130813267564,0.01522030996194175,0.14425328142022356,0.0,4,3
ray_gpis,Corner,8,60.771782225373805,50.42452839055576,0.2,0.6,0.4,1.0,0.08743108059283308,0.0,0.09772106203590536,0.0,4,3
ray_gpis,Corner,9,54.38717299674744,39.83844967500797,0.2,0.0,0.0,1.0,0.026095102049485508,0.018346400494314463,nan,nan,1,0
ray_gpis,Corner,10,75.06877097575796,74.66666533758081,0.6,0.2,0.4,1.0,0.0647436737682973,0.008543527208952878,0.10201006298951894,0.0,4,3
ray_gpis,Corner,11,52.00708577220663,48.027910332392324,0.4,0.2,0.4,1.0,0.07071676577238943,0.018047516598834412,0.08745918541035491,0.009785380379797223,3,3
ray_gpis,Corner,12,58.827026396838036,47.04406133516137,0.4,0.2,0.0,1.0,0.038693882584397286,0.0,0.06616475217530554,0.0,3,2
ray_gpis,Corner,13,44.468157999049865,40.782986184504146,0.2,0.2,0.8,1.0,0.097804602327251,0.010165216957925771,0.009958257680449112,0.01217591014182351,2,2
ray_gpis,Corner,14,53.80483527049262,47.22757400209628,0.2,0.0,0.0,1.0,0.14092371499495338,0.0,0.0715653191832657,0.0,1,1
ray_gpis,Cross,0,62.82146995444633,58.38751016455668,0.2,0.0,0.0,1.0,0.013553462158067797,0.041569456906812075,0.22662220431310492,0.0,1,1
ray_gpis,Cross,1,48.04610465204814,37.36213952410845,0.0,0.2,0.8,1.0,0.16277240221627193,0.0,0.12349349817896604,0.0,1,1
ray_gpis,Cross,2,69.88660422693968,63.91236698024452,0.4,0.2,0.6,1.0,0.015300065680949937,0.0,0.07576334648948024,0.0,2,2
ray_gpis,Cross,3,55.56872012676301,50.89605673963872,0.0,0.2,0.8,1.0,0.28888962628512477,0.0,0.06504301703520432,0.0,1,1
ray_gpis,Cross,4,52.33909409963066,41.50164661255013,0.2,0.2,0.8,1.0,0.2332446147695693,0.013470921334053587,0.1272542375561711,0.0,2,2
ray_gpis,Cross,5,33.66768031103764,32.66996693765393,0.4,0.2,0.6,1.0,0.057801742140527544,0.001935938688238344,0.08901315795242515,0.002903908032357516,3,2
ray_gpis,Cross,6,70.6421349974976,65.6678608840277,0.4,0.0,0.0,1.0,0.01793925508545524,0.01219230775207103,0.012327926208945517,0.01831095977009345,2,1
ray_gpis,Cross,7,66.86973516675815,55.6080574993754,0.0,0.4,0.8,1.0,0.1416269625756462,0.0,0.10167034926129392,0.008639913329326565,2,2
ray_gpis,Cross,8,47.311329980448576,40.496876265742046,0.2,0.2,0.8,1.0,0.19098096589572933,0.026607258048467863,0.223374909558268,0.0,1,1
ray_gpis,Cross,9,47.284395627747266,39.137656898398305,0.0,0.4,0.6,1.0,0.09874592436742535,0.0,0.02425483517993987,0.021728931370507132,2,1
ray_gpis,Cross,10,70.86387457614735,61.889649144806995,0.2,0.2,0.2,1.0,0.07448625872741463,0.011279581624699692,0.09383750761752016,0.0028433264300538053,2,2
ray_gpis,Cross,11,67.50076979539706,64.32767831814766,0.4,0.2,0.4,1.0,0.17899506597041784,0.02393009811733607,0.09410313766081976,0.0024917495856064398,2,2
ray_gpis,Cross,12,44.55792804805524,43.02123544003801,0.2,0.2,0.2,1.0,0.02536490425532345,0.008615593976039171,-0.011048184691563545,0.00017569851753784782,1,1
ray_gpis,Cross,13,53.996109713057976,52.09195216633166,0.2,0.2,0.2,1.0,0.120587941397381,0.0,0.07900839120478831,0.015242950978553993,2,2
ray_gpis,Cross,14,65.04189400524456,62.10176446209923,0.4,0.0,0.0,1.0,0.04297808712877477,0.00724743445671866,0.07883323183043911,0.028592148945124962,2,2
ray_gpis,Cube,0,58.04629139118806,47.854457347528616,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
ray_gpis,Cube,1,76.6613430623527,74.87518486597172,0.6,0.4,0.6,1.0,0.05557244719613169,0.00725224117301701,0.06266679364318362,0.004366070794521504,4,4
ray_gpis,Cube,2,59.2289356359467,58.49331554986709,0.2,0.2,0.4,1.0,0.10137334067134343,0.029585678242219776,0.19732807561258428,0.006421799113236537,2,2
ray_gpis,Cube,3,44.97072718177729,40.70823494498018,0.2,0.0,0.0,1.0,0.0252936023084247,0.024494216235594557,0.15274768412431305,0.0,1,1
ray_gpis,Cube,4,38.16827634334063,33.877323049689856,0.2,0.0,0.0,1.0,0.014481540575766894,0.02373283512648039,nan,nan,1,0
ray_gpis,Cube,5,74.30289966815218,71.5030956144231,0.4,0.2,0.8,1.0,0.03988381433967336,0.0,0.14701885521205327,0.01416656094251978,2,2
ray_gpis,Cube,6,42.486058071590094,30.743478432370637,0.2,0.2,0.4,1.0,0.07022262365816251,0.010527914590212684,0.11572750106296092,0.0,2,2
ray_gpis,Cube,7,72.65873339569303,63.8438337832625,0.4,0.2,0.4,1.0,0.1295047022473869,0.012888247577061529,0.09237297623036655,0.0,2,2
ray_gpis,Cube,8,63.848437234267124,57.07417216433155,0.4,0.6,0.8,1.0,0.08740562902725145,0.0020671852543329428,0.09777930756917173,0.002756247005777257,4,3
ray_gpis,Cube,9,61.14889450174303,55.737439826334665,0.4,0.4,0.8,1.0,0.08141719819397482,0.014690059851411955,0.1297979704111104,0.0,3,2
ray_gpis,Cube,10,65.59141339370629,59.46694344140582,0.4,0.2,0.4,1.0,0.05978548831426237,0.009059589656914021,0.06918650079686196,0.0,3,3
ray_gpis,Cube,11,64.4623669484293,63.160919838541886,0.6,0.0,0.0,1.0,0.0362765409305546,0.015840363892719738,0.07499729014197161,0.0033283197629760584,3,3
ray_gpis,Cube,12,61.11675661479319,56.15770856151323,0.4,0.2,0.4,1.0,0.013116899857148978,0.018293115096522372,0.08305249549543958,0.0,2,1
ray_gpis,Cube,13,63.21487332131644,48.78867092411497,0.2,0.4,0.6,1.0,0.05228961120848959,0.0008785694843385095,0.09393456537562245,0.0002785899768995015,3,2
ray_gpis,Cube,14,42.00815540345203,32.83712035596142,0.2,0.2,0.2,1.0,0.03509379558032724,0.04564583341585482,0.10652748310776736,0.0,2,2
ray_gpis,Cylinder,0,59.840591112073994,50.144895858135484,0.0,0.4,0.8,1.0,0.10595590360233245,0.024833115306135994,0.007574139064921714,0.007506470104167662,2,2
ray_gpis,Cylinder,1,53.63637642804247,51.456238852893776,0.2,0.2,0.0,1.0,0.042479230759715214,0.0,0.08031342920070228,0.0,2,1
ray_gpis,Cylinder,2,50.696970639406686,49.516185426834994,0.2,0.0,0.0,1.0,0.04735451840357219,0.04066722731655448,0.12378347859949301,0.0,1,1
ray_gpis,Cylinder,3,55.09655019006068,51.76080573671036,0.2,0.2,0.8,1.0,0.1936040557415566,0.0,0.29789894207022605,0.0,1,1
ray_gpis,Cylinder,4,47.31234431191642,44.463159246195296,0.2,0.0,0.0,1.0,0.03322552031824527,0.015478789341370536,0.1841690818845899,0.0,1,1
ray_gpis,Cylinder,5,61.451079096801664,48.18540017381007,0.2,0.2,0.4,1.0,0.049455026074541664,0.015206974168869125,0.10948351525496547,0.0,2,2
ray_gpis,Cylinder,6,61.38969577860125,56.47155332783895,0.4,0.2,0.6,1.0,0.04577643364299622,0.004353639928557751,0.14746288804105456,0.0,2,1
ray_gpis,Cylinder,7,57.10108369981013,54.52420022706317,0.0,0.6,0.6,1.0,0.09576310459684755,0.002656358416136021,0.048924567429694754,0.06894562106772201,3,2
ray_gpis,Cylinder,8,61.0107104827425,52.06354166556027,0.2,0.0,0.0,1.0,0.10951026726183766,0.0,0.18790480519481345,0.0,1,1
ray_gpis,Cylinder,9,58.73922372532477,57.286494878134725,0.4,0.2,0.6,1.0,0.036034223397028,0.0010149486203034352,0.09652695963251001,0.0010149486203034352,2,2
ray_gpis,Cylinder,10,62.19594493036376,50.43703201728607,0.2,0.2,0.4,1.0,0.10541523902241334,0.01176758756060936,0.1359406841760311,0.0,2,2
