metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,ray_gpis_hit_only,120,True,0.03276861111111111,0.01934693055555555,0.04759649305555555,51,46,23,4.592663856895078e-05,0.00018370655427580313
final_recall@5,ray_gpis_novelty_only,120,True,0.03452111111111112,0.017453270833333333,0.05378161111111111,33,74,13,0.00024298125833865925,0.0007289437750159777
final_recall@5,ray_gpis_pointwise,120,True,-0.002881111111111111,-0.008885444444444446,0.0025569513888888903,8,102,10,0.49507904052734375,0.49507904052734375
final_recall@5,ray_gpis_uncertainty_only,120,True,0.005310277777777774,-0.001455576388888894,0.012392597222222213,26,71,23,0.21578718136627728,0.43157436273255456
final_f@5,ray_gpis_hit_only,120,True,0.02289481494608665,0.013533696788152095,0.03313898544372159,49,46,25,4.283966333446527e-05,0.0001713586533378611
final_f@5,ray_gpis_novelty_only,120,True,0.023838508052919427,0.011991345513862712,0.03689843421393064,34,74,12,0.00018963387191206493,0.0005689016157361948
final_f@5,ray_gpis_pointwise,120,True,-0.0018418406111147959,-0.005476560732384759,0.0015373994226412122,9,102,9,0.468292236328125,0.468292236328125
final_f@5,ray_gpis_uncertainty_only,120,True,0.004747986076566954,0.0001325686512875149,0.00970809352553883,27,71,22,0.12632769285416856,0.2526553857083371
final_chamfer_mm,ray_gpis_hit_only,120,True,0.5715554736610661,0.32899101287314714,0.840185999865572,52,46,22,2.7412251237593963e-05,0.00010964900495037585
final_chamfer_mm,ray_gpis_novelty_only,120,True,0.619037767008373,0.29774073182421884,0.9887168810544832,34,74,12,0.00013284241950373143,0.0003985272585111943
final_chamfer_mm,ray_gpis_pointwise,120,True,-0.053377694668519826,-0.11494553579083697,0.0012855399545163198,9,102,9,0.24620819091796875,0.4924163818359375
final_chamfer_mm,ray_gpis_uncertainty_only,120,True,0.08593017811631375,-0.012354844331105496,0.19178948095675877,28,71,21,0.2635604032882348,0.4924163818359375
final_visibility_coverage,ray_gpis_hit_only,120,True,0.011480075301021797,0.0044636540159929605,0.020030083194408167,52,46,22,0.00022166742160386574,0.000886669686415463
final_visibility_coverage,ray_gpis_novelty_only,120,True,0.001867419495824004,0.00013035705900516184,0.003912807322200224,29,74,17,0.0099741306460146,0.029922391938043802
final_visibility_coverage,ray_gpis_pointwise,120,True,-0.00023059462559331574,-0.0010371891299004415,0.00034967843601772184,8,102,10,0.9661178588867188,0.9661178588867188
final_visibility_coverage,ray_gpis_uncertainty_only,120,True,0.002434092424054694,5.753422992236174e-05,0.005724207388520395,28,72,20,0.07330569826862643,0.14661139653725286
