metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,ray_gpis_hit_only,120,True,-0.004336944444444448,-0.018022666666666676,0.008291138888888886,28,62,30,0.9536947743753136,1.0
final_recall@5,ray_gpis_novelty_only,120,True,0.001024722222222223,-0.0011447430555555534,0.0038286736111111113,27,76,17,0.34502023502784596,1.0
final_recall@5,ray_gpis_pointwise,120,True,-0.0014358333333333371,-0.007714750000000003,0.00334104166666666,34,54,32,0.8857078944095146,1.0
final_recall@5,ray_gpis_uncertainty_only,120,True,0.0027233333333333298,-0.0028667500000000025,0.008658284722222217,49,37,34,0.04405494008636475,0.176219760345459
final_f@5,ray_gpis_hit_only,120,True,-0.0034548109291809358,-0.012373397620217127,0.0046003426472612284,28,62,30,0.9722068732979354,1.0
final_f@5,ray_gpis_novelty_only,120,True,0.000541988026717862,-0.0005826975849780384,0.00198845515487235,27,76,17,0.33909725218234144,1.0
final_f@5,ray_gpis_pointwise,120,True,-0.0008515079221710455,-0.004865949585925996,0.0021363693635262936,34,54,32,0.8983360726280755,1.0
final_f@5,ray_gpis_uncertainty_only,120,True,0.001504109666155377,-0.00218907289763806,0.005205336400874883,49,37,34,0.041497141289295665,0.16598856515718266
final_chamfer_mm,ray_gpis_hit_only,120,True,-0.03282953581091878,-0.13289048052791236,0.05754295826736979,33,58,29,0.7232945243146425,1.0
final_chamfer_mm,ray_gpis_novelty_only,120,True,0.013013917437002307,-0.0072191539741014756,0.03635533652721814,29,68,23,0.29078443804218257,0.8723533141265477
final_chamfer_mm,ray_gpis_pointwise,120,True,-0.008067481197534598,-0.054952051735768004,0.028463586084719956,38,47,35,0.9059112068804898,1.0
final_chamfer_mm,ray_gpis_uncertainty_only,120,True,0.023387208356318214,-0.019550294072058796,0.06581437081335376,58,26,36,0.03390912601554578,0.1356365040621831
final_visibility_coverage,ray_gpis_hit_only,120,True,-0.004384294085692469,-0.01043176446775668,0.0008874442935776231,32,59,29,0.93416807439645,1.0
final_visibility_coverage,ray_gpis_novelty_only,120,True,0.0005559729563014528,-0.0002791651634129231,0.0014687386232200104,26,71,23,0.2809659320807327,0.8428977962421982
final_visibility_coverage,ray_gpis_pointwise,120,True,-0.0004486010572112614,-0.0024054894964055263,0.0009909046508011694,37,49,34,0.827636208391088,1.0
final_visibility_coverage,ray_gpis_uncertainty_only,120,True,0.0004582168472133566,-0.0011418983857520886,0.0020141105106538386,51,30,39,0.19441119634658965,0.7776447853863586
visibility_coverage_auc,ray_gpis_hit_only,120,True,0.005503289196692167,0.0007857916424933621,0.01111132350621763,41,58,21,0.020116345362079843,0.08046538144831937
visibility_coverage_auc,ray_gpis_novelty_only,120,True,0.00034594980579228155,-0.00010250388962849459,0.0009931888239678088,27,68,25,0.4072575338676141,0.8145150677352282
visibility_coverage_auc,ray_gpis_pointwise,120,True,1.8445084621430847e-06,-0.0012080126705881638,0.0011910330112035595,37,47,36,0.858196378509853,0.858196378509853
visibility_coverage_auc,ray_gpis_uncertainty_only,120,True,0.0010301968800336856,6.090396171352471e-06,0.0022595115066847945,52,28,40,0.23961220013758777,0.7188366004127633
recall@5_auc,ray_gpis_hit_only,120,True,0.030309083333333337,0.019164598611111108,0.04200794305555555,48,58,14,5.871711282412222e-07,2.348684512964889e-06
recall@5_auc,ray_gpis_novelty_only,120,True,0.005602416666666665,0.0014821208333333407,0.011308566666666665,36,70,14,0.002614123910062105,0.007842371730186315
recall@5_auc,ray_gpis_pointwise,120,True,-0.0006570833333333443,-0.004432937500000014,0.002621509722222215,32,51,37,0.2622644762448778,0.2622644762448778
recall@5_auc,ray_gpis_uncertainty_only,120,True,0.005327833333333318,0.0010088173611111004,0.010232214583333309,52,29,39,0.09885159268020764,0.19770318536041528
f@5_auc,ray_gpis_hit_only,120,True,0.019686927987409453,0.012124892310916551,0.027180443657272742,50,58,12,3.5143032489822447e-07,1.4057212995928979e-06
f@5_auc,ray_gpis_novelty_only,120,True,0.003857684678988412,0.0009900095676657857,0.007773693619889584,36,70,14,0.002614123910062105,0.007842371730186315
f@5_auc,ray_gpis_pointwise,120,True,-0.000329906374957666,-0.002782502696788709,0.00179035205486536,32,50,38,0.28550998883228595,0.28550998883228595
f@5_auc,ray_gpis_uncertainty_only,120,True,0.0034073173149401716,0.0005881235459121544,0.006605158161477297,52,29,39,0.0948726214512604,0.1897452429025208
selected_gain_f@5_per_action,ray_gpis_hit_only,120,True,-0.0006909621858361872,-0.002457879135579649,0.0009202321241448151,28,62,30,0.9722068732979354,1.0
selected_gain_f@5_per_action,ray_gpis_novelty_only,120,True,0.00010839760534357285,-0.00012458710030609248,0.0004029945566595581,27,76,17,0.33909725218234144,1.0
selected_gain_f@5_per_action,ray_gpis_pointwise,120,True,-0.00017030158443420834,-0.0009812405728175729,0.00045723660585889113,34,54,32,0.9033946806120028,1.0
selected_gain_f@5_per_action,ray_gpis_uncertainty_only,120,True,0.00030082193323107635,-0.000432863930273361,0.0010634169459781805,49,37,34,0.04127114723103779,0.16508458892415115
score_gain_correlation,ray_gpis_hit_only,120,True,-0.022783121635129678,-0.07725349778495812,0.03108583967755702,32,53,35,0.35161723689389845,0.7032344737877969
score_gain_correlation,ray_gpis_novelty_only,120,True,0.07323130163949439,0.0344928728872682,0.11420493317558753,51,48,21,0.0001981101643661952,0.0007924406574647808
score_gain_correlation,ray_gpis_pointwise,120,True,0.009915597895196285,-0.03495300707631129,0.055424049280723954,44,25,51,0.9274441829339186,0.9274441829339186
score_gain_correlation,ray_gpis_uncertainty_only,120,True,0.038067579234597325,-0.014200280419060981,0.09305072578746246,60,14,46,0.06027143878786202,0.18081431636358608
oracle_regret_f@5,ray_gpis_hit_only,120,True,0.00973371829114185,0.004952923032747074,0.014509324474337098,52,58,10,1.161004477884679e-06,4.644017911538716e-06
oracle_regret_f@5,ray_gpis_novelty_only,120,True,0.002464792725156047,0.0008172161626903109,0.004584944906482543,35,70,15,0.0005294876867694143,0.0015884630603082428
oracle_regret_f@5,ray_gpis_pointwise,120,True,-0.00012859350158780727,-0.0015311166723186035,0.00106142897346187,32,50,38,0.4770593321070953,0.4770593321070953
oracle_regret_f@5,ray_gpis_uncertainty_only,120,True,0.0017627527555596286,-9.609989041051164e-05,0.003743467144540574,55,30,35,0.0419541483226397,0.0839082966452794
oracle_action_accuracy,ray_gpis_hit_only,120,True,0.07333333333333333,0.035,0.11333333333333334,35,71,14,0.00013913924611230755,0.0005565569844492302
oracle_action_accuracy,ray_gpis_novelty_only,120,True,0.028333333333333335,-9.483155002006335e-19,0.058333333333333334,26,79,15,0.02939627745126927,0.08818883235380781
oracle_action_accuracy,ray_gpis_pointwise,120,True,0.001666666666666671,-0.03166666666666666,0.03500000000000001,27,70,23,0.7232586770768918,0.7232586770768918
oracle_action_accuracy,ray_gpis_uncertainty_only,120,True,0.03166666666666667,-0.01166666666666666,0.07333333333333333,45,46,29,0.14353848027879976,0.2870769605575995
consecutive_score_map_correlation,ray_gpis_hit_only,120,True,0.005049446866180336,-0.022577818302977823,0.03256692630651296,80,0,40,0.13618834405351266,0.13618834405351266
consecutive_score_map_correlation,ray_gpis_novelty_only,120,True,0.08552841767359416,0.07151643473735807,0.1000405812134742,111,0,9,6.03978525983266e-18,1.207957051966532e-17
consecutive_score_map_correlation,ray_gpis_pointwise,120,True,0.12112009888277443,0.10839640112907221,0.13436393754654188,114,0,6,7.05447357712222e-21,2.1163420731366657e-20
consecutive_score_map_correlation,ray_gpis_uncertainty_only,120,True,-0.27382161867103716,-0.2986977609235244,-0.24866852028852723,2,0,118,3.17704660714736e-21,1.270818642858944e-20
planning_time_s,ray_gpis_hit_only,120,True,0.030078320249983036,0.020481222546030645,0.03944069404998511,100,0,20,2.367714814316979e-06,9.470859257267917e-06
planning_time_s,ray_gpis_novelty_only,120,True,0.01376042763148386,0.004360885585738892,0.023133700084327437,78,0,42,3.892030989707924e-06,1.1676092969123771e-05
planning_time_s,ray_gpis_pointwise,120,True,0.0024228092052847694,-0.006911989038488164,0.011775460159674667,70,0,50,0.3817359196288378,0.7634718392576756
planning_time_s,ray_gpis_uncertainty_only,120,True,-0.0003924298283527583,-0.010991038439933314,0.010306429222575691,60,0,60,0.7080336350919292,0.7634718392576756
