planner,object,initial_pose_seed,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,mean_action_execution_error_deg
ray_gpis,Bowl,0,0.6419921219004325,4.514808539685549,2.559993696407489,31.603519696652945
ray_gpis,Bowl,1,0.6314088199204324,5.135046017947438,2.7590772669736277,36.20435069504332
ray_gpis,Bowl,2,0.5880776353465911,6.1552432593532584,4.5878191537442,31.477723329409752
ray_gpis,Bowl,3,0.5791070074157133,4.145076459320819,2.081293828429155,21.1582575549654
ray_gpis,Bowl,4,0.5420679380434489,8.39646697192151,4.954693122963318,25.636659195296925
ray_gpis,Bowl,5,0.5762898890040414,9.426973690382933,4.914666703968864,34.36831619994848
ray_gpis,Bowl,6,0.5189411563821326,9.778595443018023,4.3696447582483025,25.237035476857045
ray_gpis,Bowl,7,0.5637723295520716,5.54583447821052,3.806479654989768,18.459035238778277
ray_gpis,Bowl,8,0.5422908715073863,4.550241476514306,2.0189035704824088,17.443405877523254
ray_gpis,Bowl,9,0.5649544966194769,8.514910006171188,4.610279019612359,18.49135268483888
ray_gpis,Bowl,10,0.49878747194995904,4.107886954246674,2.2999834199694136,24.564968441466068
ray_gpis,Bowl,11,0.5562358919822797,7.283610568519072,4.176160748951898,34.861189338191664
ray_gpis,Bowl,12,0.5094118686119836,4.143454627097173,2.9991448065630495,24.951031984584834
ray_gpis,Bowl,13,0.5147727862080869,4.4526564996174836,2.941189434771032,39.720247009336624
ray_gpis,Bowl,14,0.54701472325712,4.077477827295575,3.0562575747695377,24.006967031582924
ray_gpis,Corner,0,0.5501973656966861,5.289718173181062,2.78617317837224,31.552497645082177
ray_gpis,Corner,1,0.5949000114628639,5.725096595874878,2.226990525739131,52.51311365059039
ray_gpis,Corner,2,0.5713943439779244,5.0861951760630015,3.2884730618349285,37.23262465666287
ray_gpis,Corner,3,0.6227767489646504,7.5341281161975076,6.696834523586318,16.451229994322553
ray_gpis,Corner,4,0.5661348300070161,5.750369634150448,2.553634600814888,27.778057378263405
ray_gpis,Corner,5,0.5502922359895557,6.686958639677695,3.3056992454360614,41.19172317184242
ray_gpis,Corner,6,0.5677493443526718,5.146558328527809,3.2790506950010507,29.273539890740903
ray_gpis,Corner,7,0.6429316284345687,4.8068895587350875,2.0833625124214286,13.286794328913492
ray_gpis,Corner,8,0.5322838821258856,4.275680330718889,2.61917378699825,36.32597576009118
ray_gpis,Corner,9,0.5711038322671403,5.082830677252164,3.138720290276951,38.2006351158144
ray_gpis,Corner,10,0.586678060204955,3.852741261216598,3.298223838705015,26.06621435414676
ray_gpis,Corner,11,0.5895346115391416,5.449220026649553,2.347958152352053,25.518550873244237
ray_gpis,Corner,12,0.5002689606019469,9.346471514980223,5.091617738793828,36.54539113724094
ray_gpis,Corner,13,0.5290671545368236,9.287292367806833,3.4818474402963466,38.340790790597836
ray_gpis,Corner,14,0.58360572226908,4.340757604314228,2.2064025949963275,36.64320035399265
ray_gpis,Cross,0,0.6066998422290304,8.690615712758897,5.054550632542385,21.254016918688283
ray_gpis,Cross,1,0.5251222421823986,4.86671504488077,2.6599942243031247,38.353873593482966
ray_gpis,Cross,2,0.6095069621544632,5.478477053921638,2.9171712972153925,48.11429509915714
ray_gpis,Cross,3,0.5598428759802822,5.618120770995866,2.997929843116914,39.37306474090454
ray_gpis,Cross,4,0.6102786082834101,6.359538368413259,3.097741198752602,22.87096566951663
ray_gpis,Cross,5,0.5534558761162637,5.864466464590746,2.908679083183564,25.35629096649857
ray_gpis,Cross,6,0.5924262655572501,5.527677590937576,3.165397663004455,27.274593495692944
ray_gpis,Cross,7,0.5381148813736896,5.093352020701749,5.640478937646385,36.98240116135884
ray_gpis,Cross,8,0.5700930502357808,15.313466349984646,5.701311596855022,36.9824011613665
ray_gpis,Cross,9,0.4905281277019858,5.745728118924454,2.564074702696235,38.94329789614973
ray_gpis,Cross,10,0.5766573973361314,6.800813271697844,2.3785854851662056,26.397037562232253
ray_gpis,Cross,11,0.5416609918535794,9.537336870208712,4.6635557499185625,27.919270885586634
ray_gpis,Cross,12,0.5763227433893883,12.042031115311103,3.5178841415514026,15.698721046413263
ray_gpis,Cross,13,0.5527838347212354,4.211004553788245,2.316551974889888,53.00005301653501
ray_gpis,Cross,14,0.5747062855868729,4.623232191722028,2.7559152566530973,20.388297486027632
ray_gpis,Cube,0,0.5882896824013496,7.420934719734409,1.9436321562884684,19.613975378731006
ray_gpis,Cube,1,0.563907144407288,5.451243580025697,2.363933761233828,24.822535095821614
ray_gpis,Cube,2,0.5860206254918693,4.975385831633453,3.6767411853152887,64.28248307947021
ray_gpis,Cube,3,0.6466692564864166,5.821765214734352,1.9186612857742087,40.86807849393419
ray_gpis,Cube,4,0.5350622633379721,4.542136645411696,2.2727589805687356,27.34232872244303
ray_gpis,Cube,5,0.5471827430849269,5.02928579474585,2.9644129187561505,41.087446638166234
ray_gpis,Cube,6,0.5502291194078702,5.033588307164874,2.2008813443011017,35.901935022305075
ray_gpis,Cube,7,0.6486731873050472,4.977730594534404,2.932893747200192,50.41336861170424
ray_gpis,Cube,8,0.6170913577934535,4.750001232536783,2.5020496490810538,23.83397465239694
ray_gpis,Cube,9,0.5546296637874155,6.739977008242456,3.001753321300836,24.492769720270527
ray_gpis,Cube,10,0.5572624056257439,4.863201863086759,2.49092876063651,22.42979393359956
ray_gpis,Cube,11,0.567996402986083,8.391470524849078,3.8234033946487918,52.856816067003805
ray_gpis,Cube,12,0.5743576395475462,5.31863961244444,1.9907459177578453,23.460466559551183
