metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,er_gpis,120,True,0.011222222222222222,-0.0007275624999999963,0.02328834722222222,55,25,40,0.05267278156335326,0.26336390781676633
final_recall@5,pose_novelty,120,True,-0.004175000000000001,-0.016833444444444446,0.007830506944444435,53,12,55,0.6790244783867505,1.0
final_recall@5,ray_gpis_hit_only,120,True,-0.007675277777777787,-0.02089979861111112,0.004595861111111098,40,37,43,0.4944229253344271,1.0
final_recall@5,ray_gpis_novelty_only,120,True,0.025227777777777776,0.013727166666666669,0.037882944444444434,40,67,13,2.3662248102648724e-05,0.00014197348861589234
final_recall@5,ray_gpis_pointwise,120,True,-0.002553611111111112,-0.006940013888888885,0.0017898472222222176,13,86,21,0.2415325870970264,0.9661303483881056
final_recall@5,ray_gpis_uncertainty_only,120,True,0.0019622222222222168,-0.005482791666666683,0.009380340277777772,41,41,38,0.4635215716842269,1.0
final_f@5,er_gpis,120,True,0.009402811346363279,0.0008326799820891384,0.018047775459231478,57,25,38,0.008311860077671231,0.04155930038835616
final_f@5,pose_novelty,120,True,-0.0009864465503259415,-0.009792442646736448,0.007516841137701626,56,12,52,0.9024193500953583,1.0
final_f@5,ray_gpis_hit_only,120,True,-0.005219649720579814,-0.014540398799394508,0.0033696289510010877,41,37,42,0.5550448719632476,1.0
final_f@5,ray_gpis_novelty_only,120,True,0.018197075545704343,0.00886733004759519,0.028402255092494985,38,67,15,0.00011980431134274386,0.0007188258680564632
final_f@5,ray_gpis_pointwise,120,True,-0.0005076953464402946,-0.0037518233855094577,0.003068021902396762,13,86,21,0.3174073756672442,1.0
final_f@5,ray_gpis_uncertainty_only,120,True,0.0015636298751422252,-0.004365464412295382,0.00742936232659367,42,41,37,0.5125531829020071,1.0
final_chamfer_mm,er_gpis,120,True,0.18563695786637233,0.051610785695299616,0.32833723831287936,62,25,33,0.0016250724493994929,0.008125362246997465
final_chamfer_mm,pose_novelty,120,True,0.04255211022954474,-0.08147312753190515,0.16175272031753324,57,12,51,0.5706793239676007,1.0
final_chamfer_mm,ray_gpis_hit_only,120,True,-0.06390208667374336,-0.19416139049010278,0.06347392054803287,39,37,44,0.47596885781663867,1.0
final_chamfer_mm,ray_gpis_novelty_only,120,True,0.2876871597559589,0.10859214539289878,0.5054957989763739,36,67,17,0.0010713133669184955,0.006427880201510973
final_chamfer_mm,ray_gpis_pointwise,120,True,-5.256384232782777e-05,-0.05439482130796875,0.0627889118075146,12,86,22,0.33423195546492934,1.0
final_chamfer_mm,ray_gpis_uncertainty_only,120,True,0.02936337351592578,-0.06609503979778342,0.12936507862640476,40,41,39,0.6886117763955535,1.0
final_visibility_coverage,er_gpis,120,True,-0.004092159292761857,-0.009033414711225778,-0.0002478473254173786,53,28,39,0.5578525642642318,1.0
final_visibility_coverage,pose_novelty,120,True,-0.00940563797743558,-0.016363104536935263,-0.0034251858179160403,49,16,55,0.4316441254737261,1.0
final_visibility_coverage,ray_gpis_hit_only,120,True,-0.003635407188025666,-0.009111358650603224,0.000451928238988554,51,38,31,0.21794403793398442,0.8717761517359377
