planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
er_gpis,Bowl,0,0.32421875,0.2140625,63.847224748956435,102.33958981783842
er_gpis,Bowl,1,0.3671875,0.227734375,68.95124692253026,93.66012366071404
er_gpis,Bowl,2,0.3828125,0.219140625,61.824539690270896,97.79903650400487
er_gpis,Bowl,3,0.2734375,0.189453125,38.445518641502815,67.61565075291848
er_gpis,Bowl,4,0.26171875,0.199609375,50.8995524899719,86.30160826409278
er_gpis,Bowl,5,0.28125,0.194140625,58.584207513596105,84.03381776688802
er_gpis,Bowl,6,0.33203125,0.21875,65.54834347245058,89.40989687731256
er_gpis,Bowl,7,0.26171875,0.159765625,51.41679615801404,92.07375765615917
er_gpis,Bowl,8,0.30078125,0.200390625,62.04640327604975,87.71689262088498
er_gpis,Bowl,9,0.18359375,0.149609375,35.816185137837245,55.33306793364863
er_gpis,Bowl,10,0.3671875,0.23125,73.21877745298427,86.91434863480433
er_gpis,Bowl,11,0.34765625,0.191796875,50.36922557637503,89.63343295608531
er_gpis,Bowl,12,0.3203125,0.1984375,54.51947316137316,74.63959786695052
er_gpis,Bowl,13,0.3203125,0.232421875,59.738180502595924,87.20947155929407
er_gpis,Bowl,14,0.21875,0.112109375,41.252331387966116,75.3507834696274
er_gpis,Corner,0,0.39453125,0.2359375,70.82857967446459,98.04021795836346
er_gpis,Corner,1,0.359375,0.237109375,68.15465605860653,89.49991376446498
er_gpis,Corner,2,0.29296875,0.21484375,59.159796735728904,94.9718817738189
er_gpis,Corner,3,0.36328125,0.225,75.97263727584172,90.66826484687678
er_gpis,Corner,4,0.3671875,0.226171875,74.44703336657511,97.50694533727436
er_gpis,Corner,5,0.34765625,0.23359375,63.797941068857725,101.38808643209035
er_gpis,Corner,6,0.34375,0.22421875,60.229410127135,93.12203373363042
er_gpis,Corner,7,0.3984375,0.23984375,69.57708424705886,98.34209798237126
er_gpis,Corner,8,0.34375,0.207421875,60.913930522269006,86.92199616900128
er_gpis,Corner,9,0.29296875,0.16171875,54.4942536657047,92.20593176840633
er_gpis,Corner,10,0.34375,0.221875,67.29381886094242,100.69176703580503
er_gpis,Corner,11,0.3828125,0.22890625,79.18312956984846,101.05797462115495
er_gpis,Corner,12,0.36328125,0.22265625,73.99432985611307,97.5005225041138
er_gpis,Corner,13,0.34765625,0.216796875,61.45971582393006,103.54101914000094
er_gpis,Corner,14,0.37109375,0.220703125,79.22850294912436,97.78841930825752
er_gpis,Cross,0,0.265625,0.17578125,51.308848236129435,97.70699521049076
er_gpis,Cross,1,0.32421875,0.21953125,54.12399247968919,100.28563237883232
er_gpis,Cross,2,0.37109375,0.234375,69.83522157858687,100.07966512069014
er_gpis,Cross,3,0.32421875,0.1984375,64.06690217671601,90.50066756301422
er_gpis,Cross,4,0.38671875,0.234375,73.42961135922485,96.5609397487105
er_gpis,Cross,5,0.31640625,0.218359375,70.12383277949498,85.1328296113708
er_gpis,Cross,6,0.34765625,0.230859375,64.81634748114203,92.90120183623405
er_gpis,Cross,7,0.3828125,0.226953125,76.56264803016266,98.3760482778018
er_gpis,Cross,8,0.375,0.226171875,79.1765685029853,86.95853707507595
er_gpis,Cross,9,0.36328125,0.198828125,65.00516078398998,93.21384195369896
er_gpis,Cross,10,0.375,0.228125,66.85442689643608,92.88158770222374
er_gpis,Cross,11,0.3671875,0.22578125,70.40174967544559,98.50820426249844
