planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
ray_gpis_uncertainty_only,green_Pepper,8,0,0,0.1232,0.2098652051547919,0.1232,0.025331942046531053,27.431309808904622
ray_gpis_uncertainty_only,green_Pepper,8,0,1,0.17036666666666667,0.2802180703400399,0.17036666666666667,0.049204259626587823,25.681888199512628
ray_gpis_uncertainty_only,green_Pepper,8,0,2,0.45393333333333336,0.5982313772728429,0.45393333333333336,0.0748567159139823,11.55512018292161
ray_gpis_uncertainty_only,green_Pepper,8,0,3,0.5719,0.7013069497496964,0.5719,0.09765750288289189,9.124704548230577
ray_gpis_uncertainty_only,green_Pepper,8,0,4,0.7227333333333333,0.8105906467940933,0.7227333333333333,0.11856035584280243,6.582110651623627
ray_gpis_uncertainty_only,green_Pepper,8,0,5,0.7396,0.7756822647995258,0.7396,0.13567789381434522,7.499223241515023
ray_gpis_uncertainty_only,green_Pepper,13,0,0,0.19613333333333333,0.32794560249693455,0.19613333333333333,0.025173419059472523,24.148093393203958
ray_gpis_uncertainty_only,green_Pepper,13,0,1,0.4181,0.5896622241026727,0.4181,0.04779962264555066,11.537616244510941
ray_gpis_uncertainty_only,green_Pepper,13,0,2,0.629,0.7722529158993248,0.629,0.07401145593144334,6.939227048501161
ray_gpis_uncertainty_only,green_Pepper,13,0,3,0.7237666666666667,0.8397501595343531,0.7237666666666667,0.09624593828824986,5.602732092997168
ray_gpis_uncertainty_only,green_Pepper,13,0,4,0.7295,0.7897522224963703,0.7295,0.11923841426146914,6.948935781196813
ray_gpis_uncertainty_only,green_Pepper,13,0,5,0.7546,0.814300597524927,0.7546,0.14270981201369046,6.432901719429145
ray_gpis_uncertainty_only,green_Pepper,4,0,0,0.2825,0.4397179632154854,0.2825,0.025980856380777725,18.096513906880425
ray_gpis_uncertainty_only,green_Pepper,4,0,1,0.5127666666666667,0.674855446187948,0.5127666666666667,0.05027852854803307,10.233255616106002
ray_gpis_uncertainty_only,green_Pepper,4,0,2,0.6696666666666666,0.7994000574631392,0.6696666666666666,0.07562440756400743,7.483393831749183
ray_gpis_uncertainty_only,green_Pepper,4,0,3,0.8034,0.888137237748334,0.8034,0.09980059189536881,5.494463677849725
ray_gpis_uncertainty_only,green_Pepper,4,0,4,0.8237333333333333,0.8932810031759989,0.8237333333333333,0.1231151035645446,5.456129556588302
ray_gpis_uncertainty_only,green_Pepper,4,0,5,0.8819666666666667,0.9284438144953495,0.8819666666666667,0.14594694071009146,4.951607812588459
ray_gpis_uncertainty_only,green_Pepper,1,0,0,0.047233333333333336,0.0750476085209466,0.047233333333333336,0.026098971174773278,37.12241975982413
ray_gpis_uncertainty_only,green_Pepper,1,0,1,0.24023333333333333,0.33210874832788256,0.24023333333333333,0.05242875288128939,20.034056279054585
ray_gpis_uncertainty_only,green_Pepper,1,0,2,0.4799,0.5717372963313235,0.4799,0.07756726287662763,11.393280410820573
ray_gpis_uncertainty_only,green_Pepper,1,0,3,0.5305,0.585885948978055,0.5305,0.09892033383090748,11.670204037766192
ray_gpis_uncertainty_only,green_Pepper,1,0,4,0.6068333333333333,0.6552051452528395,0.6068333333333333,0.12297295121543655,10.064661180888585
ray_gpis_uncertainty_only,green_Pepper,1,0,5,0.6849,0.7095142185751019,0.6849,0.14616319409224104,9.04693849787035
ray_gpis_uncertainty_only,green_Pepper,12,0,0,0.284,0.44236760124610586,0.284,0.026339008079423288,18.0431265607897
ray_gpis_uncertainty_only,green_Pepper,12,0,1,0.43066666666666664,0.6020503261882572,0.43066666666666664,0.0531383069543173,13.107161361056134
ray_gpis_uncertainty_only,green_Pepper,12,0,2,0.6262333333333333,0.7701641830815585,0.6262333333333333,0.07676068487052604,7.942667311532752
ray_gpis_uncertainty_only,green_Pepper,12,0,3,0.7705333333333333,0.8703968672339785,0.7705333333333333,0.10239926043006234,5.59870608388993
ray_gpis_uncertainty_only,green_Pepper,12,0,4,0.8195666666666667,0.9008371956692985,0.8195666666666667,0.1258799698993355,5.075219082957299
ray_gpis_uncertainty_only,green_Pepper,12,0,5,0.8302666666666667,0.9040389969442472,0.8302666666666667,0.14707195056970468,5.0779067307292465
ray_gpis_uncertainty_only,green_Pepper,7,0,0,0.2002,0.330547886148286,0.2002,0.027815744430831364,23.843956984426658
ray_gpis_uncertainty_only,green_Pepper,7,0,1,0.3995666666666667,0.566322378389723,0.3995666666666667,0.05333937247963441,15.450983244572662
