metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,pose_novelty,120,True,-0.004175000000000001,-0.01658174305555556,0.007621743055555559,53,12,55,0.6790244783867505,0.6790244783867505
final_f@5,pose_novelty,120,True,-0.0009864465503259415,-0.009975188012883104,0.007605745437035352,56,12,52,0.9024193500953583,0.9024193500953583
final_chamfer_mm,pose_novelty,120,True,0.04255211022954474,-0.08276183924506055,0.16087403868367472,57,12,51,0.5706793239676007,0.5706793239676007
final_visibility_coverage,pose_novelty,120,True,-0.00940563797743558,-0.016482676982741026,-0.0035067535152571655,49,16,55,0.4316441254737261,0.4316441254737261
visibility_coverage_auc,pose_novelty,120,True,-0.005409851452849293,-0.009509253458512537,-0.00200960044661057,51,14,55,0.5398482200444837,0.5398482200444837
recall@5_auc,pose_novelty,120,True,-0.005138388888888884,-0.01180575069444443,0.0007717159722222242,49,12,59,0.24226138853760704,0.24226138853760704
f@5_auc,pose_novelty,120,True,-0.0034530516955502866,-0.008629021412333536,0.0010328976844870387,48,12,60,0.2902952878263675,0.2902952878263675
selected_gain_f@5_per_action,pose_novelty,120,True,-0.00019728931006518757,-0.001958488529347288,0.001503368227540326,56,12,52,0.9024193500953583,0.9024193500953583
score_gain_correlation,pose_novelty,120,True,-0.07083333333333332,-0.13666666666666666,-0.00664583333333362,45,18,57,0.14224058564438502,0.14224058564438502
oracle_regret_f@5,pose_novelty,120,True,-0.002905815546177631,-0.006090177107991076,-0.0001590075149094142,50,12,58,0.39245445486309727,0.39245445486309727
oracle_action_accuracy,pose_novelty,120,True,-0.026666666666666665,-0.07166666666666668,0.018333333333333323,38,43,39,0.388631054167751,0.388631054167751
consecutive_score_map_correlation,pose_novelty,120,True,0.5349577187987258,0.49865136816678274,0.5707273247153364,120,0,0,1.9719517121524354e-21,1.9719517121524354e-21
planning_time_s,pose_novelty,120,True,-0.12948516147017167,-0.14294438009713908,-0.11785015380704802,0,0,120,1.9719517121524354e-21,1.9719517121524354e-21
