planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
pose_novelty,Bowl,15,0.7048123151714984,0.575068,0.8521834733173338,0.3307896972145523,0.41333333333333333,0.00837189075575936,-0.04729891869568264
pose_novelty,Corner,15,0.75667076190485,0.6501557777777778,0.9127517461746176,0.04867932008868694,0.5666666666666667,0.005871305840559682,-0.035944384338574095
pose_novelty,Cross,15,0.7229534910906672,0.6076848888888888,0.8858782460705784,0.07722176462654759,0.6066666666666667,0.005826542744104632,-0.08401252030415422
pose_novelty,Cube,15,0.7502778348205756,0.6378582222222222,0.9099237180569476,0.09074045730713805,0.44000000000000006,0.009739614229599042,-0.0602169633389541
pose_novelty,Cylinder,15,0.7048278624382429,0.5767668888888888,0.8790283981148465,0.1524022934406852,0.62,0.010166802801750691,-0.07402613333411419
pose_novelty,L_Shaped,15,0.7059256598960085,0.5887302222222224,0.8580297082401013,0.08932757911641419,0.3266666666666667,0.00999481548983355,-0.04712701074996877
pose_novelty,Thin_Irregular,15,0.7048420710725022,0.5860542222222223,0.8690641388640834,0.8794737721033994,0.4666666666666667,0.010029295709082677,-0.009580720308357627
pose_novelty,green_Pepper,15,0.7042001267046433,0.5899686666666667,0.8683693810609409,0.08743923666377248,0.5733333333333334,0.011926381404237362,-0.005727773064367362
ray_gpis,Bowl,15,0.6682900499243918,0.5255962222222222,0.8059854865473528,0.28753647391429127,-0.03333333333333333,0.037325474756675886,0.7915772453980277
ray_gpis,Corner,15,0.7542187405556003,0.6446875555555557,0.9131794629038616,0.04866640879053479,0.4533333333333333,0.007150519157728927,0.4110706198672973
ray_gpis,Cross,15,0.7191919350927457,0.6026248888888888,0.8759823707144867,0.07741538763091411,0.5666666666666668,0.005553550911138973,0.38036447316414174
ray_gpis,Cube,15,0.7546364962410902,0.6426320000000001,0.9227886223909285,0.09103479264034663,0.46,0.006784536133689457,0.4003558052159662
ray_gpis,Cylinder,15,0.7097934340580108,0.5852473333333333,0.8829999523038636,0.15453546150767314,0.5800000000000001,0.006708523529068756,0.5419452881684891
ray_gpis,L_Shaped,15,0.7115538693396892,0.5942817777777779,0.8835439883597302,0.08963464767171767,0.36666666666666664,0.009916825109615692,0.4238433822058713
ray_gpis,Thin_Irregular,15,0.705354986053121,0.587165111111111,0.874311260706159,0.8763750268849361,0.44,0.010604064585921039,0.4632740283995142
ray_gpis,green_Pepper,15,0.7038461982699376,0.5889448888888889,0.8685460935704589,0.08759710989798805,0.6133333333333334,0.011129679160509316,0.503296483836326
