planner,object,initial_pose_seed,mean_action_so3_error_deg,mean_nominal_target_view_error_deg,stall_action_rate,slip_action_rate,persistent_misalignment_action_rate,episode_stall_or_slip_rate,fault_action_gain_f@5,fault_action_regret_f@5,post_fault_next_gain_f@5,post_fault_next_regret_f@5,fault_actions,post_fault_decisions
pose_novelty,Bowl,0,83.25030547097155,79.87236342843217,0.6,0.0,0.0,1.0,0.031805703656645666,0.007465889461740631,0.09622838846260633,0.01466198129248882,3,3
pose_novelty,Bowl,1,46.09006042133344,43.388328133838804,0.0,0.2,0.0,1.0,0.004060797485074152,0.018102603114981575,nan,nan,1,0
pose_novelty,Bowl,2,59.05010673284168,51.15304655438502,0.0,0.4,0.4,1.0,0.08250861570120471,0.0038709755556620706,0.08735855679876303,0.0,2,1
pose_novelty,Bowl,3,39.96468583877713,28.715875874080417,0.0,0.4,0.8,1.0,0.16539373879793212,0.005349680840888271,0.08995953563963899,0.017474942850544573,2,2
pose_novelty,Bowl,4,59.209546662979925,56.152163482239175,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0,0
pose_novelty,Bowl,5,64.62549525002771,62.07057431072111,0.2,0.2,0.4,1.0,0.0026062549809988678,0.005923542215218958,0.09999165053982284,0.0,1,1
pose_novelty,Bowl,6,63.68260395415363,58.119647535908754,0.2,0.0,0.0,1.0,0.0739578264849341,0.0,nan,nan,1,0
pose_novelty,Bowl,7,60.8915811600276,57.52761179032176,0.2,0.2,0.4,1.0,0.06829583098483516,0.0,0.045824341821521286,0.012389783025734902,1,1
pose_novelty,Bowl,8,70.70628567041277,66.60911528336261,0.4,0.2,0.4,1.0,0.0665033920515343,0.0,0.11644908667399376,0.0,2,2
pose_novelty,Bowl,9,86.3173694768878,81.71411226733747,0.6,0.2,0.4,1.0,0.06912657214149431,0.025826570994360292,0.06676015842188937,0.006504529351402111,3,2
pose_novelty,Bowl,10,59.024099234319145,57.64800891849715,0.6,0.0,0.0,1.0,0.12356051021724794,0.011805322423786827,0.14613416805230164,0.0,3,3
