metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,pose_novelty,120,True,-0.011472777777777781,-0.02263995833333334,-0.001065340277777783,33,52,35,0.2037451822905535,0.2037451822905535
final_f@5,pose_novelty,120,True,-0.00910276925127895,-0.01664662542268565,-0.0020772969883436393,31,52,37,0.12661477029469803,0.12661477029469803
final_chamfer_mm,pose_novelty,120,True,-0.136687899932658,-0.27373303129517246,-0.0034345089000829454,36,52,32,0.2431790663983493,0.2431790663983493
final_visibility_coverage,pose_novelty,120,True,-0.006511211437074286,-0.012699299794482966,-0.0010135221707380483,30,55,35,0.13282892256014162,0.13282892256014162
visibility_coverage_auc,pose_novelty,120,True,-0.003465436582592003,-0.006187055176381424,-0.001187481083390693,28,55,37,0.05552550290861309,0.05552550290861309
recall@5_auc,pose_novelty,120,True,-0.008821888888888895,-0.014337836111111118,-0.004285847222222226,29,52,39,0.008150206605372827,0.008150206605372827
f@5_auc,pose_novelty,120,True,-0.007651888628117163,-0.012550528219880215,-0.0036439744185255093,28,52,40,0.0048493702984435325,0.0048493702984435325
selected_gain_f@5_per_action,pose_novelty,120,True,-0.0018205538502557904,-0.0033529778783157964,-0.0004140870775125609,31,52,37,0.12661477029469803,0.12661477029469803
score_gain_correlation,pose_novelty,120,True,-0.0147767090063074,-0.06622566695412378,0.03605812009306185,51,22,47,0.9646163584911698,0.9646163584911698
oracle_regret_f@5,pose_novelty,120,True,-0.002579926045308235,-0.004390418161465861,-0.0010145237569551954,30,52,38,0.023393821248995014,0.023393821248995014
oracle_action_accuracy,pose_novelty,120,True,-0.035,-0.07333333333333332,6.4994306233261005e-18,20,72,28,0.21101763473357238,0.21101763473357238
consecutive_score_map_correlation,pose_novelty,120,True,0.34703796083038024,0.32510564838482886,0.3692054517194598,120,0,0,1.9719517121524354e-21,1.9719517121524354e-21
planning_time_s,pose_novelty,120,True,-0.14076062335196185,-0.15749722078258793,-0.12571205050311682,0,0,120,1.9719517121524354e-21,1.9719517121524354e-21
