planner,object,initial_pose_seed,planner_seed,step,selected_action,oracle_action,selected_gain_f@5,oracle_gain_f@5,oracle_regret_f@5,oracle_action_accuracy,score_gain_spearman,minus_x_gain_f@5,minus_y_gain_f@5,plus_z_gain_f@5,minus_x_score,minus_y_score,plus_z_score
pose_novelty,green_Pepper,8,0,0,minus_x,minus_x,-0.0009714190870044881,-0.0009714190870044881,0.0,1.0,1.0,-0.0009714190870044881,-0.01758679976587063,-0.04383939566055889,1.8584201335906982,0.9731924533843994,0.004316269885748625
pose_novelty,green_Pepper,8,0,1,minus_x,minus_y,0.20209371899560818,0.21389680127087157,0.011803082275263388,0.0,0.5,0.20209371899560818,0.21389680127087157,0.15072154718096786,1.8583587408065796,0.9725272059440613,0.047745972871780396
pose_novelty,green_Pepper,8,0,2,minus_x,minus_x,0.16712556156835567,0.16712556156835567,0.0,1.0,0.5,0.16712556156835567,0.08407094475903154,0.09583475588021373,1.8583953380584717,0.9731955528259277,0.006376714911311865
pose_novelty,green_Pepper,8,0,3,minus_x,minus_y,-0.04711526503830732,-0.014886038692579429,0.03222922634572789,0.0,-0.5,-0.04711526503830732,-0.014886038692579429,-0.020901192747521224,1.049780011177063,0.9731932878494263,0.002812950871884823
pose_novelty,green_Pepper,8,0,4,minus_y,minus_y,0.10615666269397084,0.10615666269397084,0.0,1.0,0.5,0.05631322335766109,0.10615666269397084,0.09684930476385933,0.4239996373653412,0.9728372693061829,0.047912757843732834
pose_novelty,green_Pepper,13,0,0,minus_x,minus_x,0.1604911505932285,0.1604911505932285,0.0,1.0,1.0,0.1604911505932285,0.12537889479714615,0.023717483526329408,1.8584080934524536,0.9731876254081726,0.007080960553139448
pose_novelty,green_Pepper,13,0,1,minus_x,minus_x,0.03473093752466272,0.03473093752466272,0.0,1.0,0.5,0.03473093752466272,0.0037908027120718835,0.007117078248810915,1.8584247827529907,0.7719787955284119,0.003835495561361313
pose_novelty,green_Pepper,13,0,2,minus_x,minus_x,0.17132532029889902,0.17132532029889902,0.0,1.0,1.0,0.17132532029889902,0.018733625549104183,0.0010807928513238974,1.858426570892334,0.9193644523620605,0.004492173902690411
pose_novelty,green_Pepper,13,0,3,minus_x,minus_x,0.06939407050237201,0.06939407050237201,0.0,1.0,1.0,0.06939407050237201,0.052399357910371314,0.04457774108889401,1.7514398097991943,0.9731928706169128,0.013661524280905724
pose_novelty,green_Pepper,13,0,4,minus_x,minus_x,0.06345088706780722,0.06345088706780722,0.0,1.0,1.0,0.06345088706780722,0.03807213022126821,0.0136223275631846,1.2044899463653564,0.9731729626655579,0.00863595213741064
pose_novelty,green_Pepper,4,0,0,minus_x,minus_x,0.1781407531444179,0.1781407531444179,0.0,1.0,1.0,0.1781407531444179,0.06043964945336411,0.03615174703370316,1.8583420515060425,0.9731942415237427,0.010668827220797539
pose_novelty,green_Pepper,4,0,1,minus_x,minus_x,0.1037529805108015,0.1037529805108015,0.0,1.0,1.0,0.1037529805108015,0.027588837758863893,0.025702250181505293,1.8583768606185913,0.9731956124305725,0.008024189621210098
pose_novelty,green_Pepper,4,0,2,minus_x,minus_x,0.18311002583961367,0.18311002583961367,0.0,1.0,1.0,0.18311002583961367,0.08775282458392153,0.02429501996940464,1.8584158420562744,0.9731912016868591,0.005323927383869886
pose_novelty,green_Pepper,4,0,3,minus_y,minus_x,0.002616533204260918,0.010731959847324557,0.008115426643063639,0.0,-0.5,0.010731959847324557,0.002616533204260918,0.005219541116078585,0.940827488899231,0.9731941223144531,0.003894597524777055
pose_novelty,green_Pepper,4,0,4,minus_y,minus_x,0.0015563568649579196,0.0072997751218233375,0.005743418256865418,0.0,-0.5,0.0072997751218233375,0.0015563568649579196,0.003886065973233266,0.9581936001777649,0.9731955528259277,0.004065908957272768
pose_novelty,green_Pepper,1,0,0,minus_x,plus_z,0.012895211825320274,0.05018390104973325,0.037288689224412974,0.0,-1.0,0.012895211825320274,0.02979454104169238,0.05018390104973325,1.8584263324737549,0.9731913208961487,0.003790756221860647
