object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg,planner,selected_action,selected_gain_f@5,selected_gain_recall@5,selected_chamfer_reduction_mm,selected_recovery_recall@5,score_gain_correlation,oracle_regret_f@5,oracle_action_accuracy,selected_first_second_error_deg,selected_accepted_frames,planning_time_s
Bowl,0,32.446857587411095,52.268448080867074,pose_novelty,minus_x,0.4451239731154001,0.5781333333333334,6.022946574834581,0.8872065067266868,0.5,0.0,1.0,7.540465225788005,24,0.00019482700736261904
Bowl,0,32.446857587411095,52.268448080867074,ray_gpis,plus_z,0.28257965848220934,0.3173333333333333,3.7707422240589983,0.48698143127525706,0.5,0.16254431463319075,0.0,52.268448080867074,9,0.14829822101455647
Bowl,1,56.224823195999,69.66690726912759,pose_novelty,minus_x,0.2624951123584758,0.38570000000000004,3.3094911738703,0.8245564027649113,1.0,0.0,1.0,69.66690726912759,23,0.0004172020126134157
Bowl,1,56.224823195999,69.66690726912759,ray_gpis,minus_y,0.19782363277956239,0.27369999999999994,2.1004599749899358,0.5852633079170526,-0.5,0.0646714795789134,0.0,33.545469831140444,7,0.9608010130177718
Bowl,2,36.96325355156268,52.268448080867074,pose_novelty,minus_x,0.3618291420198173,0.5117666666666666,5.258417380693073,0.9227117014243644,1.0,0.0,1.0,7.540465225788005,24,0.00045154400868341327
Bowl,2,36.96325355156268,52.268448080867074,ray_gpis,plus_z,0.30678399543412416,0.4117333333333333,4.413403990239214,0.7423523048260112,-0.5,0.05504514658569315,0.0,52.268448080867074,9,0.13489403200219385
Bowl,3,41.74059357253137,65.46209248772897,pose_novelty,minus_x,0.413219159719843,0.5143,9.40461894685237,0.7811013260451463,1.0,0.0,1.0,17.62276010128139,17,0.00020271098765078932
Bowl,3,41.74059357253137,65.46209248772897,ray_gpis,minus_y,0.3029313388215108,0.34203333333333336,8.056141618005555,0.5193339406822552,0.5,0.11028782089833222,0.0,42.13692812858374,10,0.14419765201455448
Bowl,4,27.17738089195511,55.322817829862394,pose_novelty,minus_y,0.2842782072050932,0.38533333333333336,3.589185214517741,0.7204636091724825,-0.5,0.062914805417141,0.0,18.668859620214928,9,0.0002216400025645271
Bowl,4,27.17738089195511,55.322817829862394,ray_gpis,plus_z,0.3368303337093871,0.47989999999999994,4.264581890442183,0.8972457627118644,-0.5,0.010362678912847145,0.0,55.322817829862394,13,0.14078360100393184
Bowl,5,33.67259349385136,49.052655247518686,pose_novelty,minus_x,0.3158111049062723,0.4678333333333333,3.793515885960028,0.941630325394163,1.0,0.0,1.0,17.62276010128139,18,0.00019384900224395096
Bowl,5,33.67259349385136,49.052655247518686,ray_gpis,minus_x,0.3158111049062723,0.4678333333333333,3.793515885960028,0.941630325394163,0.5,0.0,1.0,17.62276010128139,18,0.9190957880055066
Bowl,6,49.71941549765271,65.46209248772897,pose_novelty,minus_x,0.3349749710246187,0.48323333333333335,4.13219254261102,0.9188110026619344,0.5,0.0,1.0,65.02729438501424,16,0.00021610999829135835
Bowl,6,49.71941549765271,65.46209248772897,ray_gpis,minus_x,0.3349749710246187,0.48323333333333335,4.13219254261102,0.9188110026619344,0.5,0.0,1.0,65.02729438501424,16,0.9448810240137391
Bowl,7,34.74452443830082,52.268448080867074,pose_novelty,minus_x,0.3483056878379823,0.5139,4.236265617099735,0.9883981796038716,1.0,0.0,1.0,17.62276010128139,17,0.0001997339859372005
Bowl,7,34.74452443830082,52.268448080867074,ray_gpis,plus_z,0.23601576192725582,0.3131666666666667,2.704651110572761,0.6023972822254984,-1.0,0.1122899259107265,0.0,52.268448080867074,8,0.862811173996306
Bowl,8,52.84430297865379,62.36265620934178,pose_novelty,minus_y,0.2151298466102889,0.3046,2.379587701105338,0.6586929894084588,-1.0,0.055062955967390415,0.0,51.080847348032975,23,0.00043740301043726504
Bowl,8,52.84430297865379,62.36265620934178,ray_gpis,minus_x,0.21685622827770223,0.3075333333333333,2.428470345300752,0.6656819655594783,0.5,0.05333657429997707,0.0,45.08940537858663,16,0.982381441994221
Bowl,9,50.53720302937038,65.02729438501424,pose_novelty,minus_y,0.2759204639371474,0.3597333333333333,3.7604864010306973,0.6480514021497628,-0.5,0.06487084044945313,0.0,37.53165945557821,8,0.00019628298468887806
Bowl,9,50.53720302937038,65.02729438501424,ray_gpis,plus_z,0.31650618434056876,0.4283333333333333,4.104914555357058,0.7716327388458536,-0.5,0.024285120046031783,0.0,49.052655247518686,7,0.13898021500790492
Bowl,10,56.60013662155975,69.66690726912759,pose_novelty,minus_y,0.3087187219738219,0.3776,4.220360316154208,0.6157482882295403,0.5,0.034737089720269676,0.0,51.080847348032975,24,0.00019718300609383732
Bowl,10,56.60013662155975,69.66690726912759,ray_gpis,minus_x,0.34345581169409156,0.4333666666666666,4.531808133179274,0.706553635474405,0.5,0.0,1.0,69.66690726912759,23,0.14958291000220925
Bowl,11,35.781640948756994,65.46209248772897,pose_novelty,minus_y,0.34515341394330656,0.5054333333333334,4.417192420568077,0.9669089517980107,1.0,0.0,1.0,34.342365132754,24,0.000203696996322833
Bowl,11,35.781640948756994,65.46209248772897,ray_gpis,minus_y,0.34515341394330656,0.5054333333333334,4.417192420568077,0.9669089517980107,0.5,0.0,1.0,34.342365132754,24,0.8988589849905111
Bowl,12,43.891240027227845,49.052655247518686,pose_novelty,minus_x,0.21977768926903662,0.294,2.5633499821321304,0.5836085061418571,0.5,0.0,1.0,45.08940537858663,17,0.00019469800463411957
Bowl,12,43.891240027227845,49.052655247518686,ray_gpis,minus_x,0.21977768926903662,0.294,2.5633499821321304,0.5836085061418571,0.5,0.0,1.0,45.08940537858663,17,0.8892998889932642
Bowl,13,35.80762254590889,52.268448080867074,pose_novelty,minus_x,0.31999072100481085,0.4494333333333333,3.7222274246142653,0.8423583786147024,0.5,0.0,1.0,17.62276010128139,17,0.00019268400501459837
Bowl,13,35.80762254590889,52.268448080867074,ray_gpis,minus_y,0.15478751517053724,0.18770000000000003,1.7966620041921892,0.35194553744300794,-0.5,0.16520320583427361,0.0,37.53165945557821,8,0.13537407599505968
Bowl,14,45.98129422134241,55.322817829862394,pose_novelty,minus_y,0.15639584346116064,0.2213666666666666,1.9095781998041779,0.5222204773869347,-1.0,0.10070152910179275,0.0,37.53165945557821,8,0.00020956198568455875
Bowl,14,45.98129422134241,55.322817829862394,ray_gpis,minus_x,0.20960044141654133,0.31156666666666666,2.672560665561721,0.734375,-0.5,0.04749693114641207,0.0,45.08940537858663,16,0.9389143829903333
Corner,0,50.233897753999486,69.66690726912759,pose_novelty,minus_y,0.1916891694700541,0.2886333333333334,4.268625527835505,0.7162709901563404,-0.5,0.05964854303420164,0.0,18.668859620214928,9,0.0001923609961522743
Corner,0,50.233897753999486,69.66690726912759,ray_gpis,plus_z,0.19546299872640016,0.29536666666666667,4.338972939076107,0.7329803954007775,0.5,0.05587471377785558,0.0,62.36592637265595,13,1.1029808549938025
