object,initial_pose_seed,mean_branch_first_second_error_deg,max_branch_first_second_error_deg
Bowl,0,32.446857587411095,52.268448080867074
Bowl,1,56.224823195999,69.66690726912759
Bowl,2,36.96325355156268,52.268448080867074
Bowl,3,41.74059357253137,65.46209248772897
Bowl,4,27.17738089195511,55.322817829862394
Bowl,5,33.67259349385136,49.052655247518686
Bowl,6,49.71941549765271,65.46209248772897
Bowl,7,34.74452443830082,52.268448080867074
Bowl,8,52.84430297865379,62.36265620934178
Bowl,9,50.53720302937038,65.02729438501424
Bowl,10,56.60013662155975,69.66690726912759
Bowl,11,35.781640948756994,65.46209248772897
Bowl,12,43.891240027227845,49.052655247518686
Bowl,13,35.80762254590889,52.268448080867074
Bowl,14,45.98129422134241,55.322817829862394
Corner,0,50.233897753999486,69.66690726912759
Corner,1,30.311828535353566,49.052655247518686
Corner,2,34.74452443830082,52.268448080867074
Corner,3,33.67259349385136,49.052655247518686
Corner,4,49.47410492176231,65.02729438501424
Corner,5,32.13625096226361,55.322817829862394
Corner,6,37.8302799716312,55.322817829862394
Corner,7,44.9631709716773,52.268448080867074
Corner,8,49.36105244063126,65.46209248772897
Corner,9,34.48286375542341,62.36265620934178
Corner,10,53.110696743914666,69.66690726912759
Corner,11,28.448091656338335,49.052655247518686
Corner,12,50.497690185494,55.322817829862394
Corner,13,51.020642549800094,69.66690726912759
Corner,14,43.073452495510175,65.46209248772897
Cross,0,48.407635991379436,51.080847348032975
Cross,1,40.32907964882565,62.36592637265595
Cross,2,33.67259349385136,49.052655247518686
Cross,3,45.42632958489636,49.052655247518686
Cross,4,35.811593630236,62.36265620934178
Cross,5,49.864086626608774,62.36592637265595
Cross,6,35.76264768796593,55.322817829862394
Cross,7,49.47410492176231,65.02729438501424
Cross,8,39.25208756561101,51.080847348032975
Cross,9,34.73569160145943,49.052655247518686
Cross,10,35.76264768796593,55.322817829862394
Cross,11,51.60913397381984,65.02729438501424
Cross,12,44.918196113734346,55.322817829862394
Cross,13,54.9749600710828,65.02729438501424
Cross,14,54.69076115952614,69.66690726912759
Cube,0,43.073452495510175,65.46209248772897
Cube,1,46.99917713968963,62.36265620934178
Cube,2,40.32798959438759,62.36265620934178
Cube,3,40.32798959438759,62.36265620934178
Cube,4,43.63444109686472,52.268448080867074
Cube,5,60.52341140692539,65.46209248772897
Cube,6,59.0886426284801,69.66690726912759
Cube,7,31.118127712598508,52.268448080867074
Cube,8,51.82694172704504,69.66690726912759
Cube,9,50.23280769956144,69.66690726912759
Cube,10,44.69328872894258,62.36265620934178
Cube,11,34.74452443830082,52.268448080867074
Cube,12,36.76718186402312,55.322817829862394
Cube,13,54.67828556796122,65.46209248772897
Cube,14,36.84473905636506,65.46209248772897
Cylinder,0,43.68875455288538,62.36265620934178
Cylinder,1,50.546035866211774,65.02729438501424
Cylinder,2,35.812683684674056,62.36592637265595
Cylinder,3,52.627257223484946,65.02729438501424
Cylinder,4,37.843628713921206,62.36265620934178
Cylinder,5,48.2979543330232,65.46209248772897
Cylinder,6,47.88619490640164,69.66690726912759
Cylinder,7,44.24960308424929,65.02729438501424
Cylinder,8,34.92243824579896,65.46209248772897
Cylinder,9,56.52149769912058,69.66690726912759
Cylinder,10,52.84539303309185,62.36592637265595
Cylinder,11,48.68736012596171,65.02729438501424
Cylinder,12,33.91790406974176,65.46209248772897
Cylinder,13,43.90007286406924,52.268448080867074
Cylinder,14,29.45262583239553,49.052655247518686
L_Shaped,0,35.76264768796593,55.322817829862394
L_Shaped,1,33.8892928196699,62.36265620934178
L_Shaped,2,57.54210500044232,65.46209248772897
L_Shaped,3,59.49026598079633,65.02729438501424
L_Shaped,4,50.89614199829978,65.46209248772897
L_Shaped,5,62.06994903496318,69.66690726912759
L_Shaped,6,56.52040764468253,69.66690726912759
L_Shaped,7,41.21003819092005,65.46209248772897
L_Shaped,8,51.82694172704504,69.66690726912759
L_Shaped,9,33.91790406974176,65.46209248772897
L_Shaped,10,39.69369427622132,55.322817829862394
L_Shaped,11,56.12552993797143,65.02729438501424
L_Shaped,12,35.781640948756994,65.46209248772897
L_Shaped,13,37.34777324234256,62.36592637265595
L_Shaped,14,56.0070154427738,65.46209248772897
Thin_Irregular,0,25.08732669784054,49.052655247518686
Thin_Irregular,1,56.224823195999,69.66690726912759
Thin_Irregular,2,51.82694172704504,69.66690726912759
Thin_Irregular,3,31.38375947980303,52.268448080867074
Thin_Irregular,4,39.14240590725478,65.46209248772897
