metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,actnerf,120,True,0.032579444444444446,0.014794925925925928,0.04864206018518518,100,1,19,6.288509454878551e-11,6.288509454878551e-11
final_recall@5,fixed,120,True,0.08017277777777779,0.06382541666666666,0.094273375,113,0,7,2.7638296539644523e-15,5.5276593079289046e-15
final_recall@5,pb_nbv,120,True,0.20854444444444448,0.1753288263888889,0.24266447916666667,106,4,10,6.376316295301189e-18,1.9128948885903564e-17
final_f@5,actnerf,120,True,0.01633928950873516,0.004978991459421467,0.026121833391436942,100,1,19,7.244811150826845e-11,7.244811150826845e-11
final_f@5,fixed,120,True,0.04130333574504965,0.030898605757639194,0.04996535567806926,113,0,7,5.863554918976408e-15,1.1727109837952817e-14
final_f@5,pb_nbv,120,True,0.1318034454936186,0.10928808661865531,0.15494432978346098,106,4,10,9.822814520830693e-18,2.946844356249208e-17
final_chamfer_mm,actnerf,120,True,0.3306378126311054,0.18568017543018953,0.46742660126163965,99,0,21,5.5630931779230846e-11,5.5630931779230846e-11
final_chamfer_mm,fixed,120,True,0.6799721002863308,0.5380219985430148,0.808420704408459,110,0,10,2.7064219572047893e-15,5.4128439144095785e-15
final_chamfer_mm,pb_nbv,120,True,2.9974962613180995,2.4226069229089755,3.626393680736938,109,2,9,9.644395267055592e-19,2.8933185801166774e-18
final_visibility_coverage,actnerf,120,True,0.0014731110993222497,-0.007158914409810699,0.00966073498116104,77,0,43,0.0009950645845154989,0.0009950645845154989
final_visibility_coverage,fixed,120,True,0.007276418867490771,-0.0021887418961461895,0.016858318579320106,80,0,40,0.00011088420490632164,0.00022176840981264327
final_visibility_coverage,pb_nbv,120,True,0.039976503600793224,0.023262878678245492,0.05914143001284965,97,2,21,2.927097709830219e-13,8.781293129490658e-13
visibility_coverage_auc,actnerf,120,True,0.007593938575005004,0.0011215312632207894,0.014199566718264793,88,0,32,7.525174102347379e-06,7.525174102347379e-06
visibility_coverage_auc,fixed,120,True,0.026721499822549115,0.015361310709317504,0.03958947760684545,92,0,28,1.4735598718753953e-08,2.9471197437507906e-08
visibility_coverage_auc,pb_nbv,120,True,0.03856056915757437,0.022703140677365636,0.0570295983939679,100,2,18,2.5965046040455125e-13,7.789513812136538e-13
recall@5_auc,actnerf,120,True,0.05506785185185183,0.040415034953703695,0.06781959583333332,106,1,13,9.892050148719969e-15,9.892050148719969e-15
recall@5_auc,fixed,120,True,0.16168783333333334,0.14822759861111112,0.1731156027777778,116,0,4,3.046785544705844e-19,6.093571089411688e-19
recall@5_auc,pb_nbv,120,True,0.2209207222222222,0.19512739652777777,0.2460250673611111,112,2,6,1.000430667269984e-19,3.001292001809952e-19
f@5_auc,actnerf,120,True,0.032266165009802346,0.022575347375050594,0.040375056968356825,106,1,13,8.72728686129427e-15,8.72728686129427e-15
f@5_auc,fixed,120,True,0.10393438683962565,0.09529078592868281,0.1115297886853305,117,0,3,1.2239136922946296e-18,2.4478273845892592e-18
f@5_auc,pb_nbv,120,True,0.15120761030267185,0.13256840461930267,0.16965557406643744,112,2,6,1.5586382387010141e-19,4.675914716103043e-19
selected_gain_f@5_per_action,actnerf,120,True,0.003267857901747033,0.0009601349700975603,0.005259682405534676,100,1,19,7.244811150826845e-11,7.244811150826845e-11
selected_gain_f@5_per_action,fixed,120,True,0.00826066714900993,0.006186584745479808,0.01005700805663468,113,0,7,5.863554918976408e-15,1.1727109837952817e-14
selected_gain_f@5_per_action,pb_nbv,120,True,0.026360689098723723,0.02173757736965807,0.031040892135928044,106,4,10,9.822814520830693e-18,2.946844356249208e-17
score_gain_correlation,actnerf,120,True,0.3103053705733424,0.23083875070826282,0.38221492275954605,100,0,20,1.0079354631179545e-11,1.0079354631179545e-11
score_gain_correlation,pb_nbv,120,True,0.8284824560484366,0.7331787005338974,0.9229181662417405,112,0,8,5.737952873166731e-20,1.1475905746333462e-19
oracle_regret_f@5,actnerf,120,True,0.022942286818997217,0.016465948727466168,0.028537433143230727,107,1,12,4.181638819953765e-15,4.181638819953765e-15
oracle_regret_f@5,fixed,120,True,0.07188146523120208,0.06589923193648035,0.07698468511247096,116,0,4,7.307392015897926e-19,1.4614784031795851e-18
oracle_regret_f@5,pb_nbv,120,True,0.09878604891394126,0.08572427580273775,0.11163243234426402,113,2,5,2.8742415526314754e-19,8.622724657894426e-19
oracle_action_accuracy,actnerf,120,True,0.25722222222222224,0.20666666666666667,0.3055555555555556,94,7,19,2.5142868421806386e-14,2.5142868421806386e-14
oracle_action_accuracy,fixed,120,True,0.39,0.3483333333333334,0.4316666666666667,109,7,4,7.406422988550511e-19,1.4812845977101023e-18
oracle_action_accuracy,pb_nbv,120,True,0.48833333333333334,0.43833333333333335,0.5383333333333334,110,8,2,4.796141827777692e-20,1.4388425483333076e-19
planning_time_s,actnerf,120,True,1.976656110632001,1.9571369555548301,1.9957642631027315,120,0,0,1.9719517121524354e-21,5.915855136457306e-21
planning_time_s,fixed,120,True,-0.2614115538002322,-0.28606444238616124,-0.23753773853283594,0,0,120,1.9719517121524354e-21,5.915855136457306e-21
planning_time_s,pb_nbv,120,True,0.12963744839327168,0.11193189687816903,0.14777338553662409,111,0,9,1.3106360934483272e-17,1.3106360934483272e-17
