planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
actnerf,Bowl,0,0,0.32421875,0.18125,59.918170182673784,93.8449239107501
actnerf,Bowl,0,1,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,Bowl,0,2,0.26953125,0.19375,57.01393895143315,91.22739782396064
actnerf,Bowl,1,0,0.1796875,0.114453125,32.33423754356509,46.943447876829815
actnerf,Bowl,1,1,0.35546875,0.2140625,68.50892084730572,95.24110069651123
actnerf,Bowl,1,2,0.2578125,0.187109375,45.35796546899303,76.7163546946455
actnerf,Bowl,2,0,0.34765625,0.197265625,60.40541654255871,90.90246893113803
actnerf,Bowl,2,1,0.34765625,0.215234375,66.68117601206744,100.7980791283806
actnerf,Bowl,2,2,0.39453125,0.243359375,73.35705899100388,102.91637152735031
actnerf,Bowl,3,0,0.26171875,0.158203125,43.60007072463632,72.40846755454677
actnerf,Bowl,3,1,0.328125,0.20390625,66.6811760116552,100.79807912810578
actnerf,Bowl,3,2,0.25,0.184375,38.2778799476631,67.14055995378058
actnerf,Bowl,4,0,0.25390625,0.19921875,50.70407072632357,82.81603536314522
actnerf,Bowl,4,1,0.32421875,0.20546875,52.388209449742234,85.75744449911386
actnerf,Bowl,4,2,0.1953125,0.169921875,42.59210608809458,74.70407072532849
actnerf,Bowl,5,0,0.26953125,0.211328125,52.28499157497024,91.76649184172646
actnerf,Bowl,5,1,0.33984375,0.192578125,62.07522851089086,93.47358436838687
actnerf,Bowl,5,2,0.28515625,0.204296875,53.74407072580967,89.43424012760941
actnerf,Bowl,6,0,0.28125,0.15859375,57.0139389526699,97.57566677511069
actnerf,Bowl,6,1,0.27734375,0.216015625,33.45607072799777,81.78136869700295
actnerf,Bowl,6,2,0.34375,0.2359375,44.608035362827096,100.04267845407892
actnerf,Bowl,7,0,0.265625,0.194921875,53.94502577510283,88.55745020127321
actnerf,Bowl,7,1,0.328125,0.223828125,54.75203536400043,88.64818577478354
actnerf,Bowl,7,2,0.2421875,0.192578125,50.70407072467454,82.81603536232072
actnerf,Bowl,8,0,0.359375,0.220703125,55.25695597495144,93.33741394616513
actnerf,Bowl,8,1,0.359375,0.220703125,55.25695597495144,93.33741394616513
actnerf,Bowl,8,2,0.38671875,0.22421875,74.58892084710241,101.18786601835177
actnerf,Bowl,9,0,0.27734375,0.21328125,53.74407072704643,78.62310573901318
actnerf,Bowl,9,1,0.32421875,0.19375,44.608035364476095,77.49125867715279
actnerf,Bowl,9,2,0.328125,0.212109375,65.12590358924987,94.88260569594533
actnerf,Bowl,10,0,0.23046875,0.160546875,43.24922468367982,82.5822680422135
actnerf,Bowl,10,1,0.26171875,0.192578125,53.74407072663418,89.43424012815909
actnerf,Bowl,10,2,0.21875,0.17109375,24.82145329504609,53.00545287895095
actnerf,Bowl,11,0,0.25390625,0.183203125,42.69532396698908,77.30818966614864
actnerf,Bowl,11,1,0.21875,0.15390625,43.24922468244306,82.5822680420761
actnerf,Bowl,11,2,0.31640625,0.211328125,53.52425085090764,93.35076835470385
actnerf,Bowl,12,0,0.2578125,0.174609375,42.140991574209174,67.64889679911984
actnerf,Bowl,12,1,0.20703125,0.146875,33.936035212888285,67.31907593065229
actnerf,Bowl,12,2,0.2890625,0.188671875,47.472062233434634,85.4116566537897
