metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,ray_gpis_uncertainty_only,64,True,-0.006682812500000012,-0.014513033854166685,0.0006163020833333169,18,18,28,0.11123594842538864,0.11123594842538864
final_f@5,ray_gpis_uncertainty_only,64,True,-0.003659409873797606,-0.007658706346544925,3.8360175566731365e-05,18,18,28,0.07661356567996336,0.07661356567996336
final_chamfer_mm,ray_gpis_uncertainty_only,64,True,-0.04160304888500832,-0.09175382438115776,0.008364261157112194,17,18,29,0.1137474996142771,0.1137474996142771
final_visibility_coverage,ray_gpis_uncertainty_only,64,True,0.002540843485755581,-0.0006914605749917993,0.007572254989247318,22,19,23,0.6226416352967021,0.6226416352967021
visibility_coverage_auc,ray_gpis_uncertainty_only,64,True,0.0006945052718120924,-0.00016168906849277584,0.0016487773136021654,25,19,20,0.23847100933636511,0.23847100933636511
recall@5_auc,ray_gpis_uncertainty_only,64,True,-0.0033579687499999938,-0.008589738281249997,0.0016795950520833351,17,18,29,0.055344132321863526,0.055344132321863526
f@5_auc,ray_gpis_uncertainty_only,64,True,-0.0022206083022922006,-0.005262500015591285,0.0006272765510586653,18,18,28,0.06286926344824906,0.06286926344824906
selected_gain_f@5_per_action,ray_gpis_uncertainty_only,64,True,-0.0007318819747595212,-0.0014954976772965675,7.855373468705006e-07,18,18,28,0.07661356567996336,0.07661356567996336
score_gain_correlation,ray_gpis_uncertainty_only,64,True,-0.021551468656287886,-0.08059296142332377,0.03644068319266456,28,5,31,0.5483709397664561,0.5483709397664561
oracle_regret_f@5,ray_gpis_uncertainty_only,64,True,-0.0014140368429345542,-0.003123043102315055,0.0002248152319418006,19,18,27,0.09705658748382007,0.09705658748382007
oracle_action_accuracy,ray_gpis_uncertainty_only,64,True,-0.046875,-0.09687499999999999,0.0,12,31,21,0.08306359779089689,0.08306359779089689
consecutive_score_map_correlation,ray_gpis_uncertainty_only,64,True,-0.2671295109256292,-0.3003748980059097,-0.23479716421658617,1,0,63,3.696686092064686e-12,3.696686092064686e-12
planning_time_s,ray_gpis_uncertainty_only,64,True,-0.000731057287748629,-0.006926390182952677,0.005550347408429839,25,0,39,0.03878705106907489,0.03878705106907489
