planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
ray_gpis_uncertainty_only,green_Pepper,19,0,0,0.3601,0.5295198882435115,0.3601,0.02392820271246222,16.310058534145355
ray_gpis_uncertainty_only,green_Pepper,19,0,1,0.5925333333333334,0.7195691718035039,0.5925333333333334,0.04930751563173948,7.690146565437317
ray_gpis_uncertainty_only,green_Pepper,19,0,2,0.8402333333333334,0.8879506785703015,0.8402333333333334,0.0689532695984925,4.729868844151497
ray_gpis_uncertainty_only,green_Pepper,19,0,3,0.9433333333333334,0.9501983206862337,0.9433333333333334,0.09390709463845097,3.7537175230681896
ray_gpis_uncertainty_only,green_Pepper,19,0,4,0.9591666666666666,0.9626707184070686,0.9591666666666666,0.11832378124649212,3.4031698014587164
ray_gpis_uncertainty_only,green_Pepper,19,0,5,0.9867666666666667,0.9793452923235763,0.9867666666666667,0.14203771146170133,3.024277277290821
ray_gpis_uncertainty_only,green_Pepper,21,0,0,0.4836666666666667,0.6519883172320827,0.4836666666666667,0.026123420185650018,11.136751621961594
ray_gpis_uncertainty_only,green_Pepper,21,0,1,0.6977,0.7859331336671944,0.6977,0.04730607855121394,6.618267856538296
ray_gpis_uncertainty_only,green_Pepper,21,0,2,0.9069666666666667,0.9205065993084789,0.9069666666666667,0.07298756807823539,4.393758252263069
ray_gpis_uncertainty_only,green_Pepper,21,0,3,0.9196,0.9349604191521085,0.9196,0.09631312890961308,3.9849006570875645
ray_gpis_uncertainty_only,green_Pepper,21,0,4,0.9448,0.9527359126110122,0.9448,0.12024814879884428,3.583691082894802
ray_gpis_uncertainty_only,green_Pepper,21,0,5,0.9737666666666667,0.9702355942342646,0.9737666666666667,0.14160056719366013,3.2362635247409344
ray_gpis_uncertainty_only,green_Pepper,20,0,0,0.36096666666666666,0.5304562933209238,0.36096666666666666,0.024955593592602177,13.133681379258633
ray_gpis_uncertainty_only,green_Pepper,20,0,1,0.587,0.6954936171276785,0.587,0.050265952628941755,7.822465151548386
ray_gpis_uncertainty_only,green_Pepper,20,0,2,0.8195,0.8604437687649747,0.8195,0.07583975041167662,4.9223885871469975
ray_gpis_uncertainty_only,green_Pepper,20,0,3,0.9767333333333333,0.9526408072329959,0.9767333333333333,0.10240161143692078,3.6651012487709522
ray_gpis_uncertainty_only,green_Pepper,20,0,4,0.9905333333333334,0.966347973599516,0.9905333333333334,0.1261411486000867,3.278214717283845
ray_gpis_uncertainty_only,green_Pepper,20,0,5,0.9933,0.9719789279372338,0.9933,0.1469212532409521,3.0964957550168037
ray_gpis_uncertainty_only,green_Pepper,17,0,0,0.3737333333333333,0.544113365039309,0.3737333333333333,0.021868826817508857,14.572410844266415
ray_gpis_uncertainty_only,green_Pepper,17,0,1,0.5769666666666666,0.7142104589443977,0.5769666666666666,0.0479362993251562,8.959907107055187
ray_gpis_uncertainty_only,green_Pepper,17,0,2,0.8117333333333333,0.8789276565970734,0.8117333333333333,0.07157143935078698,4.972483962774277
ray_gpis_uncertainty_only,green_Pepper,17,0,3,0.9350333333333334,0.9517485007526693,0.9350333333333334,0.09620446966091831,3.903475124388933
ray_gpis_uncertainty_only,green_Pepper,17,0,4,0.9660333333333333,0.9702246797244074,0.9660333333333333,0.11416494573676476,3.526996122673154
ray_gpis_uncertainty_only,green_Pepper,17,0,5,0.9847666666666667,0.9820206678866857,0.9847666666666667,0.1387749661801813,3.1532179564237595
ray_gpis_uncertainty_only,green_Pepper,22,0,0,0.4603333333333333,0.6304496690253367,0.4603333333333333,0.026982228175366524,11.463665403425694
ray_gpis_uncertainty_only,green_Pepper,22,0,1,0.5291666666666667,0.6236027551071709,0.5291666666666667,0.051837884532620115,9.322606027126312
ray_gpis_uncertainty_only,green_Pepper,22,0,2,0.7984666666666667,0.8143648989945954,0.7984666666666667,0.07398553046780719,5.568664520978928
ray_gpis_uncertainty_only,green_Pepper,22,0,3,0.8851,0.8783611493309832,0.8851,0.09812568612460684,4.533657804131508
ray_gpis_uncertainty_only,green_Pepper,22,0,4,0.9874,0.9392748746642424,0.9874,0.12025615699394515,3.630114020779729
