scenario,planner,object,initial_pose_seed,f@5_auc,recall@5_auc,target_recall@5_auc,final_target_recall@5,target_surface_point_count,target_first_25_step,post_outlier_oracle_regret,post_outlier_f@5_auc,post_outlier_unique_gain,ghost_ratio,miss_direction_selection_rate,planning_time_s,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,cuda_steps,states,actions,gain_consistency_error,scheduled_outlier_events
ghost,ray_gpis,Bowl,15,0.7700955829586305,0.6730533333333334,nan,nan,0,6,0.030191876290396852,0.8197005297196303,0.058291666666666686,0.2383177570093458,1.0,0.3902157855947735,1.0,2.4999999999987725,1.3333333333327722,5,6,5,0.0,1
ghost,ray_gpis,Bowl,16,0.8162669136500259,0.70969,nan,nan,0,6,0.03223595008357624,0.8462902208392213,0.06883333333333333,0.10650887573964497,1.0,0.39067724460037423,1.0,2.4999999999983835,1.333333333332475,5,6,5,0.0,1
ghost,ray_gpis,Bowl,17,0.7178426588458043,0.6057433333333334,nan,nan,0,6,0.07275144183300769,0.7505809304594377,0.046725,0.3607305936073059,1.0,0.3858019843988586,1.0,2.4999999999987605,1.3333333333326662,5,6,5,0.0,1
ghost,ray_gpis,Bowl,18,0.7062607709643254,0.58214,nan,nan,0,6,0.13150396235438727,0.7204812842459132,0.02007500000000001,0.33620689655172414,1.0,0.39924043720238844,1.0,2.4999999999989964,1.333333333332557,5,6,5,0.0,1
ghost,ray_gpis,Bowl,19,0.8414851301040027,0.75452,nan,nan,0,6,0.03713308700215423,0.8881333062340225,0.05639166666666667,0.07983193277310924,1.0,0.3948229159956099,1.0,2.499999999997273,1.3333333333326463,5,6,5,0.0,1
ghost,ray_gpis,Bowl,20,0.8585479714647658,0.7655933333333333,nan,nan,0,6,0.04223546849848894,0.8968486292202814,0.04669166666666666,0.01762114537444934,1.0,0.3964164946024539,1.0,2.4999999999988476,1.3333333333327426,5,6,5,0.0,1
ghost,ray_gpis,Bowl,21,0.8510168962660041,0.8033233333333334,nan,nan,0,6,0.006921177037976206,0.8935562363109921,0.06767499999999999,0.2558139534883721,1.0,0.38320237059670037,1.0,2.4999999999982996,1.333333333331739,5,6,5,0.0,1
ghost,ray_gpis,Bowl,22,0.6750320339286009,0.5407399999999999,nan,nan,0,6,0.06374826527306515,0.7103277324038626,0.06995,0.3131868131868132,1.0,0.26783748060115614,1.0,2.499999999998402,1.3333333333328283,5,6,5,0.0,1
ghost,ray_gpis,Corner,15,0.8724749877114544,0.8129466666666666,nan,nan,0,6,0.019345912499301732,0.9070392149686792,0.05564999999999998,0.15789473684210525,0.4,0.24424665040278343,1.0,2.499999999998987,1.3333333333327582,5,6,5,0.0,1
ghost,ray_gpis,Corner,16,0.8315343296762052,0.81936,nan,nan,0,6,8.8132825756565e-05,0.8813443335328859,0.11858333333333335,0.44711538461538464,0.6,0.2430786182085285,1.0,2.499999999998534,1.3333333333325146,5,6,5,0.0,1
ghost,ray_gpis,Corner,17,0.8251213273920461,0.7819499999999999,nan,nan,0,6,0.005347152935466032,0.8691009094763911,0.10584166666666667,0.3446601941747573,0.8,0.24761709939921275,1.0,2.4999999999986016,1.333333333332385,5,6,5,0.0,1
ghost,ray_gpis,Corner,18,0.827571165488196,0.7615566666666667,nan,nan,0,6,0.030036598153100863,0.8692231452930037,0.09133333333333332,0.24867724867724866,0.6,0.2414981284062378,1.0,2.499999999998885,1.3333333333319435,5,6,5,0.0,1
ghost,ray_gpis,Corner,19,0.7548697338999903,0.6744300000000001,nan,nan,0,6,0.018045223571827806,0.8050978275278429,0.12468333333333334,0.35978835978835977,1.0,0.2483749806007836,1.0,2.4999999999983524,1.3333333333325437,5,6,5,0.0,1
ghost,ray_gpis,Corner,20,0.8519255603826288,0.7847800000000001,nan,nan,0,6,0.004195798647071675,0.9008218220686575,0.09643333333333334,0.14772727272727273,0.8,0.23510373499884735,1.0,2.499999999998154,1.333333333332282,5,6,5,0.0,1
ghost,ray_gpis,Corner,21,0.8257767438850065,0.7856266666666667,nan,nan,0,6,0.007821785793145852,0.8838938046731433,0.10573333333333332,0.33695652173913043,0.4,0.24146582799730823,1.0,2.4999999999988183,1.3333333333323345,5,6,5,0.0,1
ghost,ray_gpis,Corner,22,0.7916713432919271,0.7292266666666667,nan,nan,0,6,0.029048361559361385,0.8406916305066517,0.08634166666666668,0.3723404255319149,0.6,0.2364604419999523,1.0,2.499999999998417,1.3333333333321888,5,6,5,0.0,1
ghost,ray_gpis,Cross,15,0.8491199954935705,0.7993766666666666,nan,nan,0,6,4.725907746208624e-05,0.896446390278979,0.09749166666666667,0.22797927461139897,0.6,0.23490128440316765,1.0,2.499999999995239,1.3333333333328472,5,6,5,0.0,1
ghost,ray_gpis,Cross,16,0.7949576551570811,0.7650833333333333,nan,nan,0,6,0.0,0.8483939728491507,0.13008333333333333,0.5027322404371585,0.6,0.22624260899610818,1.0,2.4999999999984897,1.333333333332345,5,6,5,0.0,1
ghost,ray_gpis,Cross,17,0.7934661868857183,0.7101033333333334,nan,nan,0,6,0.0,0.8421370287021239,0.11915,0.2303370786516854,1.0,0.2240321935969405,1.0,2.4999999999976894,1.3333333333316901,5,6,5,0.0,1
ghost,ray_gpis,Cross,18,0.8279167589479307,0.8019433333333333,nan,nan,0,6,0.0018081377656367081,0.8780276690749367,0.10869999999999999,0.4072164948453608,0.2,0.23178015340527053,1.0,2.499999999998582,1.3333333333320294,5,6,5,0.0,1
ghost,ray_gpis,Cross,19,0.802434988596865,0.7618266666666667,nan,nan,0,6,0.000468421054207524,0.8598608562863197,0.11995,0.3901098901098901,0.6,0.22053765519813168,1.0,2.499999999998641,1.333333333332554,5,6,5,0.0,1
ghost,ray_gpis,Cross,20,0.8136561718660525,0.7785166666666667,nan,nan,0,6,0.0007967921373101261,0.8739181303772208,0.132,0.4405594405594406,0.6,0.2285766363987932,1.0,2.4999999999974682,1.3333333333325896,5,6,5,0.0,1
ghost,ray_gpis,Cross,21,0.8162786618722769,0.7802966666666667,nan,nan,0,6,0.005583152836475314,0.8653950914386472,0.10250833333333331,0.4539877300613497,0.6,0.23651802679814865,1.0,2.499999999998064,1.3333333333323467,5,6,5,0.0,1
ghost,ray_gpis,Cross,22,0.8247435070098931,0.7831933333333334,nan,nan,0,6,0.00486775597682218,0.8787527171593476,0.10933333333333334,0.34285714285714286,0.8,0.22381315160018858,1.0,2.4999999999982863,1.333333333329666,5,6,5,0.0,1
ghost,ray_gpis,Cube,15,0.7859545014571264,0.7480133333333333,nan,nan,0,6,0.044734474460389945,0.8164093578575737,0.07142499999999999,0.6047904191616766,0.8,0.23757290060748346,1.0,2.499999999998091,1.3333333333327058,5,6,5,0.0,1
ghost,ray_gpis,Cube,16,0.8709763393887648,0.86252,nan,nan,0,6,0.003955167441166363,0.9136691627229879,0.08843333333333334,0.41509433962264153,0.4,0.23155209839751478,1.0,2.4999999999980815,1.3333333333325552,5,6,5,0.0,1
ghost,ray_gpis,Cube,17,0.8340163598836465,0.8086166666666668,nan,nan,0,6,0.006297034874758856,0.8872369569942185,0.10648333333333332,0.38219895287958117,0.6,0.24384150560654233,1.0,2.499999999997463,1.3333333333303048,5,6,5,0.0,1
ghost,ray_gpis,Cube,18,0.8623968550315446,0.81314,nan,nan,0,6,0.002542467128377912,0.9122754734111663,0.10189999999999999,0.2138364779874214,0.8,0.23820237320032903,1.0,2.4999999999991025,1.3333333333324395,5,6,5,0.0,1
ghost,ray_gpis,Cube,19,0.7753548903674674,0.7050433333333334,nan,nan,0,6,0.004301446584970586,0.8336432036335154,0.132925,0.32941176470588235,0.8,0.22884986219578424,1.0,2.499999999997636,1.3333333333323965,5,6,5,0.0,1
ghost,ray_gpis,Cube,20,0.8722853669291993,0.8705999999999999,nan,nan,0,6,0.0004714078172649572,0.9170778275969146,0.06948333333333331,0.3397129186602871,0.4,0.22783222659491004,1.0,2.4999999999937317,1.333333333331907,5,6,5,0.0,1
ghost,ray_gpis,Cube,21,0.8246059894552857,0.7870833333333334,nan,nan,0,6,0.0,0.8722674654094912,0.10490000000000002,0.35751295336787564,0.8,0.2304628285986837,1.0,2.4999999999982347,1.333333333332066,5,6,5,0.0,1
ghost,ray_gpis,Cube,22,0.7634026113002272,0.69245,nan,nan,0,6,0.024828614420490558,0.8191513927892538,0.10163333333333333,0.35051546391752575,0.8,0.2311723962018732,1.0,2.4999999999987796,1.333333333331879,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,15,0.8520169312830657,0.7955333333333334,nan,nan,0,6,0.021062555839932606,0.893626556493451,0.06456666666666666,0.21649484536082475,0.4,0.23243924679991324,1.0,2.4999999999978817,1.3333333333327622,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,16,0.8519413260895202,0.81706,nan,nan,0,6,0.0004307377246339783,0.8996081091558428,0.10126666666666667,0.2916666666666667,0.6,0.23821886780206114,1.0,2.499999999997439,1.3333333333322321,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,17,0.8274834781640724,0.7957266666666667,nan,nan,0,6,0.0015958872916830291,0.8869072822822069,0.12144999999999999,0.34972677595628415,0.8,0.2336057098058518,1.0,2.499999999999052,1.333333333331698,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,18,0.7683407247591466,0.7497733333333334,nan,nan,0,6,0.021620647234448398,0.8135169057587911,0.10459166666666667,0.6836158192090396,0.8,0.23737295999599156,1.0,2.49999999999917,1.3333333333316806,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,19,0.8034139916649343,0.7635033333333334,nan,nan,0,6,0.0024111063341204497,0.8658830752171705,0.13495000000000001,0.37790697674418605,0.6,0.2303680176002672,1.0,2.4999999999970517,1.3333333333326467,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,20,0.8415932845279738,0.7959799999999999,nan,nan,0,6,0.01205157306444074,0.8911300995067959,0.09156666666666666,0.2708333333333333,0.8,0.23834255319670775,1.0,2.4999999999934857,1.3333333333327162,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,21,0.8167172490342487,0.7684,nan,nan,0,6,0.0043841463913597,0.855307679796537,0.08013333333333333,0.43558282208588955,0.6,0.24220542359398678,1.0,2.4999999999987907,1.3333333333322273,5,6,5,0.0,1
ghost,ray_gpis,Cylinder,22,0.838963373971988,0.8041166666666667,nan,nan,0,6,0.0011069972904774183,0.8966154072377539,0.10380833333333334,0.3149171270718232,0.6,0.2374444605986355,1.0,2.4999999999985847,1.3333333333327528,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,15,0.8178955733834326,0.7561599999999999,nan,nan,0,6,0.004944858429673987,0.8684598702858332,0.12303333333333333,0.2716049382716049,0.4,0.23907469380064866,1.0,2.499999999998139,1.3333333333326784,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,16,0.8322087919513164,0.8013000000000001,nan,nan,0,6,0.0021685921405323882,0.8910082783389299,0.11089166666666667,0.3148148148148148,0.4,0.25327283859369343,1.0,2.4999999999986238,1.3333333333328,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,17,0.8450596219455679,0.7939166666666667,nan,nan,0,6,0.0072701833186863685,0.8915815687502712,0.06238333333333332,0.21333333333333335,0.4,0.24408896439999808,1.0,2.4999999999986753,1.3333333333326893,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,18,0.8383187758981393,0.8301066666666668,nan,nan,0,6,0.0012425559330427882,0.8844732572627734,0.10370000000000001,0.5344827586206896,0.4,0.24573077920358627,1.0,2.4999999999985616,1.3333333333328041,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,19,0.8389127564298837,0.8124866666666668,nan,nan,0,6,0.004204637399233158,0.8931338764630745,0.09724166666666664,0.3177570093457944,0.2,0.23122109000105412,1.0,2.4999999999977223,1.333333333331906,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,20,0.8115310502073327,0.7516700000000001,nan,nan,0,6,0.008974359838989893,0.8619983881165374,0.09284999999999999,0.27601809954751133,1.0,0.25888821039698084,1.0,2.4999999999989204,1.3333333333327335,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,21,0.9051415286762795,0.85641,nan,nan,0,6,0.004749215246680455,0.9499855122857999,0.07634166666666667,0.08333333333333333,0.2,0.23363993840757757,1.0,2.499999999998405,1.3333333333323654,5,6,5,0.0,1
ghost,ray_gpis,L_Shaped,22,0.8350147071372458,0.79253,nan,nan,0,6,0.0036242745823678035,0.8930001565775935,0.10297499999999998,0.24888888888888888,0.4,0.23885176060139202,1.0,2.4999999999986184,1.3333333333327386,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,15,0.7864533857495506,0.7514833333333334,nan,nan,0,6,0.015137787741891229,0.8298286586939425,0.09571666666666667,0.5343283582089552,1.0,0.5621101402008207,1.0,2.4999999999992215,1.3333333333322575,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,16,0.8217382259833329,0.8034000000000001,nan,nan,0,6,0.0008012643031552469,0.8841369415102392,0.11878333333333335,0.41379310344827586,0.4,0.5547278293961426,1.0,2.499999999997439,1.3333333333326052,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,17,0.8271723651183859,0.7898099999999999,nan,nan,0,6,0.000573454564777448,0.8701074441858081,0.10589166666666666,0.37962962962962965,0.6,0.5675994542019908,1.0,2.4999999999973683,1.3333333333325534,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,18,0.7600306119332305,0.66632,nan,nan,0,6,0.028960809157856843,0.8200903751102389,0.10860833333333335,0.24482758620689654,1.0,0.6008601309993538,1.0,2.499999999998841,1.3333333333323034,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,19,0.8373921483454376,0.80813,nan,nan,0,6,0.00020352763210607083,0.8852646803582629,0.10421666666666665,0.3688760806916426,0.6,0.5664115417952417,1.0,2.499999999999121,1.3333333333322426,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,20,0.8114869193415817,0.79237,nan,nan,0,6,0.0012252630675360088,0.8662423632271179,0.1290333333333333,0.4870967741935484,0.6,0.5593160813994473,1.0,2.499999999997272,1.3333333333321047,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,21,0.7420797181091396,0.6994466666666668,nan,nan,0,6,0.00419514136182747,0.8071437619808983,0.14395000000000002,0.5285285285285285,1.0,0.585270747996401,1.0,2.4999999999989755,1.3333333333325126,5,6,5,0.0,1
ghost,ray_gpis,Thin_Irregular,22,0.7824353532772588,0.72384,nan,nan,0,6,0.01752575732710604,0.8305353899795845,0.09634166666666666,0.44673539518900346,0.8,0.5614158646028955,1.0,2.4999999999976468,1.3333333333325663,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,15,0.8018644354706757,0.73299,nan,nan,0,6,0.010745964681137948,0.8571841848234589,0.12260833333333333,0.2702702702702703,1.0,0.23895267219922972,1.0,2.4999999999985545,1.3333333333324278,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,16,0.7979058332232541,0.7791866666666666,nan,nan,0,6,0.001919732455797435,0.8541598349931008,0.11135833333333334,0.495,0.2,0.22347641480446329,1.0,2.499999999998698,1.3333333333325594,5,6,5,0.0,1
ghost,ray_gpis,green_Pepper,17,0.8554222851923811,0.7934000000000001,nan,nan,0,6,0.0005334432598196881,0.911987378492513,0.10094166666666668,0.11351351351351352,0.6,0.2331344169971999,1.0,2.499999999998345,1.3333333333324382,5,6,5,0.0,1
