metric,baseline,pairs,positive_means_ray_better,mean_improvement,ci95_low,ci95_high,wins,ties,losses,p_two_sided,p_holm
final_recall@5,er_gpis,64,True,-0.0005682291666666648,-0.018389062500000004,0.013408958333333327,29,14,21,0.13549845162767582,0.40649535488302746
final_recall@5,pose_novelty,64,True,-0.006210416666666661,-0.024177617187499997,0.009749062499999999,34,4,26,0.470640630974582,0.941281261949164
final_recall@5,ray_gpis_hit_only,64,True,-0.004431770833333329,-0.02185837239583332,0.01081128906249999,25,21,18,0.9761677595085985,0.9761677595085985
final_f@5,er_gpis,64,True,-0.001869551037895838,-0.013451669368736967,0.007298106201385862,29,14,21,0.13549845162767582,0.40649535488302746
final_f@5,pose_novelty,64,True,-0.005217958758774392,-0.01713518436151717,0.004553678027332356,34,4,26,0.5029177955295423,1.0
final_f@5,ray_gpis_hit_only,64,True,-0.003725313546763474,-0.015541693622026901,0.006329219662771162,25,21,18,0.9380881233112177,1.0
final_chamfer_mm,er_gpis,64,True,-0.0002728011168073863,-0.12534475072243367,0.10117131396327743,28,14,22,0.0932040847757225,0.2796122543271675
final_chamfer_mm,pose_novelty,64,True,-0.05703210263163783,-0.190677174123266,0.054103207367006634,32,4,28,0.6218519187915732,1.0
final_chamfer_mm,ray_gpis_hit_only,64,True,-0.05072691055829637,-0.17803046857807203,0.058270888621336774,23,21,20,0.9001466806901135,1.0
final_visibility_coverage,er_gpis,64,True,-0.0036219975470695148,-0.011633556436658405,0.002466053703721648,26,15,23,0.38465097602651,0.76930195205302
final_visibility_coverage,pose_novelty,64,True,-0.014453231916195096,-0.026431014624456933,-0.004812312946415462,22,7,35,0.05551766951539325,0.16655300854617974
final_visibility_coverage,ray_gpis_hit_only,64,True,-0.008446855905623288,-0.019581583034206367,0.00011235465184405131,25,21,18,0.8343335793290407,0.8343335793290407
visibility_coverage_auc,er_gpis,64,True,0.0009288725281000046,-0.004929604483276522,0.007676919857614004,25,15,24,0.28994959000557685,0.7107552163386117
visibility_coverage_auc,pose_novelty,64,True,-0.006058741379620732,-0.012536854607750447,-0.001130985211738662,26,6,32,0.38374642763859135,0.7107552163386117
visibility_coverage_auc,ray_gpis_hit_only,64,True,-0.002331242803416197,-0.00854389979808309,0.0021893767719297456,26,21,17,0.2369184054462039,0.7107552163386117
recall@5_auc,er_gpis,64,True,0.004238906249999999,-0.005171389322916667,0.012458408854166658,36,14,14,0.0007261627070427323,0.002178488121128197
recall@5_auc,pose_novelty,64,True,-0.006169791666666662,-0.016412139322916658,0.0020732890625000163,37,4,23,0.4096557792251261,0.4096557792251261
recall@5_auc,ray_gpis_hit_only,64,True,0.016538281250000005,0.004305013020833341,0.02817851953125,29,21,14,0.0014818707900303707,0.0029637415800607414
f@5_auc,er_gpis,64,True,0.0028323179474607375,-0.0040668249731932,0.008964831747130229,36,14,14,0.0007549339759211904,0.002264801927763571
f@5_auc,pose_novelty,64,True,-0.005306479412504776,-0.013231183779040812,0.0007867816250689435,36,4,24,0.4439103494290324,0.4439103494290324
f@5_auc,ray_gpis_hit_only,64,True,0.012515702755814208,0.00350347842097418,0.02144511487055015,30,21,13,0.0011183552276179398,0.002264801927763571
selected_gain_f@5_per_action,er_gpis,64,True,-0.0003739102075791666,-0.0027428808303125163,0.001457837875231857,29,14,21,0.13549845162767582,0.40649535488302746
selected_gain_f@5_per_action,pose_novelty,64,True,-0.0010435917517548788,-0.0034190985524875793,0.0010174194857030807,34,4,26,0.5029177955295423,1.0
selected_gain_f@5_per_action,ray_gpis_hit_only,64,True,-0.000745062709352696,-0.0030746130339256903,0.0013126709210605153,25,21,18,0.9380881233112177,1.0
score_gain_correlation,er_gpis,64,True,0.06760617061317364,-0.0174939881604791,0.15041867061317363,37,8,19,0.10818201967411835,0.2163640393482367
score_gain_correlation,pose_novelty,64,True,0.06916867061317362,-0.04176882938682636,0.1703125,40,6,18,0.020615949564349426,0.06184784869304828
score_gain_correlation,ray_gpis_hit_only,64,True,0.03437500000000002,-0.046874999999999986,0.1125,28,18,18,0.19932208563912468,0.2163640393482367
oracle_regret_f@5,er_gpis,64,True,0.0012808442549696042,-0.003066355196999506,0.004750259671129691,35,14,15,0.0009871220775430345,0.0021664303515080974
oracle_regret_f@5,pose_novelty,64,True,-0.003486878334188432,-0.008755022507153093,0.0007511754931431162,38,4,22,0.37306117775277714,0.37306117775277714
