planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
er_gpis,Bowl,8,0.7464236654295296,0.6200570833333334,0.9072381883769536,0.30114254787912537,0.225,0.021915294050368,0.676096210481662
er_gpis,Corner,8,0.7870260995768661,0.6817679166666667,0.9555988519812734,0.04720313674933168,0.5375,0.007165383457745372,0.5700181283078426
er_gpis,Cross,8,0.7886041551776577,0.6843733333333333,0.959511836887492,0.07659920854626254,0.4375,0.005003826428109481,0.5822144458268099
er_gpis,Cube,8,0.783911715726221,0.6767054166666666,0.9635615125818949,0.08849246726401025,0.525,0.00901375892822061,0.5615687228198671
er_gpis,Cylinder,8,0.7907746036233034,0.6876945833333333,0.9565145851361804,0.15231397855263729,0.5375,0.006937164228072196,0.5821072340916966
er_gpis,L_Shaped,8,0.7907488152323381,0.6863725,0.9467569589415583,0.08951641162552089,0.3125,0.01532123843720045,0.6891244376215951
er_gpis,Thin_Irregular,8,0.755074927495953,0.6409366666666667,0.9449788206208533,0.8481959388075351,0.41250000000000003,0.009661085464106057,0.5707751691233419
er_gpis,green_Pepper,8,0.7916707408559431,0.6863441666666668,0.9527179983684927,0.08540779496570161,0.3875,0.008170957550879644,0.5172693980315861
pose_novelty,Bowl,8,0.766201140454003,0.6463216666666667,0.9235395262255826,0.3284132652466789,0.4375,0.007404565263505428,0.0021024672521949925
pose_novelty,Corner,8,0.7894560259988064,0.6848816666666666,0.9588209126589583,0.04722738986108352,0.4375,0.00588082898013955,-0.0742823917430549
pose_novelty,Cross,8,0.7916016901681537,0.6892691666666667,0.9571264524516473,0.07654491231375427,0.4125,0.002215376304172678,-0.03616886781169033
pose_novelty,Cube,8,0.7912312253181362,0.6845029166666666,0.9596384073117097,0.08889771657465456,0.3375,0.007653329940686704,-0.0014070037238717858
pose_novelty,Cylinder,8,0.8018779596977739,0.7027954166666668,0.9621205035808871,0.15794718462050136,0.4875,0.003158395571802522,-0.03372980258031893
pose_novelty,L_Shaped,8,0.8060225597835522,0.7065070833333333,0.9510482130655002,0.0906523773994215,0.35,0.005779494559316301,-0.040258061292850277
pose_novelty,Thin_Irregular,8,0.7607386927488102,0.6455725,0.9464918575382061,0.8696291544076526,0.475,0.006316692746746849,-0.030603611976585107
pose_novelty,green_Pepper,8,0.7922158078283006,0.6876708333333333,0.9548801418292354,0.08546039522814386,0.425,0.0066382444650674895,-0.05775249007449464
ray_gpis,Bowl,8,0.7177497471922181,0.5807862500000001,0.846957820285873,0.2794666682187419,-0.1,0.04119174269377687,0.7499771655978866
ray_gpis,Corner,8,0.7933894434935392,0.6918387500000001,0.9613430226383521,0.04740289054052155,0.675,0.0037685814492584707,0.3751959178607589
ray_gpis,Cross,8,0.7900549785491756,0.68692,0.9575961864455453,0.07664029375221632,0.6000000000000001,0.0038447381741830685,0.3499215379323554
ray_gpis,Cube,8,0.7962348302076876,0.69325,0.9641206481973918,0.08922024317397748,0.5875,0.005042758930428834,0.40211672817050237
ray_gpis,Cylinder,8,0.8016083669763507,0.7022179166666667,0.9609830228754803,0.15780199055535446,0.55,0.0020143027750201357,0.34270058277109106
ray_gpis,L_Shaped,8,0.7995205900054323,0.7007983333333334,0.9640250018934852,0.08997708789717876,0.5033493649053891,0.007261540243259917,0.2664491623997398
ray_gpis,Thin_Irregular,8,0.7625861799797757,0.648745,0.9508733186557138,0.870561153664293,0.5,0.00525346533561416,0.46950608184057013
ray_gpis,green_Pepper,8,0.7957491302933182,0.6936066666666667,0.96602332359969,0.0852321368126413,0.6,0.0045648249034035155,0.4156331001687428
ray_gpis_hit_only,Bowl,8,0.7042524152374773,0.5651937499999999,0.8799209817605711,0.29816679253588235,0.05,0.04169540172274588,0.5752378535906237
ray_gpis_hit_only,Corner,8,0.7857863018474001,0.6811733333333333,0.9593245329275364,0.04741202025532472,0.525,0.0070163463173147506,0.34797635922804926
ray_gpis_hit_only,Cross,8,0.7763940958604578,0.6685637500000001,0.9574252181842731,0.07646755812116618,0.5375000000000001,0.00905033639559739,0.2656712845969511
ray_gpis_hit_only,Cube,8,0.7830033487570578,0.6775841666666667,0.9644319828597828,0.08891083892824925,0.4625,0.01167157693552083,0.28600481692058083
ray_gpis_hit_only,Cylinder,8,0.7769488282864917,0.6696008333333334,0.9564927727072178,0.15423566819649187,0.45,0.014179989307023147,0.3130739027698811
ray_gpis_hit_only,L_Shaped,8,0.7788429583800023,0.6724879166666666,0.9657338188463671,0.08839570292909521,0.478349364905389,0.021205551969730056,0.30175384890155665
ray_gpis_hit_only,Thin_Irregular,8,0.7606278749880369,0.6460062500000001,0.956253741034657,0.8763108507095249,0.5625,0.007491789949082995,0.3880827707833175
ray_gpis_hit_only,green_Pepper,8,0.7909118212940602,0.6852466666666667,0.9621418046452344,0.0850529753665199,0.575,0.00846544026445397,0.35172641587576947
