planner,object,initial_pose_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
er_gpis,Bowl,15,0.34375,0.226953125,57.00970435424112,96.00502190430072
er_gpis,Bowl,16,0.2890625,0.18515625,40.83639241398136,67.05358359142237
er_gpis,Bowl,17,0.2890625,0.19765625,58.36127976754749,83.5027757938524
er_gpis,Bowl,18,0.25,0.14765625,50.79062893187753,75.8564303523664
er_gpis,Bowl,19,0.1796875,0.141796875,36.33297286683403,51.10473665932792
er_gpis,Bowl,20,0.23828125,0.191015625,46.07430235121437,65.2627389813525
er_gpis,Bowl,21,0.34375,0.20078125,76.88496431397296,100.79461841508954
er_gpis,Bowl,22,0.3828125,0.221875,69.83330817708388,99.7673866221923
er_gpis,Corner,15,0.390625,0.238671875,76.80957315995519,98.84496351239856
er_gpis,Corner,16,0.34375,0.22578125,51.72699847302478,93.33494966811409
er_gpis,Corner,17,0.359375,0.21640625,68.24295475221173,102.17753821812803
er_gpis,Corner,18,0.37890625,0.230859375,66.87787970124845,102.98736105343625
er_gpis,Corner,19,0.390625,0.230078125,73.70361109436892,104.1493007491001
er_gpis,Corner,20,0.34375,0.22734375,63.582665287916804,92.99395516411417
er_gpis,Corner,21,0.31640625,0.208984375,67.57091559428383,99.46033352093794
er_gpis,Corner,22,0.39453125,0.232421875,79.38814332040486,99.98631791690202
er_gpis,Cross,15,0.38671875,0.22890625,70.65065633284338,96.48827857698802
er_gpis,Cross,16,0.3359375,0.22265625,60.78408343449686,96.02162562640663
er_gpis,Cross,17,0.3984375,0.23515625,78.71100137848211,97.63975687570748
er_gpis,Cross,18,0.41015625,0.245703125,80.21198143358335,100.43767680766354
er_gpis,Cross,19,0.33203125,0.2171875,77.22828844612086,95.11512895775836
er_gpis,Cross,20,0.39453125,0.230859375,67.95846735824561,99.48525250013334
er_gpis,Cross,21,0.3359375,0.21328125,67.2339076285833,95.4404583817664
er_gpis,Cross,22,0.32421875,0.215234375,65.66888427081004,91.55461097096561
er_gpis,Cube,15,0.39453125,0.228125,80.03176382341344,100.37672465784426
