variant,object,initial_pose_seed,level,repeat,rotation_std_deg,translation_std_mm,score_map_correlation,action_flip,top_direction_deviation_deg,oracle_regret,selected_action,reference_action,device
ray_gpis,Cube,15,mild,0,1.5,0.75,0.5616402494850079,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,0,1.5,0.75,0.33968943121995876,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,1,1.5,0.75,0.5967741474021515,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,1,1.5,0.75,0.38678122617826954,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,2,1.5,0.75,0.6555740730144196,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,2,1.5,0.75,0.42926513504234376,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,3,1.5,0.75,0.6699545090409704,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,3,1.5,0.75,0.42260385671778433,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,4,1.5,0.75,0.6361424238956281,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,4,1.5,0.75,0.4375793945983062,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,5,1.5,0.75,0.6477111467154955,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,5,1.5,0.75,0.40162723163195235,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,6,1.5,0.75,0.6806756408789195,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,6,1.5,0.75,0.4295383669031814,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,7,1.5,0.75,0.6356624799725337,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,7,1.5,0.75,0.36587891966124964,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,8,1.5,0.75,0.6659232661936368,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,8,1.5,0.75,0.39041185053788047,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,9,1.5,0.75,0.611264734493019,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,9,1.5,0.75,0.3592569810025177,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,10,1.5,0.75,0.5822728313115129,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,10,1.5,0.75,0.3103878175783932,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,11,1.5,0.75,0.6654547665369649,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,11,1.5,0.75,0.4233212691691462,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,12,1.5,0.75,0.5657694838635843,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,12,1.5,0.75,0.3034919317921721,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,13,1.5,0.75,0.6468778610666055,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,13,1.5,0.75,0.3769884412909132,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,14,1.5,0.75,0.5683387216754405,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,14,1.5,0.75,0.3516751544975967,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,15,1.5,0.75,0.5966775864042114,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,15,1.5,0.75,0.37046449416342403,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,16,1.5,0.75,0.6444058995193407,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,16,1.5,0.75,0.34807378690775914,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,17,1.5,0.75,0.6516916056305789,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,17,1.5,0.75,0.41626945525291814,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,18,1.5,0.75,0.5631630521858547,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,18,1.5,0.75,0.3370300698100251,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,mild,19,1.5,0.75,0.6687206740672922,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis_pointwise,Cube,15,mild,19,1.5,0.75,0.44638790341039136,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
ray_gpis,Cube,15,moderate,0,3.0,1.5,0.6556920920119019,0.0,0.00011459029153797541,0.03489958663939885,minus_x,minus_x,cuda
